dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.066113,14.171349,0.017910,1.791045,89.552239,4477.611940,6.282908
0.020000,19.068701,14.171348,0.020498,0.129370,-83.083742,-8631.799036,6.283115
0.020000,19.144370,14.171358,0.096168,3.783489,182.705943,13289.484269,0.000275
0.020000,19.275806,14.171427,0.227603,6.571762,139.413674,-2164.613479,0.000760
0.020000,19.444819,14.171608,0.396616,8.450676,93.945679,-2273.399756,0.001386
0.020000,19.651432,14.171974,0.603230,10.330664,93.999420,2.687051,0.002154
0.020000,19.895666,14.172611,0.847465,12.211758,94.054671,2.762545,0.003066
0.020000,20.177550,14.173624,1.129351,14.094289,94.126549,3.593901,0.004124
0.020000,20.497116,14.175135,1.448920,15.978457,94.208407,4.092913,0.005331
0.020000,20.854399,14.177282,1.806210,17.864496,94.301950,4.677148,0.006691
0.020000,21.249442,14.180224,2.201263,19.752688,94.409632,5.384088,0.008205
0.020000,21.682288,14.184137,2.634127,21.643166,94.523857,5.711246,0.009879
0.020000,22.152984,14.189219,3.104851,23.536202,94.651804,6.397390,0.011716
0.020000,22.661584,14.195688,3.613492,25.432047,94.792279,7.023713,0.013721
0.020000,23.208143,14.203782,4.160111,27.330958,94.945524,7.662281,0.015898
0.020000,23.792723,14.213763,4.744775,29.233223,95.113266,8.387075,0.018254
0.020000,24.415384,14.225920,5.367555,31.138986,95.288129,8.743176,0.020792
0.020000,25.076193,14.240561,6.028526,33.048571,95.479254,9.556220,0.023521
0.020000,25.775220,14.258027,6.727772,34.962259,95.684396,10.257118,0.026446
0.020000,26.512536,14.278681,7.465377,36.880257,95.899925,10.776423,0.029573
0.020000,27.288217,14.302920,8.241436,38.802987,96.136487,11.828138,0.032912
0.020000,28.102336,14.331170,9.056046,40.730474,96.374383,11.894801,0.036469
0.020000,28.954975,14.363890,9.909312,42.663300,96.641291,13.345396,0.040253
0.020000,29.846211,14.401573,10.801344,44.601620,96.915968,13.733817,0.044272
0.020000,30.776122,14.444750,11.732257,46.545627,97.200348,14.219033,0.048536
0.020000,31.744786,14.493990,12.702172,48.495779,97.507620,15.363604,0.053055
0.020000,32.752284,14.549902,13.711220,50.452372,97.829660,16.101995,0.057838
0.020000,33.798688,14.613140,14.759533,52.415652,98.164011,16.717530,0.062897
0.020000,34.884070,14.684402,15.847252,54.385961,98.515420,17.570441,0.068243
0.020000,36.008499,14.764435,16.974526,56.363681,98.886018,18.529922,0.073888
0.020000,37.172036,14.854037,18.141508,58.349093,99.270579,19.228049,0.079844
0.020000,38.374733,14.954058,19.348356,60.342435,99.667103,19.826182,0.086123
0.020000,39.616634,15.065407,20.595239,62.344133,100.084911,20.890426,0.092740
0.020000,40.897770,15.189049,21.882328,64.354449,100.515819,21.545387,0.099707
0.020000,42.218160,15.326013,23.209802,66.373710,100.963038,22.360957,0.107039
0.020000,43.577801,15.477394,24.577845,68.402121,101.420530,22.874603,0.114752
0.020000,44.976675,15.644355,25.986647,70.440119,101.899890,23.968009,0.122859
0.020000,46.414736,15.828129,27.436403,72.487817,102.384932,24.252070,0.131377
0.020000,47.891910,16.030023,28.927311,74.545382,102.878238,24.665308,0.140322
0.020000,49.408094,16.251422,30.459574,76.613156,103.388713,25.523766,0.149710
0.020000,50.963141,16.493791,32.033396,78.691092,103.896763,25.402480,0.159556
0.020000,52.556867,16.758676,33.648985,80.779439,104.417367,26.030213,0.169878
0.020000,54.189035,17.047707,35.306546,82.878050,104.930558,25.659553,0.180693
0.020000,55.859351,17.362598,37.006285,84.986956,105.445289,25.736562,0.192016
0.020000,57.567460,17.705151,38.748404,87.105958,105.950092,25.240123,0.203864
0.020000,59.312933,18.077254,40.533099,89.234748,106.439537,24.472247,0.216253
0.020000,61.095262,18.480879,42.360559,91.373004,106.912785,23.662415,0.229197
0.020000,62.913849,18.918083,44.230961,93.520113,107.355441,22.132775,0.242711
0.020000,64.767996,19.391004,46.144470,95.675449,107.766796,20.567778,0.256807
0.020000,66.656897,19.901855,48.101232,97.838093,108.132190,18.269706,0.271499
0.020000,68.579627,20.452922,50.101373,100.007039,108.447296,15.755284,0.286796
0.020000,70.535128,21.046550,52.144992,102.180977,108.696926,12.481497,0.302705
0.020000,72.522206,21.685138,54.232161,104.358447,108.873505,8.828939,0.319232
0.020000,74.539515,22.371126,56.362916,106.537731,108.964214,4.535493,0.336381
0.020000,76.585551,23.106981,58.537254,108.716891,108.957978,-0.311807,0.354152
0.020000,78.658644,23.895177,60.755128,110.893719,108.841422,-5.827820,0.372539
0.020000,80.756952,24.738182,63.016445,113.065831,108.605601,-11.791046,0.391537
0.020000,82.878456,25.638433,65.321056,115.230565,108.236697,-18.445213,0.411133
0.020000,85.020964,26.598315,67.668759,117.385164,107.729949,-25.337371,0.431310
0.020000,87.182103,27.620137,70.059292,119.526615,107.072529,-32.870996,0.452049
0.020000,89.359337,28.706103,72.492329,121.651870,106.262771,-40.487907,0.473322
0.020000,91.549964,29.858291,74.967482,123.757641,105.288519,-48.712594,0.495100
0.020000,93.751139,31.078624,77.484302,125.841023,104.169091,-55.971415,0.517345
0.020000,95.959890,32.368850,80.042282,127.898989,102.898300,-63.539550,0.540018
0.020000,98.173133,33.730510,82.640852,129.928488,101.474978,-71.166121,0.563072
0.020000,100.387705,35.164928,85.279391,131.926928,99.921970,-77.650388,0.586459
0.020000,102.600394,36.673192,87.957235,133.892213,98.264270,-82.884972,0.610124
0.020000,104.791752,38.244220,90.653562,134.816386,46.208628,-2602.782115,0.633835
0.020000,106.943565,39.865199,93.347606,134.702164,-5.711074,-2595.985109,0.657364
0.020000,109.054576,41.534332,96.038772,134.558298,-7.193325,-74.112553,0.680662
0.020000,111.188232,43.322324,98.822546,139.188726,231.521412,11935.736873,0.715374
0.020000,113.280141,45.202905,101.635493,140.647349,72.931181,-7929.511553,0.748420
0.020000,115.268448,47.103351,104.385958,137.523238,-156.205564,-11456.837287,0.776465
0.020000,117.163219,49.009316,107.073497,134.376933,-157.315242,-55.483859,0.799473
0.020000,118.975227,50.908365,109.698332,131.241747,-156.759311,27.796512,0.817462
0.020000,120.715356,52.789649,112.261001,128.133484,-155.413143,67.308423,0.830477
0.020000,122.394192,54.643552,114.762091,125.054482,-153.950118,73.151269,0.838565
0.020000,124.021746,56.461364,117.202044,121.997670,-152.840601,55.475811,0.841761
0.020000,125.607285,58.234988,119.581051,118.950343,-152.366323,23.713929,0.840082
0.020000,127.159220,59.956731,121.899003,115.897611,-152.636624,-13.515063,0.833518
0.020000,128.685053,61.619166,124.155518,112.825714,-153.594863,-47.911969,0.822041
0.020000,130.191353,63.215076,126.350026,109.725429,-155.014222,-70.967916,0.805603
0.020000,131.683763,64.737499,128.481941,106.595733,-156.484834,-73.530636,0.784160
0.020000,133.167060,66.179861,130.550897,103.447791,-157.397075,-45.612037,0.757681
0.020000,134.645271,67.536201,132.557078,100.309086,-156.935261,23.090715,0.726182
0.020000,136.121878,68.801456,134.501619,97.227047,-154.101963,141.664869,0.689754
0.020000,137.600107,69.971778,136.387041,94.271084,-147.798115,315.192447,0.648599
0.020000,139.083304,71.044780,138.217671,91.531483,-136.980071,540.902172,0.603062
0.020000,140.575319,72.019656,139.999942,89.113576,-120.895329,804.237114,0.553658
0.020000,142.080815,72.897078,141.742466,87.126173,-99.370148,1076.259051,0.501076
0.020000,143.605365,73.678869,143.455781,85.665759,-73.020718,1317.471512,0.446158
0.020000,145.302591,74.448745,145.319456,93.183770,375.900575,22446.064602,0.407269
0.020000,147.090370,75.180351,147.251140,96.584199,170.021422,-10293.957630,0.369813
0.020000,148.917606,75.850522,149.197398,97.312889,36.434511,-6679.345523,0.333522
0.020000,150.784481,76.460767,151.161480,98.204118,44.561421,406.345483,0.298656
0.020000,152.690889,77.012831,153.146214,99.236686,51.628424,353.350153,0.265442
0.020000,154.636428,77.508705,155.153953,100.386931,57.512257,294.191639,0.234068
0.020000,156.620418,77.950643,157.186568,101.630757,62.191308,233.952542,0.204683
0.020000,158.641941,78.341169,159.245467,102.944959,65.710087,175.938963,0.177400
0.020000,160.699900,78.683080,161.331636,104.308441,68.174074,123.199372,0.152298
0.020000,162.793084,78.979443,163.445696,105.703006,69.728295,77.711015,0.129427
0.020000,164.920231,79.233577,165.587970,107.113688,70.534085,40.289524,0.108812
0.020000,167.080088,79.449036,167.758546,108.528829,70.757035,11.147494,0.090460
0.020000,169.271460,79.629592,169.957345,109.939909,70.554007,-10.151419,0.074366
0.020000,171.493254,79.779210,172.184170,111.341298,70.069449,-24.227904,0.060513
0.020000,173.744502,79.902028,174.438767,112.729804,69.425321,-32.206402,0.048882
0.020000,176.024382,80.002349,176.720852,114.104294,68.724475,-35.042262,0.039450
0.020000,178.332223,80.084622,179.030159,115.465349,68.052753,-33.586106,0.032195
0.020000,180.667505,80.153445,181.366455,116.814786,67.471860,-29.044653,0.027099
0.020000,183.029849,80.213561,183.729564,118.155426,67.031970,-21.994510,0.024147
0.020000,185.418999,80.269863,186.119378,119.490707,66.764067,-13.395164,0.023332
0.020000,188.198452,80.371183,188.900676,139.064921,978.710716,45597.332462,0.058980
0.020000,191.180734,80.620073,191.893326,149.632476,528.377753,-22516.648156,0.106415
0.020000,194.047230,80.984811,194.782933,144.480386,-257.604525,-39299.113903,0.145598
0.020000,196.803365,81.434815,197.575564,139.631542,-242.442166,758.117953,0.177018
0.020000,199.456842,81.944077,200.277469,135.095230,-226.815619,781.327382,0.201175
0.020000,202.015861,82.490452,202.894166,130.834874,-213.017814,689.890251,0.218514
0.020000,204.488042,83.054832,205.429951,126.789210,-202.283183,536.731545,0.229378
0.020000,206.879774,83.620361,207.887633,122.884129,-195.254070,351.455644,0.233992
0.020000,209.195830,84.171796,210.268430,119.039861,-192.213386,152.034167,0.232456
0.020000,211.439118,84.695007,212.571926,115.174763,-193.254918,-52.076568,0.224736
0.020000,213.610493,85.176659,214.796079,111.207677,-198.354282,-254.968207,0.210670
0.020000,215.708623,85.604061,216.937300,107.061020,-207.332829,-448.927380,0.189970
0.020000,217.729925,85.965224,218.990613,102.665696,-219.766208,-621.668923,0.162241
0.020000,219.668656,86.249146,220.950024,97.970517,-234.758941,-749.636674,0.127002
0.020000,221.517345,86.446336,222.809200,92.958813,-250.585219,-791.313889,0.083747
0.020000,223.267745,86.549513,224.562638,87.671882,-264.346545,-688.066289,0.032038
0.020000,224.912561,86.554279,226.207461,82.241172,-271.535496,-359.447538,6.254829
0.020000,226.448003,86.459365,227.745834,76.918626,-266.127325,270.408537,6.185924
0.020000,227.876687,86.265904,229.187557,72.086152,-241.623701,1225.181179,6.109290
0.020000,229.209743,85.975428,230.551894,68.216846,-193.465282,2407.920946,6.026468
0.020000,230.466522,85.587087,231.867303,65.770472,-122.318722,3557.328034,5.939734
0.020000,231.671029,85.095569,233.168236,65.046652,-36.190991,4306.386524,5.851843
0.020000,232.846186,84.491345,234.489630,66.069672,51.150992,4367.099171,5.765587
0.020000,234.008655,83.763430,235.861196,68.578338,125.433335,3714.117152,5.683344
0.020000,235.166605,82.903099,237.303770,72.128674,177.516778,2604.172136,5.606778
0.020000,236.320633,81.906562,238.828520,76.237531,205.442859,1396.304039,5.536783
0.020000,237.466467,80.775671,240.438443,80.496110,212.928962,374.305148,5.473599
0.020000,238.597801,79.516978,242.130845,84.620108,206.199867,-336.454738,5.417010
0.020000,239.824655,78.003129,244.079411,97.428316,640.410402,21710.526775,5.387268
0.020000,241.476248,75.978097,246.692554,130.657141,1661.441275,51051.543623,5.405074
0.020000,243.100981,74.046992,249.216226,126.183620,-223.676075,-94255.867469,5.417904
0.020000,244.686957,72.202019,251.649177,121.647515,-226.805256,-156.459088,5.426342
0.020000,246.229031,70.431363,253.997200,117.401180,-212.316702,724.427703,5.430850
0.020000,247.722505,68.725800,256.264227,113.351328,-202.492620,491.204116,5.431745
0.020000,249.162874,67.078169,258.452685,109.422900,-196.421381,303.561949,5.429219
0.020000,250.545635,65.483021,260.563734,105.552445,-193.522751,144.931487,5.423367
0.020000,251.866147,63.936398,262.597399,101.683262,-193.459176,3.178762,5.414190
0.020000,253.119529,62.435709,264.552657,97.762907,-196.017767,-127.929527,5.401607
0.020000,254.300579,60.979698,266.427449,93.739615,-201.164560,-257.339672,5.385452
0.020000,255.403728,59.568494,268.218660,89.560533,-208.954134,-389.478703,5.365478
0.020000,256.423036,58.203715,269.922071,85.170555,-219.498873,-527.236968,5.341347
0.020000,257.352266,56.888647,271.532311,80.511995,-232.927989,-671.455794,5.312627
0.020000,258.185049,55.628481,273.042790,75.523936,-249.402967,-823.748873,5.278795
0.020000,258.915246,54.430497,274.445770,70.149025,-268.745576,-967.130455,5.239230
0.020000,259.537548,53.304183,275.732565,64.339755,-290.463468,-1085.894614,5.193237
0.020000,260.048393,52.261060,276.894059,58.074701,-313.252703,-1139.461762,5.140088
0.020000,260.447234,51.313921,277.921749,51.384464,-334.511876,-1062.958621,5.079102
0.020000,260.738006,50.475109,278.809530,44.389055,-349.770419,-762.927185,5.009791
0.020000,260.930296,49.753537,279.556283,37.337681,-352.568697,-139.913883,4.932064
0.020000,261.039382,49.150551,280.169058,30.638712,-334.948463,881.011726,4.846484
0.020000,261.084093,48.655883,280.665742,24.834234,-290.223922,2236.227029,4.754482
0.020000,261.082299,48.246006,281.075623,20.494033,-217.010029,3660.694667,4.658400
0.020000,261.045584,47.887162,281.436340,18.035839,-122.909725,4705.015209,4.561249
0.020000,260.976106,47.542948,281.787497,17.557845,-23.899659,4950.503298,4.466198
0.020000,260.867691,47.183020,282.163398,18.795075,61.861462,4288.056026,4.375992
0.020000,260.710316,46.788627,282.588030,21.231610,121.826775,2998.265648,4.292550
0.020000,260.495012,46.353161,283.073814,24.289202,152.879597,1552.641098,4.216865
0.020000,260.216877,45.879205,283.623353,27.476945,159.387129,325.376591,4.149145
0.020000,259.875750,45.374496,284.232532,30.458943,149.099907,-514.361105,4.089062
