dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.327833,297.838997,0.017910,1.791045,89.552239,4477.611940,6.282905
0.020000,19.341677,297.838998,0.071642,3.582090,89.552239,0.000000,0.000097
0.020000,19.431229,297.839035,0.161194,5.373134,89.552239,-0.000000,0.000726
0.020000,19.556602,297.839181,0.286567,7.164179,89.552239,0.000000,0.001604
0.020000,19.717796,297.839530,0.447761,8.955224,89.552239,-0.000000,0.002729
0.020000,19.914809,297.840203,0.644776,10.746269,89.552239,0.000000,0.004096
0.020000,20.147642,297.841344,0.877612,12.537313,89.552239,0.000000,0.005703
0.020000,20.416293,297.843124,1.146269,14.328358,89.552239,0.000000,0.007544
0.020000,20.720759,297.845736,1.450746,16.119403,89.552239,-0.000000,0.009613
0.020000,21.061038,297.849398,1.791045,17.910448,89.552239,0.000000,0.011904
0.020000,21.437125,297.854347,2.167164,19.701493,89.552239,0.000000,0.014411
0.020000,21.849014,297.860843,2.579104,21.492537,89.552239,-0.000000,0.017124
0.020000,22.296698,297.869164,3.026866,23.283582,89.552239,0.000000,0.020035
0.020000,22.780167,297.879603,3.510448,25.074627,89.552239,-0.000000,0.023135
0.020000,23.299410,297.892472,4.029851,26.865672,89.552239,0.000000,0.026413
0.020000,23.854414,297.908094,4.585075,28.656716,89.552239,-0.000000,0.029858
0.020000,24.445162,297.926805,5.176119,30.447761,89.552239,0.000000,0.033457
0.020000,25.071636,297.948951,5.802985,32.238806,89.552239,-0.000000,0.037198
0.020000,25.733815,297.974881,6.465672,34.029851,89.552239,0.000000,0.041067
0.020000,26.431674,298.004954,7.164179,35.820896,89.552239,-0.000000,0.045048
0.020000,27.165188,298.039525,7.898507,37.611940,89.552239,0.000000,0.049127
0.020000,27.934326,298.078953,8.668657,39.402985,89.552239,0.000000,0.053287
0.020000,28.739059,298.123589,9.474627,41.194030,89.552239,-0.000000,0.057511
0.020000,29.579352,298.173779,10.316418,42.985075,89.552239,0.000000,0.061780
0.020000,30.455170,298.229856,11.194030,44.776119,89.552239,0.000000,0.066076
0.020000,31.366476,298.292142,12.107463,46.567164,89.552239,0.000000,0.070379
0.020000,32.313232,298.360939,13.056716,48.358209,89.552239,-0.000000,0.074667
0.020000,33.295402,298.436529,14.041791,50.149254,89.552239,0.000000,0.078921
0.020000,34.312946,298.519168,15.062687,51.940299,89.552239,0.000000,0.083116
0.020000,35.365829,298.609085,16.119403,53.731343,89.552239,0.000000,0.087231
0.020000,36.454017,298.706472,17.211940,55.522388,89.552239,-0.000000,0.091242
0.020000,37.577477,298.811488,18.340299,57.313433,89.552239,0.000000,0.095123
0.020000,38.736182,298.924248,19.504478,59.104478,89.552239,-0.000000,0.098850
0.020000,39.930108,299.044821,20.704478,60.895522,89.552239,0.000000,0.102396
0.020000,41.159239,299.173227,21.940299,62.686567,89.552239,-0.000000,0.105734
0.020000,42.423565,299.309430,23.211940,64.477612,89.552239,0.000000,0.108837
0.020000,43.723084,299.453334,24.519403,66.268657,89.552239,0.000000,0.111677
