dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,70.021610,151.524765,0.012000,1.200000,60.000000,3000.000000,0.000785
0.020000,70.015380,151.524761,0.018230,0.311521,-44.423947,-5221.197361,0.000258
0.020000,70.047354,151.524750,0.050205,1.598732,64.360544,5439.224541,6.282566
0.020000,70.116853,151.524664,0.119704,3.474952,93.811007,1472.523172,6.281339
0.020000,70.206248,151.524429,0.209099,4.469753,49.740044,-2203.548156,6.279765
0.020000,70.315564,151.523950,0.318416,5.465852,49.804956,3.245624,6.277846
0.020000,70.444835,151.523114,0.447690,6.463703,49.892534,4.378874,6.275585
0.020000,70.594105,151.521785,0.596966,7.463790,50.004372,5.591910,6.272986
0.020000,70.763418,151.519809,0.766290,8.466207,50.120862,5.824512,6.270052
0.020000,70.952828,151.517012,0.955721,9.471549,50.267088,7.311297,6.266789
0.020000,71.162395,151.513200,1.165323,10.480074,50.426263,7.958719,6.263202
0.020000,71.392186,151.508158,1.395169,11.492324,50.612480,9.310876,6.259297
0.020000,71.642273,151.501654,1.645340,12.508565,50.812023,9.977129,6.255082
0.020000,71.912737,151.493439,1.915930,13.529454,51.044473,11.622513,6.250563
0.020000,72.203665,151.483242,2.207036,14.555328,51.293713,12.461987,6.245750
0.020000,72.515149,151.470780,2.518769,15.586651,51.566157,13.622232,6.240651
0.020000,72.847290,151.455748,2.851251,16.624074,51.871123,15.248268,6.235277
0.020000,73.200197,151.437828,3.204612,17.668065,52.199551,16.421433,6.229640
0.020000,73.573982,151.416688,3.578994,18.719092,52.551355,17.590180,6.223750
0.020000,73.968766,151.391979,3.974551,19.777851,52.937939,19.329192,6.217621
0.020000,74.384678,151.363339,4.391447,20.844832,53.349081,20.557130,6.211267
0.020000,74.821853,151.330397,4.829862,21.920720,53.794358,22.263821,6.204703
0.020000,75.280433,151.292768,5.289983,23.006078,54.267915,23.677874,6.197946
0.020000,75.760566,151.250059,5.772012,24.101437,54.767952,25.001848,6.191011
0.020000,76.262409,151.201868,6.276163,25.207550,55.305672,26.885973,6.183917
0.020000,76.786122,151.147787,6.802662,26.324942,55.869569,28.194854,6.176683
0.020000,77.331876,151.087403,7.351746,27.454219,56.463885,29.715820,6.169330
0.020000,77.899847,151.020301,7.923667,28.596019,57.089973,31.304365,6.161879
0.020000,78.490216,150.946064,8.518685,29.750905,57.744319,32.717319,6.154351
0.020000,79.103173,150.864278,9.137074,30.919470,58.428256,34.196855,6.146770
0.020000,79.738914,150.774530,9.779119,32.102259,59.139419,35.558146,6.139159
0.020000,80.397643,150.676416,10.445115,33.299784,59.876253,36.841712,6.131545
0.020000,81.079571,150.569540,11.135367,34.512586,60.640134,38.194054,6.123952
0.020000,81.784915,150.453517,11.850189,35.741128,61.427057,39.346142,6.116408
0.020000,82.513901,150.327975,12.589907,36.985868,62.237037,40.498981,6.108939
0.020000,83.266765,150.192564,13.354851,38.247237,63.068445,41.570430,6.101574
0.020000,84.043751,150.046950,14.145364,39.525635,63.919881,42.571800,6.094342
0.020000,84.845113,149.890827,14.961793,40.821435,64.790011,43.506484,6.087271
0.020000,85.671117,149.723914,15.804493,42.134987,65.677572,44.378039,6.080393
0.020000,86.522041,149.545962,16.673825,43.466625,66.581933,45.218070,6.073738
0.020000,87.398178,149.356758,17.570158,44.816654,67.501457,45.976172,6.067337
0.020000,88.299833,149.156127,18.493866,46.185380,68.436296,46.741992,6.061221
0.020000,89.227333,148.943937,19.445328,47.573096,69.385805,47.475426,6.055422
0.020000,90.181020,148.720103,20.424930,48.980092,70.349793,48.199399,6.049974
0.020000,91.161258,148.484593,21.433063,50.406669,71.328857,48.953198,6.044909
0.020000,92.168437,148.237429,22.470125,51.853126,72.322846,49.699466,6.040262
0.020000,93.202969,147.978695,23.536521,53.319796,73.333506,50.532998,6.036065
0.020000,94.265297,147.708540,24.632662,54.807046,74.362463,51.447831,6.032355
0.020000,95.355894,147.427185,25.758967,56.315247,75.410066,52.380136,6.029165
0.020000,96.475267,147.134927,26.915864,57.844834,76.479356,53.464524,6.026534
0.020000,97.612551,146.835165,28.091990,58.806301,48.073351,-1420.300244,6.024514
0.020000,98.756641,146.531529,29.275686,59.184814,18.925620,-1457.386534,6.023135
0.020000,99.907716,146.224735,30.466945,59.562925,18.905581,-1.001979,6.022395
0.020000,101.065965,145.915508,31.665761,59.940818,18.894619,-0.548113,6.022295
0.020000,102.231583,145.604587,32.872135,60.318678,18.893010,-0.080412,6.022834
0.020000,103.404774,145.292727,34.086069,60.696696,18.900931,0.396055,6.024013
0.020000,104.585748,144.980692,35.307570,61.075052,18.917780,0.842418,6.025832
0.020000,105.774717,144.669265,36.536648,61.453923,18.943573,1.289639,6.028293
0.020000,106.971896,144.359244,37.773317,61.833444,18.976020,1.622374,6.031395
0.020000,108.177499,144.051442,39.017592,62.213759,19.015773,1.987645,6.035141
0.020000,109.391738,143.746693,40.269491,62.594922,19.058126,2.117674,6.039532
0.020000,110.614822,143.445845,41.529031,62.977013,19.104560,2.321661,6.044569
0.020000,111.846948,143.149770,42.796230,63.359984,19.148531,2.198588,6.050254
0.020000,113.088305,142.859357,44.071106,63.743798,19.190707,2.108783,6.056589
0.020000,114.339069,142.575517,45.353672,64.128298,19.225017,1.715475,6.063575
0.020000,115.599396,142.299180,46.643938,64.513279,19.249045,1.201441,6.071212
0.020000,116.869420,142.031298,47.941907,64.898450,19.258541,0.474798,6.079500
0.020000,118.149252,141.772842,49.247575,65.283405,19.247739,-0.540101,6.088440
0.020000,119.438971,141.524805,50.560929,65.667674,19.213471,-1.713432,6.098031
0.020000,120.738622,141.288195,51.881941,66.050645,19.148545,-3.246294,6.108269
0.020000,122.048209,141.064039,53.210574,66.431617,19.048615,-4.996508,6.119152
0.020000,123.367693,140.853376,54.546769,66.809761,18.907207,-7.070397,6.130676
0.020000,124.696987,140.657259,55.890452,67.184145,18.719193,-9.400701,6.142832
0.020000,126.035947,140.476746,57.241525,67.553664,18.475944,-12.162441,6.155614
0.020000,127.384373,140.312898,58.599869,67.917209,18.177264,-14.933978,6.169011
0.020000,128.741999,140.166776,59.965337,68.273372,17.808124,-18.457024,6.183011
0.020000,130.108496,140.039431,61.337755,68.620897,17.376278,-21.592302,6.197599
0.020000,131.483460,139.931900,62.716917,68.958125,16.861371,-25.745333,6.212758
0.020000,132.863732,139.845345,64.099900,69.149160,9.551768,-365.480154,6.228380
0.020000,134.011794,139.783103,65.249648,57.487383,-583.088857,-29632.031252,6.229600
0.020000,135.224422,139.718800,66.463980,60.716593,161.460506,37227.468156,6.230813
0.020000,136.437028,139.655967,67.678213,60.711638,-0.247776,-8085.414110,6.232017
0.020000,137.649610,139.594595,68.892346,60.706677,-0.248010,-0.011715,6.233213
0.020000,138.862164,139.534673,70.106381,60.701713,-0.248237,-0.011350,6.234400
0.020000,140.074689,139.476190,71.320315,60.696744,-0.248457,-0.010990,6.235579
0.020000,141.287183,139.419136,72.534151,60.691770,-0.248670,-0.010635,6.236750
0.020000,142.499643,139.363501,73.747887,60.686793,-0.248876,-0.010287,6.237912
0.020000,143.712068,139.309274,74.961523,60.681811,-0.249074,-0.009943,6.239065
0.020000,144.924454,139.256445,76.175059,60.676826,-0.249267,-0.009606,6.240211
0.020000,146.136799,139.205004,77.388496,60.671837,-0.249443,-0.008831,6.241347
0.020000,147.349103,139.154940,78.601833,60.666844,-0.249625,-0.009091,6.242476
0.020000,148.561362,139.106243,79.815070,60.661848,-0.249806,-0.009043,6.243596
0.020000,149.773575,139.058902,81.028207,60.656849,-0.249972,-0.008307,6.244707
0.020000,150.985740,139.012907,82.241244,60.651846,-0.250132,-0.007997,6.245810
0.020000,152.197854,138.968248,83.454181,60.646841,-0.250286,-0.007692,6.246904
0.020000,153.409916,138.924914,84.667017,60.641832,-0.250434,-0.007393,6.247990
0.020000,154.621925,138.882895,85.879754,60.636820,-0.250576,-0.007099,6.249068
0.020000,155.833877,138.842179,87.092390,60.631806,-0.250712,-0.006810,6.250137
0.020000,157.045772,138.802758,88.304926,60.626789,-0.250842,-0.006527,6.251198
0.020000,158.257607,138.764620,89.517361,60.621770,-0.250966,-0.006192,6.252250
0.020000,159.469382,138.727755,90.729696,60.616748,-0.251084,-0.005880,6.253293
0.020000,160.681093,138.692152,91.941931,60.611724,-0.251203,-0.005962,6.254328
0.020000,161.892740,138.657801,93.154064,60.606698,-0.251312,-0.005444,6.255355
0.020000,163.104321,138.624691,94.366098,60.601670,-0.251416,-0.005187,6.256373
0.020000,164.315835,138.592813,95.578031,60.596639,-0.251514,-0.004935,6.257382
0.020000,165.527279,138.562155,96.789863,60.591607,-0.251608,-0.004688,6.258384
0.020000,166.738653,138.532707,98.001594,60.586573,-0.251697,-0.004447,6.259376
0.020000,167.949954,138.504458,99.213225,60.581538,-0.251781,-0.004210,6.260360
0.020000,169.161182,138.477399,100.424755,60.576500,-0.251861,-0.003979,6.261335
0.020000,170.364038,138.451691,101.627886,60.156555,-20.997277,-1037.270787,6.262296
0.020000,171.546413,138.427542,102.810508,59.131071,-51.274218,-1513.847069,6.263232
0.020000,172.704495,138.404959,103.968809,57.915082,-60.799438,-476.261015,6.264140
0.020000,173.838286,138.383864,105.102797,56.699381,-60.785038,0.720001,6.265023
0.020000,174.947791,138.364186,106.212476,55.483963,-60.770919,0.705984,6.265879
0.020000,176.033012,138.345854,107.297852,54.268821,-60.757091,0.691368,6.266709
0.020000,177.093954,138.328801,108.358931,53.053950,-60.743565,0.676319,6.267515
0.020000,178.130620,138.312960,109.395718,51.839343,-60.730322,0.662139,6.268295
0.020000,179.143013,138.298267,110.408218,50.624995,-60.717405,0.645845,6.269052
0.020000,180.131138,138.284663,111.396436,49.410900,-60.704755,0.632510,6.269784
0.020000,181.094997,138.272088,112.360377,48.197052,-60.692416,0.616926,6.270493
0.020000,182.034594,138.260485,113.300046,46.983444,-60.680368,0.602443,6.271179
0.020000,182.949933,138.249799,114.215448,45.770072,-60.668614,0.587684,6.271843
0.020000,183.841018,138.239978,115.106586,44.556928,-60.657206,0.570409,6.272484
0.020000,184.707851,138.230970,115.973466,43.344007,-60.646025,0.559036,6.273103
0.020000,185.550437,138.222727,116.816092,42.131304,-60.635187,0.541886,6.273701
0.020000,186.368778,138.215202,117.634469,40.918810,-60.624659,0.526403,6.274278
0.020000,187.162879,138.208349,118.428599,39.706522,-60.614400,0.512961,6.274834
0.020000,187.932743,138.202126,119.198488,38.494433,-60.604491,0.495468,6.275369
0.020000,188.678372,138.196490,119.944138,37.282536,-60.594811,0.483976,6.275885
0.020000,189.399771,138.191402,120.665555,36.070826,-60.585496,0.465751,6.276380
0.020000,190.096942,138.186824,121.362741,34.859298,-60.576443,0.452628,6.276856
0.020000,190.769888,138.182719,122.035700,33.647943,-60.567731,0.435623,6.277313
0.020000,191.418613,138.179051,122.684435,32.436757,-60.559312,0.420957,6.277751
0.020000,192.043119,138.175788,123.308950,31.225734,-60.551137,0.408764,6.278170
0.020000,192.643409,138.172898,123.909247,30.014867,-60.543357,0.388964,6.278571
0.020000,193.219487,138.170350,124.485330,28.804150,-60.535837,0.376028,6.278954
0.020000,193.771354,138.168116,125.037201,27.593579,-60.528573,0.363192,6.279318
0.020000,194.299013,138.166167,125.564864,26.383145,-60.521698,0.343739,6.279665
0.020000,194.802467,138.164478,126.068321,25.172843,-60.515067,0.331563,6.279995
0.020000,195.281718,138.163024,126.547575,23.962668,-60.508761,0.315270,6.280308
0.020000,195.736769,138.161782,127.002627,22.752613,-60.502745,0.300819,6.280603
0.020000,196.167621,138.160729,127.433480,21.542672,-60.497053,0.284591,6.280882
0.020000,196.574277,138.159846,127.840137,20.332839,-60.491644,0.270486,6.281144
0.020000,196.956738,138.159112,128.222599,19.123108,-60.486561,0.254121,6.281389
0.020000,197.315007,138.158510,128.580869,17.913473,-60.481735,0.241289,6.281619
