dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,85.065202,174.607745,0.012000,1.200000,60.000000,3000.000000,6.282029
0.020000,85.055224,174.607753,0.021977,0.498867,-35.056661,-4752.833035,6.282873
0.020000,85.085297,174.607772,0.052050,1.503627,50.237999,4264.732972,0.001094
0.020000,85.146059,174.607898,0.112812,3.038111,76.724215,1324.310792,0.003060
0.020000,85.224222,174.608236,0.190976,3.908211,43.505010,-1660.960222,0.005584
0.020000,85.319818,174.608917,0.286574,4.779886,43.583733,3.936167,0.008663
0.020000,85.432886,174.610102,0.399648,5.653700,43.690721,5.349360,0.012295
0.020000,85.563469,174.611980,0.530245,6.529870,43.808506,5.889269,0.016475
0.020000,85.711625,174.614772,0.678428,7.409111,43.962030,7.676196,0.021197
0.020000,85.877422,174.618723,0.844271,8.292176,44.153256,9.561304,0.026456
0.020000,86.060930,174.624111,1.027859,9.179385,44.360451,10.359729,0.032243
0.020000,86.262240,174.631241,1.229294,10.071763,44.618903,12.922622,0.038552
0.020000,86.481446,174.640445,1.448694,10.969968,44.910219,14.565790,0.045371
0.020000,86.718660,174.652087,1.686194,11.875002,45.251705,17.074329,0.052689
0.020000,86.974006,174.666554,1.941949,12.787761,45.637965,19.312967,0.060493
0.020000,87.247621,174.684265,2.216137,13.709388,46.081344,22.168936,0.068768
0.020000,87.539657,174.705663,2.508955,14.640941,46.577650,24.815305,0.077497
0.020000,87.850284,174.731220,2.820632,15.583817,47.143796,28.307318,0.086661
0.020000,88.179686,174.761432,3.151416,16.539228,47.770569,31.338663,0.096240
0.020000,88.528061,174.796822,3.501585,17.508422,48.459715,34.457276,0.106208
0.020000,88.895630,174.837937,3.871445,18.493039,49.230815,38.554992,0.116541
0.020000,89.282624,174.885345,4.261333,19.494373,50.066724,41.795468,0.127211
0.020000,89.689298,174.939637,4.671615,20.514096,50.986112,45.969407,0.138185
0.020000,90.115919,175.001426,5.102687,21.553599,51.975166,49.452684,0.149431
0.020000,90.562770,175.071339,5.554974,22.614365,53.038309,53.157154,0.160912
0.020000,91.030152,175.150020,6.028933,23.697943,54.178884,57.028771,0.172591
0.020000,91.518381,175.238127,6.525048,24.805744,55.390080,60.559787,0.184425
0.020000,92.027785,175.336326,7.043830,25.939126,56.669061,63.949075,0.196372
0.020000,92.558706,175.445286,7.585818,27.099362,58.011811,67.137458,0.208386
0.020000,93.111501,175.565682,8.151571,28.287690,59.416432,70.231068,0.220420
0.020000,93.686536,175.698183,8.741674,29.505127,60.871838,72.770303,0.232425
0.020000,94.284188,175.843448,9.356727,30.752639,62.375591,75.187624,0.244349
0.020000,94.904846,176.002125,9.997348,32.031068,63.921475,77.294221,0.256140
0.020000,95.548912,176.174840,10.664170,33.341090,65.501066,78.979541,0.267746
0.020000,96.216798,176.362193,11.357836,34.683281,67.109554,80.424432,0.279110
0.020000,96.908928,176.564751,12.078997,36.058097,68.740816,81.563066,0.290179
0.020000,97.625745,176.783040,12.828315,37.465862,70.388220,82.370224,0.300897
0.020000,98.367707,177.017540,13.606452,38.906872,72.050533,83.115622,0.311206
0.020000,99.135294,177.268678,14.414078,40.381282,73.720489,83.497802,0.321051
0.020000,99.929011,177.536815,15.251864,41.889300,75.400877,84.019397,0.330376
0.020000,100.749396,177.822248,16.120485,43.431047,77.087388,84.325577,0.339121
0.020000,101.597019,178.125192,17.020619,45.006693,78.782296,84.745414,0.347232
0.020000,102.472497,178.445781,17.952948,46.616492,80.489958,85.383075,0.354649
0.020000,103.376495,178.784053,18.918163,48.260749,82.212834,86.143777,0.361314
0.020000,104.309735,179.139946,19.916961,49.939893,83.957177,87.217185,0.367169
0.020000,105.273007,179.513286,20.950051,51.654510,85.730884,88.685344,0.372152
0.020000,106.267175,179.903779,22.018160,53.405406,87.544767,90.694136,0.376204
0.020000,107.293188,180.310997,23.122030,55.193496,89.404526,92.987935,0.379261
0.020000,108.352087,180.734372,24.262430,57.020011,91.325719,96.059699,0.381257
0.020000,109.445016,181.173173,25.440157,58.886371,93.318000,99.614029,0.382126
0.020000,110.561995,181.621987,26.643932,60.188757,65.119307,-1409.934636,0.381807
0.020000,111.692593,182.075064,27.861936,60.900166,35.570482,-1477.441267,0.380284
0.020000,112.837397,182.531009,29.094194,61.612914,35.637402,3.345979,0.377555
0.020000,113.997019,182.988381,30.340754,62.328004,35.754485,5.854158,0.373616
0.020000,115.172097,183.445685,31.601681,63.046335,35.916528,8.102170,0.368461
0.020000,116.363285,183.901368,32.877054,63.768652,36.115885,9.967861,0.362084
0.020000,117.571244,184.353809,34.166964,64.495512,36.342972,11.354310,0.354477
0.020000,118.796630,184.801318,35.471507,65.227175,36.583185,12.010674,0.345632
0.020000,120.040080,185.242125,36.790780,65.963606,36.821553,11.918387,0.335541
0.020000,121.302199,185.674380,38.124867,66.704388,37.039059,10.875301,0.324196
0.020000,122.583544,186.096144,39.473840,67.448652,37.213235,8.708787,0.311592
0.020000,123.884598,186.505390,40.837741,68.195022,37.318507,5.263629,0.297725
0.020000,125.205756,186.900001,42.216572,68.941560,37.326879,0.418608,0.282594
0.020000,126.547293,187.277774,43.610285,69.685636,37.203781,-6.154922,0.266204
0.020000,127.909345,187.636426,45.018765,70.424008,36.918607,-14.258686,0.248565
0.020000,129.291877,187.973603,46.441819,71.152709,36.435049,-24.177903,0.229692
0.020000,130.694657,188.286901,47.879160,71.867039,35.716490,-35.927930,0.209610
0.020000,132.117232,188.573881,49.330392,72.561629,34.729494,-49.349812,0.188353
0.020000,133.558900,188.832103,50.795003,73.230529,33.445031,-64.223185,0.165964
0.020000,135.018692,189.059155,52.272348,73.867248,31.835954,-80.453814,0.142497
0.020000,136.495362,189.252696,53.761647,74.464960,29.885580,-97.518729,0.118018
0.020000,137.987375,189.410496,55.261981,75.016707,27.587340,-114.911974,0.092606
0.020000,139.492914,189.530485,56.772294,75.515658,24.947572,-131.988395,0.066349
0.020000,141.009898,189.610799,58.291403,75.955405,21.987356,-148.010817,0.039348
0.020000,142.412889,189.648596,59.694903,70.175004,-289.020070,-15550.371294,0.017510
0.020000,143.615096,189.669527,60.897292,60.119468,-502.776806,-10687.836803,0.017308
0.020000,144.817406,189.690213,62.099780,60.124378,0.245512,25151.115889,0.017097
0.020000,146.019818,189.710642,63.302365,60.129288,0.245515,0.000138,0.016878
0.020000,147.222333,189.730805,64.505049,60.134199,0.245517,0.000135,0.016651
