"time","x","y","position","velocity","acceleration","jerk","heading"
0,201.463,154.789,0,0,0,0,180
0.02,201.461,154.789,0.002,0.1,5,250,180
0.04,201.446,154.789,0.017,0.75,32.5,1375,180
0.06,201.405,154.789,0.0583011,2.06505,65.7527,1662.63,179.999
0.08,201.327,154.789,0.135602,3.86505,90,1212.37,179.998
0.1,201.209,154.789,0.253903,5.91505,102.5,625,179.997
0.12,201.051,154.789,0.411806,7.89516,99.0053,-174.733,179.994
0.14,200.853,154.789,0.610409,9.93011,101.747,137.099,179.992
0.16,200.614,154.789,0.848613,11.9102,99.0053,-137.099,179.988
0.18,200.335,154.789,1.12842,13.9903,104.005,250,179.982
0.2,200.014,154.79,1.44903,16.0307,102.02,-99.2699,179.97
0.22,199.652,154.79,1.81095,18.0957,103.249,61.4406,179.957
0.24,199.25,154.79,2.21337,20.121,101.263,-99.2699,179.939
0.26,198.804,154.791,2.6592,22.2914,108.524,363.044,179.913
0.28,198.318,154.791,3.14523,24.3016,100.508,-400.821,179.883
0.3,197.787,154.793,3.67588,26.5324,111.542,551.696,179.841
0.32,197.215,154.794,4.24763,28.5877,102.761,-439.022,179.792
0.34,196.599,154.797,4.864,30.8186,111.549,439.368,179.731
0.36,195.939,154.8,5.52359,32.9794,108.036,-175.619,179.656
0.38,195.236,154.805,6.2275,35.1955,110.808,138.578,179.57
0.4,194.487,154.812,6.97614,37.4319,111.817,50.4818,179.465
0.42,193.692,154.819,7.7715,39.7682,116.819,250.065,179.341
0.44,192.851,154.831,8.61193,42.0215,112.662,-207.817,179.197
0.46,191.963,154.843,9.5003,44.4182,119.836,358.702,179.03
0.48,191.028,154.862,10.435,46.7334,115.761,-203.76,178.839
0.5,190.046,154.883,11.4181,49.1576,121.208,272.345,178.62
0.52,189.013,154.91,12.4507,51.6297,123.604,119.784,178.37
0.54,187.931,154.944,13.5334,54.1342,125.227,81.1328,178.087
0.56,186.798,154.984,14.6671,56.685,127.541,115.735,177.768
0.58,185.613,155.034,15.8534,59.3162,131.559,200.893,177.408
0.6,184.375,155.095,17.0927,61.9644,132.407,42.3966,177.003
0.62,183.082,155.167,18.3875,64.7406,138.812,320.261,176.548
0.64,181.734,155.254,19.7382,67.5361,139.774,48.1136,176.039
0.66,180.33,155.358,21.1463,70.4028,143.336,178.08,175.472
0.68,178.868,155.482,22.6135,73.3623,147.974,231.872,174.842
0.7,177.346,155.628,24.1431,76.4797,155.872,394.921,174.136
0.72,175.762,155.802,25.7361,79.646,158.315,122.157,173.356
0.74,174.118,156.006,27.3931,82.8527,160.334,100.937,172.491
0.76,172.407,156.245,29.1209,86.3882,176.774,822.028,171.528
0.78,170.632,156.526,30.9172,89.8151,171.347,-271.386,170.468
0.8,168.786,156.855,32.7926,93.773,197.894,1327.38,169.279
0.82,166.877,157.239,34.7401,97.3716,179.928,-898.292,167.984
0.84,164.897,157.685,36.7692,101.457,204.282,1217.67,166.552
0.86,162.852,158.203,38.8787,105.474,200.855,-171.34,164.983
0.88,160.743,158.802,41.0712,109.627,207.619,338.203,163.273
0.9,158.569,159.494,43.353,114.087,223.006,769.359,161.397
0.92,156.335,160.29,45.7248,118.589,225.101,104.749,159.357
0.94,154.052,161.199,48.1816,122.842,212.644,-622.866,157.167
0.96,151.731,162.232,50.7219,127.016,208.693,-197.559,154.83
0.98,149.383,163.398,53.3436,131.087,203.576,-255.838,152.359
1,147.022,164.702,56.0413,134.882,189.741,-691.771,149.766
1.02,144.67,166.148,58.8015,138.011,156.464,-1663.82,147.093
1.04,142.36,167.721,61.5967,139.758,87.333,-3456.56,144.392
1.06,140.121,169.405,64.3987,140.104,17.3285,-3500.23,141.717
1.08,137.978,171.178,67.1803,139.079,-51.2579,-3429.32,139.121
1.1,135.94,173.022,69.9276,137.363,-85.8168,-1727.94,136.639
1.12,134.016,174.915,72.627,134.97,-119.658,-1692.07,134.315
1.14,132.202,176.846,75.2768,132.491,-123.927,-213.46,132.154
1.16,130.492,178.803,77.8757,129.946,-127.259,-166.599,130.167
1.18,128.883,180.774,80.4199,127.211,-136.759,-474.981,128.359
1.2,127.367,182.748,82.9086,124.432,-138.935,-108.796,126.733
1.22,125.936,184.72,85.3456,121.849,-129.145,489.5,125.283
1.24,124.581,186.683,87.7309,119.266,-129.179,-1.69863,124.003
1.26,123.293,188.633,90.0678,116.844,-121.078,405.046,122.884
1.28,122.066,190.568,92.3588,114.554,-114.529,327.475,121.917
1.3,120.891,192.485,94.607,112.407,-107.321,360.359,121.092
1.32,119.762,194.384,96.8166,110.483,-96.2021,555.96,120.398
1.34,118.673,196.264,98.9892,108.627,-92.8035,169.933,119.824
1.36,117.617,198.125,101.129,106.978,-82.4275,518.798,119.359
1.38,116.589,199.967,103.238,105.467,-75.5627,343.241,118.998
1.4,115.585,201.788,105.318,104,-73.3784,109.214,118.73
1.42,114.6,203.593,107.374,102.786,-60.678,635.021,118.546
1.44,113.631,205.379,109.406,101.604,-59.0959,79.1024,118.44
1.46,112.674,207.147,111.416,100.517,-54.3768,235.954,118.406
1.48,111.727,208.898,113.407,99.5294,-49.3605,250.814,118.436
1.5,110.786,210.632,115.38,98.6687,-43.0339,316.332,118.525
1.52,109.85,212.351,117.337,97.8397,-41.4537,79.0094,118.668
1.54,108.916,214.052,119.278,97.0452,-39.7215,86.6081,118.863
1.56,107.982,215.739,121.206,96.4054,-31.9902,386.566,119.103
1.58,107.046,217.41,123.121,95.7644,-32.0513,-3.05504,119.384
1.6,106.107,219.067,125.026,95.2255,-26.9449,255.322,119.701
1.62,105.164,220.71,126.92,94.7292,-24.8155,106.469,120.053
1.64,104.215,222.338,128.805,94.2068,-26.1197,-65.2113,120.435
1.66,103.259,223.953,130.681,93.8457,-18.0566,403.157,120.844
1.68,102.294,225.555,132.552,93.5171,-16.4281,81.425,121.277
1.7,101.32,227.144,134.415,93.1689,-17.4093,-49.0617,121.73
1.72,100.336,228.72,136.273,92.9109,-12.9007,225.431,122.202
1.74,99.342,230.284,138.126,92.6503,-13.0325,-6.59193,122.688
1.76,98.3365,231.837,139.977,92.511,-6.96172,303.541,123.186
1.78,97.3188,233.378,141.824,92.3524,-7.92979,-48.4036,123.694
1.8,96.288,234.909,143.669,92.2772,-3.7602,208.479,124.207
1.82,95.2441,236.43,145.514,92.2252,-2.6013,57.9451,124.724
1.84,94.1984,237.923,147.337,91.1619,-53.1664,-2528.25,125.31
1.86,93.1428,239.397,149.149,90.6204,-27.0712,1304.76,125.934
1.88,92.0625,240.871,150.977,91.3756,37.7585,3241.48,126.506
1.9,90.9592,242.346,152.819,92.1171,37.0721,-34.3207,127.031
1.92,89.8382,243.819,154.67,92.5361,20.9538,-805.915,127.525
1.94,88.6991,245.29,156.53,93.027,24.5413,179.376,127.991
1.96,87.545,246.756,158.396,93.2788,12.5944,-597.342,128.436
1.98,86.377,248.216,160.266,93.4924,10.6786,-95.7932,128.869
2,85.1968,249.669,162.138,93.5845,4.60158,-303.85,129.294
2.02,84.0063,251.112,164.009,93.5671,-0.865593,-273.359,129.721
2.04,82.8065,252.546,165.878,93.4712,-4.7971,-196.575,130.156
2.06,81.5989,253.965,167.742,93.1754,-14.7877,-499.529,130.608
2.08,80.3846,255.37,169.599,92.8468,-16.4338,-82.3053,131.083
2.1,79.1649,256.757,171.446,92.3476,-24.9598,-426.3,131.592
2.12,77.9415,258.123,173.279,91.6795,-33.4054,-422.282,132.146
2.14,76.7152,259.464,175.097,90.8625,-40.846,-372.03,132.753
2.16,75.4869,260.778,176.895,89.9318,-46.5352,-284.459,133.422
2.18,74.2577,262.061,178.672,88.8309,-55.0475,-425.612,134.164
2.2,73.0289,263.308,180.422,87.5323,-64.9302,-494.135,134.99
2.22,71.802,264.517,182.145,86.1253,-70.3516,-271.072,135.913
2.24,70.58,265.68,183.832,84.3643,-88.0464,-884.74,136.952
2.26,69.3612,266.797,185.485,82.6466,-85.8862,108.01,138.105
2.28,68.1472,267.862,187.1,80.7617,-94.2426,-417.819,139.382
2.3,66.9405,268.873,188.674,78.696,-103.288,-452.278,140.798
2.32,65.7412,269.824,190.205,76.5568,-106.957,-183.464,142.354
2.34,64.5469,270.719,191.698,74.6158,-97.0543,495.16,144.041
2.36,63.3584,271.554,193.15,72.6103,-100.271,-160.815,145.86
2.38,62.1731,272.328,194.566,70.8041,-90.311,497.977,147.798
2.4,60.9849,273.048,195.955,69.4555,-67.4311,1144,149.827
2.42,59.7932,273.713,197.32,68.2305,-61.2483,309.138,151.931
2.44,58.596,274.323,198.663,67.1775,-52.6521,429.813,154.061
2.46,57.3957,274.88,199.987,66.1706,-50.3464,115.281,156.174
2.48,56.1923,275.385,201.292,65.2485,-46.101,212.273,158.224
2.5,54.9857,275.843,202.582,64.5269,-36.0821,500.944,160.19
2.52,53.7716,276.258,203.865,64.1549,-18.6002,874.094,162.048
2.54,52.5488,276.633,205.145,63.957,-9.89331,435.344,163.786
2.56,51.3208,276.971,206.418,63.6824,-13.733,-191.987,165.41
2.58,50.0806,277.277,207.695,63.8615,8.95432,1134.37,166.889
2.6,48.8386,277.549,208.967,63.582,-13.9704,-1146.24,168.253
2.62,47.5955,277.794,210.234,63.3426,-11.9725,99.8943,169.501
2.64,46.3504,278.011,211.498,63.2026,-7.0021,248.52,170.625
2.66,45.1123,278.204,212.751,62.6474,-27.7587,-1037.83,171.653
2.68,43.8799,278.375,213.995,62.2063,-22.0536,285.258,172.578
2.7,42.6568,278.524,215.227,61.6091,-29.8589,-390.265,173.409
2.72,41.4484,278.655,216.443,60.7778,-41.5687,-585.493,174.163
2.74,40.2549,278.77,217.642,59.9497,-41.4021,8.33278,174.839
2.76,39.08,278.869,218.821,58.9556,-49.7067,-415.232,175.448
2.78,37.926,278.955,219.978,57.8575,-54.9048,-259.902,175.997
2.8,36.7919,279.03,221.115,56.8268,-51.5356,168.458,176.482
2.82,35.6838,279.093,222.225,55.498,-66.4384,-745.139,176.922
2.84,34.5997,279.148,223.31,54.2716,-61.3195,255.947,177.311
2.86,33.5439,279.193,224.367,52.84,-71.5793,-512.994,177.662
2.88,32.5161,279.233,225.395,51.4295,-70.5257,52.6818,177.974
