"time","x","y","position","velocity","acceleration","jerk","heading"
0,19.1927,25.0971,0,0,0,0,0
0.02,19.1947,25.0971,0.002,0.3,30,1500,2.37141e-05
0.04,19.2087,25.0971,0.016,1.2,60,1500,0.000189713
0.06,19.2467,25.0971,0.054,2.7,90,1500,0.000640281
0.08,19.3207,25.0971,0.128,4.8,120,1500,0.0015177
0.1,19.4407,25.0971,0.248,7.2,120,0,0.00294055
0.12,19.6087,25.0971,0.416,9.6,120,0,0.00493254
0.14,19.8247,25.0971,0.632,12,120,0,0.00749366
0.16,20.0887,25.0972,0.896,14.4,120,0,0.0106239
0.18,20.4007,25.0972,1.208,16.8,120,0,0.0190232
0.2,20.7607,25.0974,1.568,19.2,120,0,0.0314263
0.22,21.1687,25.0976,1.976,21.6,120,0,0.045483
0.24,21.6247,25.0981,2.432,24,120,0,0.0707695
0.26,22.1287,25.0988,2.936,26.4,120,0,0.0993056
0.28,22.6807,25.0999,3.488,28.8,120,0,0.141195
0.3,23.2807,25.1016,4.088,31.2,120,0,0.190133
0.32,23.9287,25.1041,4.736,33.6,120,0,0.254862
0.34,24.6247,25.1076,5.432,36,120,0,0.333546
0.36,25.3687,25.1125,6.176,38.4,120,0,0.427335
0.38,26.1607,25.1191,6.968,40.8,120,0,0.539862
0.4,27.0006,25.128,7.808,43.2,120,0,0.676017
0.42,27.8885,25.1396,8.696,45.6,120,0,0.835038
0.44,28.8244,25.1547,9.632,48,120,0,1.01983
0.46,29.8082,25.1739,10.616,50.4,120,0,1.23329
0.48,30.8399,25.1982,11.648,52.8,120,0,1.47833
0.5,31.9195,25.2286,12.728,55.2,120,0,1.75787
0.52,33.0469,25.2662,13.856,57.6,120,0,2.07486
0.54,34.222,25.3123,15.032,60,120,0,2.43297
0.56,35.4447,25.3685,16.256,62.4,120,0,2.84028
0.58,36.7149,25.4363,17.528,64.8,120,0,3.29687
0.6,38.0324,25.5177,18.848,67.2,120,0,3.80214
0.62,39.3969,25.6148,20.216,69.6,120,0,4.36274
0.64,40.8082,25.73,21.632,72,120,0,4.98742
0.66,42.2659,25.8657,23.096,74.4,120,0,5.67814
0.68,43.7695,26.0249,24.608,76.8,120,0,6.43962
0.7,45.3183,26.2108,26.168,79.2,120,0,7.27283
0.72,46.9117,26.4269,27.776,81.6,120,0,8.19157
0.74,48.5487,26.6769,29.432,84,120,0,9.20114
0.76,50.2282,26.9651,31.136,86.4,120,0,10.3016
0.78,51.9486,27.2959,32.888,88.8,120,0,11.4978
0.8,53.7084,27.6742,34.688,91.2,120,0,12.7974
0.82,55.5054,28.1051,36.536,93.6,120,0,14.2042
0.84,57.3372,28.5942,38.432,96,120,0,15.7217
0.86,59.2008,29.1471,40.376,98.4,120,0,17.3522
0.88,61.093,29.7696,42.368,100.8,120,0,19.0981
0.9,63.0097,30.4678,44.408,103.2,120,0,20.9558
0.92,64.9465,31.2475,46.496,105.6,120,0,22.9219
0.94,66.8986,32.1144,48.632,108,120,0,24.9899
0.96,68.8603,33.0739,50.816,110.4,120,0,27.1509
0.98,70.826,34.1309,53.048,112.8,120,0,29.3904
1,72.7896,35.2894,55.328,115.2,120,-3.33955e-11,31.6931
1.02,74.7431,36.5517,57.654,117.3,90,-1500,34.0367
1.04,76.6726,37.9137,60.016,118.8,60,-1500,36.3923
1.06,78.5638,39.3682,62.402,119.7,30,-1500,38.7206
1.08,80.4042,40.9053,64.8,120,0,-1500,40.9958
1.1,82.1847,42.5144,67.2,120,0,0,43.1912
1.12,83.9037,44.1891,69.6,120,0,0,45.2852
1.14,85.5618,45.924,72,120,0,0,47.2785
1.16,87.1604,47.714,74.4,120,0,0,49.1538
1.18,88.7014,49.5538,76.8,120,0,0,50.9125
1.2,90.1872,51.4385,79.2,120,0,0,52.5529
1.22,91.6203,53.3635,81.6,120,0,0,54.074
1.24,93.0039,55.3245,84,120,0,0,55.4792
1.26,94.341,57.3175,86.4,120,0,0,56.7695
1.28,95.6349,59.3388,88.8,120,0,0,57.9506
1.3,96.8888,61.3851,91.2,120,0,0,59.0212
1.32,98.1062,63.4534,93.6,120,0,0,59.9876
1.34,99.2903,65.5409,96,120,0,0,60.859
1.36,100.444,67.6453,98.4,120,0,0,61.6318
1.38,101.571,69.7641,100.8,120,0,0,62.3155
1.4,102.675,71.8954,103.2,120,0,0,62.9114
1.42,103.758,74.0372,105.6,120,0,0,63.423
1.44,104.823,76.1879,108,120,0,0,63.8553
1.46,105.873,78.3457,110.4,120,0,0,64.2048
1.48,106.912,80.5092,112.8,120,0,0,64.4794
1.5,107.942,82.677,115.2,120,0,0,64.6763
1.52,108.966,84.8476,117.6,120,0,0,64.798
1.54,109.987,87.0198,120,120,0,0,64.8477
1.56,111.007,89.1921,122.4,120,0,0,64.8206
1.58,112.03,91.3634,124.8,120,0,0,64.7216
1.6,113.057,93.5321,127.2,120,0,0,64.5477
1.62,114.093,95.6971,129.6,120,0,0,64.2978
1.64,115.14,97.8569,132,120,0,0,63.9703
1.66,116.2,100.01,134.4,120,0,0,63.5632
1.68,117.277,102.155,136.8,120,0,0,63.0772
1.7,118.374,104.289,139.2,120,0,0,62.5075
1.72,119.494,106.412,141.6,120,0,0,61.8517
1.74,120.639,108.521,144,120,0,0,61.1092
1.76,121.814,110.614,146.4,120,0,0,60.266
1.78,123.02,112.689,148.8,120,0,0,59.327
1.8,124.263,114.742,151.2,120,0,0,58.2875
1.82,125.544,116.771,153.6,120,0,0,57.143
1.84,126.868,118.773,156,120,0,0,55.8903
1.86,128.237,120.745,158.4,120,0,0,54.518
1.88,129.654,122.681,160.8,120,0,0,53.0354
1.9,131.124,124.579,163.2,120,0,0,51.4336
1.92,132.647,126.433,165.6,120,0,0,49.7055
1.94,134.228,128.239,168,120,0,0,47.8664
1.96,135.868,129.991,170.4,120,0,0,45.9084
1.98,137.568,131.685,172.8,120,0,0,43.8426
2,139.329,133.314,175.2,120,-1.10659e-05,-0.000553295,41.6777
2.02,141.151,134.874,177.598,119.7,-30,-1500,39.4266
2.04,143.024,136.352,179.984,118.8,-60,-1500,37.1156
2.06,144.936,137.738,182.346,117.3,-90,-1500,34.7743
2.08,146.873,139.026,184.672,115.2,-120,-1500,32.4368
2.1,148.821,140.21,186.952,112.8,-120,0,30.1336
2.12,150.773,141.292,189.184,110.4,-120,0,27.8868
2.14,152.722,142.277,191.368,108,-120,0,25.7136
2.16,154.664,143.168,193.504,105.6,-120,0,23.6289
2.18,156.591,143.971,195.592,103.2,-120,0,21.6411
2.2,158.499,144.692,197.632,100.8,-120,0,19.7583
2.22,160.384,145.336,199.624,98.4,-120,0,17.9891
2.24,162.242,145.909,201.568,96,-120,0,16.3318
2.26,164.068,146.417,203.464,93.6,-120,0,14.7855
2.28,165.861,146.866,205.312,91.2,-120,0,13.3477
2.3,167.617,147.26,207.112,88.8,-120,0,12.0144
2.32,169.334,147.606,208.864,86.4,-120,0,10.791
2.34,171.011,147.909,210.568,84,-120,0,9.66894
2.36,172.646,148.172,212.224,81.6,-120,0,8.6365
2.38,174.238,148.4,213.832,79.2,-120,0,7.69043
2.4,175.786,148.596,215.392,76.8,-120,0,6.82813
2.42,177.288,148.765,216.904,74.4,-120,0,6.04159
2.44,178.745,148.91,218.368,72,-120,0,5.32972
2.46,180.155,149.033,219.784,69.6,-120,0,4.68249
2.48,181.52,149.138,221.152,67.2,-120,0,4.09968
2.5,182.837,149.226,222.472,64.8,-120,0,3.57449
2.52,184.106,149.3,223.744,62.4,-120,0,3.10121
2.54,185.329,149.361,224.968,60,-120,0,2.67254
2.56,186.504,149.412,226.144,57.6,-120,0,2.29654
2.58,187.631,149.454,227.272,55.2,-120,0,1.96257
2.6,188.71,149.488,228.352,52.8,-120,0,1.66684
2.62,189.742,149.515,229.384,50.4,-120,0,1.40635
2.64,190.726,149.538,230.368,48,-120,0,1.17815
2.66,191.662,149.555,231.304,45.6,-120,0,0.979325
2.68,192.55,149.569,232.192,43.2,-120,0,0.806952
2.7,193.389,149.579,233.032,40.8,-120,0,0.658121
2.72,194.181,149.588,233.824,38.4,-120,0,0.533572
2.74,194.925,149.594,234.568,36,-120,0,0.428421
2.76,195.621,149.598,235.264,33.6,-120,0,0.339047
2.78,196.269,149.602,235.912,31.2,-120,0,0.264304
2.8,196.869,149.604,236.512,28.8,-120,0,0.205997
2.82,197.421,149.606,237.064,26.4,-120,0,0.155459
2.84,197.925,149.607,237.568,24,-120,0,0.118925
2.86,198.381,149.608,238.024,21.6,-120,0,0.0863971
2.88,198.789,149.608,238.432,19.2,-120,0,0.0657589
2.9,199.149,149.609,238.792,16.8,-120,0,0.0475487
2.92,199.461,149.609,239.104,14.4,-120,0,0.0340846
2.94,199.725,149.609,239.368,12,-120,0,0.0266149
2.96,199.941,149.609,239.584,9.6,-120,0,0.0205033
