"time","x","y","position","velocity","acceleration","jerk","heading"
0,10,267.977,0,0,0,0,1.58436e-06
0.02,10,267.977,3.28883e-07,1.64442e-05,0.000822208,0.0411104,1.40589e-08
0.04,10.0412,267.977,0.0412016,2.06006,103.002,5150.07,5.98142e-06
0.06,10.118,267.977,0.118011,3.84045,89.0194,-699.145,4.90107e-05
0.08,10.238,267.977,0.238042,6.00157,108.056,951.831,0.000199057
0.1,10.4061,267.977,0.406121,8.40397,120.12,603.19,0.000577961
0.12,10.6223,267.977,0.622284,10.8081,120.207,4.36884,0.0013526
0.14,10.8866,267.978,0.886575,13.2146,120.323,5.78051,0.00273474
0.16,11.199,267.978,1.19904,15.6235,120.447,6.18979,0.00497888
0.18,11.5598,267.978,1.55976,18.0356,120.606,7.95093,0.00837969
0.2,11.9688,267.978,1.96878,20.4512,120.779,8.68467,0.0132689
0.22,12.4262,267.978,2.42619,22.8706,120.971,9.56327,0.0200118
0.24,12.9321,267.978,2.93208,25.2942,121.177,10.3335,0.0290031
0.26,13.4865,267.978,3.48652,27.7221,121.397,10.9825,0.0406623
0.28,14.0896,267.979,4.08961,30.1547,121.629,11.6076,0.0554288
0.3,14.7414,267.98,4.74145,32.592,121.865,11.774,0.0737566
0.32,15.4421,267.981,5.44213,35.0341,122.107,12.0988,0.0961078
0.34,16.1917,267.982,6.19176,37.4811,122.35,12.1639,0.122947
0.36,16.9904,267.984,6.99042,39.933,122.595,12.2752,0.154734
0.38,17.8382,267.986,7.8382,42.3895,122.824,11.4577,0.191916
0.4,18.7352,267.99,8.73522,44.8508,123.067,12.104,0.234923
0.42,19.6815,267.994,9.68154,47.316,123.26,9.6647,0.284158
0.44,20.6772,267.999,10.6772,49.7853,123.464,10.2111,0.339989
0.46,21.7222,268.006,11.7223,52.2533,123.402,-3.1049,0.402742
0.48,22.8169,268.014,12.817,54.734,124.034,31.6078,0.472694
0.5,23.9611,268.025,13.9612,57.2125,123.922,-5.61306,0.550066
0.52,25.1548,268.037,15.155,59.6876,123.759,-8.16636,0.635013
0.54,26.3981,268.052,16.3984,62.1694,124.086,16.3959,0.727618
0.56,27.691,268.069,17.6914,64.6507,124.069,-0.889034,0.82789
0.58,29.0334,268.091,19.034,67.1278,123.856,-10.6239,0.935749
0.6,30.4253,268.114,20.4261,69.6069,123.952,4.78642,1.05103
0.62,31.8668,268.143,21.8678,72.086,123.957,0.262811,1.17347
0.64,33.3574,268.174,23.3588,74.5498,123.189,-38.4077,1.30271
0.66,34.8974,268.212,24.8993,77.0224,123.631,22.0928,1.43829
0.68,36.4865,268.254,26.4889,79.4823,122.992,-31.9603,1.57965
0.7,38.1245,268.3,28.1275,81.9316,122.468,-26.1589,1.72611
0.72,39.8112,268.353,29.8151,84.38,122.419,-2.48955,1.87691
0.74,41.5465,268.413,31.5514,86.8147,121.733,-34.268,2.03116
0.76,43.3301,268.479,33.3363,89.2413,121.33,-20.1765,2.18786
0.78,45.1618,268.551,35.1694,91.6553,120.704,-31.2923,2.34593
0.8,47.0412,268.63,37.0504,94.0543,119.949,-37.7508,2.50416
0.82,48.9682,268.718,38.9794,96.4476,119.664,-14.2309,2.66125
0.84,50.9423,268.811,40.9557,98.8174,118.487,-58.8597,2.8158
0.86,52.9632,268.914,42.9792,101.174,117.839,-32.3858,2.9663
