"time","x","y","position","velocity","acceleration","jerk","heading"
0,10,280,0.0048,0.48,24,1200,1.58278e-06
0.02,10,280,0.024,1.44,48,1200,1.40831e-08
0.04,10.0412,280,0.0672,2.88,72,1200,5.97288e-06
0.06,10.118,280,0.144,4.8,96,1200,4.89453e-05
0.08,10.238,280,0.264,7.2,120,1200,0.000198796
0.1,10.406,280,0.432,9.6,120,2.13163e-12,0.00057721
0.12,10.622,280,0.648,12,120,0,0.00135085
0.14,10.886,280,0.912,14.4,120,-4.26326e-12,0.0027312
0.16,11.198,280,1.224,16.8,120,0,0.00497244
0.18,11.558,280,1.584,19.2,120,8.52651e-12,0.00836886
0.2,11.966,280,1.992,21.6,120,-8.52651e-12,0.0132518
0.22,12.422,280,2.448,24,120,8.52651e-12,0.0199859
0.24,12.926,280,2.952,26.4,120,0,0.0289655
0.26,13.478,280.001,3.504,28.8,120,-1.77636e-11,0.0406096
0.28,14.078,280.001,4.104,31.2,120,2.70006e-11,0.0553569
0.3,14.726,280.002,4.752,33.6,120,-3.55271e-11,0.0736608
0.32,15.422,280.003,5.448,36,120,3.55271e-11,0.0959828
0.34,16.166,280.005,6.192,38.4,120,-1.77636e-11,0.122787
0.36,16.958,280.006,6.984,40.8,120,0,0.154532
0.38,17.798,280.009,7.824,43.2,120,0,0.191665
0.4,18.686,280.012,8.712,45.6,120,1.77636e-11,0.234616
0.42,19.622,280.016,9.648,48,120,-1.77636e-11,0.283785
0.44,20.606,280.022,10.632,50.4,120,1.77636e-11,0.339541
0.46,21.6379,280.028,11.664,52.8,120,-1.77636e-11,0.402211
0.48,22.7179,280.037,12.744,55.2,120,-1.77636e-11,0.472069
0.5,23.8459,280.047,13.872,57.6,120,1.77636e-11,0.549337
0.52,25.0218,280.059,15.048,60,120,1.77636e-11,0.634169
0.54,26.2457,280.073,16.272,62.4,120,0,0.726649
0.56,27.5176,280.091,17.544,64.8,120,0,0.826784
0.58,28.8374,280.111,18.864,67.2,120,-7.10543e-11,0.934494
0.6,30.2052,280.135,20.232,69.6,120,7.10543e-11,1.04962
0.62,31.621,280.162,21.648,72,120,0,1.17188
0.64,33.0846,280.194,23.112,74.4,120,0,1.30094
0.66,34.5962,280.23,24.624,76.8,120,-3.55271e-11,1.43633
0.68,36.1557,280.271,26.184,79.2,120,0,1.57749
0.7,37.763,280.317,27.792,81.6,120,3.55271e-11,1.72374
0.72,39.4182,280.369,29.448,84,120,0,1.87432
0.74,41.1212,280.427,31.152,86.4,120,-3.55271e-11,2.02833
0.76,42.872,280.492,32.904,88.8,120,3.55271e-11,2.1848
0.78,44.6706,280.563,34.704,91.2,120,0,2.34262
0.8,46.5169,280.641,36.552,93.6,120,0,2.5006
0.82,48.411,280.726,38.448,96,120,-3.55271e-11,2.65744
0.84,50.3528,280.819,40.392,98.4,120,0,2.81173
0.86,52.3423,280.919,42.384,100.8,120,7.10543e-11,2.96195
0.88,54.3794,281.027,44.424,103.2,120,-7.10543e-11,3.10652
0.9,56.4642,281.143,46.512,105.6,120,3.55271e-11,3.24371
0.92,58.5966,281.266,48.648,108,120,-3.55271e-11,3.3717
0.94,60.7767,281.397,50.832,110.4,120,0,3.48859
0.96,63.0045,281.535,53.064,112.8,120,7.10543e-11,3.59232
0.98,65.2799,281.679,55.344,115.2,120,-1.06581e-10,3.68076
1,67.5982,281.83,57.6672,117.12,96,-1200,3.75149
1.02,69.9499,281.985,60.024,118.56,72,-1200,3.80207
1.04,72.3254,282.144,62.4048,119.52,48,-1200,3.8303
1.06,74.7152,282.304,64.8,120,24,-1200,3.83425
1.08,77.1099,282.464,67.2,120,0,-1200,3.81235
1.1,79.5046,282.623,69.6,120,0,0,3.76328
1.12,81.8995,282.779,72,120,0,0,3.68567
1.14,84.2947,282.931,74.4,120,0,0,3.57814
1.16,86.6902,283.078,76.8,120,0,0,3.43919
1.18,89.0861,283.219,79.2,120,0,0,3.26727
1.2,91.4824,283.351,81.6,120,0,0,3.0607
1.22,93.8793,283.474,84,120,0,0,2.81768
1.24,96.2766,283.587,86.4,120,0,0,2.53626
1.26,98.6746,283.686,88.8,120,0,0,2.21433
1.28,101.073,283.771,91.2,120,0,0,1.84961
1.3,103.472,283.84,93.6,120,0,0,1.43959
1.32,105.871,283.891,96,120,0,0,0.981555
1.34,108.271,283.922,98.4,120,0,0,0.472525
1.36,110.671,283.93,100.8,120,0,0,-0.0907443
1.38,113.071,283.914,103.2,120,0,0,-0.711796
1.4,115.471,283.87,105.6,120,0,0,-1.39449
1.42,117.87,283.796,108,120,0,0,-2.14302
1.44,120.267,283.689,110.4,120,0,0,-2.96193
1.46,122.663,283.547,112.8,120,0,0,-3.85613
1.48,125.056,283.365,115.2,120,0,0,-4.83087
1.5,127.446,283.141,117.6,120,0,0,-5.89174
1.52,129.83,282.871,120,120,0,0,-7.04463
1.54,132.209,282.551,122.4,120,0,0,-8.29566
1.56,134.579,282.177,124.8,120,0,0,-9.65106
1.58,136.94,281.745,127.2,120,0,0,-11.117
1.6,139.289,281.25,129.6,120,0,0,-12.6995
1.62,141.622,280.688,132,120,0,0,-14.4039
1.64,143.936,280.055,134.4,120,0,0,-16.2346
1.66,146.229,279.345,136.8,120,0,0,-18.1949
1.68,148.495,278.555,139.2,120,0,0,-20.2859
1.7,150.73,277.68,141.6,120,0,0,-22.5063
1.72,152.928,276.716,144,120,0,0,-24.8519
1.74,155.083,275.661,146.4,120,0,0,-27.3147
1.76,157.19,274.513,148.8,120,0,0,-29.883
1.78,159.243,273.27,151.2,120,0,0,-32.5408
1.8,161.235,271.931,153.6,120,0,0,-35.2686
1.82,163.16,270.499,156,120,0,0,-38.0434
1.84,165.013,268.974,158.4,120,0,0,-40.8403
1.86,166.79,267.361,160.8,120,0,0,-43.6331
1.88,168.486,265.663,163.2,120,0,0,-46.3964
1.9,170.1,263.887,165.6,120,0,0,-49.1063
1.92,171.628,262.037,168,120,0,0,-51.7418
1.94,173.072,260.12,170.4,120,0,0,-54.2856
1.96,174.431,258.142,172.8,120,0,0,-56.7242
1.98,175.706,256.109,175.2,120,0,0,-59.0482
2,176.9,254.027,177.6,120,0,0,-61.252
2.02,178.016,251.902,180,120,0,0,-63.3329
2.04,179.055,249.739,182.4,120,0,0,-65.2912
2.06,180.023,247.543,184.8,120,0,0,-67.1292
2.08,180.922,245.318,187.2,120,0,0,-68.8506
2.1,181.756,243.068,189.6,120,0,0,-70.4604
2.12,182.529,240.796,192,120,0,0,-71.9642
2.14,183.243,238.505,194.4,120,0,0,-73.3679
2.16,183.904,236.197,196.8,120,0,0,-74.6775
2.18,184.513,233.876,199.2,120,0,0,-75.899
2.2,185.074,231.542,201.6,120,0,0,-77.0384
2.22,185.591,229.199,204,120,0,0,-78.1011
2.24,186.065,226.846,206.4,120,0,0,-79.0924
2.26,186.5,224.486,208.8,119.973,-1.37165,-68.5827,-80.0171
2.28,186.897,222.125,211.194,119.465,-25.3717,-1200,-80.878
2.3,187.257,219.773,213.574,118.478,-49.3717,-1200,-81.6766
2.32,187.583,217.441,215.928,117.01,-73.3717,-1200,-82.4148
2.34,187.876,215.139,218.249,115.063,-97.3717,-1200,-83.0948
2.36,188.137,212.876,220.526,112.663,-120,-1131.42,-83.7191
2.38,188.37,210.659,222.756,110.263,-120,-3.55271e-11,-84.2914
2.4,188.577,208.488,224.937,107.863,-120,0,-84.8164
2.42,188.76,206.363,227.07,105.463,-120,0,-85.2981
2.44,188.923,204.284,229.155,103.063,-120,3.55271e-11,-85.7402
2.46,189.067,202.252,231.193,100.663,-120,0,-86.146
2.48,189.194,200.266,233.182,98.2628,-120,-7.10543e-11,-86.5184
2.5,189.306,198.328,235.123,95.8628,-120,7.10543e-11,-86.86
2.52,189.405,196.438,237.016,93.4628,-120,0,-87.1733
2.54,189.491,194.594,238.862,91.0628,-120,-3.55271e-11,-87.4605
2.56,189.567,192.799,240.659,88.6628,-120,0,-87.7235
2.58,189.633,191.051,242.408,86.2628,-120,0,-87.9641
2.6,189.69,189.35,244.109,83.8628,-120,7.10543e-11,-88.1839
2.62,189.739,187.698,245.763,81.4628,-120,-7.10543e-11,-88.3846
2.64,189.782,186.093,247.368,79.0628,-120,0,-88.5674
2.66,189.818,184.536,248.925,76.6628,-120,0,-88.7337
2.68,189.85,183.027,250.435,74.2628,-120,0,-88.8846
2.7,189.876,181.566,251.896,71.8628,-120,7.10543e-11,-89.0213
2.72,189.899,180.153,253.309,69.4628,-120,-7.10543e-11,-89.1447
2.74,189.918,178.788,254.674,67.0628,-120,0,-89.256
2.76,189.934,177.471,255.992,64.6628,-120,0,-89.3559
2.78,189.947,176.202,257.261,62.2628,-120,1.77636e-11,-89.4453
2.8,189.958,174.981,258.482,59.8628,-120,1.77636e-11,-89.525
2.82,189.967,173.807,259.655,57.4628,-120,-3.55271e-11,-89.5958
2.84,189.975,172.682,260.781,55.0628,-120,1.77636e-11,-89.6583
2.86,189.981,171.605,261.858,52.6628,-120,-1.77636e-11,-89.7133
2.88,189.985,170.576,262.887,50.2628,-120,1.77636e-11,-89.7614
2.9,189.989,169.594,263.868,47.8628,-120,0,-89.8032
2.92,189.992,168.661,264.802,45.4628,-120,1.77636e-11,-89.8393
2.94,189.994,167.776,265.687,43.0628,-120,-3.55271e-11,-89.8702
2.96,189.996,166.939,266.524,40.6628,-120,1.77636e-11,-89.8964
2.98,189.997,166.149,267.313,38.2628,-120,0,-89.9184
3,189.998,165.408,268.055,35.8628,-120,0,-89.9368
3.02,189.999,164.715,268.748,33.4628,-120,-1.77636e-11,-89.9519
3.04,189.999,164.07,269.393,31.0628,-120,9.23706e-12,-89.9641
3.06,189.999,163.472,269.99,28.6628,-120,8.52651e-12,-89.9738
3.08,190,162.923,270.54,26.2628,-120,0,-89.9814
3.1,190,162.422,271.041,23.8628,-120,-8.52651e-12,-89.9872
3.12,190,161.969,271.494,21.4628,-120,8.52651e-12,-89.9915
3.14,190,161.563,271.899,19.0628,-120,0,-89.9946
3.16,190,161.206,272.257,16.6628,-120,0,-89.9968
3.18,190,160.897,272.566,14.2628,-120,-4.26326e-12,-89.9982
3.2,190,160.636,272.827,11.8628,-120,0,-89.9991
3.22,190,160.422,273.04,9.46283,-120,0,-89.9996
3.24,190,160.257,273.206,7.06283,-120,0,-89.9999
3.26,190,160.14,273.323,4.69027,-118.628,68.5827,-90
3.28,190,160.065,273.398,2.7977,-94.6283,1200,-90
3.3,190,160.023,273.44,1.38513,-70.6283,1200,-90
3.32,190,160.005,273.458,0.452567,-46.6283,1200,-90
3.34,190,160,273.463,0,-22.6283,1200,-90
3.36,190,160,273.463,0,0,1131.42,-90
