"time","x","y","position","velocity","acceleration","jerk","heading"
0,68.4713,188.851,0,0,0,0,0
0.02,68.4733,188.851,0.00201113,0.100556,5.02782,251.391,3.6966e-05
0.04,68.4874,188.851,0.016089,0.703895,30.1669,1256.96,0.000295728
0.06,68.5256,188.851,0.0543005,1.91057,60.3339,1508.35,0.000998083
0.08,68.6,188.851,0.128712,3.72059,90.5008,1508.35,0.00236583
0.1,68.7207,188.851,0.24938,6.03339,115.64,1256.96,0.00458379
0.12,68.8896,188.851,0.418315,8.44674,120.668,251.391,0.00768893
0.14,69.1068,188.851,0.635517,10.8601,120.668,0.00188073,0.0116813
0.16,69.3723,188.851,0.900986,13.2735,120.668,-0.00376532,0.0165608
0.18,69.6872,188.851,1.21592,15.7465,123.651,149.167,0.0262911
0.2,70.0513,188.851,1.57998,18.2034,122.848,-40.1589,0.0398051
0.22,70.4639,188.851,1.9926,20.6306,121.356,-74.5824,0.055121
0.24,70.9275,188.852,2.45623,23.1816,127.552,309.775,0.0804665
0.26,71.4401,188.853,2.96881,25.6294,122.388,-258.188,0.108985
0.28,72.0064,188.854,3.53508,28.3131,134.185,589.853,0.15635
0.3,72.6231,188.856,4.15181,30.8365,126.172,-400.653,0.211907
0.32,73.2925,188.858,4.82123,33.4713,131.739,278.341,0.283061
0.34,74.0139,188.862,5.54263,36.0699,129.932,-90.3264,0.367383
0.36,74.7882,188.869,6.31691,38.714,132.202,113.51,0.467875
0.38,75.6176,188.876,7.14642,41.4754,138.073,293.509,0.592688
0.4,76.5029,188.886,8.03173,44.2658,139.517,72.2122,0.743004
0.42,77.4427,188.899,8.9716,46.9934,136.38,-156.846,0.915343
0.44,78.4392,188.917,9.96833,49.8364,142.151,288.537,1.1172
0.46,79.4941,188.94,11.0235,52.7577,146.068,195.887,1.35346
0.48,80.607,188.968,12.1367,55.6623,145.231,-41.8916,1.62323
0.5,81.7786,189.005,13.3088,58.6048,147.122,94.5476,1.92934
0.52,83.0123,189.05,14.5434,61.7297,156.245,456.176,2.28324
0.54,84.3071,189.106,15.8394,64.8008,153.554,-134.531,2.68185
0.56,85.6648,189.175,17.1989,67.9732,158.622,253.378,3.13189
0.58,87.0886,189.259,18.6251,71.3127,166.973,417.536,3.6442
0.6,88.5763,189.361,20.1163,74.5565,162.189,-239.172,4.2127
0.62,90.1313,189.484,21.6762,77.9953,171.944,487.737,4.85022
0.64,91.757,189.631,23.3086,81.6192,181.192,462.381,5.56895
0.66,93.4501,189.808,25.0109,85.117,174.891,-315.045,6.36056
0.68,95.2172,190.019,26.7905,88.9786,193.082,909.545,7.2492
0.7,97.0564,190.268,28.6465,92.799,191.022,-102.996,8.23276
0.72,98.9685,190.563,30.5812,96.7362,196.855,291.67,9.31807
0.74,100.959,190.91,32.6013,101.006,213.503,832.382,10.5275
0.76,103.022,191.319,34.7046,105.166,208.003,-274.982,11.8537
