"time","x","y","position","velocity","acceleration","jerk","heading"
0,18.5083,313.01,0,0,0,0,0
0.02,18.5103,313.01,0.00200786,0.100393,5.01964,250.982,-2.60928e-05
0.04,18.5244,313.01,0.0160628,0.70275,30.1178,1254.91,-0.000208743
0.06,18.5625,313.01,0.0542121,1.90746,60.2357,1505.89,-0.000704507
0.08,18.6368,313.01,0.128503,3.71453,90.3535,1505.89,-0.00166994
0.1,18.7573,313.01,0.248974,6.02357,115.452,1254.91,-0.00323551
0.12,18.9259,313.01,0.417634,8.43299,120.471,250.982,-0.00542731
0.14,19.1428,313.01,0.634482,10.8424,120.471,-3.37578e-07,-0.00824534
0.16,19.4078,313.01,0.899519,13.2518,120.471,-6.88668e-07,-0.0116896
0.18,19.7215,313.01,1.21323,15.6856,121.69,60.918,-0.0173788
0.2,20.0838,313.01,1.57549,18.1129,121.362,-16.3985,-0.0248772
0.22,20.4943,313.01,1.98605,20.5279,120.753,-30.4607,-0.0333754
0.24,20.9555,313.01,2.44717,23.0562,126.414,283.092,-0.0503957
0.26,21.4653,313.009,2.95698,25.4902,121.699,-235.783,-0.0696696
0.28,22.0258,313.009,3.51751,28.0265,126.816,255.871,-0.0980027
0.3,22.6356,313.007,4.12733,30.4914,123.243,-178.67,-0.130633
0.32,23.2958,313.006,4.78746,33.0065,125.758,125.769,-0.170922
0.34,24.0075,313.003,5.49925,35.5894,129.143,169.228,-0.223339
0.36,24.7706,313,6.26229,38.1519,128.126,-50.8539,-0.286553
0.38,25.5841,312.996,7.07581,40.676,126.206,-95.9724,-0.357999
0.4,26.4509,312.989,7.94264,43.3415,133.276,353.5,-0.447046
0.42,27.3697,312.981,8.86151,45.9433,130.09,-159.313,-0.549782
0.44,28.3408,312.971,9.8326,48.5548,130.575,24.2548,-0.666178
0.46,29.3656,312.958,10.8575,51.2453,134.523,197.41,-0.802136
0.48,30.4436,312.942,11.9357,53.9088,133.176,-67.3454,-0.955431
0.5,31.5758,312.922,13.068,56.6158,135.351,108.726,-1.12931
0.52,32.7623,312.896,14.2547,59.3373,136.071,36.0095,-1.32458
0.54,34.0028,312.865,15.4957,62.0482,135.545,-26.3049,-1.54008
0.56,35.2999,312.828,16.7934,64.8823,141.705,307.999,-1.78469
0.58,36.6514,312.782,18.1456,67.6123,136.503,-260.087,-2.05147
0.6,38.059,312.729,19.5542,70.4299,140.879,218.773,-2.34559
0.62,39.5221,312.664,21.0187,73.2248,139.748,-56.5182,-2.66605
0.64,41.042,312.589,22.5405,76.0915,143.331,179.136,-3.01779
0.66,42.618,312.501,24.119,78.9216,141.505,-91.2762,-3.39788
0.68,44.2506,312.398,25.7548,81.7927,143.555,102.489,-3.80897
0.7,45.94,312.28,27.4484,84.6779,144.259,35.1974,-4.25287
0.72,47.6856,312.142,29.1993,87.5463,143.42,-41.9705,-4.72745
0.74,49.4878,311.985,31.0083,90.4515,145.262,92.1224,-5.23583
0.76,51.346,311.806,32.8751,93.339,144.376,-44.303,-5.77646
0.78,53.2596,311.603,34.7995,96.2175,143.925,-22.5746,-6.34894
0.8,55.2289,311.373,36.7822,99.1375,146,103.769,-6.95603
0.82,57.2525,311.115,38.8222,102.002,143.227,-138.656,-7.59365
0.84,59.3295,310.826,40.9192,104.846,142.204,-51.1286,-8.26151
0.86,61.4591,310.504,43.073,107.694,142.395,9.51261,-8.95862
0.88,63.6398,310.146,45.2829,110.491,139.857,-126.893,-9.68246
0.9,65.8702,309.75,47.5481,113.263,138.61,-62.3112,-10.4301
0.92,68.1483,309.316,49.8673,115.96,134.854,-187.826,-11.1986
0.94,70.4722,308.838,52.2398,118.623,133.138,-85.7843,-11.9836
0.96,72.8398,308.319,54.6636,121.191,128.398,-236.989,-12.7804
0.98,75.2484,307.754,57.1375,123.693,125.071,-166.353,-13.584
1,77.6951,307.145,59.6589,126.069,118.811,-313.023,-14.3858
1.02,80.175,306.49,62.2239,128.251,109.101,-485.49,-15.1793
1.04,82.6749,305.794,64.819,129.754,75.1807,-1696.02,-15.9539
1.06,85.179,305.06,67.4283,130.468,35.6797,-1975.05,-16.6955
1.08,87.6723,304.295,70.0363,130.398,-3.51095,-1959.53,-17.393
1.1,90.1424,303.507,72.6292,129.645,-37.6466,-1706.78,-18.0343
1.12,92.5861,302.697,75.2036,128.719,-46.2714,-431.238,-18.6137
1.14,95.0028,301.87,77.7578,127.713,-50.3095,-201.905,-19.1256
1.16,97.3885,301.032,80.2862,126.42,-64.6582,-717.438,-19.5521
1.18,99.7454,300.187,82.7902,125.195,-61.2345,171.184,-19.8978
1.2,102.072,299.338,85.2668,123.831,-68.2225,-349.398,-20.1516
1.22,104.366,298.493,87.7114,122.232,-79.9612,-586.935,-20.3002
1.24,106.629,297.654,90.1249,120.677,-77.7523,110.445,-20.3465
1.26,108.859,296.827,92.5036,118.931,-87.2992,-477.344,-20.2737
