"time","x","y","position","velocity","acceleration","jerk","heading"
0,18.5083,278.51,0,0,0,0,0
0.02,18.5103,278.51,0.00199214,0.0996072,4.98036,249.018,-2.60928e-05
0.04,18.5242,278.51,0.0159372,0.69725,29.8822,1245.09,-0.000208743
0.06,18.5621,278.51,0.0537879,1.89254,59.7643,1494.11,-0.000704507
0.08,18.6358,278.51,0.127497,3.68547,89.6465,1494.11,-0.00166994
0.1,18.7553,278.51,0.247026,5.97643,114.548,1245.09,-0.00323551
0.12,18.9227,278.51,0.414366,8.36701,119.529,249.018,-0.00542731
0.14,19.1378,278.51,0.629518,10.7576,119.529,3.41002e-07,-0.00824534
0.16,19.4008,278.51,0.892481,13.1482,119.529,6.93355e-07,-0.0116896
0.18,19.7111,278.51,1.20277,15.5144,118.31,-60.918,-0.0173788
0.2,20.0688,278.51,1.56051,17.8871,118.638,16.3985,-0.0248772
0.22,20.4743,278.51,1.96595,20.2721,119.247,30.4607,-0.0333754
0.24,20.9251,278.51,2.41683,22.5438,113.586,-283.092,-0.0503957
0.26,21.4233,278.509,2.91503,24.9099,118.306,236.031,-0.0696696
0.28,21.9668,278.509,3.4585,27.1735,113.179,-256.367,-0.0980027
0.3,22.557,278.507,4.04867,29.509,116.774,179.751,-0.130633
0.32,23.1928,278.506,4.68455,31.7935,114.229,-127.243,-0.170922
0.34,23.8731,278.503,5.36477,34.0113,110.886,-167.164,-0.223339
0.36,24.598,278.5,6.08975,36.2487,111.872,49.3261,-0.286553
0.38,25.3685,278.496,6.86025,38.525,113.814,97.0899,-0.357999
0.4,26.1817,278.491,7.67346,40.6606,106.781,-351.681,-0.447046
0.42,27.0387,278.483,8.53046,42.8503,109.483,135.134,-0.549782
0.44,27.9396,278.473,9.43147,45.0505,110.012,26.4369,-0.666178
0.46,28.8826,278.462,10.3745,47.152,105.076,-246.815,-0.802136
0.48,29.8684,278.446,11.3604,49.2936,107.078,100.121,-0.955431
0.5,30.8958,278.428,12.388,51.3809,104.365,-135.663,-1.12931
0.52,31.9647,278.406,13.4572,53.4583,103.87,-24.7351,-1.32458
0.54,33.0756,278.377,14.5684,55.5601,105.092,61.085,-1.54008
0.56,34.2255,278.344,15.7187,57.5178,97.8843,-360.376,-1.78469
0.58,35.4164,278.304,16.9103,59.5804,103.13,262.268,-2.05147
0.6,36.647,278.257,18.1418,61.5748,99.7225,-170.355,-2.34559
0.62,37.9173,278.202,19.4134,63.5768,100.097,18.7463,-2.66605
0.64,39.2258,278.137,20.7234,65.5017,96.2439,-192.679,-3.01779
0.66,40.5732,278.061,22.073,67.4783,98.829,129.257,-3.39788
0.68,41.9588,277.974,23.4613,69.416,96.8897,-96.9657,-3.80897
0.7,43.3816,277.874,24.8876,71.3134,94.8691,-101.03,-4.25287
0.72,44.8422,277.76,26.3527,73.2581,97.236,118.344,-4.72745
0.74,46.3394,277.629,27.8556,75.1458,94.3819,-142.704,-5.23583
0.76,47.8736,277.482,29.3969,77.0624,95.8292,72.3647,-5.77646
0.78,49.4444,277.315,30.9765,78.982,95.9799,7.53183,-6.34894
0.8,51.0507,277.127,32.5937,80.86,93.9007,-103.959,-6.95603
0.82,52.6935,276.917,34.2498,82.8054,97.2693,168.431,-7.59365
0.84,54.3721,276.684,35.9446,84.739,96.6834,-29.2947,-8.26151
0.86,56.0867,276.424,37.6787,86.7063,98.3639,84.0261,-8.95862
0.88,57.8374,276.138,39.4527,88.6987,99.6196,62.7842,-9.68246
0.9,59.6244,275.82,41.2678,90.7544,102.784,158.219,-10.4301
0.92,61.4481,275.472,43.1243,92.8235,103.453,33.4556,-11.1986
0.94,63.309,275.09,45.0241,94.9895,108.301,242.376,-11.9836
0.96,65.2078,274.673,46.9681,97.2022,110.636,116.755,-12.7804
0.98,67.1454,274.22,48.9581,99.4989,114.835,209.978,-13.584
1,69.1235,273.727,50.9967,101.929,121.521,334.261,-14.3858
