"time","x","y","position","velocity","acceleration","jerk","heading"
0,196.565,293.076,0,0,0,0,-150
0.02,196.563,293.075,0.002,0.3,30,1500,-150
0.04,196.551,293.068,0.016,1.2,60,1500,-150
0.06,196.518,293.049,0.054,2.7,90,1500,-150.001
0.08,196.454,293.012,0.128,4.8,120,1500,-150.002
0.1,196.35,292.952,0.248,7.2,120,0,-150.003
0.12,196.205,292.868,0.416,9.6,120,0,-150.006
0.14,196.018,292.76,0.632,12,120,0,-150.009
0.16,195.789,292.628,0.896,14.4,120,0,-150.013
0.18,195.519,292.472,1.208,16.8,120,0,-150.019
0.2,195.207,292.292,1.568,19.2,120,0,-150.027
0.22,194.854,292.088,1.976,21.6,120,0,-150.036
0.24,194.459,291.861,2.432,24,120,0,-150.054
0.26,194.022,291.609,2.936,26.4,120,0,-150.075
0.28,193.544,291.334,3.488,28.8,120,0,-150.106
0.3,193.023,291.035,4.088,31.2,120,0,-150.142
0.32,192.461,290.712,4.736,33.6,120,0,-150.186
0.34,191.857,290.367,5.432,36,120,0,-150.244
0.36,191.211,289.998,6.176,38.4,120,0,-150.314
0.38,190.523,289.606,6.968,40.8,120,0,-150.394
0.4,189.792,289.191,7.808,43.2,120,0,-150.494
0.42,189.019,288.755,8.696,45.6,120,0,-150.61
0.44,188.203,288.296,9.632,48,120,0,-150.742
0.46,187.344,287.816,10.616,50.4,120,0,-150.899
0.48,186.441,287.316,11.648,52.8,120,0,-151.078
0.5,185.495,286.795,12.728,55.2,120,0,-151.281
0.52,184.505,286.255,13.856,57.6,120,0,-151.514
0.54,183.47,285.696,15.032,60,120,0,-151.771
0.56,182.39,285.12,16.256,62.4,120,0,-152.073
0.58,181.265,284.527,17.528,64.8,120,0,-152.404
0.6,180.093,283.92,18.848,67.2,120,0,-152.776
0.62,178.874,283.298,20.216,69.6,120,0,-153.189
0.64,177.608,282.664,21.632,72,120,0,-153.653
0.66,176.293,282.02,23.096,74.4,120,0,-154.16
0.68,174.929,281.368,24.608,76.8,120,0,-154.731
0.7,173.515,280.709,26.168,79.2,120,0,-155.355
0.72,172.05,280.047,27.776,81.6,120,0,-156.047
0.74,170.532,279.385,29.432,84,120,0,-156.809
0.76,168.961,278.725,31.136,86.4,120,0,-157.643
0.78,167.336,278.071,32.888,88.8,120,0,-158.563
0.8,165.655,277.428,34.688,91.2,120,0,-159.566
0.82,163.917,276.799,36.536,93.6,120,0,-160.667
0.84,162.121,276.19,38.432,96,120,0,-161.863
0.86,160.267,275.605,40.376,98.4,120,0,-163.167
0.88,158.354,275.052,42.368,100.8,120,0,-164.58
0.9,156.381,274.535,44.408,103.2,120,0,-166.106
0.92,154.347,274.062,46.496,105.6,120,0,-167.75
0.94,152.253,273.641,48.632,108,120,0,-169.506
0.96,150.099,273.278,50.816,110.4,120,0,-171.377
0.98,147.887,272.981,53.048,112.8,120,0,-173.348
1,145.618,272.758,55.328,115.2,120,-3.33955e-11,-175.417
1.02,143.297,272.615,57.654,117.3,90,-1500,-177.556
1.04,140.936,272.559,60.016,118.8,60,-1500,-179.739
1.06,138.55,272.594,62.402,119.7,30,-1500,178.073
1.08,136.156,272.72,64.8,120,0,-1500,175.917
1.1,133.765,272.935,67.2,120,0,0,173.829
1.12,131.384,273.235,69.6,120,0,0,171.839
1.14,129.015,273.615,72,120,0,0,169.959
1.16,126.658,274.07,74.4,120,0,0,168.217
1.18,124.316,274.594,76.8,120,0,0,166.618
1.2,121.989,275.179,79.2,120,0,0,165.173
1.22,119.676,275.82,81.6,120,0,0,163.89
1.24,117.377,276.51,84,120,0,0,162.762
1.26,115.091,277.241,86.4,120,0,0,161.802
1.28,112.817,278.007,88.8,120,0,0,160.995
1.3,110.553,278.802,91.2,120,0,0,160.34
1.32,108.296,279.62,93.6,120,0,0,159.836
1.34,106.046,280.456,96,120,0,0,159.462
1.36,103.801,281.303,98.4,120,0,0,159.236
1.38,101.558,282.156,100.8,120,0,0,159.127
1.4,99.3153,283.012,103.2,120,0,0,159.139
1.42,97.0719,283.864,105.6,120,0,0,159.266
1.44,94.8259,284.71,108,120,0,0,159.491
1.46,92.5758,285.545,110.4,120,0,0,159.818
1.48,90.3203,286.365,112.8,120,0,0,160.234
1.5,88.0584,287.168,115.2,120,0,0,160.729
1.52,85.7891,287.949,117.6,120,0,0,161.3
1.54,83.5116,288.706,120,120,0,0,161.937
1.56,81.227,289.436,122.398,119.748,-27.5,-1375,162.635
1.58,78.9439,290.134,124.786,118.898,-57.5,-1500,163.379
1.6,76.6737,290.795,127.15,117.448,-87.5,-1500,164.16
1.62,74.4284,291.415,129.48,115.398,-117.5,-1500,164.965
1.64,72.2185,291.992,131.764,113,-120,-125,165.781
1.66,70.0471,292.526,134,110.6,-120,0,166.6
1.68,67.9152,293.018,136.188,108.2,-120,0,167.415
1.7,65.8234,293.469,138.328,105.8,-120,0,168.221
1.72,63.7726,293.882,140.42,103.4,-120,0,169.011
1.74,61.7635,294.258,142.464,101,-120,0,169.781
1.76,59.7969,294.6,144.46,98.6,-120,0,170.528
1.78,57.8735,294.908,146.408,96.2,-120,0,171.249
1.8,55.9939,295.186,148.308,93.8,-120,0,171.942
1.82,54.1587,295.435,150.16,91.4,-120,0,172.604
1.84,52.3684,295.657,151.964,89,-120,0,173.234
1.86,50.6236,295.855,153.72,86.6,-120,0,173.831
1.88,48.9246,296.03,155.428,84.2,-120,0,174.395
1.9,47.2718,296.184,157.088,81.8,-120,0,174.926
1.92,45.6655,296.32,158.7,79.4,-120,0,175.424
1.94,44.106,296.438,160.264,77,-120,0,175.887
1.96,42.5935,296.541,161.78,74.6,-120,0,176.321
1.98,41.1282,296.63,163.248,72.2,-120,0,176.72
2,39.7103,296.706,164.668,69.8,-120,0,177.09
2.02,38.3399,296.772,166.04,67.4,-120,0,177.431
2.04,37.017,296.828,167.364,65,-120,0,177.742
2.06,35.7419,296.875,168.64,62.6,-120,0,178.026
2.08,34.5145,296.914,169.868,60.2,-120,0,178.284
2.1,33.335,296.947,171.048,57.8,-120,0,178.517
2.12,32.2033,296.974,172.18,55.4,-120,0,178.727
2.14,31.1195,296.996,173.264,53,-120,0,178.912
2.16,30.0837,297.014,174.3,50.6,-120,0,179.08
2.18,29.0958,297.029,175.288,48.2,-120,0,179.226
2.2,28.1559,297.04,176.228,45.8,-120,0,179.355
2.22,27.2639,297.049,177.12,43.4,-120,0,179.469
2.24,26.42,297.057,177.964,41,-120,0,179.564
2.26,25.624,297.062,178.76,38.6,-120,0,179.648
2.28,24.876,297.066,179.508,36.2,-120,0,179.717
2.3,24.176,297.069,180.208,33.8,-120,0,179.776
2.32,23.524,297.071,180.86,31.4,-120,0,179.825
2.34,22.92,297.073,181.464,29,-120,0,179.865
2.36,22.364,297.074,182.02,26.6,-120,0,179.9
2.38,21.856,297.075,182.528,24.2,-120,0,179.923
2.4,21.396,297.075,182.988,21.8,-120,0,179.943
2.42,20.984,297.076,183.4,19.4,-120,0,179.958
2.44,20.62,297.076,183.764,17,-120,0,179.971
2.46,20.304,297.076,184.08,14.6,-120,0,179.98
2.48,20.036,297.076,184.348,12.2,-120,0,179.984
2.5,19.816,297.076,184.568,9.8,-120,0,179.987
2.52,19.644,297.076,184.74,7.4,-120,0,179.989
2.54,19.52,297.076,184.864,5,-120,0,179.991
2.56,19.4425,297.076,184.941,2.85208,-92.5,1375,179.992
2.58,19.4019,297.076,184.982,1.30208,-62.5,1500,179.992
2.6,19.3864,297.076,184.997,0.352083,-32.5,1500,179.992
2.62,19.3838,297.076,185,0.00208333,-2.5,1500,179.993
