dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,85.051536,162.787753,0.008000,0.800000,40.000000,2000.000000,6.282448
0.020000,85.051536,162.787753,0.032000,1.600000,40.000000,0.000000,6.282602
0.020000,85.051536,162.787753,0.072000,2.400000,40.000000,-0.000000,6.282858
0.020000,85.056507,162.787753,0.128000,3.200000,40.000000,0.000000,0.000032
0.020000,85.128508,162.787772,0.200000,4.000000,40.000000,-0.000000,0.000493
0.020000,85.216508,162.787840,0.288000,4.800000,40.000000,0.000000,0.001055
0.020000,85.320508,162.787984,0.392000,5.600000,40.000000,0.000000,0.001719
0.020000,85.440507,162.788237,0.512000,6.400000,40.000000,-0.000000,0.002484
0.020000,85.576507,162.788633,0.648000,7.200000,40.000000,-0.000000,0.003349
0.020000,85.728506,162.789216,0.800000,8.000000,40.000000,0.000000,0.004315
0.020000,85.896503,162.790030,0.968000,8.800000,40.000000,0.000000,0.005379
0.020000,86.080501,162.791127,1.152000,9.600000,40.000000,-0.000000,0.006542
0.020000,86.280494,162.792561,1.352000,10.400000,40.000000,0.000000,0.007803
0.020000,86.496487,162.794393,1.568000,11.200000,40.000000,0.000000,0.009160
0.020000,86.728476,162.796687,1.800000,12.000000,40.000000,-0.000000,0.010613
0.020000,86.976460,162.799511,2.048000,12.800000,40.000000,0.000000,0.012162
0.020000,87.240437,162.802939,2.312000,13.600000,40.000000,0.000000,0.013804
0.020000,87.520407,162.807047,2.592000,14.400000,40.000000,-0.000000,0.015538
0.020000,87.816368,162.811916,2.888000,15.200000,40.000000,0.000000,0.017364
0.020000,88.128314,162.817632,3.200000,16.000000,40.000000,0.000000,0.019280
0.020000,88.456247,162.824285,3.528000,16.800000,40.000000,0.000000,0.021284
0.020000,88.800162,162.831966,3.872000,17.600000,40.000000,0.000000,0.023376
0.020000,89.160054,162.840773,4.232000,18.400000,40.000000,0.000000,0.025553
0.020000,89.535920,162.850805,4.608000,19.200000,40.000000,-0.000000,0.027813
0.020000,89.927755,162.862165,5.000000,20.000000,40.000000,0.000000,0.030156
0.020000,90.335553,162.874962,5.408000,20.800000,40.000000,0.000000,0.032579
0.020000,90.759311,162.889304,5.832000,21.600000,40.000000,0.000000,0.035080
0.020000,91.199020,162.905303,6.272000,22.400000,40.000000,0.000000,0.037658
0.020000,91.654673,162.923076,6.728000,23.200000,40.000000,-0.000000,0.040309
0.020000,92.126263,162.942740,7.200000,24.000000,40.000000,0.000000,0.043033
0.020000,92.613782,162.964415,7.688000,24.800000,40.000000,0.000000,0.045825
0.020000,93.117219,162.988224,8.192000,25.600000,40.000000,0.000000,0.048686
0.020000,93.636564,163.014291,8.712000,26.400000,40.000000,0.000000,0.051610
0.020000,94.171809,163.042742,9.248000,27.200000,40.000000,0.000000,0.054597
0.020000,94.722939,163.073706,9.800000,28.000000,40.000000,-0.000000,0.057643
0.020000,95.289944,163.107310,10.368000,28.800000,40.000000,0.000000,0.060746
0.020000,95.872810,163.143685,10.952000,29.600000,40.000000,0.000000,0.063902
0.020000,96.471523,163.182962,11.552000,30.400000,40.000000,-0.000000,0.067109
0.020000,97.086068,163.225272,12.168000,31.200000,40.000000,0.000000,0.070363
0.020000,97.716429,163.270747,12.800000,32.000000,40.000000,-0.000000,0.073662
0.020000,98.362591,163.319518,13.448000,32.800000,40.000000,0.000000,0.077002
0.020000,99.024535,163.371717,14.112000,33.600000,40.000000,0.000000,0.080380
