"time","x","y","position","velocity","acceleration","jerk","heading"
0,503.1,2.1,0,0,0,0,180
0.02,502.854,2.1,0.245524,12.2762,613.809,30690.4,179.998
0.04,502.609,2.1,0.491047,12.2762,-1.55982e-09,-30690.4,179.996
0.06,502.364,2.1,0.736309,12.2631,-0.654498,-32.7249,179.995
0.08,502.118,2.1,0.981833,12.2762,0.654498,65.4498,179.993
0.1,501.553,2.1001,1.54745,28.2809,800.236,39979.1,179.983
0.12,500.917,2.1003,2.18285,31.7702,174.464,-31288.6,179.97
0.14,500.142,2.10081,2.95835,38.7749,350.236,8788.64,179.949
0.16,499.229,2.10192,3.87125,45.6451,343.51,-336.328,179.915
0.18,498.199,2.10384,4.90056,51.4653,291.011,-2624.93,179.868
0.2,497.048,2.10709,6.05211,57.5773,305.597,729.279,179.801
0.22,495.757,2.11249,7.34294,64.5417,348.224,2131.38,179.71
0.24,494.347,2.12097,8.75307,70.5066,298.243,-2499.09,179.595
0.26,492.813,2.13359,10.2868,76.6875,309.044,540.09,179.451
0.28,491.144,2.15222,11.9558,83.4505,338.152,1455.36,179.268
0.3,489.346,2.17858,13.7544,89.9284,323.894,-712.862,179.045
0.32,487.417,2.21502,15.6839,96.4747,327.314,170.96,178.777
0.34,485.367,2.26434,17.7342,102.517,302.128,-1259.29,178.457
0.36,483.274,2.32718,19.8286,104.72,110.163,-9598.26,178.096
0.38,481.171,2.40421,21.9322,105.177,22.8168,-4367.29,177.698
0.4,479.059,2.49702,24.0463,105.704,26.3402,176.168,177.262
0.42,476.938,2.60703,26.1705,106.213,25.4515,-44.4313,176.79
0.44,474.809,2.73579,28.3034,106.645,21.6211,-191.52,176.281
0.46,472.672,2.8847,30.4457,107.113,23.3832,88.1033,175.737
0.48,470.526,3.0555,32.5983,107.634,26.0429,132.985,175.155
0.5,468.374,3.24936,34.7594,108.053,20.9899,-252.651,174.54
0.52,466.215,3.46785,36.9292,108.491,21.8566,43.3365,173.892
0.54,464.052,3.71218,39.1063,108.857,18.2986,-177.902,173.214
