"time","x","y","position","velocity","acceleration","jerk","heading"
0,503.1,17.1,0,0,300,0,180
0.02,502.855,17.1,0.244949,6,300,0,179.998
0.04,502.61,17.1,0.489898,12,300,0,179.997
0.06,502.365,17.1,0.734847,18,300,0,179.995
0.08,502.12,17.1,0.979796,24,300,0,179.993
0.1,501.557,17.1001,1.54258,30,300,0,179.984
0.12,500.925,17.1003,2.17456,36,300,0,179.972
0.14,500.155,17.1008,2.94523,42,300,0,179.952
0.16,499.251,17.1017,3.84919,48,300,0,179.921
0.18,498.234,17.1035,4.86645,54,300,0,179.877
0.2,497.1,17.1065,6,60,300,0,179.815
0.22,495.833,17.1115,7.26652,66,300,0,179.731
0.24,494.453,17.1191,8.64673,72,300,0,179.625
0.26,492.957,17.1306,10.1429,78,300,0,179.492
0.28,491.336,17.1472,11.7639,84,300,0,179.324
0.3,489.596,17.1707,13.5046,90,300,0,179.121
0.32,487.737,17.2031,15.3637,96,263.627,0,178.876
0.34,485.771,17.2465,17.3299,100,0,0,178.586
0.36,483.772,17.3013,19.3299,100,0,0,178.26
0.38,481.773,17.3681,21.3299,100,0,0,177.903
0.4,479.775,17.4479,23.3299,100,0,0,177.514
0.42,477.777,17.5418,25.3299,100,0,0,177.095
0.44,475.78,17.6509,27.3299,100,0,0,176.647
0.46,473.784,17.7761,29.3299,100,0,0,176.168
0.48,471.789,17.9184,31.3299,100,0,0,175.662
0.5,469.795,18.0788,33.3299,100,0,0,175.13
0.52,467.803,18.2581,35.3299,100,0,0,174.574
0.54,465.813,18.4572,37.3299,100,0,0,173.997
0.56,463.825,18.6766,39.3299,100,0,0,173.401
0.58,461.84,18.917,41.3299,100,0,0,172.791
0.6,459.857,19.1787,43.3299,100,0,0,172.172
0.62,457.877,19.4618,45.3299,100,0,0,171.551
0.64,455.901,19.7663,47.3299,100,0,0,170.935
0.66,453.927,20.092,49.3299,100,0,0,170.331
0.68,451.957,20.4381,51.3299,100,0,0,169.748
0.7,449.991,20.8038,53.3299,100,0,0,169.196
0.72,448.028,21.1877,55.3299,100,0,0,168.686
0.74,446.069,21.5883,57.3299,100,0,0,168.226
0.76,444.113,22.0036,59.3299,100,0,0,167.826
0.78,442.159,22.4313,61.3299,100,0,0,167.501
0.8,440.207,22.8688,63.3299,100,0,0,167.254
0.82,438.257,23.3134,65.3299,100,0,0,167.091
0.84,436.308,23.762,67.3299,100,0,0,167.018
0.86,434.359,24.2115,69.3299,100,0,0,167.037
0.88,432.41,24.6589,71.3299,100,0,0,167.146
0.9,430.46,25.101,73.3299,100,0,0,167.342
0.92,428.507,25.535,75.3299,100,0,0,167.62
0.94,426.552,25.9581,77.3299,100,0,0,167.977
0.96,424.595,26.3678,79.3299,100,0,0,168.402
0.98,422.634,26.762,81.3299,100,0,0,168.883
1,420.67,27.1388,83.3299,100,0,0,169.411
1.02,418.702,27.4969,85.3299,100,0,0,169.976
1.04,416.731,27.835,87.3299,100,0,0,170.568
1.06,414.756,28.1523,89.3299,100,0,0,171.179
1.08,412.778,28.4483,91.3299,100,0,0,171.798
1.1,410.797,28.7229,93.3299,100,0,0,172.419
1.12,408.813,28.9761,95.3299,100,0,0,173.035
1.14,406.827,29.2081,97.3299,100,0,0,173.639
1.16,404.838,29.4194,99.3299,100,0,0,174.228
1.18,402.847,29.6105,101.33,100,0,0,174.798
1.2,400.855,29.7822,103.33,100,0,0,175.344
1.22,398.861,29.9354,105.33,100,0,0,175.866
1.24,396.865,30.0708,107.33,100,0,0,176.362
1.26,394.869,30.1894,109.33,100,0,0,176.829
1.28,392.871,30.2923,111.33,100,0,0,177.265
1.3,390.873,30.3805,113.33,100,0,0,177.672
1.32,388.875,30.455,115.33,100,0,0,178.049
1.34,386.876,30.5169,117.33,100,0,0,178.394
1.36,384.876,30.5674,119.33,100,0,0,178.707
1.38,382.877,30.6074,121.33,100,0,0,178.989
1.4,380.877,30.6383,123.33,100,0,0,179.237
1.42,378.877,30.6609,125.33,100,0,0,179.452
1.44,376.877,30.6767,127.33,100,0,0,179.635
1.46,374.877,30.6867,129.33,100,0,0,179.78
1.48,372.877,30.6923,131.33,100,0,0,179.892
1.5,370.877,30.6946,133.33,100,0,0,179.963
1.52,368.877,30.6951,135.33,100,0,0,179.996
1.54,366.877,30.6951,137.33,100,0,0,180
1.56,364.877,30.6951,139.33,100,0,0,180
1.58,362.877,30.6951,141.33,100,0,0,180
1.6,360.877,30.6951,143.33,100,0,0,180
1.62,358.877,30.6951,145.33,100,0,0,180
1.64,356.877,30.6951,147.33,100,0,0,180
1.66,354.877,30.6951,149.33,100,0,0,180
1.68,352.877,30.6951,151.33,100,0,0,180
1.7,350.877,30.6951,153.33,100,0,0,180
1.72,348.877,30.6951,155.33,100,0,0,180
1.74,346.877,30.6951,157.33,100,0,0,180
1.76,344.877,30.6951,159.33,100,0,0,180
1.78,342.877,30.6951,161.33,100,0,0,180
1.8,340.877,30.6951,163.33,100,0,0,180
1.82,338.877,30.6951,165.33,100,0,0,180
1.84,336.877,30.6951,167.33,100,0,0,180
1.86,334.877,30.6951,169.33,100,0,0,180
1.88,332.877,30.6951,171.33,100,0,0,180
1.9,330.877,30.6951,173.33,100,0,0,180
1.92,328.877,30.6951,175.33,100,0,0,180
1.94,326.877,30.6951,177.33,100,0,0,180
1.96,324.877,30.6951,179.33,100,0,0,180
1.98,322.877,30.6951,181.33,100,0,0,180
2,320.877,30.6951,183.33,100,0,0,180
2.02,318.877,30.6951,185.33,100,0,0,180
2.04,316.877,30.6951,187.33,100,0,0,180
2.06,314.877,30.6951,189.33,100,0,0,180
2.08,312.877,30.6951,191.33,100,0,0,180
2.1,310.877,30.6951,193.33,100,0,0,180
2.12,308.877,30.6951,195.33,100,0,0,180
2.14,306.877,30.6951,197.33,100,0,0,180
2.16,304.877,30.6951,199.33,100,0,0,180
2.18,302.877,30.6951,201.33,100,0,0,180
2.2,300.877,30.6951,203.33,100,0,0,180
2.22,298.877,30.6951,205.33,100,0,0,180
2.24,296.877,30.6951,207.33,100,0,0,180
2.26,294.877,30.6951,209.33,100,0,0,180
2.28,292.877,30.6951,211.33,100,0,0,180
2.3,290.877,30.6951,213.33,100,0,0,180
2.32,288.882,30.6951,215.325,99.0102,-300,0,180
2.34,286.962,30.6951,217.245,93.0102,-300,0,180
2.36,285.159,30.6951,219.048,87.0102,-300,0,180
2.38,283.483,30.6951,220.724,81.0102,-300,0,180
2.4,281.924,30.6951,222.284,75.0102,-300,0,180
2.42,280.484,30.6951,223.723,69.0102,-300,0,180
2.44,279.159,30.6951,225.048,63.0102,-300,0,180
2.46,277.966,30.6951,226.241,57.0102,-300,0,180
2.48,276.89,30.6951,227.317,51.0102,-300,0,180
2.5,275.933,30.6951,228.274,45.0102,-300,0,180
2.52,275.089,30.6951,229.118,39.0102,-300,0,180
2.54,274.373,30.6951,229.834,33.0102,-300,0,180
2.56,273.81,30.6951,230.397,27.0102,-180.943,0,180
2.58,273.294,30.6951,230.913,21.0102,-26.0748,0,180
2.6,272.875,30.6951,231.333,20,0,0,180
2.62,272.475,30.6951,231.733,20,0,0,180
2.64,272.075,30.6951,232.133,20,0,0,180
2.66,271.675,30.6951,232.533,20,0,0,180
2.68,271.275,30.6951,232.933,20,0,0,180
2.7,270.875,30.6951,233.333,20,0,0,180
2.72,270.475,30.6951,233.733,20,0,0,180
2.74,270.075,30.6951,234.133,20,0,0,180
2.76,269.675,30.6951,234.533,20,0,0,180
2.78,269.275,30.6951,234.933,20,0,0,180
2.8,268.875,30.6951,235.333,20,0,0,180
2.82,268.475,30.6951,235.733,20,0,0,180
2.84,268.075,30.6951,236.133,20,0,0,180
2.86,267.675,30.6951,236.533,20,0,0,180
2.88,267.275,30.6951,236.933,20,0,0,180
2.9,266.875,30.6951,237.333,20,0,0,180
2.92,266.475,30.6951,237.733,20,0,0,180
2.94,266.075,30.6951,238.133,20,0,0,180
2.96,265.675,30.6951,238.533,20,0,0,180
2.98,265.275,30.6951,238.933,20,0,0,180
3,264.875,30.6951,239.333,20,0,0,180
3.02,264.475,30.6951,239.733,20,0,0,180
3.04,264.075,30.6951,240.133,20,0,0,180
3.06,263.675,30.6951,240.533,20,0,0,180
3.08,263.275,30.6951,240.933,20,0,0,180
3.1,262.875,30.6951,241.333,20,0,0,180
3.12,262.475,30.6951,241.733,20,0,0,180
3.14,262.075,30.6951,242.133,20,0,0,180
3.16,261.675,30.6951,242.533,20,0,0,180
3.18,261.275,30.6951,242.933,20,0,0,180
3.2,260.875,30.6951,243.333,20,0,0,180
3.22,260.475,30.6951,243.733,20,0,0,180
3.24,260.075,30.6951,244.133,20,0,0,180
3.26,259.675,30.6951,244.533,20,0,0,180
3.28,259.275,30.6951,244.933,20,0,0,180
3.3,258.875,30.6951,245.333,20,0,0,180
3.32,258.475,30.6951,245.733,20,0,0,180
3.34,258.075,30.6951,246.133,20,0,0,180
3.36,257.675,30.6951,246.533,20,0,0,180
3.38,257.275,30.6951,246.933,20,0,0,180
3.4,256.875,30.6951,247.333,20,0,0,180
3.42,256.475,30.6951,247.733,20,0,0,180
3.44,256.075,30.6951,248.133,20,0,0,180
3.46,255.675,30.6951,248.533,20,0,0,180
3.48,255.275,30.6951,248.933,20,0,0,180
3.5,254.875,30.6951,249.333,20,0,0,180
3.52,254.475,30.6951,249.733,20,0,0,180
3.54,254.075,30.6951,250.133,20,0,0,180
3.56,253.675,30.6951,250.533,20,0,0,180
3.58,253.275,30.6951,250.933,20,0,0,180
3.6,252.875,30.6951,251.333,20,0,0,180
3.62,252.475,30.6951,251.733,20,0,0,180
3.64,252.075,30.6951,252.133,20,0,0,180
3.66,251.675,30.6951,252.533,20,0,0,180
3.68,251.275,30.6951,252.933,20,0,0,180
3.7,250.875,30.6951,253.333,20,0,0,180
3.72,250.475,30.6951,253.733,20,0,0,180
3.74,250.075,30.6951,254.133,20,0,0,180
3.76,249.675,30.6951,254.533,20,0,0,180
3.78,249.275,30.6951,254.933,20,0,0,180
3.8,248.875,30.6951,255.333,20,0,0,180
3.82,248.475,30.6951,255.733,20,0,0,180
3.84,248.075,30.6951,256.133,20,0,0,180
3.86,247.675,30.6951,256.533,20,0,0,180
3.88,247.275,30.6951,256.933,20,0,0,180
3.9,246.875,30.6951,257.333,20,0,0,180
3.92,246.475,30.6951,257.733,20,0,0,180
3.94,246.075,30.6951,258.133,20,0,0,180
3.96,245.675,30.6951,258.533,20,0,0,180
3.98,245.275,30.6951,258.933,20,0,0,180
4,244.875,30.6951,259.333,20,0,0,180
4.02,244.475,30.6951,259.733,20,0,0,180
4.04,244.075,30.6951,260.133,20,0,0,180
4.06,243.675,30.6951,260.533,20,0,0,180
4.08,243.275,30.6951,260.933,20,0,0,180
4.1,242.875,30.6951,261.333,20,-66.5306,0,180
4.12,242.475,30.6951,261.733,20,-146.531,0,180
4.14,242.141,30.6951,262.066,18.6735,-200,0,180
4.16,241.941,30.6951,262.266,14.6735,-200,0,180
4.18,241.741,30.6951,262.466,10.6735,-200,0,180
4.2,241.541,30.6951,262.666,6.67347,-200,0,180
4.22,241.341,30.6951,262.866,2.67347,-200,0,180
