"time","x","y","position","velocity","acceleration","jerk","heading"
0,425.5,41.4,0,0,0,0,180
0.02,425.256,41.4,0.243953,12.1976,609.882,30494.1,179.996
0.04,425.012,41.4,0.487906,12.1976,1.28446e-08,-30494.1,179.992
0.06,424.768,41.4,0.731858,12.1976,2.5547e-08,6.35123e-07,179.988
0.08,424.524,41.4001,0.975811,12.1976,5.10157e-05,0.00254951,179.984
0.1,423.968,41.4003,1.53227,27.8228,781.256,39062.8,179.959
0.12,423.344,41.4009,2.15563,31.168,167.265,-30699.5,179.926
0.14,422.589,41.4022,2.91123,37.7801,330.603,8166.92,179.871
0.16,421.708,41.4047,3.79246,44.0614,314.063,-827.02,179.784
0.18,420.722,41.4093,4.77779,49.2667,260.266,-2689.83,179.663
0.2,419.631,41.4172,5.86888,54.5547,264.402,206.818,179.499
0.22,418.424,41.4299,7.07631,60.3713,290.831,1321.41,179.275
0.24,417.119,41.4495,8.38159,65.264,244.635,-2309.8,178.989
0.26,415.717,41.4783,9.7834,70.0904,241.317,-165.869,178.628
0.28,414.216,41.5199,11.2849,75.0729,249.128,390.548,178.169
0.3,412.622,41.5781,12.8797,79.743,233.505,-781.163,177.614
0.32,410.94,41.6576,14.5637,84.1966,222.677,-541.401,176.945
0.34,409.171,41.7638,16.3366,88.6499,222.666,-0.56556,176.156
0.36,407.312,41.9029,18.2001,93.1734,226.174,175.416,175.253
0.38,405.36,42.082,20.161,98.0442,243.54,868.301,174.266
0.4,403.296,42.3079,22.2371,103.804,287.981,2222.03,173.266
0.42,401.084,42.588,24.4663,111.461,382.882,4745.06,172.375
0.44,398.694,42.9234,26.8796,120.667,460.267,3869.27,171.746
0.46,396.072,43.311,29.5304,132.538,593.558,6664.53,171.554
0.48,393.204,43.7321,32.4294,144.949,620.564,1350.33,171.856
0.5,390.099,44.1579,35.563,156.679,586.471,-1704.66,172.602
0.52,386.857,44.5506,38.8295,163.329,332.511,-12698,173.625
0.54,383.584,44.8845,42.1193,164.491,58.0992,-13720.6,174.734
0.56,380.313,45.1545,45.4012,164.093,-19.8912,-3899.52,175.81
0.58,377.063,45.3639,48.6582,162.851,-62.0925,-2110.07,176.791
0.6,373.842,45.5194,51.8826,161.219,-81.6308,-976.912,177.65
0.62,370.656,45.6294,55.0706,159.401,-90.8812,-462.522,178.369
0.64,367.506,45.7026,58.221,157.517,-94.1926,-165.567,178.944
0.66,364.399,45.7475,61.3291,155.409,-105.42,-561.367,179.356
0.68,361.338,45.7747,64.3903,153.056,-117.639,-610.948,179.589
0.7,358.315,45.7933,67.4126,151.115,-97.0216,1030.86,179.674
0.72,355.325,45.8104,70.4029,149.518,-79.8666,857.752,179.637
0.74,352.365,45.8323,73.3627,147.988,-76.4942,168.62,179.483
0.76,349.436,45.8648,76.2925,146.493,-74.7742,85.9986,179.222
0.78,346.585,45.9115,79.144,142.574,-195.947,-6058.65,178.89
0.8,343.853,45.9726,81.876,136.598,-298.801,-5142.69,178.551
0.82,341.224,46.0457,84.5058,131.492,-255.303,2174.91,178.279
0.84,338.683,46.1258,87.0485,127.134,-217.902,1870.06,178.143
0.86,336.219,46.2063,89.5134,123.247,-194.358,1177.16,178.153
0.88,333.849,46.2806,91.8849,118.572,-233.722,-1968.17,178.284
0.9,331.578,46.345,94.1569,113.6,-248.625,-745.184,178.483
0.92,329.419,46.398,96.3162,107.966,-281.676,-1652.52,178.711
0.94,327.381,46.4399,98.3552,101.953,-300.652,-948.794,178.935
0.96,325.468,46.4719,100.268,95.6595,-314.676,-701.236,179.141
0.98,323.68,46.4958,102.056,89.3771,-314.123,27.6768,179.322
1,322.019,46.5132,103.717,83.0572,-315.996,-93.6466,179.475
1.02,320.489,46.5253,105.247,76.5017,-327.773,-588.887,179.601
1.04,319.082,46.5338,106.655,70.3757,-306.3,1073.66,179.706
1.06,317.793,46.5394,107.944,64.4502,-296.277,501.164,179.79
1.08,316.644,46.5429,109.093,57.4618,-349.415,-2656.91,179.852
1.1,315.613,46.5452,110.123,51.5284,-296.671,2637.24,179.9
1.12,314.7,46.5465,111.037,45.6582,-293.512,157.923,179.935
1.14,313.924,46.5471,111.813,38.8142,-342.201,-2434.46,179.959
1.16,313.287,46.5475,112.45,31.8464,-348.391,-309.476,179.974
1.18,312.721,46.5477,113.016,28.3071,-176.964,8571.35,179.986
1.2,312.475,46.5477,113.262,12.2893,-800.891,-31196.3,179.989
1.22,312.229,46.5477,113.507,12.2762,-0.654498,40011.8,179.991
1.24,311.984,46.5478,113.753,12.2893,0.654549,65.4524,179.994
1.26,311.738,46.5478,113.999,12.2893,-5.09512e-05,-32.73,179.997
