"time","x","y","position","velocity","acceleration","jerk","heading"
0,425.468,11.4319,0,0,0,0,180
0.02,425.294,11.4319,0.173524,8.67618,433.809,21690.4,179.998
0.04,425.121,11.4319,0.347047,8.67618,-1.5584e-09,-21690.4,179.996
0.06,424.947,11.4319,0.520571,8.67618,-3.25882e-09,-8.50209e-08,179.994
0.08,424.774,11.4319,0.694094,8.67618,-4.67528e-09,-7.08233e-08,179.992
0.1,424.599,11.432,0.868618,8.72618,2.50007,125.004,179.99
0.12,424.37,11.432,1.09793,11.4654,136.963,6723.17,179.985
0.14,423.949,11.4321,1.51933,21.0702,480.236,17163.6,179.972
0.16,423.526,11.4324,1.94173,21.1202,2.50024,-23886.8,179.959
0.18,422.995,11.4328,2.47254,26.5403,271.009,13425.4,179.933
0.2,422.443,11.4336,3.02487,27.6165,53.8101,-10859.9,179.905
0.22,421.785,11.4348,3.68292,32.9022,264.282,10523.6,179.859
0.24,421.085,11.4369,4.38332,35.0201,105.895,-7919.37,179.804
0.26,420.326,11.4399,5.14186,37.9273,145.361,1973.29,179.737
0.28,419.492,11.4443,5.97591,41.7025,188.759,2169.89,179.649
0.3,418.591,11.4506,6.87747,45.0779,168.769,-999.477,179.54
0.32,417.626,11.4593,7.84207,48.2298,157.595,-558.711,179.408
0.34,416.596,11.4713,8.87224,51.5085,163.935,316.987,179.251
0.36,415.499,11.4873,9.96957,54.8665,167.901,198.336,179.063
0.38,414.332,11.5085,11.1367,58.3544,174.393,324.574,178.838
0.4,413.096,11.5362,12.3725,61.7943,171.996,-119.857,178.576
0.42,411.783,11.5721,13.6864,65.6916,194.868,1143.62,178.269
0.44,410.4,11.6179,15.07,69.1823,174.531,-1016.87,177.914
0.46,408.948,11.6758,16.5231,72.6548,173.625,-45.2729,177.509
0.48,407.416,11.7483,18.0567,76.6787,201.199,1378.67,177.043
0.5,405.812,11.8383,19.6634,80.3375,182.94,-912.945,176.518
0.52,404.133,11.9487,21.3456,84.107,188.473,276.64,175.938
0.54,402.383,12.0827,23.101,87.7702,183.157,-265.773,175.301
0.56,400.562,12.2431,24.9288,91.3911,181.045,-105.599,174.627
0.58,398.682,12.4314,26.8184,94.4815,154.524,-1326.09,173.939
0.6,396.753,12.6481,28.76,97.0808,129.961,-1228.12,173.276
0.62,394.815,12.8871,30.712,97.5957,25.7481,-5210.65,172.694
0.64,392.913,13.1393,32.6309,95.9479,-82.3898,-5406.9,172.242
0.66,391.059,13.3976,34.5029,93.5998,-117.407,-1750.84,171.964
0.68,389.247,13.6563,36.3331,91.5094,-104.518,644.441,171.849
0.7,387.482,13.9088,38.116,89.143,-118.323,-690.245,171.915
0.72,385.761,14.1505,39.8544,86.9218,-111.057,363.265,172.152
0.74,384.07,14.3789,41.5601,85.2869,-81.7463,1465.56,172.509
0.76,382.405,14.5915,43.2391,83.9504,-66.8274,745.942,172.973
0.78,380.758,14.7871,44.8976,82.9223,-51.4039,771.174,173.512
0.8,379.122,14.9648,46.5434,82.2901,-31.6075,989.822,174.103
0.82,377.493,15.1243,48.1796,81.8103,-23.9906,380.847,174.727
0.84,375.868,15.2651,49.8115,81.5929,-10.8702,656.02,175.372
0.86,374.245,15.3872,51.4388,81.3666,-11.3136,-22.1711,176.028
0.88,372.621,15.4905,53.0661,81.3661,-0.0290432,564.228,176.69
0.9,370.998,15.575,54.6909,81.2406,-6.27394,-312.245,177.357
0.92,369.375,15.6404,56.3155,81.2266,-0.698748,278.76,178.029
0.94,367.754,15.6865,57.9369,81.0722,-7.72002,-351.063,178.71
0.96,366.037,15.7186,59.6545,85.8793,240.357,12403.9,179.026
0.98,364.269,15.7467,61.4228,88.4144,126.752,-5680.27,179.148
1,362.499,15.7712,63.1929,88.5056,4.56227,-6109.47,179.259
1.02,360.725,15.7925,64.9671,88.7106,10.2502,284.396,179.358
1.04,358.948,15.811,66.7436,88.8268,5.80632,-222.193,179.448
1.06,357.17,15.8269,68.5225,88.9433,5.82765,1.06656,179.529
1.08,355.389,15.8404,70.3034,89.047,5.18443,-32.1614,179.602
1.1,353.606,15.8517,72.0862,89.1379,4.54329,-32.0565,179.668
1.12,351.821,15.8611,73.871,89.242,5.20841,33.2558,179.726
1.14,350.035,15.8688,75.6577,89.3333,4.56107,-32.3673,179.777
1.16,348.246,15.8751,77.4462,89.4246,4.5668,0.286806,179.821
1.18,346.456,15.88,79.2363,89.5029,3.91679,-32.5006,179.859
1.2,344.665,15.8838,81.0276,89.5682,3.26516,-32.5815,179.892
1.22,342.871,15.8868,82.8211,89.6729,5.23221,98.3525,179.917
1.24,341.077,15.8891,84.6158,89.7383,3.26992,-98.1147,179.937
1.26,339.28,15.8908,86.4119,89.8037,3.27083,0.0454874,179.952
1.28,337.483,15.8921,88.2098,89.8953,4.58066,65.4915,179.96
1.3,335.684,15.8933,90.0088,89.9477,2.61782,-98.1418,179.964
1.32,333.883,15.8945,91.8096,90.0393,4.58149,98.1835,179.961
1.34,332.081,15.8958,93.6117,90.1047,3.27267,-65.4412,179.953
1.36,330.277,15.8975,95.4153,90.1833,3.92782,32.7579,179.939
1.38,328.472,15.8997,97.2203,90.2488,3.27385,-32.6989,179.92
1.4,326.666,15.9025,99.0266,90.3143,3.27458,0.0364561,179.896
1.42,324.858,15.9062,100.834,90.3798,3.27655,0.0989585,179.867
1.44,323.049,15.911,102.643,90.4454,3.27833,0.0885385,179.833
1.46,321.239,15.9169,104.453,90.511,3.28133,0.149996,179.794
1.48,319.428,15.924,106.264,90.5505,1.97433,-65.3498,179.752
1.5,317.616,15.9325,108.076,90.6031,2.63199,32.8829,179.706
1.52,315.803,15.9426,109.889,90.6297,1.32944,-65.1273,179.658
1.54,313.99,15.9543,111.702,90.6695,1.98749,32.9027,179.607
1.56,312.177,15.9675,113.516,90.6831,0.680227,-65.3634,179.555
1.58,310.368,15.9823,115.324,90.4206,-13.1232,-690.171,179.504
1.6,308.599,15.9984,117.094,88.4581,-98.1227,-4249.98,179.454
