"time","x","y","position","velocity","acceleration","jerk","heading"
0,425.468,26.4319,0,0,150,0,180
0.02,425.295,26.4319,0.173205,3,150,0,179.998
0.04,425.122,26.4319,0.34641,6,150,0,179.996
0.06,424.949,26.4319,0.519615,9,150,0,179.994
0.08,424.776,26.4319,0.69282,12,150,0,179.992
0.1,424.602,26.432,0.866025,15,150,0,179.99
0.12,424.374,26.432,1.09471,18,150,0,179.985
0.14,423.956,26.4321,1.51286,21,150,0,179.972
0.16,423.537,26.4324,1.93102,24,150,0,179.959
0.18,423.013,26.4328,2.45505,27,150,0,179.933
0.2,422.468,26.4336,3,30,150,0,179.905
0.22,421.822,26.4348,3.64641,33,150,0,179.86
0.24,421.136,26.4368,4.33237,36,150,0,179.805
0.26,420.395,26.4397,5.07309,39,150,0,179.738
0.28,419.584,26.444,5.88465,42,150,0,179.65
0.3,418.711,26.45,6.75708,45,150,0,179.541
0.32,417.781,26.4584,7.68717,48,81.2826,0,179.411
0.34,416.805,26.4697,8.6633,49.6599,16.835,0,179.256
0.36,415.809,26.4841,9.65986,50,0,0,179.078
0.38,414.809,26.5017,10.6599,50,0,0,178.878
0.4,413.809,26.5231,11.6599,50,0,0,178.658
0.42,412.81,26.5484,12.6599,50,0,0,178.42
0.44,411.81,26.578,13.6599,50,0,0,178.161
0.46,410.811,26.6123,14.6599,50,0,0,177.881
0.48,409.811,26.6518,15.6599,50,0,0,177.582
0.5,408.812,26.6966,16.6599,50,0,0,177.26
0.52,407.814,26.7472,17.6599,50,0,0,176.922
0.54,406.815,26.8039,18.6599,50,0,0,176.562
0.56,405.817,26.867,19.6599,50,0,0,176.188
0.58,404.82,26.9368,20.6599,50,0,0,175.798
0.6,403.823,27.0135,21.6599,50,0,0,175.397
0.62,402.826,27.0972,22.6599,50,0,0,174.99
0.64,401.83,27.1881,23.6599,50,0,0,174.582
0.66,400.835,27.2861,24.6599,50,0,0,174.177
0.68,399.841,27.391,25.6599,50,0,0,173.784
0.7,398.847,27.5027,26.6599,50,0,0,173.411
0.72,397.854,27.6207,27.6599,50,0,0,173.057
0.74,396.862,27.7445,28.6599,50,0,0,172.744
0.76,395.87,27.8735,29.6599,50,0,0,172.471
0.78,394.879,28.0069,30.6599,50,0,0,172.236
0.8,393.888,28.1438,31.6599,50,0,0,172.062
0.82,392.898,28.2834,32.6599,50,0,0,171.939
0.84,391.908,28.4246,33.6599,50,0,0,171.865
0.86,390.918,28.5666,34.6599,50,0,0,171.856
0.88,389.928,28.7083,35.6599,50,0,0,171.895
0.9,388.938,28.8488,36.6599,50,0,0,171.984
0.92,387.948,28.9874,37.6599,50,0,0,172.124
0.94,386.957,29.1232,38.6599,50,0,0,172.297
0.96,385.966,29.2556,39.6599,50,0,0,172.515
0.98,384.974,29.384,40.6599,50,0,0,172.763
1,383.982,29.5077,41.6599,50,0,0,173.037
1.02,382.989,29.6266,42.6599,50,0,0,173.334
1.04,381.996,29.7401,43.6599,50,0,0,173.646
1.06,381.001,29.848,44.6599,50,0,0,173.976
1.08,380.007,29.9501,45.6599,50,0,0,174.315
1.1,379.011,30.0462,46.6599,50,0,0,174.665
1.12,378.015,30.1361,47.6599,50,0,0,175.021
1.14,377.019,30.2198,48.6599,50,0,0,175.381
1.16,376.022,30.2972,49.6599,50,0,0,175.745
1.18,375.024,30.3682,50.6599,50,0,0,176.112
1.2,374.026,30.4328,51.6599,50,0,0,176.481
1.22,373.028,30.4909,52.6599,50,0,0,176.851
1.24,372.029,30.5426,53.6599,50,0,0,177.223
1.26,371.03,30.5878,54.6599,50,0,0,177.597
1.28,370.031,30.6265,55.6599,50,0,0,177.972
1.3,369.032,30.6586,56.6599,50,0,0,178.35
1.32,368.032,30.6841,57.6599,50,0,0,178.731
1.34,367.032,30.7035,58.6599,50,0,0,178.948
1.36,366.032,30.7208,59.6599,50,0,0,179.036
1.38,365.033,30.7371,60.6599,50,0,0,179.099
1.4,364.033,30.7523,61.6599,50,0,0,179.16
1.42,363.033,30.7664,62.6599,50,0,0,179.216
1.44,362.033,30.7796,63.6599,50,0,0,179.27
1.46,361.033,30.7919,64.6599,50,0,0,179.321
1.48,360.033,30.8033,65.6599,50,0,0,179.37
1.5,359.033,30.8139,66.6599,50,0,0,179.416
1.52,358.033,30.8237,67.6599,50,0,0,179.46
1.54,357.033,30.8327,68.6599,50,0,0,179.501
1.56,356.033,30.8411,69.6599,50,0,0,179.54
1.58,355.033,30.8488,70.6599,50,0,0,179.577
