"time","x","y","position","velocity","acceleration","jerk","heading"
0,523.226,71.9805,0,0,0,0,-153.4
0.02,523.071,71.9029,0.17334,8.667,433.35,21667.5,-153.4
0.04,522.916,71.8254,0.346635,8.66476,-0.111861,-21673.1,-153.4
0.06,522.761,71.7477,0.520198,8.67813,0.668185,39.0023,-153.399
0.08,522.606,71.6702,0.693493,8.66476,-0.668185,-66.8185,-153.399
0.1,522.451,71.5926,0.866833,8.667,0.111861,39.0023,-153.399
0.12,522.247,71.4902,1.09509,11.4129,137.295,6859.17,-153.399
0.14,521.873,71.3029,1.51355,20.9228,475.497,16910.1,-153.398
0.16,521.498,71.1155,1.93205,20.9251,0.111923,-23769.2,-153.397
0.18,521.03,70.8806,2.45605,26.1999,263.742,13181.5,-153.395
0.2,520.542,70.6364,3.00209,27.3023,55.1181,-10431.2,-153.393
0.22,519.963,70.3466,3.64921,32.3557,252.673,9877.76,-153.39
0.24,519.349,70.0389,4.33581,34.3302,98.7203,-7697.66,-153.386
0.26,518.686,69.7065,5.07747,37.0827,137.627,1945.36,-153.381
0.28,517.959,69.3423,5.89076,40.6648,179.106,2073.91,-153.375
0.3,517.178,68.9507,6.76461,43.6925,151.383,-1386.16,-153.369
0.32,516.345,68.5329,7.69615,46.5769,144.222,-358.012,-153.361
0.34,515.46,68.0884,8.68721,49.5531,148.808,229.276,-153.352
0.36,514.521,67.617,9.73771,52.5248,148.588,-10.9928,-153.343
0.38,513.528,67.1187,10.8489,55.559,151.711,156.134,-153.332
0.4,512.483,66.5938,12.0176,58.4347,143.783,-396.367,-153.321
0.42,511.379,66.0388,13.2536,61.7999,168.261,1223.89,-153.309
0.44,510.223,65.4577,14.5476,64.7002,145.012,-1162.44,-153.298
0.46,509.017,64.8508,15.8971,67.4774,138.863,-307.453,-153.286
0.48,507.754,64.2154,17.3109,70.6907,160.665,1090.06,-153.276
0.5,506.441,63.5535,18.7821,73.5553,143.229,-871.773,-153.267
0.52,505.072,62.8645,20.3141,76.6031,152.391,458.118,-153.26
0.54,503.653,62.1492,21.9037,79.4813,143.906,-424.286,-153.257
0.56,502.179,61.4063,23.554,82.5137,151.622,385.832,-153.259
0.58,500.654,60.6382,25.2619,85.394,144.013,-380.446,-153.267
0.6,499.078,59.8446,27.0263,88.2186,141.231,-139.145,-153.283
0.62,497.447,59.0244,28.8514,91.2557,151.857,531.302,-153.311
0.64,495.766,58.1799,30.7326,94.0625,140.34,-575.81,-153.351
0.66,494.035,57.3117,32.6698,96.8562,139.683,-32.8839,-153.408
0.68,492.252,56.4209,34.6624,99.6322,138.802,-44.0486,-153.486
0.7,490.42,55.5087,36.7094,102.348,135.805,-149.854,-153.589
0.72,488.539,54.5771,38.8085,104.958,130.479,-266.289,-153.724
0.74,486.608,53.6275,40.9599,107.569,130.543,3.18256,-153.897
0.76,484.629,52.6621,43.162,110.103,126.731,-190.557,-154.116
0.78,482.602,51.6847,45.4118,112.494,119.526,-360.252,-154.388
0.8,480.531,50.6989,47.7059,114.704,110.501,-451.25,-154.724
0.82,478.413,49.7079,50.0442,116.916,110.606,5.24383,-155.141
0.84,476.252,48.7176,52.4218,118.877,98.0318,-628.721,-155.643
0.86,474.046,47.7325,54.8374,120.781,95.2187,-140.654,-156.25
0.88,471.799,46.7595,57.2864,122.449,83.3807,-591.903,-156.968
0.9,469.505,45.8034,59.7711,124.238,89.483,305.115,-157.803
0.92,467.169,44.8725,62.2857,125.727,74.4353,-752.382,-158.771
0.94,464.788,43.9728,64.8316,127.294,78.3702,196.741,-159.868
0.96,462.358,43.1105,67.4098,128.912,80.8556,124.272,-161.085
0.98,459.874,42.2912,70.0252,130.771,92.9535,604.897,-162.411
1,457.334,41.5196,72.6804,132.757,99.3294,318.795,-163.822
1.02,454.753,40.8062,75.3581,133.89,56.6186,-2135.54,-165.272
1.04,452.152,40.1577,78.0379,133.987,4.85147,-2588.36,-166.712
1.06,449.53,39.5724,80.7247,134.342,17.7752,646.185,-168.115
1.08,446.879,39.0471,83.4276,135.146,40.1856,1120.52,-169.451
1.1,444.2,38.5791,86.1472,135.98,41.7242,76.9308,-170.71
1.12,441.489,38.1645,88.8892,137.096,55.7974,703.66,-171.872
1.14,438.751,37.7997,91.6514,138.114,50.8876,-245.49,-172.937
1.16,435.984,37.4812,94.437,139.275,58.0689,359.063,-173.904
1.18,433.192,37.2048,97.2425,140.277,50.0983,-398.527,-174.776
1.2,430.377,36.9674,100.067,141.247,48.4742,-81.2093,-175.561
1.22,427.541,36.765,102.911,142.186,46.9654,-75.4353,-176.266
1.24,424.686,36.5948,105.771,143.006,41.0119,-297.678,-176.896
1.26,421.816,36.4537,108.645,143.672,33.2939,-385.901,-177.463
1.28,418.93,36.3389,111.532,144.378,35.2637,98.4928,-177.97
1.3,416.034,36.2481,114.43,144.878,25.011,-512.635,-178.428
1.32,413.127,36.179,117.338,145.397,25.9698,47.9377,-178.841
1.34,410.211,36.1297,120.255,145.849,22.5925,-168.863,-179.216
1.36,407.287,36.0986,123.179,146.203,17.7116,-244.045,-179.558
1.38,404.357,36.0843,126.109,146.497,14.6867,-151.245,-179.873
1.4,401.421,36.0852,129.044,146.773,13.8184,-43.415,179.837
1.42,398.483,36.1007,131.983,146.926,7.61743,-310.05,179.565
1.44,395.54,36.1297,134.926,147.159,11.6597,202.113,179.309
1.46,392.595,36.1716,137.871,147.278,5.96029,-284.97,179.063
1.48,389.654,36.2262,140.813,147.055,-11.1498,-855.507,178.796
1.5,386.715,36.2951,143.753,147.009,-2.28931,443.027,178.528
1.52,383.767,36.377,146.701,147.426,20.8596,1157.45,178.296
1.54,380.813,36.4701,149.657,147.783,17.8022,-152.871,178.099
1.56,377.852,36.5729,152.62,148.154,18.5968,39.7325,177.934
1.58,374.884,36.6836,155.59,148.491,16.8261,-88.5382,177.798
1.6,371.909,36.8009,158.567,148.848,17.8593,51.6626,177.693
1.62,368.929,36.9231,161.549,149.13,14.1076,-187.587,177.617
1.64,365.941,37.0487,164.54,149.521,19.5195,270.599,177.571
1.66,362.948,37.1763,167.536,149.819,14.9175,-230.104,177.556
1.68,359.947,37.3042,170.54,150.164,17.246,116.429,177.572
1.7,356.938,37.4306,173.551,150.566,20.1204,143.72,177.62
1.72,353.924,37.554,176.568,150.866,14.9626,-257.894,177.7
1.74,350.901,37.6727,179.594,151.273,20.3558,269.663,177.813
1.76,347.87,37.7847,182.626,151.627,17.7018,-132.702,177.959
1.78,344.833,37.8885,185.665,151.924,14.8394,-143.121,178.133
1.8,341.79,37.9825,188.71,152.258,16.7146,93.7635,178.334
1.82,338.745,38.0653,191.755,152.275,0.874536,-792.005,178.556
1.84,335.745,38.1348,194.757,150.071,-110.219,-5554.67,178.788
1.86,332.804,38.1911,197.698,147.047,-151.216,-2049.86,179.019
1.88,329.925,38.2348,200.578,143.997,-152.461,-62.2318,179.242
1.9,327.11,38.2668,203.393,140.762,-161.766,-465.267,179.449
1.92,324.357,38.2887,206.145,137.624,-156.916,242.527,179.635
1.94,321.672,38.3019,208.83,134.254,-168.487,-578.578,179.797
1.96,319.052,38.3079,211.451,131.014,-162.027,322.989,179.933
1.98,316.496,38.3084,214.006,127.774,-161.981,2.31331,-179.957
2,314.008,38.3045,216.494,124.418,-167.788,-290.339,-179.87
2.02,311.584,38.2975,218.919,121.224,-159.722,403.287,-179.805
2.04,309.223,38.2884,221.279,118.024,-159.994,-13.6173,-179.758
2.06,306.926,38.278,223.576,114.846,-158.886,55.4142,-179.727
2.08,304.692,38.2668,225.811,111.713,-156.666,111.016,-179.708
2.1,302.52,38.2556,227.982,108.59,-156.116,27.4747,-179.7
2.12,300.409,38.2444,230.093,105.551,-151.949,208.39,-179.7
2.14,298.36,38.2338,232.142,102.446,-155.287,-166.941,-179.705
2.16,296.373,38.2237,234.13,99.3789,-153.342,97.2503,-179.716
2.18,294.447,38.2145,236.056,96.2842,-154.733,-69.5474,-179.731
2.2,292.582,38.206,237.921,93.2618,-151.12,180.648,-179.748
2.22,290.776,38.1983,239.727,90.3005,-148.064,152.834,-179.766
2.24,289.03,38.1914,241.473,87.2893,-150.563,-124.978,-179.785
2.26,287.343,38.1854,243.159,84.3391,-147.507,152.793,-179.804
2.28,285.72,38.1801,244.783,81.189,-157.505,-499.882,-179.823
2.3,284.153,38.1756,246.35,78.3389,-142.505,750.016,-179.842
2.32,282.648,38.1716,247.855,75.2611,-153.891,-569.31,-179.859
2.34,281.201,38.1683,249.301,72.311,-147.504,319.353,-179.876
2.36,279.816,38.1655,250.687,69.2721,-151.946,-222.107,-179.892
2.38,278.487,38.1631,252.016,66.4443,-141.389,527.85,-179.906
2.4,277.221,38.1612,253.282,63.2943,-157.502,-805.642,-179.92
2.42,276.016,38.1597,254.487,60.2665,-151.389,305.663,-179.932
2.44,274.869,38.1584,255.634,57.3276,-146.944,222.221,-179.943
2.46,273.781,38.1574,256.722,54.3999,-146.388,27.8061,-179.952
2.48,272.754,38.1566,257.749,51.3499,-152.5,-305.616,-179.961
2.5,271.787,38.156,258.716,48.3721,-148.888,180.635,-179.968
