"time","x","y","position","velocity","acceleration","jerk","heading"
0,261.761,14.8425,0,0,0,0,0
0.02,261.934,14.8425,0.173081,8.65404,432.702,21635.1,0.000308397
0.04,262.108,14.8425,0.347161,8.70404,2.5,-21510.1,0.000616793
0.06,262.281,14.8425,0.520242,8.65404,-2.5,-250,0.00092519
0.08,262.454,14.8425,0.693323,8.65404,1.96337e-06,125,0.00123359
0.1,262.627,14.8425,0.866404,8.65404,-6.54495e-06,-0.000425416,0.00154198
0.12,262.857,14.8425,1.09557,11.4585,140.223,7011.13,0.00219042
0.14,263.275,14.8425,1.51405,20.9237,473.26,16651.9,0.0040001
0.16,263.694,14.8425,1.93252,20.9237,-2.55369e-09,-23663,0.00580978
0.18,264.218,14.8426,2.45741,26.2445,266.039,13302,0.00920755
0.2,264.764,14.8427,3.00338,27.2986,52.7053,-10666.7,0.012919
0.22,265.413,14.8429,3.65195,32.4281,256.478,10188.6,0.0188886
0.24,266.101,14.8431,4.33982,34.3939,98.2855,-7909.63,0.0260583
0.26,266.843,14.8435,5.08216,37.1167,136.143,1892.89,0.0349745
0.28,267.658,14.8441,5.89728,40.7561,181.967,2291.2,0.0468959
0.3,268.534,14.8449,6.77307,43.7898,151.689,-1513.91,0.0613974
0.32,269.469,14.846,7.70759,46.7257,146.794,-244.734,0.0786394
0.34,270.464,14.8476,8.70292,49.7667,152.05,262.778,0.099011
0.36,271.518,14.8496,9.7572,52.7138,147.352,-234.891,0.122974
0.38,272.634,14.8523,10.8726,55.7704,152.833,274.04,0.151261
0.4,273.809,14.8557,12.0481,58.777,150.329,-125.2,0.183863
0.42,275.052,14.8601,13.2911,62.1455,168.426,904.839,0.221688
0.44,276.354,14.8656,14.5933,65.1106,148.254,-1008.6,0.264471
0.46,277.715,14.8724,15.954,68.0349,146.214,-101.987,0.312906
0.48,279.14,14.8809,17.3794,71.2731,161.911,784.84,0.36805
0.5,280.626,14.8912,18.8656,74.3068,151.685,-511.301,0.429548
0.52,282.173,14.9037,20.4126,77.3498,152.153,23.4356,0.498102
0.54,283.782,14.9188,22.0216,80.4512,155.066,145.619,0.574318
0.56,285.457,14.9367,23.6959,83.7166,163.271,410.261,0.659256
0.58,287.189,14.9581,25.4284,86.626,145.471,-890.012,0.752417
0.6,288.985,14.9832,27.2243,89.7945,158.427,647.816,0.854473
0.62,290.845,15.0127,29.0849,93.0286,161.705,163.902,0.966549
0.64,292.767,15.0472,31.0072,96.1155,154.341,-368.181,1.0888
0.66,294.751,15.0872,32.9913,99.2031,154.38,1.90327,1.22121
0.68,296.798,15.1333,35.0391,102.394,159.533,257.696,1.36393
0.7,298.907,15.1864,37.1489,105.485,154.579,-247.718,1.51692
0.72,301.078,15.2468,39.3203,108.573,154.398,-9.03991,1.67979
0.74,303.312,15.3157,41.5554,111.754,159.057,232.954,1.85186
0.76,305.609,15.3936,43.8538,114.921,158.342,-35.7683,2.03189
0.78,307.965,15.481,46.2119,117.906,149.235,-455.333,2.21727
0.8,310.382,15.5785,48.6301,120.908,150.114,43.9567,2.40535
0.82,312.859,15.6867,51.1103,124.009,155.06,247.261,2.59203
0.84,315.393,15.8056,53.6463,126.801,139.582,-773.872,2.77266
0.86,317.984,15.9349,56.2412,129.745,147.193,380.517,2.93968
0.88,320.628,16.0743,58.8882,132.351,130.294,-844.909,3.08636
0.9,323.326,16.2228,61.5902,135.1,137.439,357.251,3.2046
0.92,326.072,16.3788,64.3411,137.545,122.263,-758.81,3.28674
0.94,328.868,16.5405,67.1417,140.027,124.119,92.7992,3.3245
0.96,331.709,16.7057,69.9876,142.297,113.489,-531.498,3.31358
0.98,334.597,16.8715,72.8805,144.642,117.237,187.406,3.24884
1,337.533,17.0354,75.821,147.026,119.198,98.033,3.13385
1.02,340.486,17.1933,78.7785,147.877,42.5559,-3832.1,2.97442
1.04,343.432,17.3414,81.7276,147.454,-21.1473,-3185.16,2.77691
1.06,346.37,17.4784,84.6688,147.062,-19.6145,76.6372,2.55528
1.08,349.306,17.6034,87.6073,146.927,-6.74603,643.425,2.31777
1.1,352.239,17.7158,90.5424,146.754,-8.63102,-94.2494,2.07285
1.12,355.173,17.8157,93.479,146.83,3.80665,621.883,1.82788
1.14,358.109,17.9033,96.4158,146.837,0.356014,-172.532,1.58882
1.16,361.048,17.9788,99.3559,147.006,8.41967,403.183,1.36011
1.18,363.992,18.0431,102.3,147.218,10.6197,110,1.14486
1.2,366.938,18.0967,105.247,147.36,7.11287,-175.34,0.94513
1.22,369.891,18.1407,108.2,147.624,13.1798,303.348,0.762344
1.24,372.848,18.1757,111.157,147.86,11.8152,-68.2318,0.59808
1.26,375.808,18.2028,114.118,148.045,9.22522,-129.499,0.452055
1.28,378.775,18.2227,117.085,148.347,15.1021,293.846,0.325503
1.3,381.717,18.2367,120.027,147.11,-61.8328,-3846.74,0.219201
1.32,384.605,18.2454,122.915,144.392,-135.922,-3704.45,0.134486
1.34,387.438,18.2504,125.748,141.655,-136.861,-46.9422,0.0698806
1.36,390.216,18.2526,128.526,138.877,-138.869,-100.4,0.0261159
1.38,392.94,18.2532,131.25,136.227,-132.512,317.846,0.00143501
1.4,395.609,18.2531,133.919,133.45,-138.87,-317.912,-0.00242041
1.42,398.225,18.2535,136.535,130.793,-132.818,302.611,0.0237964
1.44,400.772,18.2545,139.082,127.331,-173.087,-2013.47,0.00709868
1.46,403.247,18.2537,141.557,123.768,-178.176,-254.462,-0.0450096
1.48,405.664,18.2506,143.974,120.837,-146.571,1580.29,-0.0995245
1.5,408.027,18.2458,146.337,118.167,-133.469,655.058,-0.121154
1.52,410.347,18.2411,148.657,115.991,-108.797,1233.64,-0.0836486
1.54,412.633,18.2399,150.943,114.3,-84.5417,1212.74,0.0500671
1.56,414.899,18.2468,153.209,113.285,-50.7617,1689,0.339191
1.58,417.153,18.2683,155.463,112.735,-27.5218,1162,0.818937
1.6,419.406,18.3128,157.716,112.656,-3.92041,1180.07,1.52072
1.62,421.662,18.3896,159.974,112.859,10.1179,701.915,2.46426
1.64,423.915,18.5081,162.229,112.787,-3.60235,-686.012,3.63329
1.66,426.159,18.6768,164.48,112.543,-12.1973,-429.747,5.01052
1.68,428.369,18.8989,166.701,111.054,-74.425,-3111.38,6.49993
1.7,430.518,19.1724,168.867,108.305,-137.472,-3152.36,8.02003
1.72,432.587,19.4912,170.961,104.663,-182.067,-2229.74,9.48809
1.74,434.566,19.8467,172.972,100.557,-205.336,-1163.42,10.8598
1.76,436.434,20.226,174.877,95.2813,-263.766,-2921.5,12.07
1.78,438.199,20.6214,176.686,90.4478,-241.676,1104.45,13.1355
1.8,439.861,21.0239,178.396,85.4916,-247.81,-306.671,14.0542
1.82,441.42,21.4261,180.007,80.5316,-247.999,-9.46991,14.8178
1.84,442.885,21.8232,181.525,75.8999,-231.584,820.744,15.4674
1.86,444.264,22.2124,182.958,71.6386,-213.065,925.961,16.0106
1.88,445.563,22.5911,184.31,67.6404,-199.914,657.584,16.4671
1.9,446.774,22.9537,185.574,63.2038,-221.826,-1095.63,16.8377
1.92,447.912,23.3017,186.765,59.5153,-184.429,1869.88,17.1504
1.94,448.978,23.6338,187.881,55.8331,-184.108,16.0036,17.411
1.96,449.974,23.9482,188.926,52.2022,-181.544,128.213,17.6215
1.98,450.903,24.245,189.901,48.7682,-171.699,492.249,17.7944
2,451.769,24.5242,190.811,45.5117,-162.825,443.711,17.9363
2.02,452.569,24.7842,191.652,42.0306,-174.058,-561.672,18.0503
2.04,453.296,25.0215,192.416,38.2332,-189.866,-790.377,18.1384
2.06,453.965,25.2414,193.121,35.2061,-151.359,1925.32,18.2104
2.08,454.594,25.4487,193.783,33.1195,-104.325,2351.7,18.2711
2.1,455.121,25.6231,194.339,27.7908,-266.439,-8105.67,18.3104
2.12,455.628,25.7909,194.872,26.657,-56.688,10487.6,18.3468
2.14,456.03,25.9243,195.296,21.1926,-273.222,-10826.7,18.3681
2.16,456.432,26.058,195.72,21.1957,0.15754,13669,18.3894
2.18,456.651,26.1309,195.951,11.5513,-482.221,-24118.9,18.3983
2.2,456.817,26.1861,196.125,8.71346,-141.892,17016.4,18.4036
2.22,456.982,26.2412,196.299,8.71215,-0.0654496,7091.32,18.4088
2.24,457.148,26.2963,196.474,8.7596,2.37228,121.887,18.414
2.26,457.314,26.3515,196.649,8.71346,-2.30683,-233.956,18.4193
