"time","x","y","position","velocity","acceleration","jerk","heading"
0,261.8,44.8,0,0,0,0,0
0.02,262.045,44.8,0.244999,12.25,612.498,30624.9,3.74439e-06
0.04,262.29,44.8,0.489998,12.25,6.6791e-09,-30624.9,7.48877e-06
0.06,262.535,44.8,0.734997,12.25,-3.2827e-08,-1.9753e-06,1.12332e-05
0.08,262.78,44.8,0.979996,12.25,8.48386e-08,5.88328e-06,1.49775e-05
0.1,263.343,44.8,1.54303,28.1516,795.08,39754,-0.000103592
0.12,263.975,44.8,2.1751,31.6038,172.612,-31123.4,-0.000392839
0.14,264.745,44.8,2.94532,38.5109,345.357,8637.26,-0.00122741
0.16,265.65,44.8,3.84985,45.2265,335.778,-478.933,-0.00325108
0.18,266.668,44.7999,4.86782,50.8984,283.595,-2609.18,-0.00694737
0.2,267.804,44.7997,6.0038,56.7991,295.034,571.974,-0.0145156
0.22,269.074,44.7993,7.27404,63.5122,335.657,2031.13,-0.0269068
0.24,270.46,44.7984,8.65993,69.2943,289.104,-2327.62,-0.0493877
0.26,271.965,44.7967,10.1649,75.2509,297.832,436.365,-0.0838318
0.28,273.6,44.7937,11.8005,81.7754,326.222,1419.5,-0.139234
0.3,275.364,44.7882,13.5641,88.1829,320.376,-292.28,-0.225747
0.32,277.256,44.7789,15.4563,94.6096,321.338,48.0877,-0.352448
0.34,279.284,44.7634,17.4842,101.394,339.238,895.036,-0.538966
0.36,281.45,44.7386,19.6507,108.324,346.46,361.082,-0.792342
0.38,283.754,44.7004,21.9547,115.204,344.002,-122.928,-1.11613
0.4,286.186,44.6453,24.3871,121.619,320.75,-1162.58,-1.47814
0.42,288.671,44.5736,26.8733,124.308,134.485,-9313.26,-1.80728
0.44,291.13,44.4904,29.3341,123.041,-63.3497,-9891.72,-2.04201
0.46,293.556,44.4011,31.7616,121.376,-83.2423,-994.631,-2.14478
0.48,295.949,44.3112,34.1563,119.731,-82.2715,48.5408,-2.12541
0.5,298.315,44.2256,36.5233,118.354,-68.8712,670.016,-1.99746
0.52,300.653,44.1483,38.8623,116.949,-70.2072,-66.8008,-1.76705
0.54,302.969,44.0827,41.1801,115.89,-52.9931,860.706,-1.45319
0.56,305.264,44.032,43.475,114.743,-57.3304,-216.868,-1.04935
0.58,307.531,43.9997,45.7424,113.37,-68.6623,-566.596,-0.54573
0.6,309.78,43.9899,47.9919,112.478,-44.6121,1202.51,0.0290348
0.62,312.114,43.9962,50.3251,116.659,209.065,12683.8,0.284316
0.64,314.441,44.0132,52.6524,116.366,-14.618,-11184.1,0.562142
0.66,316.759,44.042,54.9705,115.906,-23.011,-419.649,0.875594
0.68,319.063,44.0843,57.2754,115.244,-33.1011,-504.504,1.24045
0.7,321.349,44.142,59.5622,114.34,-45.2263,-606.262,1.67197
0.72,323.613,44.2178,61.8269,113.232,-55.3821,-507.792,2.19033
0.74,325.848,44.3149,64.064,111.858,-68.724,-667.093,2.80954
0.76,328.047,44.4365,66.2665,110.123,-86.7198,-899.789,3.56664
0.78,330.203,44.5873,68.4283,108.093,-101.497,-738.879,4.47567
0.8,332.308,44.7713,70.5411,105.639,-122.724,-1061.35,5.57332
0.82,334.352,44.9934,72.5972,102.806,-141.63,-945.305,6.88709
0.84,336.326,45.2579,74.5888,99.5771,-161.45,-990.995,8.44461
0.86,338.227,45.5695,76.5152,96.3186,-162.924,-73.6954,10.2525
0.88,340.054,45.9326,78.3777,93.125,-159.68,162.222,12.3062
0.9,341.812,46.3519,80.1847,90.3527,-138.618,1053.1,14.5694
0.92,343.513,46.8319,81.9522,88.3765,-98.81,1990.4,16.9865
0.94,345.18,47.3805,83.7074,87.7563,-31.0081,3390.1,19.451
0.96,346.835,48.0051,85.476,88.4318,33.7761,3239.21,21.8609
0.98,348.5,48.7124,87.2849,90.445,100.66,3344.17,24.1188
1,350.187,49.5058,89.1499,93.2477,140.136,1973.81,26.162
1.02,351.912,50.3876,91.0867,96.8433,179.776,1981.99,27.9312
1.04,353.674,51.3527,93.0955,100.437,179.692,-4.187,29.4259
1.06,355.469,52.393,95.1704,103.747,165.487,-710.232,30.6646
1.08,357.298,53.5004,97.3086,106.907,158.03,-372.879,31.6645
1.1,359.155,54.6643,99.4999,109.568,133.004,-1251.31,32.4635
1.12,361.035,55.8762,101.737,111.861,114.675,-916.405,33.0835
1.14,362.935,57.126,104.011,113.687,91.3114,-1168.2,33.5658
1.16,364.853,58.4075,106.318,115.336,82.4438,-443.378,33.9243
1.18,366.783,59.713,108.648,116.519,59.1277,-1165.81,34.1899
1.2,368.724,61.037,110.997,117.467,47.4394,-584.414,34.3808
1.22,370.677,62.3765,113.366,118.435,48.3927,47.6671,34.5031
1.24,372.637,63.7263,115.746,118.981,27.2685,-1056.21,34.5785
1.26,374.605,65.0838,118.136,119.539,27.8938,31.2644,34.6154
1.28,376.566,66.4378,120.519,119.152,-19.313,-2360.34,34.6804
1.3,378.407,67.722,122.764,112.228,-346.223,-16345.5,35.2729
1.32,380.089,68.9353,124.838,103.686,-427.092,-4043.46,36.5193
1.34,381.632,70.1123,126.779,97.0466,-331.969,4756.13,38.2725
1.36,383.046,71.27,128.606,91.3827,-283.199,2438.48,40.4601
1.38,384.353,72.433,130.356,87.4664,-195.813,4369.29,42.9432
1.4,385.575,73.6235,132.062,85.309,-107.869,4397.22,45.5933
1.42,386.734,74.8643,133.76,84.889,-20.9986,4343.52,48.2738
1.44,387.858,76.1828,135.492,86.6201,86.5528,5377.57,50.8252
1.46,388.971,77.6087,137.301,90.4413,191.063,5225.49,53.0811
1.48,390.103,79.1696,139.229,96.4276,299.314,5412.58,54.8834
1.5,391.287,80.8978,141.324,104.744,415.813,5824.93,56.0488
1.52,392.552,82.8025,143.611,114.326,479.128,3165.77,56.4819
1.54,393.947,84.9006,146.13,125.959,581.638,5125.47,56.026
1.56,395.547,87.2175,148.946,140.79,741.558,7996.01,54.4364
1.58,397.45,89.7515,152.115,158.449,882.932,7068.69,51.4997
1.6,399.733,92.4255,155.631,175.815,868.277,-732.726,47.232
1.62,402.503,95.1468,159.514,194.132,915.882,2380.23,41.5458
1.64,405.658,97.6428,163.537,201.156,351.216,-28233.3,35.0345
1.66,408.989,99.7056,167.455,195.923,-261.662,-30643.9,28.4658
1.68,412.299,101.278,171.12,183.228,-634.749,-18654.4,22.4103
1.7,415.414,102.399,174.43,165.488,-887.035,-12614.3,17.2466
1.72,418.244,103.163,177.361,146.569,-945.943,-2945.42,13.0664
1.74,420.785,103.672,179.953,129.599,-848.51,4871.67,9.72497
1.76,423.05,104.005,182.242,114.465,-756.655,4592.74,7.10316
1.78,425.034,104.216,184.237,99.7286,-736.843,990.617,5.1194
1.8,426.796,104.35,186.004,88.3619,-568.334,8425.42,3.58623
1.82,428.321,104.429,187.531,76.3467,-600.761,-1621.32,2.46987
1.84,429.65,104.476,188.861,66.5226,-491.205,5477.8,1.6457
1.86,430.803,104.502,190.015,57.6565,-443.301,2395.17,1.0503
1.88,431.793,104.516,191.004,49.4844,-408.608,1734.68,0.631646
1.9,432.637,104.523,191.849,42.2356,-362.442,2308.3,0.346366
1.92,433.278,104.526,192.49,32.0438,-509.586,-7357.22,0.197888
1.94,433.812,104.527,193.024,26.693,-267.542,12102.2,0.0876554
1.96,434.063,104.527,193.274,12.5277,-708.265,-22036.2,0.0664412
1.98,434.313,104.527,193.525,12.5277,1.72582e-06,35413.3,0.045227
2,434.564,104.527,193.775,12.5277,-0.000153152,-0.00774391,0.0240128
