"time","x","y","position","velocity","acceleration","jerk","heading"
0,261.8,29.8,0,0,300,0,0
0.02,262.045,29.8,0.244949,6,300,0,0.00375142
0.04,262.29,29.8,0.489898,12,300,0,0.00750284
0.06,262.535,29.8,0.734847,18,300,0,0.0112543
0.08,262.78,29.8001,0.979796,24,300,0,0.0150057
0.1,263.343,29.8002,1.54258,30,300,0,0.0265668
0.12,263.975,29.8005,2.17456,36,300,0,0.0431584
0.14,264.745,29.8013,2.94523,42,300,0,0.0745313
0.16,265.649,29.8027,3.84919,48,300,0,0.118432
0.18,266.666,29.8053,4.86645,54,300,0,0.177452
0.2,267.8,29.8095,6,60,300,0,0.254258
0.22,269.066,29.8161,7.26652,66,300,0,0.348458
0.24,270.447,29.8258,8.64673,72,300,0,0.459639
0.26,271.943,29.8394,10.1429,78,300,0,0.580898
0.28,273.564,29.8576,11.7639,84,300,0,0.702835
0.3,275.304,29.8808,13.5046,90,300,0,0.803819
0.32,277.163,29.9081,15.3637,96,300,0,0.854831
0.34,279.142,29.9373,17.3432,102,300,0,0.794967
0.36,281.242,29.9633,19.4432,108,300,0,0.567309
0.38,283.462,29.9772,21.6626,114,300,0,0.0895114
0.4,285.799,29.9672,24,120,2.09322e-05,0,-0.63162
0.42,288.199,29.9226,26.4,120,0,0,-1.49886
0.44,290.597,29.8422,28.8,120,0,0,-2.31086
0.46,292.995,29.7312,31.2,120,0,0,-2.92882
0.48,295.391,29.5995,33.6,120,0,0,-3.29451
0.5,297.787,29.458,36,120,0,0,-3.39883
0.52,300.183,29.318,38.4,120,0,0,-3.23123
0.54,302.579,29.1898,40.8,120,0,0,-2.8193
0.56,304.977,29.0843,43.2,120,0,0,-2.14149
0.58,307.376,29.0131,45.6,120,0,0,-1.16727
0.6,309.776,28.99,48,120,0,0,0.0943417
0.62,312.176,29.0128,50.4,120,0,0,1.07739
0.64,314.574,29.0839,52.8,120,0,0,2.41086
0.66,316.971,29.2189,55.2,120,0,0,4.13813
0.68,319.361,29.4347,57.6,120,0,0,6.29353
0.7,321.74,29.7496,60,120,0,0,8.89344
0.72,324.1,30.1836,62.4,120,0,0,12.0527
0.74,326.43,30.7571,64.8,120,0,0,15.7343
0.76,328.715,31.4896,67.2,120,0,0,19.932
0.78,330.936,32.3961,69.6,120,0,0,24.5416
0.8,333.076,33.4822,72,120,0,0,29.3137
0.82,335.118,34.742,74.4,120,0,0,33.9444
0.84,337.056,36.1566,76.8,120,0,0,38.1142
0.86,338.895,37.698,79.2,120,0,0,41.5639
0.88,340.65,39.3348,81.6,120,0,0,44.1544
0.9,342.342,41.0362,84,120,0,0,45.8729
0.92,343.997,42.7747,86.4,120,0,0,46.7282
0.94,345.636,44.5276,88.8,120,0,0,46.9167
0.96,347.28,46.2761,91.2,120,0,0,46.4852
0.98,348.945,48.0051,93.6,120,0,0,45.603
1,350.641,49.7032,96,120,0,0,44.4105
1.02,352.375,51.362,98.4,120,0,0,43.0077
1.04,354.151,52.9762,100.8,120,0,0,41.5149
1.06,355.969,54.5431,103.2,120,0,0,40.0204
1.08,357.826,56.0631,105.6,120,0,0,38.5988
1.1,359.719,57.5386,108,120,0,0,37.3149
1.12,361.642,58.9744,110.4,120,0,0,36.2244
1.14,363.589,60.3772,112.8,120,0,0,35.3829
1.16,365.554,61.7561,115.2,120,0,0,34.8247
1.18,367.527,63.1219,117.6,120,0,0,34.6487
1.2,369.5,64.488,120,120,0,0,34.8416
1.22,371.465,65.8669,122.4,120,0,0,35.3791
1.24,373.412,67.2691,124.8,120,0,0,36.1954
1.26,375.337,68.7031,127.2,120,0,0,37.2425
1.28,377.232,70.1756,129.6,120,0,0,38.4841
1.3,379.093,71.691,132,120,0,0,39.8591
1.32,380.916,73.2523,134.4,120,0,0,41.3276
1.34,382.697,74.8607,136.8,120,0,0,42.8364
1.36,384.435,76.5155,139.2,120,0,0,44.3401
1.38,386.13,78.2147,141.6,120,0,0,45.7874
1.4,387.783,79.9548,144,120,0,0,47.1291
1.42,389.397,81.7311,146.4,120,0,0,48.3098
1.44,390.976,83.5377,148.8,120,0,0,49.2922
1.46,392.529,85.3678,151.2,120,0,0,50.0108
1.48,394.064,87.2131,153.6,120,0,0,50.4077
1.5,395.591,89.0645,156,120,0,0,50.4544
1.52,397.124,90.911,158.4,120,0,0,50.0313
1.54,398.678,92.7398,160.8,120,0,0,49.109
1.56,400.271,94.5353,163.2,120,0,0,47.5911
1.58,401.92,96.2781,165.6,120,0,0,45.3723
1.6,403.647,97.9447,168,120,0,0,42.4092
1.62,405.469,99.5063,170.4,120,0,0,38.6112
1.64,407.4,100.93,172.8,120,0,0,34.0043
1.66,409.447,102.182,175.2,120,0,0,28.7451
1.68,411.604,103.231,177.6,120,0,0,23.0746
1.7,413.856,104.059,180,120,-0.00261106,0,17.3391
1.72,416.155,104.658,182.377,116.5,-300,0,11.9462
1.74,418.393,105.034,184.647,110.5,-300,0,7.26291
1.76,420.534,105.23,186.797,104.5,-300,0,3.38144
1.78,422.563,105.291,188.827,98.5,-300,0,0.198508
1.8,424.471,105.254,190.736,92.5,-300,0,-2.33135
1.82,426.257,105.147,192.525,86.5,-300,0,-4.37025
1.84,427.921,104.995,194.196,80.5,-300,0,-5.97587
1.86,429.459,104.816,195.745,74.5,-300,0,-7.2479
1.88,430.876,104.622,197.175,68.5,-300,0,-8.22776
1.9,432.166,104.426,198.48,62.5,-300,0,-8.98819
1.92,433.34,104.234,199.67,56.5,-300,0,-9.55792
1.94,434.394,104.052,200.739,50.5,-300,0,-9.99223
1.96,435.324,103.885,201.684,44.5,-300,0,-10.2965
1.98,436.131,103.736,202.504,38.5,-300,0,-10.5035
2,436.826,103.606,203.211,32.5,-300,0,-10.6521
2.02,437.407,103.496,203.802,26.5,-300,0,-10.756
2.04,437.761,103.429,204.163,20.5,-300,0,-10.8008
2.06,438.002,103.383,204.408,14.5,-300,0,-10.8159
2.08,438.242,103.337,204.653,8.49998,-300,0,-10.831
2.1,438.483,103.29,204.898,2.49998,-300,0,-10.8461
