"time","x","y","position","velocity","acceleration","jerk","heading"
0,503.052,2.05288,0,0,0,0,179.818
0.02,502.91,2.05338,0.142048,7.1024,355.12,17756,179.814
0.04,502.768,2.05378,0.284834,7.1393,1.84469,-17663.8,179.811
0.06,502.625,2.05429,0.426882,7.1024,-1.84469,-184.469,179.807
0.08,502.483,2.05479,0.569668,7.13931,1.84549,184.509,179.804
0.1,502.341,2.05519,0.711716,7.10239,-1.84628,-184.589,179.8
0.12,502.198,2.05569,0.854502,7.13931,1.84628,184.628,179.797
0.14,502.056,2.0562,0.996551,7.1024,-1.84549,-184.589,179.793
0.16,501.725,2.05741,1.32774,16.5595,472.857,23735.1,179.777
0.18,501.378,2.05873,1.67419,17.3227,38.1552,-21735.1,179.76
0.2,501.033,2.06015,2.01965,17.2727,-2.49899,-2032.71,179.743
0.22,500.579,2.06229,2.47355,22.6953,271.132,13681.5,179.709
0.24,500.125,2.06464,2.9272,22.6823,-0.652027,-13589.2,179.676
0.26,499.604,2.06773,3.44861,26.0704,169.406,8502.92,179.621
0.28,499.06,2.07164,3.99259,27.1992,56.439,-5648.37,179.56
0.3,498.449,2.07662,4.60308,30.5244,166.259,5491.01,179.478
0.32,497.815,2.08275,5.23741,31.7164,59.6038,-5332.77,179.389
0.34,497.125,2.09068,5.92799,34.529,140.628,4051.2,179.28
0.36,496.388,2.10076,6.66461,36.8312,115.108,-1275.97,179.148
0.38,495.611,2.1132,7.44124,38.8313,100.008,-755.049,178.997
0.4,494.792,2.12867,8.26119,40.9976,108.316,415.426,178.822
0.42,493.914,2.14816,9.1388,43.8805,144.144,1791.41,178.618
0.44,492.993,2.17214,10.0603,46.0753,109.737,-1720.34,178.388
0.46,492.025,2.20154,11.0288,48.4265,117.561,391.165,178.124
0.48,491.008,2.2373,12.0464,50.8798,122.666,255.274,177.826
0.5,489.942,2.28063,13.1129,53.3232,122.171,-24.7625,177.495
0.52,488.827,2.33287,14.2296,55.836,125.639,173.394,177.126
0.54,487.661,2.39549,15.3975,58.3954,127.972,116.649,176.712
0.56,486.444,2.47015,16.6165,60.9483,127.645,-16.3393,176.254
0.58,485.177,2.55847,17.8861,63.4828,126.726,-45.9302,175.754
0.6,483.861,2.66245,19.207,66.0429,128.003,63.822,175.207
0.62,482.485,2.78495,20.5885,69.0732,151.515,1175.62,174.601
0.64,481.061,2.92755,22.0192,71.5352,123.102,-1420.64,173.95
0.66,479.589,3.09245,23.5005,74.0642,126.448,167.292,173.254
0.68,478.067,3.28232,25.034,76.6778,130.68,211.596,172.512
0.7,476.495,3.49993,26.6208,79.3411,133.164,124.201,171.726
0.72,474.883,3.74601,28.2516,81.5409,109.99,-1158.71,170.914
0.74,473.228,4.02318,29.93,83.9178,118.844,442.689,170.084
0.76,471.539,4.3311,31.6464,85.8179,95.0079,-1191.79,169.255
0.78,469.822,4.66974,33.3972,87.5403,86.1181,-444.49,168.454
0.8,468.085,5.03665,35.1719,88.7356,59.7673,-1317.54,167.703
