"time","x","y","position","velocity","acceleration","jerk","heading"
0,503.117,19.8412,0,0,150,7500,90
0.02,503.117,19.8712,0.03,3,150,0,89.9983
0.04,503.117,19.9612,0.12,6,150,0,89.9931
0.06,503.117,20.1112,0.27,9,150,0,89.9845
0.08,503.117,20.3212,0.48,12,150,0,89.9724
0.1,503.117,20.5912,0.75,15,150,0,89.9569
0.12,503.117,20.9212,1.08,18,150,0,89.937
0.14,503.117,21.3112,1.47,21,150,0,89.9102
0.16,503.118,21.7612,1.92,24,150,0,89.8792
0.18,503.119,22.2712,2.43,27,150,0,89.7989
0.2,503.121,22.8412,3,30,150,0,89.6997
0.22,503.125,23.4712,3.63,33,150,0,89.5741
0.24,503.131,24.1612,4.32,36,150,0,89.4055
0.26,503.14,24.9111,5.07,39,150,0,89.18
0.28,503.153,25.721,5.88,42,150,0,88.9035
0.3,503.172,26.5908,6.75,45,150,0,88.5405
0.32,503.198,27.5204,7.68,48,150,0,88.0913
0.34,503.235,28.5097,8.67,51,150,0,87.5442
0.36,503.286,29.5585,9.72,54,150,0,86.8564
0.38,503.354,30.6664,10.83,57,150,0,86.0475
0.4,503.444,31.8329,12,60,150,0,85.0076
0.42,503.563,33.0571,13.23,63,150,0,83.7761
0.44,503.719,34.3377,14.52,66,150,0,82.2503
0.46,503.92,35.6725,15.87,69,150,0,80.4641
0.48,504.179,37.0584,17.28,72,150,0,78.2278
0.5,504.51,38.4906,18.75,75,150,0,75.6169
0.52,504.928,39.9621,20.28,78,150,0,72.4804
0.54,505.452,41.4629,21.87,81,150,0,68.878
0.56,506.101,42.9799,23.52,84,150,0,64.7319
0.58,506.89,44.4963,25.23,87,150,0,60.2143
0.6,507.822,45.9784,26.9811,86.6352,-150,-15000,55.4859
0.62,508.841,47.3417,28.6838,83.6352,-150,0,51.0104
0.64,509.92,48.5799,30.3265,80.6352,-150,0,46.9879
0.66,511.036,49.7017,31.9092,77.6352,-150,0,43.425
0.68,512.17,50.7176,33.4319,74.6352,-150,0,40.4484
0.7,513.305,51.6399,34.8947,71.6352,-150,0,37.8831
0.72,514.429,52.4796,36.2974,68.6352,-150,0,35.8034
0.74,515.53,53.247,37.6401,65.6352,-150,0,34.053
0.76,516.603,53.9506,38.9228,62.6352,-150,0,32.6181
0.78,517.64,54.5981,40.1455,59.6352,-150,0,31.4183
0.8,518.638,55.1953,41.3082,56.6352,-150,0,30.476
0.82,519.592,55.7471,42.4109,53.6352,-150,0,29.6777
0.84,520.502,56.2577,43.4536,50.6352,-150,0,29.0404
0.86,521.363,56.7301,44.4363,47.6352,-150,0,28.5115
0.88,522.176,57.167,45.359,44.6352,-150,0,28.0877
0.9,522.938,57.5705,46.2217,41.6352,-150,0,27.7441
0.92,523.65,57.9421,47.0244,38.6352,-150,0,27.4574
0.94,524.31,58.2831,47.7671,35.6352,-150,0,27.255
0.96,524.917,58.5946,48.4498,32.6352,-150,0,27.0815
0.98,525.472,58.8772,49.0725,29.6352,-150,0,26.9359
1,525.974,59.1315,49.6352,26.6352,-150,0,26.8498
1.02,526.423,59.3581,50.1379,23.6352,-150,0,26.7746
1.04,526.818,59.5572,50.5806,20.6352,-150,0,26.7122
1.06,527.16,59.729,50.9633,17.6352,-150,0,26.6582
1.08,527.449,59.8736,51.286,14.6352,-150,0,26.6398
1.1,527.684,59.9913,51.5487,11.6352,-150,0,26.6276
1.12,527.865,60.0821,51.7514,8.63521,-150,0,26.6182
1.14,527.992,60.146,51.8941,5.63521,-150,0,26.6116
1.16,528.066,60.183,51.9768,2.63521,-150,0,26.6077
1.18,528.087,60.1934,52,0,0,7500,26.6067
