"time","x","y","position","velocity","acceleration","jerk","heading"
0,503.107,32.0527,0,0,0,0,179.818
0.02,502.967,32.0532,0.139954,6.99768,349.884,17494.2,179.814
0.04,502.825,32.0536,0.281169,7.06076,3.15369,-17336.5,179.811
0.06,502.686,32.0541,0.421123,6.99768,-3.15369,-315.369,179.807
0.08,502.544,32.0546,0.562338,7.06077,3.15448,315.409,179.804
0.1,502.404,32.055,0.702291,6.99767,-3.15528,-315.488,179.8
0.12,502.263,32.0555,0.843507,7.06077,3.15528,315.528,179.797
0.14,502.123,32.056,0.983461,6.99768,-3.15448,-315.488,179.793
0.16,501.8,32.0572,1.30627,16.1407,457.149,23015.2,179.777
0.18,501.463,32.0585,1.64383,16.8776,36.8462,-21015.2,179.76
0.2,501.126,32.0598,1.98038,16.8276,-2.49899,-1967.26,179.743
0.22,500.69,32.0619,2.41648,21.8052,248.879,12568.9,179.709
0.24,500.254,32.0642,2.85259,21.8052,0.00247232,-12443.8,179.675
0.26,499.761,32.0671,3.34546,24.6436,141.917,7095.74,179.621
0.28,499.249,32.0708,3.8575,25.6022,47.9305,-4699.34,179.56
0.3,498.682,32.0754,4.42505,28.3776,138.77,4541.99,179.478
0.32,498.094,32.081,5.01252,29.3733,49.7863,-4449.2,179.388
0.34,497.46,32.0884,5.64703,31.7254,117.605,3390.94,179.279
0.36,496.793,32.0974,6.31354,33.3253,79.9957,-1880.47,179.147
0.38,496.096,32.1086,7.01084,34.865,76.9853,-150.521,178.995
0.4,495.368,32.1224,7.73916,36.4162,77.5594,28.7046,178.82
0.42,494.597,32.1395,8.50996,38.5398,106.179,1430.96,178.616
0.44,493.796,32.1603,9.31104,40.0539,75.7034,-1523.76,178.386
0.46,492.967,32.1855,10.1411,41.5019,72.4003,-165.156,178.121
0.48,492.105,32.2159,11.0036,43.1283,81.3221,446.087,177.823
0.5,491.213,32.2522,11.8958,44.6079,73.9791,-367.149,177.492
0.52,490.291,32.2955,12.8188,46.1497,77.0875,155.421,177.121
0.54,489.342,32.3464,13.7699,47.5569,70.3645,-336.153,176.707
0.56,488.364,32.4065,14.7491,48.9582,70.0648,-14.9848,176.249
0.58,487.359,32.4766,15.7567,50.3802,71.0965,51.5864,175.748
0.6,486.328,32.5581,16.7909,51.7098,66.4828,-230.684,175.2
0.62,485.268,32.6526,17.8551,53.2091,74.9644,424.078,174.594
0.64,484.184,32.7613,18.9444,54.467,62.8948,-603.476,173.941
0.66,483.075,32.8857,20.061,55.8311,68.2046,265.489,173.244
0.68,481.939,33.0277,21.2059,57.2412,70.5046,115,172.501
0.7,480.775,33.189,22.3809,58.7521,75.5452,252.027,171.714
0.72,479.583,33.3711,23.5863,60.2721,76.0014,22.8136,170.901
0.74,478.356,33.5769,24.8302,62.1919,95.9889,999.372,170.071
0.76,477.095,33.8072,26.1125,64.1167,96.2413,12.6241,169.242
0.78,475.79,34.0651,27.4428,66.513,119.814,1178.65,168.44
0.8,474.438,34.3511,28.8243,69.0777,128.236,421.077,167.689
0.82,473.022,34.669,30.2763,72.5965,175.94,2385.22,167.038
0.84,471.54,35.0179,31.7983,76.0995,175.148,-39.6041,166.514
0.86,469.981,35.3974,33.4025,80.2102,205.534,1519.29,166.151
0.88,468.331,35.8078,35.1036,85.0559,242.288,1837.72,166.001
