"time","x","y","position","velocity","acceleration","jerk","heading"
0,398.921,53.8099,0,0,0,0,128.454
0.02,398.802,53.9608,0.192685,9.63423,481.711,24085.6,128.442
0.04,398.682,54.1116,0.385291,9.63031,-0.195757,-24095.4,128.43
0.06,398.562,54.2628,0.578298,9.65036,1.00243,59.9093,128.417
0.08,398.442,54.4137,0.770982,9.63423,-0.806674,-90.4552,128.405
0.1,398.322,54.5647,0.963745,9.63814,0.195808,50.1241,128.393
0.12,398.078,54.8738,1.35792,19.7085,503.52,25166.2,128.356
0.14,397.786,55.2418,1.82769,23.4885,188.998,-15726.1,128.31
0.16,397.443,55.6766,2.38115,27.6732,209.235,1011.86,128.228
0.18,397.056,56.1671,3.00581,31.2329,177.985,-1562.49,128.117
0.2,396.603,56.7466,3.74138,36.7785,277.282,4964.86,127.944
0.22,396.11,57.3812,4.54546,40.204,171.274,-5300.43,127.732
0.24,395.567,58.0848,5.43383,44.4185,210.725,1972.58,127.461
0.26,394.968,58.8709,6.42201,49.4092,249.532,1940.35,127.084
0.28,394.32,59.7359,7.50302,54.0504,232.063,-873.496,126.631
0.3,393.616,60.6917,8.69022,59.3601,265.485,1671.1,126.05
0.32,392.86,61.7437,9.98554,64.7659,270.288,240.161,125.322
0.34,392.057,62.8946,11.3892,70.1825,270.834,27.3048,124.445
0.36,391.206,64.1581,12.9121,76.1466,298.205,1368.54,123.365
0.38,390.319,65.5356,14.5505,81.9181,288.574,-481.553,122.093
0.4,389.391,67.0603,16.3355,89.2517,366.679,3905.28,120.549
0.42,388.447,68.7174,18.243,95.3737,306.101,-3028.89,118.773
0.44,387.497,70.5192,20.2798,101.841,323.381,863.983,116.78
0.46,386.57,72.444,22.416,106.807,248.268,-3755.64,114.654
0.48,385.687,74.4668,24.6233,110.367,178.016,-3512.59,112.553
0.5,384.872,76.5304,26.8418,110.927,28.0136,-7500.14,110.67
0.52,384.154,78.5153,28.9527,105.541,-269.313,-14866.4,109.23
0.54,383.542,80.3164,30.8548,95.1093,-521.585,-12613.6,108.379
0.56,383.011,81.9389,32.5621,85.3614,-487.398,1709.37,108.011
0.58,382.53,83.4257,34.1247,78.1316,-361.489,6295.44,107.959
0.6,382.091,84.7738,35.5424,70.8836,-362.398,-45.4495,108.188
0.62,381.675,86.0321,36.8679,66.2776,-230.299,6604.97,108.527
0.64,381.281,87.1935,38.0942,61.3127,-248.244,-897.267,108.941
0.66,380.902,88.2828,39.2476,57.672,-182.036,3310.42,109.375
0.68,380.538,89.3065,40.3339,54.3155,-167.826,710.502,109.796
0.7,380.188,90.2678,41.3571,51.1592,-157.814,500.574,110.185
0.72,379.855,91.1672,42.3162,47.9558,-160.171,-117.843,110.536
0.74,379.539,92.0044,43.2112,44.7457,-160.505,-16.6715,110.847
0.76,379.24,92.7831,44.0452,41.7021,-152.182,416.137,111.102
0.78,378.961,93.4995,44.8138,38.4317,-163.517,-566.771,111.322
0.8,378.702,94.1588,45.5222,35.4189,-150.643,643.733,111.502
0.82,378.461,94.7709,46.1803,32.9062,-125.634,1250.43,111.649
0.84,378.249,95.3011,46.7511,28.5369,-218.463,-4641.43,111.755
0.86,378.058,95.7771,47.264,25.6465,-144.524,3696.91,111.843
0.88,377.893,96.1884,47.7072,22.1578,-174.431,-1495.32,111.908
0.9,377.754,96.5346,48.0803,18.6585,-174.968,-26.8466,111.96
0.92,377.684,96.7079,48.2672,9.34247,-465.801,-14541.7,111.972
0.94,377.614,96.8809,48.4538,9.33025,-0.610865,23259.5,111.985
0.96,377.544,97.054,48.6404,9.33025,4.92693e-07,30.5433,111.998
0.98,377.474,97.2272,48.8272,9.34247,0.610866,30.5433,112.01
1,377.404,97.3993,49.0133,9.30281,-1.9827,-129.678,112.023
