"time","x","y","position","velocity","acceleration","jerk","heading"
0,426.081,70.6822,0,0,0,0,112.1
0.02,426.01,70.8589,0.190643,9.53216,476.608,23830.4,112.104
0.04,425.937,71.0355,0.381401,9.53791,0.287356,-23816,112.107
0.06,425.866,71.2121,0.571952,9.52752,-0.519156,-40.3256,112.111
0.08,425.795,71.3887,0.762333,9.51907,-0.422699,4.82283,112.114
0.1,425.722,71.5654,0.953353,9.551,1.59635,100.953,112.118
0.12,425.576,71.9248,1.34122,19.3932,492.112,24525.8,112.127
0.14,425.403,72.3518,1.80193,23.0358,182.13,-15499.1,112.138
0.16,425.199,72.852,2.34222,27.014,198.911,839.061,112.161
0.18,424.971,73.4123,2.94717,30.2476,161.677,-1861.71,112.192
0.2,424.704,74.0652,3.65237,35.26,250.622,4447.25,112.236
0.22,424.414,74.7746,4.41886,38.3245,153.225,-4869.85,112.291
0.24,424.095,75.5525,5.25972,42.0431,185.93,1635.24,112.363
0.26,423.744,76.4029,6.17976,46.0022,197.955,601.275,112.454
0.28,423.362,77.3261,7.17881,49.9523,197.508,-22.3717,112.563
0.3,422.946,78.3249,8.26091,54.1049,207.629,506.075,112.705
0.32,422.496,79.3948,9.42145,58.027,196.103,-576.315,112.868
0.34,422.016,80.5283,10.6524,61.549,176.099,-1000.18,113.065
0.36,421.522,81.6839,11.9093,62.8417,64.6348,-5573.22,113.282
0.38,421.02,82.8419,13.1712,63.0974,12.7852,-2592.48,113.518
0.4,420.513,84.0014,14.4368,63.2819,9.22456,-178.032,113.769
0.42,419.999,85.1614,15.7056,63.439,7.85701,-68.378,114.032
0.44,419.479,86.3203,16.9757,63.5058,3.33769,-225.966,114.3
0.46,418.953,87.476,18.2454,63.4806,-1.25706,-229.738,114.565
0.48,418.425,88.6262,19.5112,63.2936,-9.35231,-404.762,114.817
0.5,417.894,89.7682,20.7707,62.9714,-16.1098,-337.874,115.044
0.52,417.363,90.8987,22.0196,62.4464,-26.2499,-507.004,115.231
0.54,416.834,92.0164,23.256,61.8187,-31.3851,-256.76,115.37
0.56,416.311,93.1177,24.4753,60.9655,-42.6597,-563.731,115.444
0.58,415.794,94.2033,25.6776,60.1181,-42.3714,14.4121,115.453
0.6,415.284,95.2741,26.8637,59.3024,-40.782,79.4731,115.399
0.62,414.785,96.3297,28.0314,58.3886,-45.689,-245.35,115.277
0.64,414.294,97.3726,29.1841,57.6324,-37.8097,393.964,115.096
0.66,413.811,98.4083,30.3267,57.1317,-25.0374,638.611,114.877
0.68,413.335,99.4395,31.4625,56.7894,-17.1169,396.026,114.631
0.7,412.866,100.468,32.5932,56.5364,-12.6495,223.374,114.366
0.72,412.403,101.498,33.7224,56.4565,-3.9945,432.748,114.096
0.74,411.943,102.531,34.853,56.5321,3.78364,388.907,113.83
0.76,411.488,103.568,35.9856,56.6293,4.85915,53.7752,113.573
0.78,411.037,104.611,37.1218,56.8089,8.97999,206.042,113.33
0.8,410.587,105.659,38.2624,57.031,11.1049,106.245,113.103
0.82,410.154,106.679,39.3706,55.4125,-80.9268,-4601.58,112.906
0.84,409.749,107.643,40.4163,52.2812,-156.565,-3781.89,112.735
0.86,409.371,108.549,41.3983,49.1036,-158.881,-115.838,112.596
0.88,409.018,109.396,42.3149,45.8269,-163.833,-247.578,112.477
0.9,408.693,110.185,43.1691,42.7091,-155.891,397.069,112.381
0.92,408.396,110.91,43.9523,39.1634,-177.284,-1069.62,112.305
0.94,408.129,111.561,44.6559,35.1775,-199.296,-1100.63,112.243
0.96,407.884,112.158,45.3006,32.2354,-147.105,2609.57,112.196
0.98,407.663,112.702,45.8884,29.3929,-142.124,249.05,112.161
1,407.481,113.148,46.3697,24.0605,-266.621,-6224.84,112.135
1.02,407.312,113.566,46.8209,22.5638,-74.8351,9589.29,112.111
1.04,407.202,113.838,47.1146,14.6839,-393.996,-15958,112.1
1.06,407.13,114.012,47.3028,9.40927,-263.729,6513.35,112.096
1.08,407.06,114.187,47.4915,9.43671,1.37196,13255.1,112.092
1.1,406.989,114.363,47.6805,9.4498,0.654497,-35.8731,112.089
1.12,406.917,114.538,47.8696,9.45553,0.286447,-18.4025,112.085
