"time","x","y","position","velocity","acceleration","jerk","heading"
0,446.976,42.052,0,0,180,0,180
0.02,446.786,42.052,0.189737,3.6,180,0,-179.998
0.04,446.597,42.052,0.379473,7.2,180,0,-179.997
0.06,446.407,42.052,0.56921,10.8,180,0,-179.995
0.08,446.217,42.052,0.758947,14.4,180,0,-179.994
0.1,446.027,42.052,0.948683,18,180,0,-179.992
0.12,445.642,42.0519,1.33418,21.6,180,0,-179.984
0.14,445.184,42.0518,1.79224,25.2,180,0,-179.974
0.16,444.65,42.0515,2.3262,28.8,180,0,-179.958
0.18,444.053,42.0509,2.92317,32.4,180,0,-179.937
0.2,443.359,42.05,3.61697,36,180,0,-179.904
0.22,442.607,42.0485,4.36898,39.6,180,0,-179.862
0.24,441.785,42.0462,5.19104,43.2,180,0,-179.809
0.26,440.889,42.0428,6.08706,46.8,180,0,-179.742
0.28,439.918,42.0377,7.05782,50.4,180,0,-179.657
0.3,438.873,42.0306,8.10271,54,180,0,-179.553
0.32,437.756,42.0207,9.22053,57.6,180,0,-179.428
0.34,436.566,42.0073,10.4098,61.2,180,0,-179.278
0.36,435.307,41.9896,11.6688,64.8,180,0,-179.102
0.38,433.98,41.9665,12.9961,68.4,180,0,-178.898
0.4,432.573,41.9366,14.4042,72,180,0,-178.658
0.42,431.1,41.8987,15.8777,75.6,180,0,-178.385
0.44,429.551,41.8509,17.4275,79.2,180,0,-178.072
0.46,427.935,41.7917,19.0445,82.8,180,0,-177.72
0.48,426.242,41.7185,20.7384,86.4,180,0,-177.319
0.5,424.48,41.6292,22.5028,90,180,0,-176.87
0.52,422.648,41.5212,24.3383,93.6,180,0,-176.368
0.54,420.745,41.3914,26.2457,97.2,180,0,-175.814
0.56,418.771,41.2365,28.2255,100.8,180,0,-175.202
0.58,416.727,41.0531,30.2776,104.4,180,0,-174.531
0.6,414.614,40.8374,32.4018,108,180,0,-173.803
0.62,412.433,40.5856,34.5977,111.6,180,0,-173.019
0.64,410.184,40.2939,36.8648,115.2,180,0,-172.186
0.66,407.868,39.9581,39.205,118.8,180,0,-171.312
0.68,405.487,39.5749,41.6174,122.4,180,0,-170.414
0.7,403.042,39.142,44.1005,126,180,0,-169.513
0.72,400.531,38.6572,46.6572,129.6,180,0,-168.642
0.74,397.959,38.1209,49.285,133.2,180,0,-167.835
0.76,395.324,37.5353,51.9841,136.8,180,0,-167.136
0.78,392.624,36.9044,54.7568,140.4,180,0,-166.602
0.8,389.86,36.236,57.601,144,180,0,-166.27
0.82,387.032,35.5412,60.5127,146.339,-180,0,-166.182
0.84,384.224,34.8535,63.4035,142.739,-180,0,-166.355
0.86,381.483,34.1969,66.2225,139.139,-180,0,-166.76
0.88,378.805,33.5804,68.97,135.539,-180,0,-167.354
0.9,376.193,33.0111,71.6437,131.939,-180,0,-168.092
0.92,373.642,32.4919,74.2466,128.339,-180,0,-168.924
0.94,371.155,32.0245,76.7774,124.739,-180,0,-169.808
0.96,368.732,31.6083,79.2361,121.139,-180,0,-170.709
0.98,366.374,31.2413,81.6225,117.539,-180,0,-171.6
1,364.081,30.9203,83.9384,113.939,-180,0,-172.462
1.02,361.856,30.6422,86.1804,110.339,-180,0,-173.279
1.04,359.699,30.4028,88.3505,106.739,-180,0,-174.044
1.06,357.61,30.1983,90.449,103.139,-180,0,-174.753
1.08,355.591,30.0246,92.4756,99.5388,-180,0,-175.404
1.1,353.642,29.8783,94.4302,95.9388,-180,0,-175.997
1.12,351.763,29.7559,96.3131,92.3388,-180,0,-176.535
1.14,349.954,29.6542,98.1249,88.7388,-180,0,-177.019
1.16,348.218,29.5705,99.8635,85.1388,-180,0,-177.451
1.18,346.554,29.5022,101.528,81.5388,-180,0,-177.834
1.2,344.959,29.4467,103.125,77.9388,-180,0,-178.175
1.22,343.439,29.4024,104.646,74.3388,-180,0,-178.474
1.24,341.986,29.3671,106.098,70.7388,-180,0,-178.737
1.26,340.611,29.3396,107.474,67.1388,-180,0,-178.963
1.28,339.303,29.3182,108.782,63.5388,-180,0,-179.159
1.3,338.065,29.3019,110.02,59.9388,-180,0,-179.328
1.32,336.907,29.2898,111.179,56.3388,-180,0,-179.468
1.34,335.818,29.2809,112.267,52.7388,-180,0,-179.585
1.36,334.801,29.2744,113.285,49.1388,-180,0,-179.682
1.38,333.854,29.2699,114.231,45.5388,-180,0,-179.762
1.4,332.977,29.2668,115.109,41.9388,-180,0,-179.826
1.42,332.173,29.2648,115.913,38.3388,-180,0,-179.876
1.44,331.454,29.2635,116.631,34.7388,-180,0,-179.913
1.46,330.799,29.2627,117.286,31.1388,-180,0,-179.942
1.48,330.203,29.2622,117.883,27.5388,-180,0,-179.964
1.5,329.717,29.262,118.368,23.9388,-180,0,-179.977
1.52,329.259,29.2619,118.826,20.3388,-180,0,-179.987
1.54,328.968,29.2618,119.118,16.7388,-180,0,-179.992
1.56,328.778,29.2618,119.308,13.1388,-180,0,-179.994
1.58,328.588,29.2618,119.497,9.53877,-180,0,-179.995
1.6,328.398,29.2618,119.687,5.93877,-180,0,-179.997
1.62,328.209,29.2618,119.877,2.33877,-180,0,-179.999
