"time","x","y","position","velocity","acceleration","jerk","heading"
0,391.339,104.724,0,0,180,0,-67.932
0.02,391.41,104.548,0.189737,3.6,180,0,-67.9369
0.04,391.482,104.372,0.379473,7.2,180,0,-67.9418
0.06,391.553,104.196,0.56921,10.8,180,0,-67.9467
0.08,391.624,104.021,0.758947,14.4,180,0,-67.9517
0.1,391.695,103.845,0.948683,18,180,0,-67.9566
0.12,391.84,103.487,1.33418,21.6,180,0,-67.9717
0.14,392.012,103.063,1.79224,25.2,180,0,-67.9907
0.16,392.212,102.568,2.3262,28.8,180,0,-68.023
0.18,392.435,102.014,2.92317,32.4,180,0,-68.0663
0.2,392.694,101.37,3.61697,36,180,0,-68.1327
0.22,392.974,100.672,4.36898,39.6,180,0,-68.2117
0.24,393.278,99.9089,5.19104,43.2,180,0,-68.3097
0.26,393.609,99.0759,6.08706,46.8,180,0,-68.4393
0.28,393.964,98.1727,7.05782,50.4,180,0,-68.5881
0.3,394.344,97.1993,8.10271,54,180,0,-68.7662
0.32,394.747,96.1567,9.22053,57.6,180,0,-68.9709
0.34,395.172,95.0459,10.4098,61.2,180,0,-69.2
0.36,395.617,93.8679,11.6688,64.8,180,0,-69.4548
0.38,396.079,92.624,12.9961,68.4,180,0,-69.7295
0.4,396.564,91.3018,14.4042,72,180,0,-70.0244
0.42,397.063,89.9156,15.8777,75.6,180,0,-70.3303
0.44,397.581,88.4548,17.4275,79.2,180,0,-70.6429
0.46,398.113,86.9277,19.0445,82.8,180,0,-70.9517
0.48,398.661,85.3251,20.7384,86.4,180,0,-71.2484
0.5,399.224,83.6529,22.5028,90,180,0,-71.5192
0.52,399.802,81.9108,24.3383,93.6,180,0,-71.7474
0.54,400.397,80.0983,26.2457,97.2,180,0,-71.9189
0.56,401.009,78.2156,28.2255,100.8,180,0,-72.0139
0.58,401.642,76.2637,30.2776,104.4,180,0,-71.9961
0.6,402.301,74.2441,32.4018,108,180,0,-71.8433
0.62,402.99,72.1591,34.5977,111.6,180,0,-71.5206
0.64,403.717,70.012,36.8648,115.2,180,0,-70.9851
0.66,404.494,67.8045,39.205,118.8,180,0,-70.1673
0.68,405.334,65.543,41.6174,122.4,180,0,-68.998
0.7,406.254,63.2366,44.1005,126,180,0,-67.4038
0.72,407.277,60.8939,46.6572,129.6,-56.5962,0,-65.2633
0.74,408.406,58.5835,49.2288,126.954,-180,0,-62.5102
0.76,409.622,56.3963,51.7317,123.354,-180,0,-59.1677
0.78,410.935,54.3507,54.1631,119.754,-180,0,-55.2642
0.8,412.351,52.4651,56.5214,116.154,-180,0,-50.8003
0.82,413.868,50.754,58.809,112.554,-180,0,-45.9428
0.84,415.477,49.2311,61.025,108.954,-180,0,-40.8427
0.86,417.158,47.9042,63.1671,105.354,-180,0,-35.7262
0.88,418.889,46.7692,65.2378,101.754,-180,0,-30.8074
0.9,420.645,45.8157,67.2367,98.1538,-180,0,-26.2594
0.92,422.403,45.0269,69.1641,94.5538,-180,0,-22.1691
0.94,424.144,44.3824,71.0204,90.9538,-180,0,-18.5626
0.96,425.847,43.8625,72.8018,87.3538,-180,0,-15.4832
0.98,427.505,43.446,74.5115,83.7538,-180,0,-12.8267
1,429.112,43.1147,76.152,80.1538,-180,0,-10.5789
1.02,430.656,42.8541,77.7178,76.5538,-180,0,-8.66845
1.04,432.137,42.6504,79.2131,72.9538,-180,0,-7.0762
1.06,433.55,42.4929,80.6347,69.3538,-180,0,-5.7244
1.08,434.9,42.3718,81.9899,65.7538,-180,0,-4.59839
1.1,436.171,42.2807,83.2645,62.1538,-180,0,-3.66271
1.12,437.374,42.2125,84.4697,58.5538,-180,0,-2.89083
1.14,438.508,42.1622,85.6043,54.9538,-180,0,-2.2471
1.16,439.57,42.1259,86.667,51.3538,-180,0,-1.72435
1.18,440.559,42.1002,87.6568,47.7538,-180,0,-1.30587
1.2,441.476,42.0824,88.5734,44.1538,-180,0,-0.96198
1.22,442.32,42.0706,89.4181,40.5538,-180,0,-0.697659
1.24,443.098,42.0628,90.1954,36.9538,-180,0,-0.496789
1.26,443.806,42.0579,90.9035,33.3538,-180,0,-0.332412
1.28,444.418,42.0551,91.5156,29.7538,-180,0,-0.229065
1.3,444.988,42.0534,92.0864,26.1538,-180,0,-0.144758
1.32,445.447,42.0527,92.5445,22.5538,-180,0,-0.100949
1.34,445.903,42.0523,93.001,18.9538,-180,0,-0.0573256
1.36,446.093,42.0521,93.1908,15.3538,-180,0,-0.0471878
1.38,446.283,42.052,93.3805,11.7538,-180,0,-0.0370499
1.4,446.472,42.052,93.5703,8.1538,-180,0,-0.0269121
1.42,446.662,42.052,93.76,4.5538,-180,0,-0.0167743
1.44,446.852,42.052,93.9497,0.953798,-180,0,-0.00663648
