"time","x","y","position","velocity","acceleration","jerk","heading"
0,321.129,54.8362,0,0,0,0,0
0.02,321.319,54.8362,0.190197,9.50987,475.493,23774.7,-0.000753967
0.04,321.508,54.8362,0.379395,9.45987,-2.5,-23899.7,-0.00150793
0.06,321.699,54.8362,0.569592,9.50987,2.5,250,-0.0022619
0.08,321.889,54.8362,0.75979,9.50987,8.88178e-14,-125,-0.00301587
0.1,322.079,54.8362,0.949987,9.50987,-6.54552e-06,-0.000327276,-0.00376983
0.12,322.465,54.8362,1.33595,19.2983,489.42,24471,-0.00745796
0.14,322.924,54.8361,1.7952,22.9625,183.212,-15310.4,-0.0122339
0.16,323.46,54.836,2.33119,26.7992,191.832,430.999,-0.0198089
0.18,324.06,54.8357,2.93078,29.9796,159.021,-1640.55,-0.0297074
0.2,324.758,54.8353,3.62874,34.8981,245.926,4345.25,-0.0448402
0.22,325.515,54.8346,4.38571,37.8483,147.511,-4920.73,-0.0638092
0.24,326.343,54.8336,5.21402,41.4158,178.374,1543.14,-0.0879325
0.26,327.247,54.832,6.118,45.1987,189.145,538.548,-0.118386
0.28,328.228,54.8296,7.0989,49.0453,192.332,159.332,-0.156217
0.3,329.285,54.8263,8.15606,52.8576,190.614,-85.8921,-0.202616
0.32,330.417,54.8217,9.28769,56.5819,186.212,-220.115,-0.258491
0.34,331.624,54.8157,10.4949,60.3581,188.815,130.152,-0.323991
0.36,332.903,54.8076,11.7737,63.9418,179.185,-481.486,-0.399668
0.38,334.252,54.7973,13.1233,67.4818,176.999,-109.287,-0.485984
0.4,335.686,54.7838,14.5575,71.7093,211.373,1718.68,-0.58577
0.42,337.188,54.7671,16.0597,75.1116,170.118,-2062.74,-0.697083
0.44,338.771,54.7462,17.6427,79.1485,201.844,1586.29,-0.822503
0.46,340.425,54.7204,19.2961,82.6707,176.107,-1286.81,-0.960842
0.48,342.158,54.6891,21.0294,86.6639,199.664,1177.82,-1.11364
0.5,343.965,54.6514,22.8372,90.3915,186.376,-664.38,-1.27959
0.52,345.847,54.6063,24.7195,94.115,186.178,-9.89471,-1.45826
0.54,347.804,54.5534,26.6771,97.8785,188.175,99.8356,-1.64876
0.56,349.835,54.4913,28.7096,101.622,187.197,-48.925,-1.84939
0.58,351.941,54.4195,30.8162,105.332,185.483,-85.6925,-2.05738
0.6,354.119,54.3372,32.996,108.99,182.91,-128.646,-2.26858
0.62,356.368,54.2439,35.2467,112.536,177.282,-281.383,-2.47801
0.64,358.684,54.1394,37.5655,115.938,170.11,-358.623,-2.6784
0.66,361.069,54.0239,39.9538,119.415,173.823,185.65,-2.86004
0.68,363.518,53.8981,42.4056,122.591,158.815,-750.385,-3.01145
0.7,366.025,53.7635,44.9164,125.542,147.531,-564.212,-3.11558
0.72,368.587,53.6228,47.4821,128.284,137.134,-519.821,-3.15315
0.74,371.198,53.4795,50.0974,130.762,123.898,-661.824,-3.10462
0.76,373.853,53.3387,52.7552,132.894,106.588,-865.486,-2.94453
0.78,376.543,53.2065,55.4491,134.694,90.0153,-828.637,-2.64486
0.8,379.266,53.0905,58.1747,136.278,79.1781,-541.861,-2.19024
0.82,382.017,52.9993,60.9266,137.594,65.8043,-668.694,-1.56486
0.84,384.761,52.9422,63.672,137.27,-16.185,-4099.46,-0.777101
0.86,387.417,52.9264,66.3277,132.789,-224.072,-10394.3,0.125418
0.88,389.981,52.9533,68.8922,128.223,-228.288,-210.803,1.10212
0.9,392.464,53.0228,71.3752,124.152,-203.531,1237.83,2.11447
0.92,394.871,53.133,73.7848,120.478,-183.701,991.524,3.12759
0.94,397.212,53.2812,76.131,117.312,-158.337,1268.2,4.11297
0.96,399.491,53.464,78.4177,114.331,-149.041,464.8,5.05067
0.98,401.711,53.6775,80.6476,111.499,-141.594,372.328,5.92663
1,403.875,53.9177,82.8243,108.831,-133.388,410.308,6.73241
1.02,405.982,54.1805,84.948,106.185,-132.293,54.7753,7.47001
1.04,408.032,54.4617,87.0174,103.471,-135.693,-170.028,8.13611
1.06,410.024,54.7575,89.0314,100.701,-138.523,-141.493,8.73392
1.08,411.96,55.0644,90.9913,97.9934,-135.379,157.212,9.26881
1.1,413.836,55.3788,92.8939,95.1295,-143.195,-390.841,9.74738
1.12,415.653,55.698,94.7386,92.2378,-144.583,-69.3772,10.1704
1.14,417.41,56.0192,96.5244,89.2877,-147.509,-146.275,10.5446
1.16,419.107,56.3402,98.2515,86.354,-146.684,41.2511,10.8751
1.18,420.74,56.6582,99.9147,83.1645,-159.472,-639.423,11.1646
1.2,422.309,56.9716,101.515,79.9971,-158.374,54.8975,11.418
1.22,423.816,57.2794,103.054,76.9453,-152.589,289.236,11.6409
1.24,425.257,57.5787,104.525,73.5754,-168.495,-795.293,11.8331
1.26,426.637,57.87,105.935,70.5151,-153.015,773.99,12.0014
1.28,427.945,58.1501,107.273,66.8976,-180.874,-1392.91,12.1447
1.3,429.194,58.4201,108.551,63.8641,-151.677,1459.82,12.2681
1.32,430.378,58.6788,109.763,60.6014,-163.13,-572.662,12.3733
1.34,431.489,58.9233,110.9,56.8661,-186.767,-1181.84,12.4604
1.36,432.533,59.1549,111.97,53.4825,-169.182,879.263,12.5337
1.38,433.512,59.3731,112.973,50.173,-165.472,185.519,12.5945
1.4,434.423,59.5773,113.907,46.6904,-174.13,-432.932,12.6446
1.42,435.271,59.7677,114.776,43.4346,-162.792,566.915,12.6854
1.44,436.047,59.9425,115.571,39.7631,-183.574,-1039.12,12.7175
1.46,436.743,60.0998,116.284,35.6755,-204.379,-1040.26,12.7412
1.48,437.378,60.2437,116.936,32.5664,-155.454,2446.26,12.7598
1.5,437.957,60.3747,117.53,29.7009,-143.279,608.752,12.774
1.52,438.43,60.4821,118.014,24.2386,-273.115,-6491.79,12.7829
1.54,438.875,60.5831,118.471,22.821,-70.8788,10111.8,12.7903
1.56,439.162,60.6483,118.765,14.7156,-405.271,-16719.6,12.7942
1.58,439.347,60.6902,118.955,9.46444,-262.556,7135.72,12.7958
1.6,439.531,60.7321,119.144,9.46444,2.67848e-09,13127.8,12.7974
1.62,439.716,60.7741,119.333,9.46555,0.055411,2.77055,12.799
1.64,439.901,60.816,119.522,9.46444,-0.055411,-5.5411,12.8006
