"time","x","y","position","velocity","acceleration","jerk","heading"
0,0,0,0,0,150,7500,0
0.02,0.03,0,0.03,3,150,0,0
0.04,0.12,0,0.12,6,150,0,0
0.06,0.27,0,0.27,9,150,0,0
0.08,0.48,0,0.48,12,150,0,0
0.1,0.75,0,0.75,15,150,0,0
0.12,1.08,0,1.08,18,150,0,0
0.14,1.47,0,1.47,21,150,0,0
0.16,1.92,0,1.92,24,150,0,0
0.18,2.43,0,2.43,27,150,0,0
0.2,3,0,3,30,150,0,0
0.22,3.63,0,3.63,33,150,0,0
0.24,4.32,0,4.32,36,150,0,0
0.26,5.07,0,5.07,39,150,0,0
0.28,5.88,0,5.88,42,150,0,0
0.3,6.75,0,6.75,45,150,0,0
0.32,7.68,0,7.68,48,150,0,0
0.34,8.67,0,8.67,51,150,0,0
0.36,9.72,0,9.72,54,150,0,0
0.38,10.83,0,10.83,57,150,0,0
0.4,12,0,12,60,150,0,0
0.42,13.23,0,13.23,63,150,0,0
0.44,14.52,0,14.52,66,150,0,0
0.46,15.87,0,15.87,69,150,0,0
0.48,17.28,0,17.28,72,150,0,0
0.5,18.75,0,18.75,75,150,0,0
0.52,20.28,0,20.28,78,150,0,0
0.54,21.87,0,21.87,81,150,0,0
0.56,23.52,0,23.52,84,150,0,0
0.58,25.23,0,25.23,87,150,0,0
0.6,27,0,27,90,150,0,0
0.62,28.83,0,28.83,93,150,0,0
0.64,30.72,0,30.72,96,150,0,0
0.66,32.67,0,32.67,99,150,0,0
0.68,34.68,0,34.68,102,150,0,0
0.7,36.75,0,36.75,105,150,0,0
0.72,38.88,0,38.88,108,150,0,0
0.74,41.07,0,41.07,111,150,0,0
0.76,43.32,0,43.32,114,150,0,0
0.78,45.63,0,45.63,117,150,0,0
0.8,48,0,48,120,150,0,0
0.82,50.4282,0,50.4282,121.949,-150,-15000,0
0.84,52.8371,0,52.8371,118.949,-150,0,0
0.86,55.1861,0,55.1861,115.949,-150,0,0
0.88,57.4751,0,57.4751,112.949,-150,0,0
0.9,59.7041,0,59.7041,109.949,-150,0,0
0.92,61.8731,0,61.8731,106.949,-150,0,0
0.94,63.982,0,63.982,103.949,-150,0,0
0.96,66.031,0,66.031,100.949,-150,0,0
0.98,68.02,0,68.02,97.949,-150,0,0
1,69.949,0,69.949,94.949,-150,0,0
1.02,71.818,0,71.818,91.949,-150,0,0
1.04,73.6269,0,73.6269,88.949,-150,0,0
1.06,75.3759,0,75.3759,85.949,-150,0,0
1.08,77.0649,0,77.0649,82.949,-150,0,0
1.1,78.6939,0,78.6939,79.949,-150,0,0
1.12,80.2629,0,80.2629,76.949,-150,0,0
1.14,81.7718,0,81.7718,73.949,-150,0,0
1.16,83.2208,0,83.2208,70.949,-150,0,0
1.18,84.6098,0,84.6098,67.949,-150,0,0
1.2,85.9388,0,85.9388,64.949,-150,0,0
1.22,87.2077,0,87.2077,61.949,-150,0,0
1.24,88.4167,0,88.4167,58.949,-150,0,0
1.26,89.5657,0,89.5657,55.949,-150,0,0
1.28,90.6547,0,90.6547,52.949,-150,0,0
1.3,91.6837,0,91.6837,49.949,-150,0,0
1.32,92.6526,0,92.6526,46.949,-150,0,0
1.34,93.5616,0,93.5616,43.949,-150,0,0
1.36,94.4106,0,94.4106,40.949,-150,0,0
1.38,95.1996,0,95.1996,37.949,-150,0,0
1.4,95.9286,0,95.9286,34.949,-150,0,0
1.42,96.5975,0,96.5975,31.949,-150,0,0
1.44,97.2065,0,97.2065,28.949,-150,0,0
1.46,97.7555,0,97.7555,25.949,-150,0,0
1.48,98.2445,0,98.2445,22.949,-150,0,0
1.5,98.6735,0,98.6735,19.949,-150,0,0
1.52,99.0424,0,99.0424,16.949,-150,0,0
1.54,99.3514,0,99.3514,13.949,-150,0,0
1.56,99.6004,0,99.6004,10.949,-150,0,0
1.58,99.7894,0,99.7894,7.94897,-150,0,0
1.6,99.9184,0,99.9184,4.94897,-150,0,0
1.62,99.9873,0,99.9873,1.94897,-150,0,0
1.64,100,0,100,0,0,7500,0
