"time","x","y","position","velocity","acceleration","jerk","heading"
0,514.143,273.193,0,0,0,0,-180
0.02,513.972,273.193,0.170644,8.53219,426.61,21330.5,-179.991
0.04,513.802,273.193,0.341288,8.53219,1.47526e-07,-21330.5,-179.982
0.06,513.631,273.193,0.511931,8.53219,2.94484e-07,7.34788e-06,-179.973
0.08,513.459,273.193,0.683575,8.58219,2.5,125,-179.964
0.1,513.289,273.193,0.854219,8.53219,-2.5,-250,-179.955
0.12,513.066,273.193,1.07698,11.1382,130.301,6640.03,-179.935
0.14,512.662,273.192,1.48106,20.2039,453.287,16149.3,-179.878
0.16,512.259,273.191,1.88388,20.1408,-3.1545,-22822.1,-179.82
0.18,511.764,273.189,2.37935,24.7734,231.627,11739.1,-179.711
0.2,511.25,273.186,2.89294,25.6796,45.3116,-9315.78,-179.591
0.22,510.655,273.182,3.48817,29.7615,204.095,7939.17,-179.397
0.24,510.029,273.174,4.11401,31.2923,76.5373,-6377.89,-179.167
0.26,509.362,273.163,4.78076,33.3373,102.253,1285.76,-178.883
0.28,508.647,273.147,5.4964,35.7822,122.242,999.485,-178.518
0.3,507.892,273.124,6.25203,37.7813,99.9554,-1114.34,-178.072
0.32,507.102,273.095,7.04241,39.5191,86.8926,-653.141,-177.54
0.34,506.279,273.055,7.8666,41.2092,84.5046,-119.402,-176.906
0.36,505.427,273.004,8.71998,42.669,72.9894,-575.756,-176.163
0.38,504.546,272.938,9.60365,44.1839,75.7461,137.834,-175.306
0.4,503.638,272.856,10.5149,45.5611,68.8571,-344.451,-174.33
0.42,502.728,272.757,11.4298,45.7483,9.36401,-2974.65,-173.241
0.44,501.838,272.643,12.3272,44.8683,-43.9997,-2668.19,-172.082
0.46,500.969,272.514,13.2059,43.9349,-46.6702,-133.523,-170.858
0.48,500.117,272.367,14.0705,43.2289,-35.3003,568.494,-169.575
0.5,499.284,272.203,14.9191,42.4325,-39.8197,-225.967,-168.235
0.52,498.468,272.024,15.755,41.7954,-31.8576,398.104,-166.844
0.54,497.666,271.825,16.5815,41.3246,-23.5386,415.947,-165.417
0.56,496.875,271.609,17.401,40.9718,-17.6419,294.838,-163.961
0.58,496.097,271.375,18.214,40.6518,-15.9973,82.2279,-162.483
0.6,495.329,271.121,19.0229,40.4432,-10.4334,278.195,-160.991
0.62,494.569,270.848,19.83,40.3547,-4.4227,300.536,-159.491
0.64,493.816,270.555,20.6384,40.4207,3.29709,385.989,-157.993
0.66,493.07,270.242,21.4477,40.4659,2.26255,-51.7271,-156.503
0.68,492.328,269.908,22.2611,40.6699,10.2002,396.884,-155.028
0.7,491.588,269.552,23.0816,41.0259,17.7982,379.896,-153.575
0.72,490.853,269.175,23.9076,41.2993,13.6712,-206.346,-152.15
0.74,490.12,268.776,24.7428,41.7612,23.0952,471.199,-150.756
0.76,489.389,268.354,25.587,42.2064,22.2606,-41.7293,-149.396
0.78,488.658,267.911,26.4417,42.7384,26.5988,216.91,-148.076
0.8,487.929,267.445,27.3072,43.2727,26.7167,5.89404,-146.799
0.82,487.199,266.956,28.1858,43.9307,32.8977,309.048,-145.571
0.84,486.47,266.446,29.0751,44.4679,26.8626,-301.756,-144.385
0.86,485.743,265.913,29.9761,45.0454,28.8715,100.444,-143.243
0.88,485.017,265.359,30.8897,45.6819,31.826,147.727,-142.149
0.9,484.29,264.784,31.8166,46.3448,33.1461,66.0056,-141.105
0.92,483.564,264.187,32.7562,46.9826,31.8905,-62.7789,-140.113
