"time","x","y","position","velocity","acceleration","jerk","heading"
0,504.182,295.734,0,0,150,0,-180
0.02,504.008,295.734,0.173205,3,150,0,-179.997
0.04,503.835,295.734,0.34641,6,150,0,-179.993
0.06,503.662,295.734,0.519615,9,150,0,-179.99
0.08,503.489,295.734,0.69282,12,150,0,-179.986
0.1,503.316,295.734,0.866025,15,150,0,-179.983
0.12,503.087,295.734,1.09471,18,150,0,-179.975
0.14,502.669,295.734,1.51286,21,150,0,-179.954
0.16,502.251,295.734,1.93102,24,150,0,-179.932
0.18,501.727,295.733,2.45505,27,150,0,-179.891
0.2,501.182,295.732,3,30,150,0,-179.846
0.22,500.535,295.73,3.64641,33,150,0,-179.773
0.24,499.849,295.727,4.33237,36,116.763,0,-179.686
0.26,499.111,295.722,5.0709,38.8199,46.455,0,-179.58
0.28,498.324,295.715,5.8582,39.8199,7.09006,0,-179.446
0.3,497.526,295.707,6.65591,40,0,0,-179.292
0.32,496.726,295.696,7.45591,40,0,0,-179.121
0.34,495.926,295.682,8.25591,40,0,0,-178.933
0.36,495.126,295.666,9.05591,40,0,0,-178.728
0.38,494.326,295.647,9.85591,40,0,0,-178.501
0.4,493.527,295.624,10.6559,40,0,0,-178.255
0.42,492.727,295.598,11.4559,40,0,0,-177.992
0.44,491.928,295.568,12.2559,40,0,0,-177.712
0.46,491.128,295.534,13.0559,40,0,0,-177.414
0.48,490.329,295.496,13.8559,40,0,0,-177.087
0.5,489.531,295.453,14.6559,40,0,0,-176.757
0.52,488.732,295.406,15.4559,40,0,0,-176.406
0.54,487.934,295.353,16.2559,40,0,0,-176.037
0.56,487.136,295.295,17.0559,40,0,0,-175.664
0.58,486.338,295.232,17.8559,40,0,0,-175.262
0.6,485.541,295.163,18.6559,40,0,0,-174.856
0.62,484.745,295.089,19.4559,40,0,0,-174.44
0.64,483.949,295.008,20.2559,40,0,0,-174.017
0.66,483.153,294.922,21.0559,40,0,0,-173.593
0.68,482.359,294.83,21.8559,40,0,0,-173.166
0.7,481.565,294.732,22.6559,40,0,0,-172.749
0.72,480.772,294.628,23.4559,40,0,0,-172.337
0.74,479.979,294.518,24.2559,40,0,0,-171.939
0.76,479.187,294.403,25.0559,40,0,0,-171.57
0.78,478.397,294.283,25.8559,40,0,0,-171.223
0.8,477.606,294.159,26.6559,40,0,0,-170.908
0.82,476.817,294.03,27.4559,40,0,0,-170.636
0.84,476.028,293.898,28.2559,40,0,0,-170.404
0.86,475.239,293.763,29.0559,40,0,0,-170.203
0.88,474.451,293.626,29.8559,40,0,0,-170.076
0.9,473.663,293.487,30.6559,40,0,0,-170.002
0.92,472.875,293.347,31.4559,40,0,0,-169.964
0.94,472.088,293.207,32.2559,40,0,0,-169.978
0.96,471.3,293.069,33.0559,40,0,0,-170.062
0.98,470.512,292.931,33.8559,40,0,0,-170.185
1,469.723,292.795,34.6559,40,0,0,-170.351
1.02,468.934,292.662,35.4559,40,0,0,-170.563
1.04,468.145,292.533,36.2559,40,0,0,-170.81
1.06,467.355,292.406,37.0559,40,0,0,-171.077
1.08,466.564,292.284,37.8559,40,0,0,-171.389
1.1,465.773,292.167,38.6559,40,0,0,-171.717
1.12,464.981,292.054,39.4559,40,0,0,-172.059
1.14,464.189,291.946,40.2559,40,0,0,-172.414
1.16,463.395,291.842,41.0559,40,0,0,-172.779
1.18,462.601,291.744,41.8559,40,0,0,-173.149
1.2,461.807,291.651,42.6559,40,0,0,-173.522
1.22,461.011,291.564,43.4559,40,0,0,-173.896
1.24,460.216,291.481,44.2559,40,0,0,-174.266
1.26,459.419,291.404,45.0559,40,0,0,-174.631
1.28,458.623,291.332,45.8559,40,0,0,-174.995
1.3,457.826,291.264,46.6559,40,0,0,-175.348
1.32,457.028,291.202,47.4559,40,0,0,-175.693
1.34,456.23,291.144,48.2559,40,0,0,-176.03
1.36,455.432,291.091,49.0559,40,0,0,-176.358
1.38,454.633,291.043,49.8559,40,0,0,-176.675
1.4,453.835,290.998,50.6559,40,0,0,-176.98
1.42,453.036,290.958,51.4559,40,0,0,-177.275
1.44,452.236,290.922,52.2559,40,0,0,-177.56
1.46,451.437,290.89,53.0559,40,0,0,-177.835
1.48,450.638,290.862,53.8559,40,0,0,-178.098
1.5,449.838,290.837,54.6559,40,0,0,-178.349
1.52,449.038,290.816,55.4559,40,0,0,-178.591
1.54,448.238,290.798,56.2559,40,0,0,-178.822
1.56,447.439,290.783,57.0559,40,0,0,-179.044
1.58,446.639,290.771,57.8559,40,0,0,-179.254
1.6,445.839,290.762,58.6559,40,0,0,-179.452
1.62,445.039,290.756,59.4559,40,0,0,-179.641
1.64,444.239,290.752,60.2559,40,0,0,-179.819
1.66,443.439,290.751,61.0559,40,0,0,-179.988
1.68,442.639,290.752,61.8559,40,0,0,179.822
1.7,441.839,290.756,62.6559,40,0,0,179.629
1.72,441.039,290.763,63.4559,40,0,0,179.45
1.74,440.239,290.772,64.2559,40,0,0,179.283
1.76,439.439,290.783,65.0559,40,0,0,179.119
1.78,438.639,290.796,65.8559,40,0,0,178.981
1.8,437.839,290.812,66.6559,40,0,0,178.844
1.82,437.039,290.829,67.4559,40,0,0,178.725
1.84,436.24,290.847,68.2559,40,0,0,178.62
1.86,435.44,290.867,69.0559,40,0,0,178.52
1.88,434.64,290.889,69.8559,40,0,0,178.451
1.9,433.84,290.911,70.6559,40,0,0,178.39
1.92,433.041,290.934,71.4559,40,0,0,178.35
1.94,432.241,290.957,72.2559,40,0,0,178.33
1.96,431.441,290.981,73.0559,40,0,0,178.329
1.98,430.642,291.004,73.8559,40,0,0,178.353
2,429.842,291.027,74.6559,40,0,0,178.412
2.02,429.042,291.049,75.4559,40,0,0,178.491
2.04,428.243,291.069,76.2559,40,0,0,178.599
2.06,427.443,291.088,77.0559,40,0,0,178.756
2.08,426.643,291.104,77.8559,40,0,0,178.944
2.1,425.843,291.118,78.6559,40,0,0,179.169
2.12,425.043,291.128,79.4559,40,0,0,179.446
2.14,424.243,291.134,80.2559,40,0,0,179.769
2.16,423.443,291.135,81.0559,40,0,0,-179.874
2.18,422.643,291.131,81.8559,40,0,0,-179.461
2.2,421.843,291.12,82.6559,40,0,0,-178.983
2.22,421.044,291.103,83.4559,40,0,0,-178.464
2.24,420.244,291.078,84.2559,40,0,0,-177.909
2.26,419.445,291.045,85.0559,40,-4.89229,0,-177.315
2.28,418.646,291.003,85.8559,40,-74.8923,0,-176.657
2.3,417.866,290.953,86.6375,38.5652,-127.341,0,-175.99
2.32,417.125,290.897,87.3805,36.1481,-150,0,-175.34
2.34,416.426,290.836,88.0816,33.1481,-150,0,-174.713
2.36,415.807,290.776,88.7042,30.1481,-150,0,-174.142
2.38,415.243,290.715,89.271,27.1481,-150,0,-173.624
2.4,414.73,290.656,89.7874,24.1481,-150,0,-173.152
2.42,414.298,290.602,90.223,21.1481,-116.545,0,-172.757
2.44,413.922,290.553,90.6022,18.1481,-59.6761,0,-172.416
2.46,413.546,290.502,90.9813,15.1481,-2.80674,0,-172.074
2.48,413.245,290.459,91.2852,15,0,0,-171.807
2.5,412.948,290.416,91.5852,15,0,0,-171.543
2.52,412.652,290.371,91.8852,15,0,0,-171.28
2.54,412.355,290.325,92.1852,15,0,0,-171.027
2.56,412.059,290.277,92.4852,15,0,0,-170.78
2.58,411.763,290.229,92.7852,15,0,0,-170.534
2.6,411.467,290.179,93.0852,15,0,0,-170.291
2.62,411.172,290.127,93.3852,15,0,0,-170.057
2.64,410.876,290.075,93.6852,15,0,0,-169.824
2.66,410.581,290.021,93.9852,15,0,0,-169.59
2.68,410.286,289.966,94.2852,15,0,0,-169.367
2.7,409.992,289.91,94.5852,15,0,0,-169.146
2.72,409.697,289.853,94.8852,15,0,0,-168.924
2.74,409.403,289.795,95.1852,15,0,0,-168.719
2.76,409.109,289.736,95.4852,15,0,0,-168.524
2.78,408.815,289.675,95.7852,15,0,0,-168.33
2.8,408.521,289.614,96.0852,15,0,0,-168.139
2.82,408.228,289.552,96.3852,15,0,0,-167.957
2.84,407.934,289.489,96.6852,15,0,0,-167.775
2.86,407.641,289.425,96.9852,15,0,0,-167.593
2.88,407.348,289.36,97.2852,15,0,0,-167.426
2.9,407.056,289.294,97.5852,15,0,0,-167.259
2.92,406.763,289.227,97.8852,15,0,0,-167.093
2.94,406.471,289.16,98.1852,15,0,0,-166.941
2.96,406.179,289.092,98.4852,15,0,0,-166.798
2.98,405.887,289.023,98.7852,15,0,0,-166.656
3,405.595,288.953,99.0852,15,0,0,-166.516
3.02,405.303,288.882,99.3852,15,0,0,-166.383
3.04,405.012,288.811,99.6852,15,0,0,-166.25
3.06,404.721,288.74,99.9852,15,0,0,-166.116
3.08,404.43,288.667,100.285,15,0,0,-166.002
3.1,404.139,288.594,100.585,15,0,0,-165.888
3.12,403.848,288.521,100.885,15,0,0,-165.775
3.14,403.557,288.447,101.185,15,0,0,-165.669
3.16,403.266,288.372,101.485,15,0,0,-165.567
3.18,402.976,288.297,101.785,15,0,0,-165.466
3.2,402.686,288.221,102.085,15,0,0,-165.368
3.22,402.395,288.145,102.385,15,0,0,-165.277
3.24,402.105,288.069,102.685,15,0,0,-165.187
3.26,401.815,287.992,102.985,15,0,0,-165.096
3.28,401.526,287.914,103.285,15,0,0,-165.02
3.3,401.236,287.837,103.585,15,0,0,-164.946
3.32,400.946,287.758,103.885,15,0,0,-164.871
3.34,400.657,287.68,104.185,15,0,0,-164.799
3.36,400.367,287.601,104.485,15,0,0,-164.728
3.38,400.078,287.522,104.785,15,0,0,-164.658
3.4,399.789,287.442,105.085,15,0,0,-164.592
3.42,399.499,287.362,105.385,15,0,0,-164.539
3.44,399.21,287.282,105.685,15,0,0,-164.486
3.46,398.921,287.202,105.985,15,0,0,-164.432
3.48,398.632,287.121,106.285,15,0,0,-164.381
3.5,398.344,287.04,106.585,15,0,0,-164.329
3.52,398.055,286.959,106.885,15,0,0,-164.278
3.54,397.766,286.877,107.185,15,0,0,-164.235
3.56,397.477,286.796,107.485,15,0,0,-164.197
3.58,397.189,286.714,107.785,15,0,0,-164.159
3.6,396.9,286.632,108.085,15,0,0,-164.121
3.62,396.612,286.55,108.385,15,0,0,-164.086
3.64,396.323,286.467,108.685,15,0,0,-164.05
3.66,396.035,286.385,108.985,15,0,0,-164.015
3.68,395.746,286.302,109.285,15,0,0,-163.989
3.7,395.458,286.219,109.585,15,0,0,-163.964
3.72,395.17,286.136,109.885,15,0,0,-163.938
3.74,394.882,286.053,110.185,15,0,0,-163.915
3.76,394.593,285.97,110.485,15,0,0,-163.892
3.78,394.305,285.886,110.785,15,0,0,-163.869
3.8,394.017,285.803,111.085,15,0,0,-163.849
3.82,393.729,285.72,111.385,15,0,0,-163.835
3.84,393.441,285.636,111.685,15,0,0,-163.82
3.86,393.153,285.552,111.985,15,0,0,-163.806
3.88,392.865,285.469,112.285,15,-32.0843,0,-163.794
3.9,392.576,285.385,112.585,15,-65.8343,0,-163.783
3.92,392.288,285.301,112.885,15,-99.5843,0,-163.771
3.94,392.089,285.243,113.093,13.611,-112.5,0,-163.765
3.96,391.945,285.201,113.243,11.361,-112.5,0,-163.763
3.98,391.801,285.159,113.393,9.11105,-112.5,0,-163.76
4,391.657,285.117,113.543,6.86105,-112.5,0,-163.758
4.02,391.513,285.075,113.693,4.61105,-112.5,0,-163.756
4.04,391.369,285.033,113.843,2.36105,-112.5,0,-163.753
4.06,391.225,284.991,113.993,0.111047,-112.5,0,-163.751
