"time","x","y","position","velocity","acceleration","jerk","heading"
0,504.182,310.734,0,0,0,0,-180
0.02,504.007,310.734,0.174785,8.73927,436.963,21848.2,-179.997
0.04,503.833,310.734,0.348833,8.70236,-1.8455,-21940.4,-179.993
0.06,503.659,310.734,0.522618,8.68927,-0.654498,59.5502,-179.99
0.08,503.485,310.734,0.696665,8.70236,0.654498,65.4498,-179.986
0.1,503.312,310.734,0.870451,8.68927,-0.654498,-65.4498,-179.983
0.12,503.08,310.734,1.10154,11.5547,143.272,7196.35,-179.975
0.14,502.657,310.734,1.52504,21.1749,481.008,16886.8,-179.954
0.16,502.233,310.734,1.9488,21.188,0.654494,-24017.7,-179.932
0.18,501.698,310.733,2.48354,26.7367,277.438,13839.2,-179.891
0.2,501.142,310.732,3.04032,27.8391,55.1179,-11116,-179.846
0.22,500.476,310.73,3.70643,33.3057,273.331,10910.7,-179.773
0.24,499.767,310.727,4.41522,35.4392,106.672,-8332.99,-179.686
0.26,499.001,310.722,5.18098,38.2884,142.461,1789.49,-179.58
0.28,498.179,310.714,6.0031,41.1056,140.861,-79.9991,-179.446
0.3,497.341,310.706,6.84145,41.9179,40.6123,-5012.45,-179.292
0.32,496.496,310.694,7.6863,42.2422,16.2153,-1219.85,-179.121
0.34,495.647,310.679,8.53564,42.467,11.2436,-248.585,-178.933
0.36,494.793,310.662,9.38947,42.6914,11.2202,-1.17113,-178.728
0.38,493.934,310.642,10.2491,42.9827,14.563,167.138,-178.501
0.4,493.07,310.617,11.1129,43.1867,10.1989,-218.204,-178.255
0.42,492.201,310.589,11.9821,43.4638,13.855,182.806,-177.992
0.44,491.329,310.556,12.855,43.6433,8.97799,-243.851,-177.712
0.46,490.451,310.519,13.7337,43.9369,14.6789,285.043,-177.414
0.48,489.567,310.477,14.6192,44.2756,16.9327,112.694,-177.087
0.5,488.682,310.429,15.5048,44.2776,0.099913,-841.641,-176.757
0.52,487.792,310.376,16.3971,44.6136,16.803,835.155,-176.406
0.54,486.897,310.317,17.2934,44.8181,10.2233,-328.985,-176.037
0.56,486.002,310.252,18.1912,44.8878,3.48525,-336.903,-175.664
0.58,485.099,310.181,19.0969,45.2863,19.9253,822.002,-175.262
0.6,484.196,310.103,20.0032,45.3136,1.36367,-928.081,-174.856
0.62,483.292,310.018,20.9115,45.417,5.17251,190.442,-174.44
0.64,482.385,309.926,21.8224,45.5426,6.27726,55.2377,-174.017
0.66,481.479,309.828,22.734,45.5817,1.9586,-215.933,-173.593
0.68,480.574,309.723,23.6451,45.555,-1.33661,-164.76,-173.166
0.7,479.672,309.612,24.5543,45.4598,-4.76295,-171.317,-172.749
0.72,478.772,309.494,25.462,45.3826,-3.85848,45.2233,-172.337
0.74,477.876,309.37,26.3667,45.2394,-7.15719,-164.935,-171.939
0.76,476.988,309.241,27.2637,44.8455,-19.6987,-627.074,-171.57
0.78,476.108,309.107,28.1536,44.4953,-17.508,109.535,-171.223
0.8,475.236,308.971,29.0367,44.1564,-16.9478,28.0062,-170.908
0.82,474.376,308.83,29.9074,43.5343,-31.1041,-707.813,-170.636
0.84,473.528,308.688,30.7681,43.0352,-24.9559,307.408,-170.404
0.86,472.687,308.544,31.6212,42.6544,-19.0382,295.887,-170.203
0.88,471.866,308.402,32.4542,41.6535,-50.0466,-1550.42,-170.076
0.9,471.059,308.259,33.2738,40.9769,-33.8259,811.035,-170.002
0.92,470.261,308.117,34.0841,40.5144,-23.1261,534.988,-169.964
0.94,469.478,307.978,34.8798,39.7845,-36.4953,-668.458,-169.978
0.96,468.711,307.844,35.6578,38.9001,-44.222,-386.336,-170.062
0.98,467.955,307.711,36.4255,38.3896,-25.5254,934.831,-170.185
1,467.209,307.583,37.1827,37.8588,-26.5362,-50.5412,-170.351
1.02,466.475,307.459,37.9274,37.2315,-31.3672,-241.551,-170.563
1.04,465.749,307.34,38.6622,36.7406,-24.5453,341.098,-170.81
1.06,465.028,307.224,39.3924,36.5121,-11.4222,656.155,-171.077
1.08,464.318,307.115,40.1111,35.9336,-28.9277,-875.273,-171.389
1.1,463.612,307.011,40.8248,35.6868,-12.3391,829.427,-171.717
1.12,462.909,306.91,41.5353,35.5243,-8.1268,210.617,-172.059
