"time","x","y","position","velocity","acceleration","jerk","heading"
0,404.507,289.407,0,0,0,0,-45
0.02,404.629,289.284,0.173241,8.66205,433.102,21655.1,-45.0027
0.04,404.753,289.161,0.347922,8.73407,3.60098,-21475.1,-45.0055
0.06,404.875,289.038,0.521163,8.66205,-3.60098,-360.098,-45.0082
0.08,404.999,288.915,0.695844,8.73407,3.60098,360.098,-45.011
0.1,405.121,288.792,0.869085,8.66205,-3.60098,-360.098,-45.0137
0.12,405.284,288.629,1.09937,11.514,142.599,7310.02,-45.0182
0.14,405.582,288.331,1.52077,21.0704,477.819,16761,-45.0289
0.16,405.879,288.033,1.94148,21.0351,-1.76627,-23979.3,-45.0396
0.18,406.253,287.658,2.47141,26.4968,273.084,13742.5,-45.0624
0.2,406.643,287.268,3.02251,27.5548,52.9003,-11009.2,-45.0877
0.22,407.074,286.836,3.63305,30.5272,148.621,4786.05,-45.1267
0.24,407.505,286.402,4.24415,30.5549,1.38277,-7361.92,-45.1678
0.26,407.936,285.969,4.85564,30.5744,0.975925,-20.3422,-45.2131
0.28,408.368,285.533,5.46993,30.7147,7.01565,301.986,-45.2691
0.3,408.802,285.094,6.08632,30.8196,5.24595,-88.4847,-45.3304
0.32,409.236,284.655,6.7041,30.889,3.46885,-88.8555,-45.397
0.34,409.67,284.215,7.32215,30.9023,0.665372,-140.174,-45.4673
0.36,410.105,283.772,7.94298,31.0413,6.95179,314.321,-45.5455
0.38,410.541,283.327,8.56541,31.1219,4.02576,-146.302,-45.6298
0.4,410.976,282.882,9.18796,31.1275,0.281083,-187.234,-45.7172
0.42,411.412,282.434,9.81285,31.2444,5.84739,278.315,-45.8108
0.44,411.847,281.986,10.4375,31.2336,-0.539909,-319.365,-45.9089
0.46,412.284,281.535,11.066,31.4248,9.55643,504.817,-46.0162
0.48,412.72,281.081,11.6954,31.4691,2.21932,-366.856,-46.1267
0.5,413.155,280.628,12.3238,31.4207,-2.42213,-232.072,-46.2389
0.52,413.593,280.171,12.9564,31.629,10.4166,641.934,-46.3615
0.54,414.029,279.712,13.5897,31.6673,1.91586,-425.035,-46.4869
0.56,414.465,279.252,14.2232,31.6705,0.157091,-87.9386,-46.6178
0.58,414.901,278.789,14.859,31.7916,6.05578,294.935,-46.7524
0.6,415.335,278.326,15.4939,31.7467,-2.24742,-415.16,-46.8888
0.62,415.772,277.859,16.1336,31.9833,11.8315,703.947,-47.0377
0.64,416.207,277.39,16.773,31.9714,-0.5944,-621.295,-47.1881
0.66,416.641,276.92,17.4125,31.9767,0.264783,42.9591,-47.3415
0.68,417.075,276.448,18.0544,32.0949,5.90901,282.211,-47.5009
0.7,417.509,275.973,18.6972,32.1372,2.11761,-189.57,-47.6633
0.72,417.943,275.496,19.3421,32.2465,5.46383,167.311,-47.8338
0.74,418.375,275.018,19.9868,32.2347,-0.58994,-302.688,-48.0057
0.76,418.807,274.537,20.6331,32.3148,4.00691,229.842,-48.1806
0.78,419.238,274.053,21.2808,32.3863,3.57138,-21.7761,-48.3632
0.8,419.668,273.568,21.9297,32.4415,2.76091,-40.5236,-48.5497
0.82,420.097,273.08,22.5791,32.4717,1.50915,-62.5882,-48.7407
0.84,420.525,272.59,23.23,32.5427,3.55083,102.084,-48.9339
0.86,420.953,272.098,23.8821,32.6077,3.25219,-14.9322,-49.1317
0.88,421.38,271.604,24.5352,32.6533,2.27999,-48.6096,-49.3351
0.9,421.805,271.106,25.1892,32.7007,2.36602,4.30113,-49.5413
0.92,422.229,270.608,25.8437,32.7275,1.34332,-51.1346,-49.7516
0.94,422.652,270.106,26.4999,32.8095,4.10037,137.852,-49.9648
0.96,423.074,269.602,27.1571,32.8594,2.49425,-80.3062,-50.1838
0.98,423.495,269.096,27.8154,32.9142,2.73819,12.1971,-50.4065
1,423.913,268.588,28.4738,32.9178,0.181216,-127.849,-50.6309
1.02,424.331,268.076,29.1342,33.0223,5.22626,252.252,-50.8598
1.04,424.747,267.563,29.7949,33.0359,0.679843,-227.321,-51.0916
