"time","x","y","position","velocity","acceleration","jerk","heading"
0,393.9,278.8,0,0,150,0,-45
0.02,394.022,278.678,0.173205,3,150,0,-45.0027
0.04,394.145,278.555,0.34641,6,150,0,-45.0055
0.06,394.267,278.433,0.519615,9,150,0,-45.0082
0.08,394.39,278.31,0.69282,12,150,0,-45.011
0.1,394.512,278.188,0.866025,15,150,0,-45.0137
0.12,394.674,278.026,1.09471,18,150,0,-45.0182
0.14,394.97,277.73,1.51286,21,150,0,-45.0289
0.16,395.265,277.434,1.93102,24,150,0,-45.0396
0.18,395.635,277.063,2.45505,27,150,0,-45.0624
0.2,396.02,276.678,3,30,150,0,-45.0877
0.22,396.477,276.22,3.64641,33,150,0,-45.1297
0.24,396.96,275.733,4.33237,36,150,0,-45.1778
0.26,397.482,275.208,5.07309,39,150,0,-45.2357
0.28,398.053,274.631,5.88465,42,150,0,-45.3186
0.3,398.666,274.01,6.75708,45,150,0,-45.4144
0.32,399.319,273.347,7.68717,48,150,0,-45.5308
0.34,400.011,272.641,8.67644,51,150,0,-45.6701
0.36,400.743,271.89,9.72525,54,150,0,-45.8303
0.38,401.514,271.094,10.8333,57,150,0,-46.0222
0.4,402.322,270.253,12,60,150,0,-46.2389
0.42,403.173,269.36,13.2333,63,150,0,-46.4942
0.44,404.06,268.422,14.5243,66,150,0,-46.7806
0.46,404.98,267.437,15.8718,69,150,0,-47.1051
0.48,405.937,266.4,17.2829,72,150,0,-47.4692
0.5,406.927,265.314,18.7525,75,150,0,-47.8771
0.52,407.949,264.175,20.2825,78,150,0,-48.3267
0.54,409,262.984,21.8713,81,150,0,-48.827
0.56,410.081,261.736,23.5227,84,150,0,-49.3773
0.58,411.188,260.433,25.2317,87,150,0,-49.9764
0.6,412.317,259.073,27,90,150,0,-50.6309
0.62,413.47,257.65,28.8312,93,150,0,-51.3417
0.64,414.641,256.166,30.7216,96,150,0,-52.1078
0.66,415.828,254.619,32.6717,99,150,0,-52.9317
0.68,417.027,253.006,34.6816,102,150,0,-53.8129
0.7,418.236,251.325,36.7513,105,150,0,-54.7497
0.72,419.449,249.576,38.8807,108,150,0,-55.7409
0.74,420.666,247.755,41.0704,111,150,0,-56.7867
0.76,421.881,245.86,43.3213,114,150,0,-57.8813
0.78,423.089,243.892,45.6313,117,150,0,-59.0188
0.8,424.288,241.849,48,120,6.65918e-06,0,-60.193
0.82,425.459,239.754,50.4,120,0,0,-61.3822
0.84,426.587,237.635,52.8,120,0,0,-62.5616
0.86,427.671,235.494,55.2,120,0,0,-63.7224
0.88,428.712,233.332,57.6,120,0,0,-64.8554
0.9,429.711,231.15,60,120,0,0,-65.9517
0.92,430.668,228.949,62.4,120,0,0,-66.9983
0.94,431.587,226.732,64.8,120,0,0,-67.9917
0.96,432.468,224.499,67.2,120,0,0,-68.922
0.98,433.314,222.253,69.6,120,0,0,-69.7757
1,434.128,219.996,72,120,0,0,-70.5513
1.02,434.913,217.728,74.4,120,0,0,-71.2383
1.04,435.672,215.451,76.8,120,0,0,-71.8287
1.06,436.411,213.167,79.2,120,0,0,-72.3148
1.08,437.132,210.878,81.6,120,0,0,-72.6943
1.1,437.84,208.585,84,120,0,0,-72.9577
1.12,438.54,206.289,86.4,120,0,0,-73.0932
1.14,439.237,203.993,88.8,120,0,0,-73.107
1.16,439.936,201.697,91.2,120,0,0,-72.9796
1.18,440.643,199.404,93.6,120,0,0,-72.7129
1.2,441.364,197.114,96,120,0,0,-72.3043
1.22,442.104,194.831,98.4,120,0,0,-71.7319
1.24,442.87,192.557,100.8,120,0,0,-71.0126
1.26,443.667,190.293,103.2,120,0,0,-70.1229
1.28,444.503,188.044,105.6,120,0,0,-69.0739
1.3,445.383,185.811,108,120,0,0,-67.8571
1.32,446.314,183.599,110.4,120,0,0,-66.4726
1.34,447.301,181.411,112.8,120,0,0,-64.9279
1.36,448.349,179.252,115.2,120,0,0,-63.2294
1.38,449.464,177.127,117.6,120,0,0,-61.3849
1.4,450.649,175.04,120,120,0,0,-59.4162
1.42,451.907,172.996,122.4,120,0,0,-57.3331
1.44,453.24,171,124.8,120,0,0,-55.1668
1.46,454.648,169.058,127.2,120,0,0,-52.9393
1.48,456.132,167.171,129.6,120,0,0,-50.6792
1.5,457.689,165.345,132,120,0,0,-48.4143
1.52,459.317,163.582,134.4,120,0,0,-46.1731
1.54,461.012,161.883,136.8,120,-120,0,-43.9767
1.56,462.75,160.266,139.174,117.25,-150,0,-41.8755
1.58,464.5,158.752,141.488,114.25,-150,0,-39.9054
1.6,466.253,157.333,143.744,111.25,-150,0,-38.0768
1.62,468.002,156.005,145.939,108.25,-150,0,-36.3875
1.64,469.738,154.762,148.074,105.25,-150,0,-34.8354
1.66,471.455,153.599,150.149,102.25,-150,0,-33.4241
1.68,473.149,152.508,152.164,99.25,-150,0,-32.134
1.7,474.816,151.486,154.119,96.25,-150,0,-30.9643
1.72,476.45,150.526,156.015,93.25,-150,0,-29.9074
1.74,478.048,149.625,157.849,90.25,-150,0,-28.9517
1.76,479.606,148.778,159.622,87.25,-150,0,-28.0951
1.78,481.125,147.981,161.337,84.25,-150,0,-27.3234
1.8,482.602,147.229,162.995,81.25,-150,0,-26.6268
1.82,484.029,146.524,164.587,78.25,-150,0,-26.0155
1.84,485.413,145.857,166.123,75.25,-150,0,-25.4594
1.86,486.746,145.229,167.596,72.25,-150,0,-24.9763
1.88,488.034,144.636,169.015,69.25,-150,0,-24.539
1.9,489.265,144.079,170.366,66.25,-150,0,-24.1621
1.92,490.448,143.552,171.661,63.25,-150,0,-23.8267
1.94,491.581,143.055,172.898,60.25,-150,0,-23.5336
1.96,492.66,142.589,174.073,57.25,-150,0,-23.2763
1.98,493.683,142.151,175.186,54.25,-150,0,-23.0611
2,494.653,141.74,176.239,51.25,-150,0,-22.8712
2.02,495.57,141.355,177.234,48.25,-150,0,-22.7125
2.04,496.433,140.995,178.169,45.25,-150,0,-22.5766
2.06,497.245,140.659,179.048,42.25,-150,0,-22.4593
2.08,497.995,140.349,179.859,39.25,-150,0,-22.3704
2.1,498.686,140.065,180.606,36.25,-150,0,-22.2943
2.12,499.328,139.803,181.3,33.25,-150,0,-22.2318
2.14,499.926,139.559,181.946,30.25,-150,0,-22.1821
2.16,500.439,139.35,182.5,27.25,-150,0,-22.1475
2.18,500.934,139.148,183.034,24.25,-150,0,-22.1154
2.2,501.321,138.991,183.452,21.25,-150,0,-22.0958
2.22,501.709,138.834,183.87,18.25,-150,0,-22.0762
2.24,501.94,138.74,184.12,15.25,-150,0,-22.0676
2.26,502.1,138.675,184.293,12.25,-150,0,-22.0641
2.28,502.261,138.61,184.466,9.25,-150,0,-22.0605
2.3,502.421,138.545,184.639,6.25,-150,0,-22.0569
2.32,502.582,138.48,184.812,3.25,-150,0,-22.0534
2.34,502.742,138.415,184.986,0.25,-150,0,-22.0498
