"time","x","y","position","velocity","acceleration","jerk","heading"
0,394.71,270.003,0,0,0,0,16.3
0.02,394.875,270.052,0.17172,8.58598,429.299,21464.9,16.2948
0.04,395.039,270.099,0.343159,8.57196,-0.701105,-21500,16.2896
0.06,395.205,270.148,0.515838,8.63394,3.09939,190.025,16.2844
0.08,395.37,270.195,0.68725,8.57065,-3.16485,-313.212,16.2791
0.1,395.534,270.244,0.85897,8.58598,0.76656,196.57,16.2739
0.12,395.752,270.307,1.08594,11.3487,138.134,6868.39,16.2657
0.14,396.149,270.423,1.49885,20.6451,464.824,16334.5,16.2473
0.16,396.546,270.539,1.91274,20.6945,2.46562,-23117.9,16.229
0.18,397.038,270.683,2.42533,25.63,246.776,12215.5,16.1853
0.2,397.549,270.83,2.95697,26.5819,47.5978,-9958.9,16.1367
0.22,398.108,270.992,3.53933,29.1178,126.792,3959.71,16.0667
0.24,398.665,271.152,4.11885,28.976,-7.08795,-6693.99,15.9906
0.26,399.22,271.311,4.69583,28.8493,-6.33723,37.5356,15.9022
0.28,399.77,271.468,5.26815,28.6156,-11.681,-267.188,15.797
0.3,400.32,271.622,5.83898,28.5415,-3.70791,398.654,15.6835
0.32,400.867,271.775,6.40667,28.3849,-7.82887,-206.048,15.5601
0.34,401.411,271.926,6.97134,28.2331,-7.59214,11.8365,15.4251
0.36,401.949,272.074,7.52942,27.904,-16.4529,-443.036,15.267
0.38,402.486,272.22,8.08621,27.8395,-3.22539,661.374,15.1023
0.4,403.024,272.365,8.64281,27.8302,-0.463537,138.092,14.9342
0.42,403.554,272.505,9.19142,27.4303,-19.9946,-976.553,14.7385
0.44,404.083,272.643,9.73794,27.326,-5.21722,738.869,14.5358
0.46,404.609,272.779,10.2814,27.1712,-7.74039,-126.158,14.3195
0.48,405.133,272.911,10.8219,27.0267,-7.22204,25.9177,14.0913
0.5,405.656,273.042,11.3604,26.9239,-5.1436,103.922,13.8571
0.52,406.17,273.168,11.8904,26.4994,-21.2221,-803.927,13.5886
0.54,406.684,273.29,12.4182,26.3909,-5.42692,789.761,13.3154
0.56,407.197,273.41,12.945,26.3435,-2.37073,152.81,13.0329
0.58,407.702,273.527,13.464,25.9494,-19.7061,-866.769,12.7266
0.6,408.207,273.639,13.9812,25.8593,-4.50336,760.137,12.4085
0.62,408.705,273.747,14.491,25.4903,-18.4469,-697.175,12.0655
0.64,409.203,273.852,14.9993,25.4123,-3.90244,727.221,11.7152
0.66,409.697,273.953,15.5039,25.2321,-9.01023,-255.39,11.3505
0.68,410.185,274.049,16.0007,24.8386,-19.6732,-533.148,10.955
0.7,410.668,274.141,16.4927,24.6004,-11.914,387.961,10.5442
0.72,411.147,274.229,16.9802,24.3727,-11.3818,26.6067,10.1113
0.74,411.624,274.312,17.4635,24.1682,-10.2273,57.7254,9.66613
0.76,412.094,274.391,17.9408,23.8648,-15.1686,-247.064,9.19659
0.78,412.557,274.463,18.4092,23.4183,-22.324,-357.77,8.69661
0.8,413.018,274.533,18.8749,23.2876,-6.53563,789.418,8.18141
0.82,413.47,274.595,19.332,22.8543,-21.6635,-756.395,7.63692
0.84,413.92,274.654,19.7853,22.665,-9.46453,609.95,7.07622
0.86,414.362,274.707,20.2302,22.2464,-20.9309,-573.317,6.48307
0.88,414.794,274.753,20.6652,21.7501,-24.8174,-194.329,5.85501
0.9,415.223,274.795,21.0961,21.5409,-10.4599,717.876,5.2095
0.92,415.642,274.832,21.5171,21.0497,-24.56,-705.006,4.52476
0.94,416.058,274.862,21.9337,20.8326,-10.8559,685.207,3.82207
0.96,416.463,274.887,22.3394,20.2859,-27.3307,-823.741,3.08347
0.98,416.858,274.905,22.7345,19.7551,-26.5403,39.5185,2.29832
1,417.245,274.918,23.1222,19.3847,-18.5212,400.955,1.48991
1.02,417.62,274.926,23.4972,18.7482,-31.8277,-665.323,0.629865
1.04,417.99,274.927,23.8672,18.4994,-12.4404,969.362,-0.248741
1.06,418.35,274.923,24.2275,18.0153,-24.2022,-588.089,-1.16447
1.08,418.696,274.913,24.5735,17.3004,-35.7458,-577.177,-2.13558
1.1,419.034,274.898,24.9116,16.9062,-19.71,801.789,-3.13439
1.12,419.353,274.878,25.2312,15.9785,-46.385,-1333.75,-4.20635
1.14,419.665,274.852,25.5447,15.6761,-15.1176,1563.37,-5.30096
1.16,419.965,274.822,25.8464,15.0845,-29.58,-723.118,-6.44085
1.18,420.253,274.787,26.136,14.4789,-30.2815,-35.0746,-7.62833
1.2,420.532,274.747,26.4179,14.0978,-19.058,561.172,-8.83961
1.22,420.79,274.704,26.6799,13.0967,-50.0542,-1549.81,-10.1318
1.24,421.04,274.657,26.9342,12.7184,-18.916,1556.91,-11.4541
1.26,421.272,274.607,27.1717,11.8732,-42.2571,-1167.06,-12.8366
1.28,421.493,274.555,27.3979,11.3105,-28.1356,706.079,-14.2665
1.3,421.704,274.498,27.6168,10.9436,-18.3428,489.638,-15.72
1.32,421.898,274.441,27.8189,10.1084,-41.7602,-1170.87,-17.2418
1.34,422.084,274.381,28.0143,9.76893,-16.9751,1239.26,-18.7846
1.36,422.259,274.319,28.2,9.2859,-24.1517,-358.829,-20.3695
1.38,422.422,274.255,28.3751,8.75087,-26.7515,-129.992,-21.9915
1.4,422.579,274.19,28.5453,8.51007,-12.0402,735.564,-23.6321
1.42,422.724,274.124,28.7046,7.96578,-27.2145,-758.713,-25.3193
1.44,422.863,274.056,28.8592,7.73166,-11.7058,775.432,-27.0178
1.46,422.995,273.986,29.0085,7.46333,-13.4164,-85.5291,-28.7391
1.48,423.123,273.913,29.1557,7.36334,-4.99956,420.844,-30.4688
1.5,423.248,273.837,29.3023,7.32686,-1.82418,158.769,-32.2026
1.52,423.37,273.758,29.4482,7.29371,-1.65734,8.34161,-33.9339
1.54,423.492,273.673,29.597,7.44058,7.34338,450.036,-35.6596
1.56,423.614,273.583,29.748,7.55255,5.59882,-87.2281,-37.3738
1.58,423.736,273.486,29.9042,7.81004,12.8746,363.788,-39.0674
1.6,423.858,273.384,30.0634,7.95785,7.39028,-274.215,-40.7508
1.62,423.986,273.27,30.2346,8.56269,30.2419,1142.58,-42.3911
1.64,424.114,273.15,30.4091,8.72474,8.10232,-1106.98,-44.0135
1.66,424.245,273.02,30.5941,9.2503,26.2781,908.792,-45.6
1.68,424.382,272.876,30.7929,9.93731,34.3506,403.625,-47.1347
1.7,424.519,272.724,30.9976,10.235,14.8827,-973.397,-48.6435
1.72,424.665,272.555,31.221,11.1706,46.7814,1594.94,-50.0817
1.74,424.81,272.375,31.4514,11.5219,17.5645,-1460.84,-51.4959
1.76,424.957,272.184,31.6933,12.0944,28.6257,553.061,-52.8618
1.78,425.109,271.979,31.9482,12.7423,32.3941,188.418,-54.1795
1.8,425.259,271.765,32.2096,13.0729,16.5329,-793.062,-55.473
1.82,425.415,271.533,32.4892,13.9808,45.3935,1443.03,-56.6954
1.84,425.57,271.29,32.7772,14.3997,20.9446,-1222.45,-57.8872
1.86,425.729,271.03,33.0819,15.2329,41.6575,1035.65,-59.0177
1.88,425.89,270.758,33.3983,15.8193,29.3242,-616.665,-60.1001
1.9,426.048,270.476,33.7212,16.1469,16.3801,-647.206,-61.1583
1.92,426.208,270.178,34.06,16.9405,39.6801,1165,-62.1542
1.94,426.366,269.872,34.4046,17.2301,14.4806,-1259.98,-63.1306
1.96,426.523,269.554,34.7593,17.734,25.1941,535.676,-64.0683
1.98,426.682,269.22,35.1281,18.4422,35.4109,510.838,-64.9523
2,426.838,268.879,35.5033,18.7596,15.8669,-977.2,-65.8095
2.02,426.995,268.523,35.8933,19.4965,36.8479,1049.05,-66.6118
2.04,427.149,268.159,36.2876,19.7153,10.9363,-1295.58,-67.3993
2.06,427.3,267.788,36.6885,20.0469,16.5839,282.378,-68.1568
2.08,427.451,267.404,37.1008,20.6133,28.3165,586.633,-68.8767
2.1,427.599,267.015,37.5173,20.8251,10.5921,-886.221,-69.5779
2.12,427.747,266.611,37.9474,21.5073,34.111,1175.95,-70.2248
2.14,427.89,266.202,38.3809,21.6744,8.35053,-1288.03,-70.8607
2.16,428.032,265.786,38.8204,21.9736,14.9639,330.667,-71.4747
2.18,428.171,265.361,39.2674,22.3513,18.886,196.105,-72.0586
2.2,428.308,264.931,39.7188,22.5673,10.7969,-404.453,-72.6274
2.22,428.444,264.49,40.1806,23.091,26.1839,769.353,-73.153
2.24,428.576,264.045,40.6449,23.2178,6.33987,-992.204,-73.6707
2.26,428.706,263.594,41.114,23.4517,11.6957,267.791,-74.1725
2.28,428.841,263.111,41.6153,25.0642,80.626,3446.52,-74.6692
2.3,428.977,262.603,42.1412,26.2984,61.7109,-945.757,-75.1674
2.32,429.127,262.027,42.7368,29.7765,173.902,5609.56,-75.6952
2.34,429.284,261.397,43.3856,32.4426,133.31,-2029.63,-76.2443
2.36,429.448,260.711,44.0906,35.2497,140.355,352.275,-76.795
2.38,429.618,259.968,44.8536,38.1513,145.077,236.09,-77.3487
2.4,429.794,259.165,45.675,41.0678,145.828,37.5351,-77.9103
2.42,429.975,258.299,46.5603,44.2641,159.813,699.281,-78.4625
2.44,430.159,257.371,47.5062,47.2954,151.566,-412.377,-79.0122
2.46,430.347,256.38,48.5151,50.4468,157.569,300.161,-79.5476
2.48,430.535,255.327,49.5845,53.4705,151.187,-319.115,-80.0767
2.5,430.727,254.205,50.7225,56.9004,171.495,1015.44,-80.5733
2.52,430.919,253.015,51.9283,60.2867,169.316,-108.986,-81.0599
2.54,431.111,251.762,53.1956,63.3684,154.082,-761.668,-81.5206
2.56,431.303,250.439,54.533,66.8683,174.994,1045.57,-81.9546
2.58,431.493,249.05,55.9349,70.097,161.437,-677.812,-82.3635
2.6,431.683,247.593,57.4043,73.467,168.498,353.005,-82.7411
2.62,431.869,246.097,58.912,75.3856,95.9338,-3628.19,-83.0829
2.64,432.048,244.585,60.4336,76.0824,34.8376,-3054.81,-83.3825
2.66,432.221,243.064,61.9648,76.5577,23.7656,-553.598,-83.6465
2.68,432.388,241.533,63.5051,77.0135,22.7891,-48.8287,-83.8723
2.7,432.55,239.991,65.0552,77.5052,24.5844,89.7661,-84.0623
2.72,432.71,238.441,66.6141,77.9465,22.0658,-125.93,-84.2208
2.74,432.866,236.881,68.1812,78.3545,20.4023,-83.1744,-84.3462
2.76,433.019,235.315,69.7552,78.7024,17.3912,-150.554,-84.4439
2.78,433.172,233.739,71.3378,79.1299,21.377,199.291,-84.512
2.8,433.323,232.157,72.9273,79.4725,17.128,-212.452,-84.5532
2.82,433.474,230.568,74.5235,79.8089,16.8206,-15.3686,-84.5687
2.84,433.626,228.973,76.1257,80.1117,15.1423,-83.9165,-84.5569
2.86,433.779,227.371,77.7352,80.4738,18.1062,148.198,-84.5216
2.88,433.934,225.762,79.3516,80.8198,17.2986,-40.3803,-84.4606
2.9,434.091,224.148,80.9733,81.089,13.4611,-191.879,-84.3756
2.92,434.253,222.528,82.6016,81.4123,16.1658,135.236,-84.2674
2.94,434.418,220.901,84.2369,81.764,17.5824,70.8309,-84.1331
2.96,434.588,219.268,85.8785,82.0801,15.8069,-88.7744,-83.9766
2.98,434.763,217.631,87.525,82.3263,12.3093,-174.881,-83.7953
3,434.945,215.987,89.1793,82.7148,19.4226,355.664,-83.5906
3.02,435.133,214.338,90.8382,82.947,11.6101,-390.624,-83.3627
3.04,435.329,212.683,92.5048,83.3296,19.1335,376.169,-83.1091
3.06,435.533,211.023,94.1772,83.6184,14.4369,-234.83,-82.8324
3.08,435.747,209.358,95.8565,83.9652,17.3419,145.254,-82.5297
3.1,435.972,207.687,97.5426,84.3028,16.8809,-23.0501,-82.2019
3.12,436.206,206.01,99.2353,84.6374,16.7284,-7.62811,-81.8489
3.14,436.453,204.328,100.935,85.0018,18.2213,74.6444,-81.467
3.16,436.711,202.642,102.642,85.3127,15.5436,-133.884,-81.0589
3.18,436.985,200.949,104.357,85.7491,21.8204,313.841,-80.6214
3.2,437.272,199.251,106.078,86.0747,16.2784,-277.1,-80.1552
3.22,437.575,197.548,107.808,86.5174,22.1378,292.969,-79.6599
3.24,437.895,195.84,109.546,86.8887,18.5646,-178.661,-79.1315
3.26,438.232,194.126,111.293,87.318,21.4628,144.91,-78.5729
3.28,438.589,192.407,113.048,87.785,23.3488,94.304,-77.9795
3.3,438.965,190.684,114.812,88.2048,20.9927,-117.805,-77.3518
3.32,439.364,188.956,116.586,88.6707,23.2946,115.091,-76.6895
3.34,439.785,187.221,118.37,89.2216,27.5454,212.544,-75.9852
3.36,440.231,185.484,120.164,89.7006,23.9511,-179.718,-75.2452
3.38,440.701,183.743,121.968,90.18,23.9699,0.941193,-74.4649
3.4,441.2,181.997,123.784,90.7917,30.5828,330.645,-73.643
3.42,441.726,180.248,125.61,91.2986,25.345,-261.89,-72.7793
3.44,442.285,178.497,127.447,91.8886,29.5021,207.857,-71.8696
3.46,442.874,176.744,129.297,92.478,29.467,-1.7549,-70.918
3.48,443.498,174.99,131.159,93.0927,30.7383,63.5617,-69.9158
3.5,444.158,173.234,133.035,93.7883,34.7769,201.929,-68.8636
3.52,444.856,171.48,134.923,94.4058,30.8751,-195.087,-67.7636
3.54,445.592,169.727,136.823,95.0366,31.5405,33.2706,-66.6149
3.56,446.37,167.979,138.737,95.6819,32.2672,36.3358,-65.4168
3.58,447.19,166.235,140.664,96.37,34.402,106.739,-64.1633
3.6,448.055,164.498,142.605,97.0153,32.2643,-106.888,-62.8622
3.62,448.967,162.77,144.558,97.6705,32.762,24.8875,-61.5159
3.64,449.926,161.053,146.525,98.3544,34.197,71.7519,-60.1137
3.66,450.933,159.35,148.503,98.9116,27.8579,-316.959,-58.6674
3.68,451.989,157.664,150.493,99.4953,29.1867,66.4406,-57.1795
3.7,453.095,155.997,152.493,99.9855,24.5078,-233.942,-55.6507
3.72,454.252,154.354,154.502,100.466,24.0229,-24.247,-54.0861
3.74,455.457,152.737,156.52,100.876,20.4828,-177.006,-52.4913
3.76,456.712,151.149,158.544,101.193,15.8914,-229.571,-50.8711
3.78,458.015,149.593,160.573,101.464,13.5438,-117.376,-49.2316
3.8,459.363,148.073,162.605,101.608,7.18012,-318.186,-47.5816
3.82,460.757,146.592,164.639,101.67,3.12631,-202.69,-45.9268
3.84,462.191,145.153,166.67,101.572,-4.94131,-403.381,-44.2768
3.86,463.664,143.757,168.7,101.473,-4.94784,-0.326506,-42.6365
3.88,465.172,142.408,170.723,101.181,-14.575,-481.356,-41.0204
3.9,466.711,141.106,172.738,100.763,-20.9066,-316.579,-39.4317
3.92,468.279,139.853,174.746,100.399,-18.2132,134.666,-37.8739
3.94,469.869,138.65,176.74,99.6787,-36.0028,-889.479,-36.3698
3.96,471.48,137.495,178.722,99.0841,-29.7298,313.649,-34.9102
3.98,473.107,136.389,180.69,98.4178,-33.315,-179.26,-33.5067
4,474.745,135.332,182.639,97.4425,-48.763,-772.399,-32.1718
4.02,476.389,134.324,184.568,96.4356,-50.348,-79.2477,-30.9017
4.04,477.997,133.384,186.43,93.1199,-165.783,-5771.74,-29.735
4.06,479.552,132.516,188.211,89.0416,-203.915,-1906.61,-28.6766
4.08,481.037,131.72,189.896,84.2466,-239.751,-1791.78,-27.728
4.1,482.462,130.985,191.499,80.1605,-204.304,1772.36,-26.8813
4.12,483.82,130.308,193.017,75.8787,-214.094,-489.524,-26.129
4.14,485.108,129.686,194.446,71.4957,-219.148,-252.678,-25.4694
4.16,486.331,129.111,195.798,67.5725,-196.161,1149.32,-24.8901
4.18,487.489,128.581,197.071,63.6776,-194.743,70.9128,-24.3823
4.2,488.578,128.092,198.265,59.6969,-199.035,-214.582,-23.9507
4.22,489.601,127.642,199.383,55.8774,-190.978,402.832,-23.5782
4.24,490.557,127.229,200.424,52.0663,-190.555,21.1609,-23.2635
4.26,491.444,126.849,201.389,48.2577,-190.428,6.32431,-23.0045
4.28,492.268,126.501,202.284,44.7226,-176.755,683.673,-22.7839
4.3,493.032,126.182,203.111,41.3781,-167.227,476.369,-22.6037
4.32,493.74,125.889,203.878,38.3162,-153.091,706.802,-22.4629
4.34,494.365,125.631,204.555,33.845,-223.561,-3523.46,-22.3487
4.36,494.938,125.396,205.173,30.9319,-145.656,3895.26,-22.2605
4.38,495.458,125.184,205.735,28.0803,-142.583,153.637,-22.1986
4.4,495.896,125.005,206.208,23.6436,-221.833,-3962.51,-22.1536
4.42,496.291,124.845,206.635,21.3569,-114.337,5374.78,-22.1173
4.44,496.624,124.71,206.994,17.9573,-169.98,-2782.12,-22.0889
4.46,496.787,124.644,207.169,8.769,-459.413,-14471.7,-22.0822
4.48,496.949,124.578,207.344,8.7416,-1.37011,22902.1,-22.0755
4.5,497.111,124.512,207.52,8.7677,1.30467,133.739,-22.0689
4.52,497.273,124.446,207.694,8.72266,-2.25173,-177.82,-22.0622
4.54,497.435,124.381,207.869,8.769,2.31718,228.446,-22.0555
