"time","x","y","position","velocity","acceleration","jerk","heading"
0,471.1,42.7,0,0,180,0,-160.3
0.02,470.921,42.636,0.189737,3.6,180,0,-160.306
0.04,470.743,42.5721,0.379473,7.2,180,0,-160.312
0.06,470.564,42.5081,0.56921,10.8,180,0,-160.319
0.08,470.385,42.4442,0.758947,14.4,180,0,-160.325
0.1,470.207,42.3803,0.948683,18,180,0,-160.331
0.12,469.844,42.2505,1.33418,21.6,180,0,-160.346
0.14,469.412,42.0964,1.79224,25.2,180,0,-160.364
0.16,468.91,41.917,2.3262,28.8,180,0,-160.403
0.18,468.347,41.717,2.92317,32.4,180,0,-160.461
0.2,467.693,41.4852,3.61697,36,180,0,-160.534
0.22,466.984,41.235,4.36898,39.6,180,0,-160.633
0.24,466.208,40.9631,5.19104,43.2,180,0,-160.765
0.26,465.362,40.6689,6.08706,46.8,180,0,-160.924
0.28,464.444,40.3531,7.05782,50.4,180,0,-161.134
0.3,463.454,40.0171,8.10271,54,180,0,-161.386
0.32,462.394,39.663,9.22053,57.6,180,0,-161.696
0.34,461.264,39.2928,10.4098,61.2,180,0,-162.065
0.36,460.065,38.9093,11.6688,64.8,180,0,-162.503
0.38,458.797,38.5155,12.9961,68.4,180,0,-163.006
0.4,457.449,38.1109,14.4042,72,180,0,-163.616
0.42,456.033,37.7034,15.8777,75.6,180,0,-164.313
0.44,454.538,37.2944,17.4275,79.2,180,0,-165.117
0.46,452.972,36.8911,19.0445,82.8,180,0,-166.037
0.48,451.325,36.497,20.7384,86.4,180,0,-167.094
0.5,449.604,36.1208,22.5,89.4972,45,0,-168.284
0.52,447.84,35.7756,24.2972,90,0,0,-169.605
0.54,446.066,35.4723,26.0972,90,0,0,-171.031
0.56,444.284,35.2148,27.8972,90,0,0,-172.555
0.58,442.496,35.0063,29.6972,90,0,0,-174.173
0.6,440.703,34.8498,31.4972,90,0,0,-175.88
0.62,438.906,34.748,33.2972,90,0,0,-177.661
0.64,437.107,34.7031,35.0972,90,0,0,-179.5
0.66,435.307,34.7169,36.8972,90,0,0,178.612
0.68,433.509,34.7904,38.6972,90,0,0,176.703
0.7,431.714,34.9239,40.4972,90,0,0,174.793
0.72,429.924,35.1169,42.2972,90,0,0,172.909
