"time","x","y","position","velocity","acceleration","jerk","heading"
0,459.4,10,0,0,0,0,180
0.02,459.155,10,0.245,12.25,612.5,30625,180
0.04,458.91,10,0.49,12.25,-1.42109e-10,-30625,180
0.06,458.665,10,0.735,12.25,1.42197e-10,1.42153e-08,180
0.08,458.42,10,0.98,12.25,-1.77636e-13,-7.11875e-09,180
0.1,457.857,10,1.54326,28.1631,795.654,39782.7,179.999
0.12,457.225,10,2.17526,31.6,171.846,-31190.4,179.999
0.14,456.454,10,2.94552,38.5131,345.654,8690.45,179.998
0.16,455.55,10.0001,3.84979,45.2131,335,-532.724,179.997
0.18,454.533,10.0001,4.86731,50.8762,283.154,-2592.28,179.995
0.2,453.398,10.0002,6.00183,56.7262,292.5,467.276,179.993
0.22,452.13,10.0004,7.26962,63.3893,333.155,2032.73,179.99
0.24,450.749,10.0007,8.65093,69.0655,283.809,-2467.27,179.985
0.26,449.252,10.0012,10.1482,74.8655,290,309.554,179.98
0.28,447.629,10.0018,11.7708,81.1285,313.155,1157.72,179.974
0.3,445.886,10.0027,13.5142,87.1678,301.964,-559.538,179.965
0.32,444.024,10.004,15.3758,93.0809,295.655,-315.437,179.955
0.34,442.042,10.0058,17.3577,99.094,300.655,250.018,179.944
0.36,439.938,10.0081,19.4616,105.196,305.119,223.184,179.929
0.38,437.714,10.0111,21.6858,111.21,300.656,-223.134,179.913
0.4,435.372,10.0151,24.028,117.112,295.121,-276.747,179.893
0.42,432.904,10.0201,26.4958,123.388,313.813,934.582,179.871
0.44,430.319,10.0266,29.0809,129.254,293.28,-1026.67,179.844
0.46,427.61,10.0347,31.7897,135.443,309.474,809.717,179.814
0.48,424.78,10.0446,34.6196,141.496,302.631,-342.147,179.78
0.5,421.832,10.057,37.5679,147.412,295.793,-341.881,179.741
0.52,418.823,10.0717,40.5774,150.478,153.298,-7124.76,179.697
0.54,415.81,10.0889,43.5901,150.631,7.64973,-7282.42,179.649
0.56,412.797,10.1087,46.6035,150.671,2.00336,-282.319,179.598
0.58,409.782,10.1313,49.618,150.724,2.66723,33.1932,179.543
0.6,406.767,10.1568,52.6338,150.791,3.33037,33.1572,179.483
0.62,403.75,10.1857,55.6504,150.832,2.03788,-64.6245,179.42
0.64,400.732,10.2181,58.6684,150.899,3.3613,66.171,179.352
0.66,397.715,10.254,61.6862,150.89,-0.437313,-189.931,179.281
0.68,394.695,10.2939,64.7063,151.008,5.89797,316.764,179.205
0.7,391.674,10.3378,67.7273,151.05,2.09884,-189.956,179.126
0.72,388.653,10.3861,70.7484,151.056,0.28223,-90.8307,179.043
0.74,385.631,10.4389,73.7712,151.136,3.99671,185.724,178.958
0.76,382.609,10.4961,76.7937,151.129,-0.33589,-216.63,178.87
0.78,379.586,10.5581,79.8177,151.197,3.38568,186.078,178.781
0.8,376.563,10.6248,82.8412,151.178,-0.940372,-216.302,178.69
0.82,373.541,10.6963,85.8646,151.17,-0.385991,27.719,178.6
0.84,370.518,10.7725,88.8876,151.15,-1.02209,-31.805,178.512
0.86,367.497,10.8533,91.9105,151.142,-0.355883,33.3104,178.425
0.88,364.476,10.9385,94.9321,151.083,-2.97037,-130.724,178.343
0.9,361.457,11.028,97.9529,151.037,-2.30717,33.1603,178.265
0.92,358.44,11.1213,100.971,150.914,-6.1383,-191.557,178.193
0.94,355.424,11.2181,103.988,150.865,-2.45373,184.229,178.129
0.96,352.411,11.3182,107.003,150.729,-6.8108,-217.854,178.072
0.98,349.401,11.4208,110.016,150.628,-5.01735,89.6727,178.023
1,346.392,11.5258,113.026,150.515,-5.68367,-33.3161,177.983
1.02,343.385,11.6326,116.035,150.463,-2.57043,155.662,177.951
1.04,340.381,11.7407,119.041,150.298,-8.26384,-284.67,177.928
1.06,337.379,11.8498,122.045,150.195,-5.13657,156.363,177.913
1.08,334.379,11.9594,125.047,150.105,-4.53597,30.0303,177.905
1.1,331.38,12.0691,128.048,150.026,-3.90872,31.3622,177.903
1.12,328.383,12.1788,131.046,149.935,-4.58149,-33.6383,177.908
1.14,325.388,12.288,134.044,149.869,-3.30899,63.6248,177.918
1.16,322.394,12.3966,137.04,149.815,-2.67249,31.8249,177.932
1.18,319.4,12.5042,140.036,149.774,-2.04468,31.3905,177.949
1.2,316.408,12.6108,143.03,149.72,-2.70741,-33.1364,177.97
1.22,313.415,12.7163,146.024,149.705,-0.751898,97.7757,177.992
