"time","x","y","position","velocity","acceleration","jerk","heading"
0,395.3,105.9,0,0,60,0,-68.4
0.02,395.34,105.798,0.109545,1.2,60,0,-68.4004
0.04,395.381,105.696,0.219089,2.4,60,0,-68.4008
0.06,395.421,105.594,0.328634,3.6,60,0,-68.4013
0.08,395.461,105.493,0.438178,4.8,60,0,-68.4017
0.1,395.502,105.391,0.547723,6,60,0,-68.4021
0.12,395.542,105.289,0.657267,7.2,60,0,-68.4025
0.14,395.582,105.187,0.766812,8.4,60,0,-68.4029
0.16,395.623,105.085,0.876356,9.6,60,0,-68.4034
0.18,395.663,104.983,0.985901,10.8,60,0,-68.4038
0.2,395.753,104.756,1.23042,12,60,0,-68.4063
0.22,395.85,104.51,1.49489,13.2,60,0,-68.4091
0.24,395.948,104.264,1.75935,14.4,60,0,-68.4119
0.26,396.048,104.012,2.03104,15.6,60,0,-68.415
0.28,396.174,103.691,2.37569,16.8,60,0,-68.4207
0.3,396.301,103.371,2.72035,18,60,0,-68.4264
0.32,396.432,103.039,3.07711,19.2,60,0,-68.4327
0.34,396.582,102.659,3.48593,20.4,60,0,-68.4415
0.36,396.733,102.278,3.89476,21.6,60,0,-68.4503
0.38,396.898,101.86,4.34459,22.8,60,0,-68.4614
0.4,397.068,101.428,4.80862,24,60,0,-68.4732
0.42,397.249,100.97,5.30159,25.2,60,0,-68.4868
0.44,397.437,100.492,5.81487,26.4,60,0,-68.5015
0.46,397.636,99.9878,6.35684,27.6,60,0,-68.5178
0.48,397.84,99.4684,6.915,28.8,60,0,-68.5351
0.5,398.057,98.9162,7.50834,30,60,0,-68.5541
0.52,398.279,98.3515,8.115,31.2,60,0,-68.5738
0.54,398.512,97.7571,8.75347,32.4,60,0,-68.5949
0.56,398.753,97.1417,9.41439,33.6,60,0,-68.6166
0.58,399.001,96.5088,10.094,34.8,60,0,-68.6387
0.6,399.259,95.8478,10.8038,36,60,0,-68.6613
0.62,399.526,95.1644,11.5374,37.2,60,0,-68.6837
0.64,399.8,94.4612,12.2921,38.4,60,0,-68.7057
0.66,400.082,93.7372,13.0692,39.6,60,0,-68.727
0.68,400.374,92.9871,13.874,40.8,60,0,-68.7469
0.7,400.675,92.2139,14.7036,42,60,0,-68.7647
0.72,400.983,91.4194,15.556,43.2,60,0,-68.78
0.74,401.3,90.603,16.4317,44.4,60,0,-68.7923
0.76,401.625,89.7644,17.3312,45.6,60,0,-68.8008
0.78,401.959,88.9035,18.2546,46.8,60,0,-68.8047
0.8,402.302,88.0201,19.2021,48,60,0,-68.8031
0.82,402.653,87.1141,20.1738,49.2,60,0,-68.7951
0.84,403.013,86.1857,21.1696,50.4,60,0,-68.7796
0.86,403.383,85.2349,22.1897,51.6,60,0,-68.7556
0.88,403.761,84.2617,23.2339,52.8,60,0,-68.7217
0.9,404.149,83.2664,24.3022,54,60,0,-68.677
0.92,404.547,82.2492,25.3943,55.2,60,0,-68.6199
0.94,404.954,81.2102,26.5104,56.4,60,0,-68.5492
0.96,405.372,80.1497,27.6501,57.6,60,0,-68.4635
0.98,405.8,79.068,28.8133,58.8,60,0,-68.3611
1,406.239,77.9654,30,60,7.57596e-07,0,-68.2404
1.02,406.685,76.8515,31.2,60,0,0,-68.0983
1.04,407.134,75.7387,32.4,60,0,0,-67.9375
1.06,407.586,74.6272,33.6,60,0,0,-67.7568
1.08,408.042,73.5173,34.8,60,0,0,-67.5551
1.1,408.503,72.4091,36,60,0,0,-67.3314
1.12,408.968,71.3028,37.2,60,0,0,-67.0812
1.14,409.437,70.1986,38.4,60,0,0,-66.8065
1.16,409.913,69.0968,39.6,60,0,0,-66.506
1.18,410.394,67.9976,40.8,60,0,0,-66.1781
1.2,410.882,66.9013,42,60,0,0,-65.8115
1.22,411.377,65.8082,43.2,60,0,0,-65.4268
1.24,411.88,64.7187,44.4,60,0,0,-64.9986
1.26,412.392,63.633,45.6,60,0,0,-64.5389
