"time","x","y","position","velocity","acceleration","jerk","heading"
0,252.174,11.8775,0,0,0,0,0
0.02,252.364,11.8775,0.189923,9.49617,474.809,23740.4,-0.000292315
0.04,252.554,11.8775,0.379847,9.49617,6.54481e-07,-23740.4,-0.000584629
0.06,252.744,11.8775,0.56977,9.49617,-6.54481e-07,-6.54481e-05,-0.000876944
0.08,252.933,11.8775,0.758694,9.44617,-2.5,-125,-0.00116926
0.1,253.123,11.8775,0.948617,9.49617,2.5,250,-0.00146157
0.12,253.507,11.8775,1.33341,19.2398,487.18,24234,-0.00224265
0.14,253.966,11.8775,1.79216,22.9374,184.881,-15114.9,-0.00320492
0.16,254.5,11.8775,2.32566,26.6752,186.888,100.319,-0.00510259
0.18,255.095,11.8774,2.92096,29.765,154.492,-1619.8,-0.00777666
0.2,255.788,11.8773,3.61398,34.6509,244.293,4490.08,-0.0115302
0.22,256.539,11.8771,4.36473,37.5374,144.328,-4998.26,-0.01631
0.24,257.359,11.8768,5.1851,41.0187,174.061,1486.65,-0.0225241
0.26,258.253,11.8764,6.07904,44.6969,183.911,492.474,-0.0304025
0.28,259.222,11.8758,7.04753,48.4245,186.38,123.437,-0.0399932
0.3,260.263,11.875,8.08934,52.0905,183.302,-153.86,-0.0521782
0.32,261.378,11.8739,9.20366,55.716,181.275,-101.342,-0.066235
0.34,262.562,11.8723,10.3882,59.225,175.451,-291.222,-0.0834244
0.36,263.816,11.8703,11.642,62.6924,173.368,-104.177,-0.10311
0.38,265.137,11.8677,12.9631,66.055,168.128,-261.961,-0.125659
0.4,266.538,11.8644,14.3642,70.0564,200.073,1597.24,-0.151922
0.42,268.005,11.8601,15.8306,73.3177,163.062,-1850.58,-0.181155
0.44,269.546,11.8547,17.3719,77.0648,187.358,1214.84,-0.214436
0.46,271.153,11.8482,18.9793,80.3686,165.19,-1108.41,-0.25126
0.48,272.837,11.8403,20.6626,84.1668,189.91,1236,-0.292063
0.5,274.589,11.8307,22.4149,87.6155,172.432,-873.905,-0.336819
0.52,276.411,11.8191,24.2372,91.1136,174.904,123.608,-0.385579
0.54,278.305,11.8055,26.1314,94.7119,179.915,250.545,-0.438336
0.56,280.27,11.7896,28.0967,98.262,177.506,-120.44,-0.494965
0.58,282.307,11.7709,30.1329,101.814,177.603,4.8359,-0.555335
0.6,284.414,11.7494,32.2403,105.369,177.738,6.75856,-0.619255
0.62,286.591,11.7246,34.4179,108.881,175.59,-107.429,-0.686214
0.64,288.84,11.6962,36.6669,112.45,178.451,143.061,-0.755685
0.66,291.162,11.6642,38.9885,116.078,181.402,147.551,-0.826996
0.68,293.555,11.628,41.3819,119.669,179.576,-91.287,-0.899152
0.7,296.019,11.5879,43.8464,123.227,177.881,-84.7845,-0.970939
0.72,298.558,11.5433,46.3855,126.955,186.42,426.988,-1.0408
0.74,301.167,11.4943,48.9957,130.509,177.691,-436.446,-1.10681
0.76,303.85,11.441,51.6786,134.144,181.739,202.378,-1.16661
0.78,306.609,11.3836,54.439,138.02,193.829,604.477,-1.217
0.8,309.443,11.3223,57.2728,141.692,183.592,-511.819,-1.25451
0.82,312.352,11.258,60.1832,145.522,191.478,394.272,-1.27466
0.84,315.335,11.1915,63.1666,149.169,182.36,-455.859,-1.27222
0.86,318.342,11.1254,66.1742,150.38,60.5729,-6089.37,-1.2421
0.88,321.357,11.0615,69.1904,150.806,21.278,-1964.75,-1.17928
0.9,324.383,11.0016,72.217,151.334,26.4156,256.88,-1.07959
0.92,327.419,10.9478,75.2533,151.815,24.0376,-118.9,-0.938903
0.94,330.468,10.9025,78.3024,152.451,31.8109,388.665,-0.752903
0.96,333.53,10.8683,81.3643,153.096,32.2151,20.2112,-0.51713
0.98,336.605,10.8479,84.4395,153.76,33.2083,49.6593,-0.230156
1,339.693,10.8443,87.5282,154.438,33.8909,34.1305,0.108844
1.02,342.796,10.8606,90.6311,155.143,35.2479,67.8502,0.50155
1.04,345.911,10.8995,93.7462,155.755,30.6178,-231.506,0.944118
1.06,349.039,10.9642,96.8749,156.437,34.1156,174.888,1.43344
1.08,352.176,11.057,100.013,156.923,24.2899,-491.283,1.96495
1.1,355.322,11.1803,103.162,157.415,24.5898,14.9962,2.53025
1.12,358.473,11.3358,106.316,157.74,16.2547,-416.755,3.1229
1.14,361.628,11.5246,109.477,158.009,13.4796,-138.756,3.7334
1.16,364.782,11.7476,112.638,158.088,3.90507,-478.725,4.35329
1.18,367.935,12.0048,115.802,158.174,4.3361,21.5514,4.97419
1.2,371.082,12.2958,118.962,158.027,-7.35563,-584.587,5.58841
1.22,374.222,12.6198,122.12,157.859,-8.41418,-52.9275,6.18939
1.24,377.355,12.9757,125.272,157.625,-11.7179,-165.185,6.77118
1.26,380.477,13.362,128.418,157.29,-16.7283,-250.522,7.32926
1.28,383.588,13.7771,131.557,156.975,-15.7695,47.9391,7.86078
1.3,386.67,14.2164,134.67,155.634,-67.0079,-2561.92,8.36053
1.32,389.672,14.6702,137.706,151.807,-191.372,-6218.21,8.82038
