"time","x","y","position","velocity","acceleration","jerk","heading"
0,495.385,73.8222,0,0,0,0,0
0.02,495.558,73.8222,0.173142,8.65709,432.855,21642.7,0.0005804
0.04,495.732,73.8222,0.347284,8.70709,2.5,-21517.7,0.0011608
0.06,495.905,73.8222,0.520425,8.65709,-2.5,-250,0.0017412
0.08,496.079,73.8222,0.693567,8.65709,1.4202e-10,125,0.0023216
0.1,496.252,73.8222,0.866709,8.65709,-2.84128e-10,-2.13074e-08,0.002902
0.12,496.481,73.8222,1.09601,11.4651,140.402,7020.09,0.00414021
0.14,496.9,73.8222,1.51486,20.9426,473.872,16673.5,0.00762488
0.16,497.319,73.8223,1.93371,20.9426,6.04525e-05,-23693.6,0.0111096
0.18,497.844,73.8224,2.45931,26.2798,266.859,13342.9,0.0176374
0.2,498.391,73.8226,3.00605,27.3371,52.8673,-10699.6,0.0247664
0.22,499.041,73.8229,3.65584,32.4893,257.612,10237.2,0.0361714
0.24,499.73,73.8234,4.34515,34.4658,98.823,-7939.46,0.0497417
0.26,500.474,73.8241,5.08923,37.2036,136.889,1903.31,0.0664041
0.28,501.291,73.8252,5.90648,40.8626,182.949,2302.96,0.0878916
0.3,502.17,73.8268,6.78504,43.9284,153.291,-1482.89,0.114763
0.32,503.108,73.8289,7.72288,46.8916,148.163,-256.37,0.146809
0.34,504.107,73.8318,8.72213,49.9626,153.55,269.34,0.18466
0.36,505.166,73.8356,9.78098,52.9423,148.982,-228.391,0.229018
0.38,506.287,73.8406,10.9016,56.0302,154.394,270.591,0.280553
0.4,507.468,73.8469,12.0831,59.0758,152.282,-105.602,0.339891
0.42,508.718,73.8551,13.333,62.4954,170.98,934.876,0.408981
0.44,510.028,73.8653,14.6432,65.5081,150.636,-1017.17,0.487242
0.46,511.398,73.8779,16.0127,68.4757,148.378,-112.928,0.575053
0.48,512.833,73.8936,17.4479,71.7589,164.159,789.089,0.673655
0.5,514.328,73.9125,18.9436,74.786,151.356,-640.166,0.782524
0.52,515.887,73.9354,20.5023,77.9347,157.435,303.931,0.899276
0.54,517.506,73.9625,22.1218,80.977,152.116,-265.946,1.02335
0.56,519.188,73.9945,23.8041,84.1147,156.886,238.494,1.1502
0.58,520.926,74.0314,25.5428,86.9339,140.959,-796.314,1.27418
0.6,522.722,74.0732,27.3393,89.8243,144.523,178.199,1.3888
0.62,524.576,74.1198,29.1937,92.7205,144.806,14.1475,1.48224
0.64,526.48,74.1703,31.0986,95.2446,126.207,-929.97,1.54047
0.66,528.423,74.2231,33.0423,97.1864,97.09,-1455.84,1.55689
0.68,530.325,74.2746,34.9442,95.0964,-104.503,-10079.6,1.52917
0.7,532.156,74.3226,36.7763,91.6063,-174.503,-3500.03,1.46161
0.72,533.921,74.3663,38.5422,88.295,-165.563,447.034,1.36483
0.74,535.623,74.4052,40.2446,85.1199,-158.758,340.231,1.25001
0.76,537.26,74.4392,41.882,81.8677,-162.61,-192.596,1.12721
0.78,538.839,74.4686,43.4609,78.944,-146.182,821.403,1.0028
0.8,540.359,74.4936,44.9806,75.9861,-147.897,-85.7502,0.882125
0.82,541.82,74.5147,46.4421,73.0737,-145.62,113.843,0.768837
0.84,543.222,74.5321,47.8445,70.1215,-147.609,-99.4419,0.663737
0.86,544.571,74.5466,49.1933,67.4383,-134.159,672.479,0.56833
0.88,545.856,74.5584,50.4786,64.2684,-158.498,-1216.95,0.483663
0.9,547.086,74.568,51.7082,61.4777,-139.532,948.3,0.408018
0.92,548.26,74.5755,52.8829,58.7359,-137.092,122.005,0.341278
0.94,549.377,74.5817,53.9997,55.8407,-144.758,-383.275,0.283152
0.96,550.435,74.5864,55.0575,52.8863,-147.721,-148.157,0.232875
0.98,551.433,74.5901,56.0559,49.9244,-148.096,-18.7784,0.189823
1,552.372,74.5929,56.995,46.952,-148.618,-26.1005,0.153136
1.02,553.251,74.5949,57.8734,43.9232,-151.438,-140.971,0.122287
1.04,554.069,74.5965,58.6911,40.8845,-151.936,-24.9108,0.0964575
1.06,554.829,74.5976,59.4519,38.036,-142.425,475.572,0.074847
1.08,555.539,74.5984,60.1614,35.4789,-127.854,728.541,0.0567512
1.1,556.182,74.599,60.8041,32.1328,-167.307,-1972.64,0.0430652
1.12,556.756,74.5994,61.3785,28.7211,-170.587,-164.018,0.0325114
1.14,557.299,74.5996,61.9213,27.139,-79.101,4574.3,0.0234297
1.16,557.735,74.5998,62.3579,21.8308,-265.411,-9315.51,0.0177674
1.18,558.152,74.5999,62.7747,20.8385,-49.6176,10789.7,0.0127312
1.2,558.458,74.5999,63.0809,15.3095,-276.451,-11341.6,0.00941297
1.22,558.631,74.5999,63.2536,8.63473,-333.737,-2864.31,0.00816274
1.24,558.805,74.6,63.4273,8.68473,2.50007,16811.8,0.00691251
1.26,558.977,74.6,63.5999,8.63473,-2.50007,-250.007,0.00566228
1.28,559.15,74.6,63.7726,8.63473,-1.42402e-09,125.004,0.00441205
1.3,559.323,74.6,63.9453,8.63473,-1.13909e-09,1.42464e-08,0.00316182
