dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.011355,11.374994,0.000179,0.017910,0.895522,44.776119,6.282187
0.020000,0.011321,11.374994,0.000213,0.001694,-0.810804,-85.316297,6.282190
0.020000,0.011245,11.374994,0.000289,0.003812,0.105900,45.835197,6.282197
0.020000,0.011109,11.374995,0.000425,0.006778,0.148266,2.118266,6.282209
0.020000,0.010898,11.374995,0.000637,0.010590,0.190639,2.118663,6.282227
0.020000,0.010593,11.374995,0.000942,0.015251,0.233025,2.119313,6.282254
0.020000,0.010177,11.374995,0.001357,0.020760,0.275431,2.120279,6.282291
0.020000,0.009635,11.374996,0.001899,0.027117,0.317863,2.121624,6.282338
0.020000,0.008949,11.374996,0.002586,0.034323,0.360332,2.123413,6.282399
0.020000,0.008101,11.374997,0.003433,0.042380,0.402846,2.125709,6.282473
0.020000,0.007075,11.374998,0.004459,0.051289,0.445417,2.128575,6.282563
0.020000,0.005854,11.374998,0.005680,0.061050,0.488059,2.132075,6.282671
0.020000,0.004421,11.374999,0.007113,0.071666,0.530784,2.136274,6.282797
0.020000,0.002758,11.375000,0.008776,0.083138,0.573609,2.141237,6.282943
0.020000,0.000849,11.375000,0.010685,0.095469,0.616549,2.147027,6.283111
0.020000,0.026628,11.375002,0.036464,1.288938,59.673444,2952.844724,0.000116
0.020000,0.075947,11.375013,0.085784,2.465993,58.852775,-41.033426,0.000332
0.020000,0.131226,11.375038,0.141062,2.763916,14.896129,-2197.832333,0.000574
0.020000,0.192799,11.375081,0.202635,3.078643,15.736360,42.011583,0.000844
0.020000,0.261034,11.375149,0.270870,3.411751,16.655392,45.951584,0.001144
0.020000,0.336275,11.375248,0.346112,3.762064,17.515681,43.014424,0.001474
0.020000,0.418820,11.375384,0.428656,4.127246,18.259085,37.170202,0.001837
0.020000,0.509052,11.375568,0.518889,4.511629,19.219135,48.002507,0.002234
0.020000,0.607296,11.375809,0.617133,4.912202,20.028641,40.475288,0.002667
0.020000,0.713871,11.376118,0.723709,5.328784,20.829104,40.023153,0.003138
0.020000,0.829162,11.376509,0.839000,5.764569,21.789242,48.006924,0.003648
0.020000,0.953457,11.376997,0.963296,6.214813,22.512224,36.149089,0.004198
0.020000,1.087132,11.377598,1.096973,6.683809,23.449779,46.877730,0.004791
0.020000,1.230515,11.378330,1.240358,7.169252,24.272190,41.120558,0.005428
0.020000,1.383914,11.379215,1.393760,7.670102,25.042502,38.515596,0.006111
0.020000,1.547724,11.380276,1.557573,8.190661,26.027909,49.270347,0.006843
0.020000,1.722250,11.381539,1.732103,8.726529,26.793399,38.274542,0.007624
0.020000,1.907820,11.383031,1.917679,9.278779,27.612507,40.955372,0.008456
0.020000,2.104775,11.384783,2.114642,9.848164,28.469267,42.838017,0.009342
0.020000,2.313457,11.386831,2.323334,10.434583,29.320936,42.583463,0.010283
0.020000,2.534203,11.389211,2.544092,11.037922,30.166965,42.301453,0.011281
0.020000,2.767347,11.391965,2.777254,11.658058,31.006787,41.991103,0.012340
0.020000,3.013224,11.395137,3.023151,12.294854,31.839818,41.651538,0.013459
0.020000,3.272162,11.398775,3.282114,12.948163,32.665456,41.281891,0.014642
0.020000,3.544487,11.402933,3.554470,13.617825,33.483082,40.881311,0.015892
0.020000,3.830521,11.407667,3.840544,14.303666,34.292061,40.448958,0.017209
0.020000,4.130640,11.413040,4.140712,15.008397,35.236546,47.224232,0.018596
0.020000,4.445135,11.419119,4.455265,15.727660,35.963122,36.328791,0.020057
0.020000,4.774327,11.425975,4.784528,16.463169,36.775496,40.618682,0.021593
0.020000,5.118580,11.433688,5.128868,17.216986,37.690832,45.766840,0.023207
0.020000,5.478187,11.442339,5.488579,17.985545,38.427952,36.855993,0.024901
0.020000,5.853461,11.452019,5.863978,18.769942,39.219821,39.593434,0.026679
0.020000,6.244788,11.462826,6.255454,19.573823,40.194054,48.711632,0.028543
0.020000,6.652435,11.474863,6.663278,20.391204,40.869076,33.751138,0.030495
0.020000,7.076728,11.488239,7.087782,21.225180,41.698791,41.485758,0.032540
0.020000,7.517818,11.503069,7.529122,22.066998,42.090905,19.605666,0.034679
0.020000,7.975683,11.519466,7.987280,22.907906,42.045379,-2.276296,0.036914
0.020000,8.450291,11.537547,8.462233,23.747639,41.986661,-2.935870,0.039246
0.020000,8.941615,11.557437,8.953958,24.586288,41.932470,-2.709589,0.041678
0.020000,9.449668,11.579268,9.462481,25.426121,41.991630,2.958035,0.044211
0.020000,9.974356,11.603172,9.987713,26.261599,41.773928,-10.885139,0.046847
0.020000,10.515683,11.629293,10.529670,27.097859,41.812981,1.952694,0.049588
0.020000,11.073592,11.657777,11.088305,27.931767,41.695375,-5.880304,0.052437
0.020000,11.648081,11.688780,11.663630,28.766247,41.724002,1.431343,0.055394
0.020000,12.239068,11.722459,12.255576,29.597290,41.552153,-8.592461,0.058464
0.020000,12.846524,11.758983,12.864129,30.427636,41.517321,-1.741620,0.061647
0.020000,13.470412,11.798525,13.489268,31.256981,41.467239,-2.504086,0.064948
0.020000,14.110687,11.841266,14.130969,32.085015,41.401684,-3.277762,0.068367
0.020000,14.767297,11.887393,14.789197,32.911423,41.320445,-4.061922,0.071909
0.020000,15.440181,11.937101,15.463915,33.735890,41.223330,-4.855765,0.075576
0.020000,16.129270,11.990592,16.155077,34.558093,41.110162,-5.658400,0.079370
0.020000,16.834497,12.048074,16.862643,35.378284,41.009557,-5.030248,0.083296
0.020000,17.555680,12.109757,17.586459,36.190817,40.626616,-19.147033,0.087355
0.020000,18.292341,12.175826,18.326076,36.980853,39.501823,-56.239646,0.091549
0.020000,19.044136,12.246484,19.081185,37.755447,38.729710,-38.605694,0.095880
0.020000,19.810622,12.321926,19.851374,38.509463,37.700779,-51.446529,0.100349
0.020000,20.591380,12.402352,20.636264,39.244470,36.750350,-47.521438,0.104957
0.020000,21.386002,12.487966,21.435485,39.961061,35.829575,-46.038745,0.109707
