dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,201.340071,139.330352,0.016000,1.600000,80.000000,4000.000000,3.136731
0.020000,201.355295,139.330287,0.031224,0.761203,-41.939855,-6096.992736,3.138019
0.020000,201.380694,139.330224,0.056623,1.269964,25.438077,3368.896582,3.140167
0.020000,201.357279,139.330180,0.080038,1.170757,-4.960371,-1519.922419,3.143183
0.020000,201.259279,139.329834,0.178039,4.900019,186.463092,9571.173165,3.147070
0.020000,201.139724,139.328894,0.297598,5.977949,53.896519,-6628.328628,3.151846
0.020000,200.998833,139.327050,0.438500,7.045130,53.359038,-26.874066,3.157521
0.020000,200.836744,139.323934,0.600620,8.105957,53.041359,-15.883949,3.164114
0.020000,200.653739,139.319125,0.783688,9.153400,52.372148,-33.460568,3.171639
0.020000,200.450080,139.312141,0.987467,10.188974,51.778671,-29.673830,3.180116
0.020000,200.226027,139.302448,1.211729,11.213107,51.206648,-28.601129,3.189567
0.020000,199.981869,139.289450,1.456233,12.225185,50.603908,-30.137038,3.200016
0.020000,199.717998,139.272501,1.720648,13.220743,49.777934,-41.298665,3.211485
0.020000,199.434732,139.250893,2.004737,14.204468,49.186234,-29.584995,3.224000
0.020000,199.132508,139.223869,2.308167,15.171469,48.350072,-41.808147,3.237585
0.020000,198.811736,139.190611,2.630658,16.124553,47.654183,-34.794434,3.252264
0.020000,198.472854,139.150248,2.971936,17.063906,46.967653,-34.326482,3.268059
0.020000,198.116277,139.101848,3.331783,17.992343,46.421838,-27.290761,3.284992
0.020000,197.742455,139.044425,3.709989,18.910309,45.898303,-26.176735,3.303080
0.020000,197.351856,138.976937,4.106375,19.819310,45.450025,-22.413891,3.322335
0.020000,196.944872,138.898272,4.520892,20.725858,45.327401,-6.131248,3.342765
0.020000,196.521932,138.807262,4.953514,21.631079,45.261051,-3.317457,3.364369
0.020000,196.083378,138.702660,5.404370,22.542800,45.586081,16.251458,3.387138
0.020000,195.629531,138.583147,5.873688,23.465923,46.156151,28.503502,3.411053
0.020000,195.160672,138.447327,6.361823,24.406745,47.041113,44.248099,3.436081
0.020000,194.676979,138.293700,6.869327,25.375210,48.423246,69.106697,3.462180
0.020000,194.178606,138.120682,7.396879,26.377584,50.118677,84.771507,3.489288
0.020000,193.665613,137.926573,7.945368,27.424460,52.343821,111.257217,3.517333
0.020000,193.138013,137.709568,8.515853,28.524234,54.988689,132.243385,3.546224
0.020000,192.595777,137.467752,9.109566,29.685649,58.070721,154.101613,3.575856
0.020000,192.038833,137.199096,9.727921,30.917743,61.604732,176.700536,3.606112
0.020000,191.467120,136.901481,10.372459,32.226943,65.459975,192.762147,3.636859
0.020000,190.880589,136.572705,11.044852,33.619648,69.635279,208.765223,3.667957
0.020000,190.279247,136.210510,11.746848,35.099771,74.006140,218.543033,3.699257
0.020000,189.663174,135.812615,12.480241,36.669668,78.494868,224.436432,3.730608
0.020000,189.032560,135.376757,13.246822,38.329048,82.968970,223.705088,3.761859
0.020000,188.387709,134.900725,14.048346,40.076167,87.355963,219.349653,3.792861
0.020000,187.729070,134.382415,14.886469,41.906162,91.499769,207.190274,3.823473
0.020000,187.057204,133.819849,15.762758,43.814479,95.415829,195.803003,3.853564
