dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,201.397540,151.150212,0.012000,1.200000,60.000000,3000.000000,3.136623
0.020000,201.397540,151.150212,0.048000,2.400000,60.000000,0.000000,3.137589
0.020000,201.397540,151.150212,0.108000,3.600000,60.000000,-0.000000,3.139200
0.020000,201.397540,151.150212,0.192000,4.800000,60.000000,0.000000,3.141458
0.020000,201.294475,151.150069,0.300000,6.000000,60.000000,-0.000000,3.144369
0.020000,201.162503,151.149467,0.432000,7.200000,60.000000,0.000000,3.147937
0.020000,201.006549,151.148148,0.588000,8.400000,60.000000,0.000000,3.152172
0.020000,200.826546,151.145801,0.768000,9.600000,60.000000,0.000000,3.157084
0.020000,200.622591,151.142071,0.972000,10.800000,60.000000,-0.000000,3.162681
0.020000,200.394642,151.136547,1.200000,12.000000,60.000000,0.000000,3.168975
0.020000,200.142730,151.128765,1.452000,13.200000,60.000000,-0.000000,3.175980
0.020000,199.866964,151.118213,1.728000,14.400000,60.000000,0.000000,3.183706
0.020000,199.567260,151.104315,2.028000,15.600000,60.000000,0.000000,3.192171
0.020000,199.243792,151.086448,2.352000,16.800000,60.000000,-0.000000,3.201386
0.020000,198.896531,151.063922,2.700000,18.000000,60.000000,0.000000,3.211370
0.020000,198.525577,151.035991,3.072000,19.200000,60.000000,0.000000,3.222138
0.020000,198.131073,151.001852,3.468000,20.400000,60.000000,-0.000000,3.233705
0.020000,197.713074,150.960632,3.888000,21.600000,60.000000,0.000000,3.246089
0.020000,197.271802,150.911407,4.332000,22.800000,60.000000,0.000000,3.259303
0.020000,196.807474,150.853190,4.800000,24.000000,60.000000,-0.000000,3.273361
0.020000,196.320224,150.784915,5.292000,25.200000,60.000000,0.000000,3.288278
0.020000,195.810373,150.705476,5.808000,26.400000,60.000000,-0.000000,3.304063
0.020000,195.278239,150.613699,6.348000,27.600000,60.000000,0.000000,3.320724
0.020000,194.724178,150.508353,6.912000,28.800000,60.000000,0.000000,3.338265
0.020000,194.148623,150.388159,7.500000,30.000000,60.000000,-0.000000,3.356688
0.020000,193.552018,150.251777,8.112000,31.200000,60.000000,0.000000,3.375988
0.020000,192.934946,150.097842,8.748000,32.400000,60.000000,-0.000000,3.396156
0.020000,192.298003,149.924941,9.408000,33.600000,60.000000,0.000000,3.417175
0.020000,191.641905,149.731650,10.092000,34.800000,60.000000,-0.000000,3.439023
0.020000,190.967402,149.516516,10.800000,36.000000,60.000000,0.000000,3.461668
0.020000,190.275341,149.278091,11.532000,37.200000,60.000000,0.000000,3.485072
0.020000,189.566651,149.014937,12.288000,38.400000,60.000000,0.000000,3.509188
0.020000,188.842311,148.725633,13.068000,39.600000,60.000000,-0.000000,3.533959
0.020000,188.103400,148.408805,13.872000,40.800000,60.000000,0.000000,3.559322
0.020000,187.351037,148.063126,14.700000,42.000000,60.000000,0.000000,3.585202
0.020000,186.586419,147.687342,15.552000,43.200000,60.000000,-0.000000,3.611520
0.020000,185.810777,147.280279,16.428000,44.400000,60.000000,0.000000,3.638188
0.020000,185.025379,146.840855,17.328000,45.600000,60.000000,0.000000,3.665115
0.020000,184.231513,146.368095,18.252000,46.800000,60.000000,0.000000,3.692204
0.020000,183.430494,145.861147,19.200000,48.000000,60.000000,-0.000000,3.719357
0.020000,182.623589,145.319258,20.172000,49.200000,60.000000,0.000000,3.746476
0.020000,181.812103,144.741833,21.168000,50.400000,60.000000,0.000000,3.773462
0.020000,180.997249,144.128368,22.188000,51.600000,60.000000,-0.000000,3.800221
0.020000,180.180218,143.478502,23.232000,52.800000,60.000000,0.000000,3.826663
0.020000,179.362139,142.791990,24.300000,54.000000,60.000000,0.000000,3.852704
0.020000,178.544066,142.068700,25.392000,55.200000,60.000000,-0.000000,3.878267
0.020000,177.726971,141.308603,26.508000,56.400000,60.000000,0.000000,3.903282
0.020000,176.911732,140.511758,27.648000,57.600000,60.000000,-0.000000,3.927689
0.020000,176.099188,139.678361,28.812000,58.800000,60.000000,0.000000,3.951434
0.020000,175.289993,138.808592,30.000000,60.000000,60.000000,0.000000,3.974474
0.020000,174.484784,137.902776,31.212000,61.200000,60.000000,0.000000,3.996772
0.020000,173.684051,136.961232,32.448000,62.400000,60.000000,0.000000,4.018301
0.020000,172.888258,135.984399,33.708000,63.600000,60.000000,-0.000000,4.039038
0.020000,172.097700,134.972657,34.992000,64.800000,60.000000,0.000000,4.058971
0.020000,171.312633,133.926467,36.300000,66.000000,60.000000,0.000000,4.078091
0.020000,170.533230,132.846308,37.632000,67.200000,60.000000,0.000000,4.096393
0.020000,169.759594,131.732682,38.988000,68.400000,60.000000,0.000000,4.113878
0.020000,168.991729,130.586062,40.368000,69.600000,60.000000,-0.000000,4.130550
0.020000,168.229585,129.406941,41.772000,70.800000,60.000000,0.000000,4.146417
0.020000,167.473059,128.195828,43.200000,72.000000,60.000000,0.000000,4.161487
0.020000,166.721975,126.953208,44.652000,73.200000,60.000000,0.000000,4.175772
0.020000,165.976097,125.679555,46.128000,74.400000,60.000000,0.000000,4.189283
0.020000,165.235141,124.375339,47.628000,75.600000,60.000000,-0.000000,4.202033
0.020000,164.498780,123.041036,49.152000,76.800000,60.000000,0.000000,4.214035
0.020000,163.766653,121.677140,50.700000,78.000000,60.000000,-0.000000,4.225302
0.020000,163.038302,120.284040,52.272000,79.200000,60.000000,0.000000,4.235845
0.020000,162.313290,118.862243,53.868000,80.400000,60.000000,-0.000000,4.245676
0.020000,161.591071,117.412121,55.488000,81.600000,60.000000,0.000000,4.254806
0.020000,160.871122,115.934170,57.132000,82.800000,60.000000,0.000000,4.263244
0.020000,160.152814,114.428763,58.800000,84.000000,60.000000,0.000000,4.270997
0.020000,159.435505,112.896328,60.492000,85.200000,60.000000,0.000000,4.278071
