dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,200.591293,139.330254,0.016000,1.600000,80.000000,4000.000000,3.138929
0.020000,200.597714,139.330238,0.022421,0.321054,-63.947325,-7197.366227,3.139472
0.020000,200.608432,139.330221,0.033139,0.535890,10.741820,3734.457217,3.140379
0.020000,200.618291,139.330212,0.042998,0.492960,-2.146493,-644.415624,3.141652
0.020000,200.493614,139.330102,0.167675,6.233842,287.044109,14459.530104,3.143296
0.020000,200.341509,139.329690,0.319781,7.605289,68.572342,-10923.588348,3.145316
0.020000,200.161987,139.328806,0.499305,8.976219,68.546515,-1.291366,3.147721
0.020000,199.955104,139.327249,0.706193,10.344420,68.410021,-6.824722,3.150521
0.020000,199.720983,139.324784,0.940328,11.706711,68.114550,-14.773534,3.153727
0.020000,199.459812,139.321142,1.201524,13.059831,67.655985,-22.928235,3.157352
0.020000,199.171848,139.316021,1.489533,14.400440,67.030488,-31.274866,3.161408
0.020000,198.857163,139.309077,1.804296,15.738127,66.884333,-7.307758,3.165915
0.020000,198.516155,139.299935,2.145426,17.056526,65.919934,-48.219936,3.170888
0.020000,198.148851,139.288171,2.512918,18.374615,65.904474,-0.772993,3.176351
0.020000,197.755740,139.273330,2.906309,19.669521,64.745285,-57.959452,3.182326
0.020000,197.337144,139.254910,3.325310,20.950040,64.025947,-35.966922,3.188838
0.020000,196.893436,139.232364,3.769591,22.214066,63.201314,-41.231636,3.195917
0.020000,196.424918,139.205091,4.238901,23.465515,62.572435,-31.443976,3.203596
0.020000,195.932343,139.172465,4.732556,24.682737,60.861103,-85.566574,3.211908
0.020000,195.415973,139.133775,5.250373,25.890853,60.405832,-22.763569,3.220896
0.020000,194.876592,139.088290,5.791669,27.064804,58.697517,-85.415747,3.230602
0.020000,194.314880,139.035212,6.355883,28.210716,57.295607,-70.095468,3.241073
0.020000,193.731616,138.973691,6.942383,29.324960,55.712197,-79.170526,3.252362
0.020000,193.127514,138.902801,7.550630,30.412369,54.370469,-67.086372,3.264530
0.020000,192.503773,138.821606,8.179633,31.450165,51.889808,-124.033082,3.277639
0.020000,191.861363,138.729074,8.828673,32.451990,50.091211,-89.929843,3.291759
0.020000,191.201440,138.624124,9.496890,33.410835,47.942272,-107.446933,3.306971
0.020000,190.525379,138.505633,10.183255,34.318273,45.371920,-128.517629,3.323357
0.020000,189.834786,138.372450,10.886574,35.165934,42.383019,-149.445040,3.341007
0.020000,189.131154,138.223331,11.605833,35.962949,39.850749,-126.613473,3.360023
0.020000,188.416410,138.057050,12.339665,36.691597,36.432387,-170.918111,3.380509
0.020000,187.692537,137.872334,13.086734,37.353470,33.093663,-166.936208,3.402579
0.020000,186.961583,137.667866,13.845747,37.950613,29.857177,-161.824283,3.426354
0.020000,186.225986,137.442389,14.615125,38.468923,25.915501,-197.083805,3.451952
0.020000,185.488128,137.194598,15.393479,38.917704,22.439056,-173.822278,3.479501
0.020000,184.750604,136.923237,16.179341,39.293078,18.768692,-183.518188,3.509120
0.020000,184.015995,136.627044,16.971414,39.603672,15.529696,-161.949784,3.540922
0.020000,183.286935,136.304789,17.768519,39.855252,12.578970,-147.536336,3.575004
0.020000,182.565937,135.955222,18.569791,40.063593,10.417061,-108.095421,3.611438
0.020000,181.855252,135.576997,19.374854,40.253143,9.477489,-46.978632,3.650262
0.020000,181.156932,135.168690,20.183783,40.446441,9.664935,9.372309,3.691464
0.020000,180.472557,134.728616,20.997438,40.682749,11.815389,107.522730,3.734970
0.020000,179.803191,134.254704,21.817585,41.007383,16.231677,220.814385,3.780638
0.020000,179.149462,133.744458,22.646870,41.464257,22.843728,330.602555,3.828237
0.020000,178.511472,133.194745,23.489020,42.107459,32.160078,465.817486,3.877456
0.020000,177.889004,132.601816,24.348689,42.983482,43.801146,582.053399,3.927898
0.020000,177.281656,131.961279,25.231389,44.134973,57.574554,688.670391,3.979099
0.020000,176.689116,131.268281,26.143173,45.589198,72.711275,756.836067,4.030547
0.020000,176.111361,130.517737,27.090336,47.358157,88.447913,786.831905,4.081708
0.020000,175.548826,129.704635,28.079062,49.436326,103.908465,773.027618,4.132061
0.020000,175.007762,128.833359,29.104670,51.280386,92.203017,-585.272434,4.180646
0.020000,174.493831,127.911091,30.160466,52.789781,75.469718,-836.664959,4.226680
0.020000,174.007213,126.938016,31.248432,54.398321,80.427027,247.865485,4.269991
0.020000,173.548232,125.915200,32.369510,56.053894,82.778645,117.580894,4.310502
0.020000,173.117178,124.844421,33.523796,57.714302,83.020409,12.088202,4.348206
0.020000,172.714219,123.728066,34.710651,59.342752,81.422513,-79.894834,4.383152
0.020000,172.339281,122.568809,35.929033,60.919111,78.817948,-130.228221,4.415434
0.020000,171.992066,121.369568,37.177528,62.424725,75.280669,-176.863938,4.445169
0.020000,171.672034,120.133325,38.454522,63.849726,71.250057,-201.530611,4.472492
0.020000,171.378418,118.862994,39.758344,65.191105,67.068940,-209.055844,4.497547
0.020000,171.110266,117.561375,41.087298,66.447697,62.829597,-211.967177,4.520476
0.020000,170.866474,116.231103,42.439724,67.621303,58.680308,-207.464419,4.541418
0.020000,170.645817,114.874592,43.814065,68.717038,54.786777,-194.676567,4.560507
0.020000,170.446983,113.494044,45.208859,69.739672,51.131670,-182.755332,4.577868
0.020000,170.268609,112.091505,46.622695,70.691811,47.606954,-176.235799,4.593615
0.020000,170.109280,110.668704,48.054389,71.584719,44.645411,-148.077170,4.607855
0.020000,169.967575,109.227285,49.502756,72.418344,41.681243,-148.208419,4.620682
0.020000,169.842053,107.768608,50.966824,73.203408,39.253196,-121.402317,4.632181
0.020000,169.731282,106.293903,52.445684,73.942983,36.978742,-113.722696,4.642430
0.020000,169.633834,104.804246,53.938524,74.642015,34.951641,-101.355075,4.651496
0.020000,169.548295,103.300558,55.444644,75.305970,33.197739,-87.695096,4.659438
0.020000,169.473260,101.783613,56.963443,75.939988,31.700891,-74.842370,4.666307
0.020000,169.407337,100.254075,58.494401,76.547873,30.394235,-65.332841,4.672149
0.020000,169.349144,98.712498,60.037076,77.133758,29.294236,-54.999931,4.676998
0.020000,169.297304,97.159332,61.591107,77.701535,28.388898,-45.266917,4.680888
0.020000,169.250442,95.594936,63.156205,78.254899,27.668160,-36.036896,4.683841
0.020000,169.207182,94.019582,64.732152,78.797378,27.123970,-27.209503,4.685876
0.020000,169.166136,92.433466,66.318800,79.332384,26.750288,-18.684107,4.687005
0.020000,169.125900,90.836708,67.916065,79.863245,26.543052,-10.361759,4.687237
0.020000,169.085049,89.229362,69.523930,80.393247,26.500127,-2.146257,4.686572
0.020000,169.042121,87.611418,71.142443,80.925672,26.621234,6.055330,4.685006
0.020000,168.995617,85.982805,72.771720,81.463830,26.907883,14.332464,4.682529
0.020000,168.943982,84.343396,74.411942,82.011105,27.363767,22.794172,4.679126
0.020000,168.885599,82.693009,76.063361,82.570934,27.991449,31.384112,4.674776
0.020000,168.818773,81.031413,77.726300,83.146974,28.801991,40.527115,4.669451
0.020000,168.741718,79.358328,79.401159,83.742948,29.798686,49.834748,4.663118
0.020000,168.652542,77.673430,81.088415,84.362810,30.993109,59.721167,4.655736
0.020000,168.549225,75.976358,82.788629,85.010715,32.395253,70.107194,4.647257
0.020000,168.429604,74.266716,84.502450,85.691045,34.016528,81.063750,4.637628
0.020000,168.291348,72.544087,86.230619,86.408425,35.868966,92.621878,4.626783
0.020000,168.131929,70.808012,87.973999,87.168981,38.027827,107.943041,4.614652
0.020000,167.948602,69.058042,89.733545,87.977310,40.416433,119.430293,4.601154
0.020000,167.738373,67.293777,91.510291,88.837330,43.001006,129.228669,4.586198
0.020000,167.497953,65.514760,93.305480,89.759425,46.104762,155.187812,4.569684
0.020000,167.223748,63.720719,95.120355,90.743779,49.217710,155.647397,4.551503
0.020000,166.911799,61.911427,96.956342,91.799330,52.777528,177.990895,4.531534
0.020000,166.557753,60.086796,98.815005,92.933130,56.690022,195.624724,4.509648
0.020000,166.156848,58.247059,100.697917,94.145608,60.623875,196.692650,4.485710
0.020000,165.703877,56.392743,102.606757,95.441994,64.819298,209.771108,4.459576
0.020000,165.193183,54.524840,104.543215,96.822926,69.046610,211.365626,4.431105
0.020000,164.618674,52.644903,106.508978,98.288144,73.260910,210.714986,4.400155
0.020000,163.973908,50.755333,108.505525,99.827327,76.959109,184.909942,4.366598
0.020000,163.252186,48.859476,110.534109,101.429222,80.094797,156.784420,4.330328
0.020000,162.446714,46.961807,112.595646,103.076831,82.380425,114.281410,4.291271
0.020000,161.550929,45.068261,114.690388,104.737120,83.014437,31.700586,4.249401
0.020000,160.558820,43.186268,116.817870,106.374107,81.849351,-58.254278,4.204759
0.020000,159.465385,41.324851,118.976683,107.940650,78.327146,-176.110260,4.157465
0.020000,158.267177,39.494598,121.164268,109.379238,71.929440,-319.885334,4.107734
0.020000,156.962810,37.707362,123.376866,110.629887,62.532414,-469.851255,4.055886
0.020000,155.553396,35.975792,125.609527,111.633076,50.159478,-618.646826,4.002338
0.020000,154.042828,34.312669,127.856257,112.336502,35.171309,-749.408451,3.947599
0.020000,152.437787,32.730107,130.110289,112.701591,18.254441,-845.843382,3.892241
0.020000,150.747477,31.238756,132.364457,112.708395,0.340163,-895.713935,3.836871
0.020000,148.982941,29.847011,134.611799,112.367083,-17.065603,-870.288258,3.782082
0.020000,147.156529,28.560741,136.845690,111.694549,-33.626688,-828.054274,3.728428
0.020000,145.280797,27.382908,139.060563,110.743669,-47.543984,-695.864810,3.676386
0.020000,143.367916,26.313830,141.251919,109.567800,-58.793459,-562.473739,3.626337
0.020000,141.429131,25.351544,143.416378,108.222936,-67.243200,-422.487035,3.578564
0.020000,139.474167,24.492183,145.551884,106.775296,-72.381982,-256.939108,3.533244
0.020000,137.511335,23.730641,147.657271,105.269368,-75.296406,-145.721196,3.490471
0.020000,135.547198,23.060927,149.732445,103.758716,-75.532605,-11.809976,3.450260
0.020000,133.587068,22.476725,151.777782,102.266836,-74.594007,46.929911,3.412570
0.020000,131.634744,21.971569,153.794401,100.830967,-71.793446,140.028045,3.377316
