dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,214.295121,163.467584,0.020000,2.000000,100.000000,5000.000000,3.140088
0.020000,214.286167,163.467594,0.028954,0.447718,-77.614093,-8880.704648,3.140846
0.020000,214.230202,163.467585,0.084919,2.798221,117.525147,9756.962022,3.142112
0.020000,214.069143,163.467358,0.245979,8.052987,262.738306,7260.657919,3.143894
0.020000,213.861852,163.466642,0.453270,10.364587,115.580003,-7357.915133,3.146202
0.020000,213.608199,163.465112,0.706928,12.682872,115.914222,16.710937,3.149051
0.020000,213.307963,163.462363,1.007176,15.012429,116.477865,28.182146,3.152457
0.020000,212.960867,163.457901,1.354301,17.356235,117.190288,35.621157,3.156442
0.020000,212.566712,163.451145,1.748514,19.710658,117.721165,26.543844,3.161030
0.020000,212.125110,163.441411,2.190223,22.085445,118.739327,50.908124,3.166249
0.020000,211.635752,163.427906,2.679768,24.477237,119.589621,42.514674,3.172134
0.020000,211.098173,163.409715,3.217654,26.894307,120.853512,63.194548,3.178723
0.020000,210.511954,163.385792,3.804362,29.335387,122.054000,60.024433,3.186061
0.020000,209.876492,163.354935,4.440572,31.810523,123.756795,85.139722,3.194199
0.020000,209.191283,163.315777,5.126899,34.316338,125.290745,76.697482,3.203195
0.020000,208.455648,163.266755,5.864165,36.863328,127.349483,102.936937,3.213116
0.020000,207.668944,163.206093,6.653205,39.451989,129.433066,104.179134,3.224036
0.020000,206.830277,163.131747,7.495161,42.097803,132.290703,142.881840,3.236044
0.020000,205.938946,163.041406,8.391058,44.794838,134.851765,128.053095,3.249234
0.020000,204.993988,162.932405,9.342282,47.561222,138.319172,173.370366,3.263720
0.020000,203.994498,162.801701,10.350282,50.399959,141.936867,180.884764,3.279626
0.020000,202.939516,162.645802,11.416721,53.321963,146.100182,208.165734,3.297095
0.020000,201.827996,162.460679,12.543552,56.341540,150.978846,243.933193,3.316287
0.020000,200.658961,162.241701,13.732918,59.468333,156.339642,268.039824,3.337384
0.020000,199.431600,161.983548,14.987135,62.710838,162.125279,289.281841,3.360586
0.020000,198.145163,161.680076,16.308882,66.087346,168.825414,335.006754,3.386118
0.020000,196.799241,161.324230,17.701050,69.608381,176.051715,361.315020,3.414224
0.020000,195.393896,160.907934,19.166757,73.285386,183.850275,389.928001,3.445169
0.020000,193.929908,160.422003,20.709284,77.126312,192.046266,409.799565,3.479230
0.020000,192.409195,159.856144,22.331864,81.129024,200.135615,404.467451,3.516683
0.020000,190.835036,159.198931,24.037709,85.292230,208.160319,401.235222,3.557796
0.020000,189.212918,158.438140,25.829375,89.583319,214.554450,319.706517,3.602789
0.020000,187.550884,157.561087,27.708625,93.962476,218.957824,220.168718,3.651811
0.020000,185.860232,156.555414,29.675776,98.357559,219.754142,39.815902,3.704890
0.020000,184.155941,155.410161,31.729118,102.667089,215.476512,-213.881480,3.761880
0.020000,182.456704,154.117133,33.864375,106.762878,204.789453,-534.352992,3.822420
0.020000,180.784469,152.672458,36.074230,110.492732,186.492710,-914.837133,3.885891
0.020000,179.163070,151.077829,38.348384,113.707699,160.748349,-1287.218025,3.951421
0.020000,177.616278,149.341188,40.673999,116.280777,128.653881,-1604.723416,4.017923
0.020000,176.165419,147.476384,43.036728,118.136418,92.782061,-1793.590984,4.084180
0.020000,174.827222,145.501798,45.422050,119.266106,56.484398,-1814.883171,4.148964
0.020000,173.612393,143.438209,47.816670,119.731029,23.246149,-1661.912447,4.211148
0.020000,172.525255,141.306492,50.209594,119.646197,-4.241572,-1374.386061,4.269800
0.020000,171.564360,139.125700,52.592696,119.155088,-24.555446,-1015.693692,4.324233
0.020000,170.723729,136.911855,54.960769,118.403645,-37.572151,-650.835272,4.374006
0.020000,169.994294,134.677513,57.311165,117.519800,-44.192288,-331.006836,4.418895
0.020000,169.365224,132.431926,59.643200,116.601770,-45.901462,-85.458681,4.458844
0.020000,168.824918,130.181501,61.957578,115.718869,-44.145097,87.818224,4.493911
0.020000,168.361700,127.930497,64.255749,114.908563,-40.515296,181.490047,4.524220
0.020000,167.964190,125.681630,66.539478,114.186434,-36.106438,220.442938,4.549922
0.020000,167.624598,123.458633,68.788264,112.439317,-87.355835,-2562.469851,4.570973
0.020000,167.333881,121.282871,70.983362,109.754891,-134.221319,-2343.274224,4.587481
0.020000,167.080385,119.152797,73.128467,107.255250,-124.982035,461.964226,4.599758
0.020000,166.853878,117.067164,75.226364,104.894858,-118.019593,348.122069,4.608041
0.020000,166.645253,115.025225,77.278933,102.628444,-113.320723,234.943508,4.612489
0.020000,166.446277,113.026856,79.287183,100.412524,-110.795967,126.237802,4.613187
0.020000,166.249408,111.072658,81.251272,98.204450,-110.403729,19.611903,4.610148
0.020000,166.047642,109.164060,83.170506,95.961674,-112.138771,-86.752108,4.603316
0.020000,165.834425,107.303420,85.043323,93.640853,-116.041071,-195.115005,4.592556
0.020000,165.603605,105.494123,86.867283,91.198021,-122.141601,-305.026515,4.577664
0.020000,165.349446,103.740711,88.639020,88.586835,-130.559303,-420.885098,4.558355
0.020000,165.066712,102.048955,90.354239,85.760945,-141.294489,-536.759268,4.534265
0.020000,164.750816,100.425898,92.007752,82.675658,-154.264377,-648.494403,4.504956
0.020000,164.398063,98.879818,93.593564,79.290575,-169.254132,-749.487775,4.469922
0.020000,164.005951,97.419937,95.105187,75.581164,-185.470552,-810.820961,4.428613
0.020000,163.573486,96.055869,96.536168,71.549047,-201.605826,-806.763709,4.380485
0.020000,163.101376,94.796579,97.881047,67.243950,-215.254880,-682.452724,4.325074
0.020000,162.591884,93.648863,99.136767,62.786011,-222.896957,-382.103816,4.262124
0.020000,161.910446,92.296624,100.651002,75.711768,646.287852,43459.240428,4.238732
0.020000,161.065506,90.677468,102.477362,91.317989,780.311051,6701.159958,4.224043
0.020000,160.198770,89.075151,104.299079,91.085836,-11.607632,-39595.934164,4.208962
0.020000,159.309944,87.490343,106.116117,90.851919,-11.695864,-4.411618,4.193485
