dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,203.929118,161.540243,0.020000,2.000000,100.000000,5000.000000,3.137280
0.020000,203.919447,161.540289,0.029671,0.483545,-75.822746,-8791.137317,3.136462
0.020000,203.876823,161.540550,0.072296,2.131272,82.386340,7910.454297,3.135096
0.020000,203.714143,161.541763,0.234981,8.134237,300.148268,10888.096444,3.133176
0.020000,203.504765,161.543786,0.444368,10.469344,116.755340,-9169.646426,3.130691
0.020000,203.248623,161.546969,0.700530,12.808122,116.938893,9.177637,3.127632
0.020000,202.945528,161.551753,1.003663,15.156621,117.424933,24.302024,3.123983
0.020000,202.595306,161.558665,1.353954,17.514535,117.895711,23.538880,3.119728
0.020000,202.197732,161.568328,1.751645,19.884553,118.500913,30.260101,3.114847
0.020000,201.752566,161.581467,2.197005,22.268004,119.172541,33.581413,3.109317
0.020000,201.259537,161.598914,2.690342,24.666870,119.943331,38.539506,3.103110
0.020000,200.718279,161.621622,3.232076,27.086721,120.992522,52.459542,3.096196
0.020000,200.128505,161.650670,3.822565,29.524412,121.884569,44.602327,3.088542
0.020000,199.489896,161.687273,4.462222,31.982856,122.922171,51.880104,3.080110
0.020000,198.802032,161.732803,5.151591,34.468473,124.280884,67.935670,3.070857
0.020000,198.064531,161.788797,5.891215,36.981167,125.634675,67.689551,3.060737
0.020000,197.276976,161.856978,6.681716,39.525059,127.194625,77.997517,3.049696
0.020000,196.438961,161.939269,7.523762,42.102303,128.862170,83.377228,3.037678
0.020000,195.550089,162.037817,8.418079,44.715878,130.678776,90.830287,3.024621
0.020000,194.609927,162.155024,9.365520,47.372019,132.807021,106.412280,3.010455
0.020000,193.618169,162.293549,10.366905,50.069253,134.861703,102.734069,2.995108
0.020000,192.574514,162.456359,11.423183,52.813895,137.232111,118.520441,2.978500
0.020000,191.478745,162.646745,12.535368,55.609283,139.769392,126.864027,2.960547
0.020000,190.330757,162.868355,13.704551,58.459132,142.492456,136.153210,2.941158
0.020000,189.130736,163.125192,14.931749,61.359897,145.038274,127.290886,2.920241
0.020000,187.878964,163.421681,16.218154,64.320272,148.018730,149.022787,2.897701
0.020000,186.576168,163.762629,17.564826,67.333556,150.664218,132.274408,2.873444
0.020000,185.223355,164.153283,18.972914,70.404416,153.542985,143.938342,2.847376
0.020000,183.822193,164.599235,20.443331,73.520878,155.823099,114.005706,2.819416
0.020000,182.374833,165.106463,21.976998,76.683342,158.123193,115.004703,2.789491
0.020000,180.884340,165.681159,23.574447,79.872447,159.455240,66.602347,2.757551
0.020000,179.354582,166.329679,25.235995,83.077365,160.245915,39.533769,2.723573
0.020000,177.790529,167.058309,26.961440,86.272282,159.745870,-25.002259,2.687571
0.020000,176.198191,167.873095,28.750131,89.434541,158.112946,-81.646219,2.649602
0.020000,174.584839,168.779483,30.600656,92.526268,154.586329,-176.330837,2.609784
0.020000,172.958816,169.782075,32.510929,95.513622,149.367692,-260.931846,2.568293
0.020000,171.329435,170.884288,34.478098,98.358482,142.242999,-356.234656,2.525373
0.020000,169.706785,172.088026,36.498489,101.019530,133.052394,-459.530219,2.481333
0.020000,168.101320,173.393469,38.567716,103.461333,122.090177,-548.110863,2.436544
0.020000,166.523382,174.798996,40.680865,105.657440,109.805345,-614.241603,2.391423
0.020000,164.982754,176.301176,42.832626,107.588060,96.531018,-663.716346,2.346419
0.020000,163.488138,177.894992,45.017603,109.248871,83.040515,-674.525150,2.301989
0.020000,162.046778,179.574139,47.230532,110.646457,69.879299,-658.060797,2.258579
0.020000,160.664171,181.331441,49.466536,111.800167,57.685513,-609.689337,2.216602
0.020000,159.343954,183.159269,51.721292,112.737843,46.883825,-540.084384,2.176424
0.020000,158.087909,185.049952,53.991168,113.493760,37.795832,-454.399642,2.138352
0.020000,156.896117,186.996097,56.273238,114.103514,30.487695,-365.406875,2.102633
0.020000,155.767161,188.990838,58.565297,114.602965,24.972540,-275.757728,2.069455
0.020000,154.698393,191.027951,60.865753,115.022764,20.989969,-199.128568,2.038952
0.020000,153.686184,193.101914,63.173541,115.389434,18.333486,-132.824131,2.011214
