dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,187.511033,161.550939,0.018000,1.800000,90.000000,4500.000000,3.139060
0.020000,187.516292,161.550927,0.023259,0.262965,-76.851752,-8342.587576,3.139505
0.020000,187.525069,161.550912,0.032037,0.438875,8.795510,4282.363080,3.140248
0.020000,187.537383,161.550901,0.044351,0.615688,8.840631,2.256064,3.141289
0.020000,187.427743,161.550842,0.153991,5.481999,243.315544,11723.745634,3.142635
0.020000,187.249409,161.550509,0.332325,8.916743,171.737235,-3578.915431,3.144285
0.020000,187.038526,161.549734,0.543209,10.544187,81.372180,-4518.252781,3.146252
0.020000,186.795527,161.548325,0.786212,12.150155,80.298400,-53.688982,3.148538
0.020000,186.520444,161.546055,1.061305,13.754615,80.223006,-3.769727,3.151153
0.020000,186.213374,161.542667,1.368394,15.354465,79.992486,-11.525959,3.154106
0.020000,185.874477,161.537867,1.707324,16.946515,79.602487,-19.499950,3.157408
0.020000,185.503886,161.531329,2.077973,18.532446,79.296572,-15.295753,3.161070
0.020000,185.101607,161.522682,2.480345,20.118595,79.307426,0.542681,3.165109
0.020000,184.668192,161.511531,2.913904,21.677930,77.966769,-67.032855,3.169535
0.020000,184.203491,161.497421,3.378819,23.245753,78.391165,21.219816,3.174371
0.020000,183.707962,161.479872,3.874659,24.792006,77.312651,-53.925706,3.179633
0.020000,183.181886,161.458352,4.401174,26.325785,76.688958,-31.184661,3.185342
0.020000,182.625559,161.432281,4.958112,27.846893,76.055369,-31.679452,3.191523
0.020000,182.039374,161.401034,5.545129,29.350836,75.197179,-42.909479,3.198201
0.020000,181.423673,161.363928,6.161947,30.840909,74.503649,-34.676512,3.205405
0.020000,180.778867,161.320223,6.808233,32.314281,73.668567,-41.754117,3.213169
0.020000,180.105599,161.269137,7.483436,33.760159,72.293937,-68.731501,3.221526
0.020000,179.404436,161.209814,8.187104,35.183417,71.162890,-56.552307,3.230516
0.020000,178.675931,161.141332,8.918821,36.585812,70.119715,-52.158786,3.240183
0.020000,177.920799,161.062701,9.678035,37.960736,68.746222,-68.674661,3.250575
0.020000,177.139924,160.972873,10.464060,39.301239,67.025136,-86.054272,3.261744
0.020000,176.334372,160.870741,11.276061,40.600068,64.941482,-104.182681,3.273746
0.020000,175.504833,160.755059,12.113628,41.878316,63.912366,-51.455821,3.286651
0.020000,174.652759,160.624585,12.975632,43.100230,61.095722,-140.832202,3.300526
0.020000,173.779380,160.477957,13.861234,44.280097,58.993358,-105.118184,3.315448
0.020000,172.886187,160.313745,14.769398,45.408166,56.403415,-129.497158,3.331504
0.020000,171.974751,160.130430,15.699085,46.484374,53.810423,-129.649630,3.348789
0.020000,171.047002,159.926452,16.648993,47.495412,50.551923,-162.924959,3.367402
0.020000,170.104856,159.700138,17.617940,48.447328,47.595780,-147.807145,3.387458
0.020000,169.150698,159.449815,18.604387,49.322370,43.752078,-192.185113,3.409073
0.020000,168.186882,159.173690,19.606978,50.129515,40.357281,-169.739883,3.432379
0.020000,167.216342,158.870040,20.623910,50.846614,35.854913,-225.118397,3.457505
0.020000,166.241907,158.537019,21.653680,51.488508,32.094744,-188.008407,3.484593
0.020000,165.266750,158.172814,22.694630,52.047486,27.948898,-207.292319,3.513786
0.020000,164.294348,157.775673,23.745004,52.518723,23.561829,-219.353458,3.545216
0.020000,163.328038,157.343750,24.803452,52.922390,20.183345,-168.924199,3.579017
0.020000,162.371466,156.875321,25.868560,53.255420,16.651488,-176.592836,3.615294
0.020000,161.428003,156.368545,26.939515,53.547735,14.615788,-101.785014,3.654129
0.020000,160.501050,155.821623,28.015789,53.813713,13.298878,-65.845475,3.695554
0.020000,159.593554,155.232536,29.097719,54.096492,14.138942,42.003169,3.739544
0.020000,158.708077,154.599038,30.186475,54.437786,17.064713,146.288550,3.786001
0.020000,157.846647,153.918478,31.284302,54.891365,22.678931,280.710897,3.834735
0.020000,157.010742,153.187681,32.394617,55.515757,31.219640,427.035482,3.885461
0.020000,156.201402,152.402900,33.521965,56.367369,42.580567,568.046324,3.937788
0.020000,155.419284,151.559721,34.672034,57.503485,56.805805,711.261902,3.991239
0.020000,154.672214,150.662446,35.839603,58.378430,43.747259,-652.927281,4.044732
0.020000,153.966487,149.717076,37.019338,58.986750,30.415988,-666.563558,4.097195
0.020000,153.300721,148.721658,38.216878,59.876993,44.512157,704.808464,4.148153
0.020000,152.674002,147.674838,39.436964,61.004281,56.364392,592.611742,4.197204
0.020000,152.085816,146.576040,40.683286,62.316135,65.592702,461.415488,4.244037
0.020000,151.535922,145.425534,41.958452,63.758269,72.106727,325.701231,4.288429
0.020000,151.024198,144.224409,43.264041,65.279450,76.059024,197.614869,4.330249
0.020000,150.550501,142.974461,44.600737,66.834842,77.769600,85.528780,4.369438
0.020000,150.114563,141.678038,45.968493,68.387756,77.645704,-6.194761,4.406001
0.020000,149.715929,140.337896,47.366667,69.908709,76.047673,-79.901575,4.439990
0.020000,149.353917,138.957015,48.794212,71.377272,73.428129,-130.977171,4.471495
0.020000,149.027611,137.538434,50.249838,72.781266,70.199697,-161.421617,4.500626
0.020000,148.735900,136.085210,51.732051,74.110697,66.471532,-186.408274,4.527508
0.020000,148.477495,134.600295,53.239282,75.361523,62.541320,-196.510579,4.552273
0.020000,148.250961,133.086440,54.769993,76.535530,58.700361,-192.047947,4.575052
0.020000,148.054763,131.546230,56.322649,77.632807,54.863852,-191.825462,4.595976
0.020000,147.887293,129.982030,57.895788,78.656945,51.206885,-182.848342,4.615167
0.020000,147.746899,128.395982,59.488037,79.612483,47.776880,-171.500230,4.632742
0.020000,147.631911,126.790005,61.098126,80.504445,44.598114,-158.938324,4.648809
0.020000,147.540659,125.165852,62.724840,81.335686,41.562059,-151.802745,4.663467
0.020000,147.471480,123.525007,64.367143,82.115155,38.973473,-129.429324,4.676807
0.020000,147.422739,121.868799,66.024068,82.846260,36.555249,-120.911169,4.688912
0.020000,147.392829,120.198440,67.694695,83.531335,34.253734,-115.075740,4.699856
0.020000,147.380179,118.514896,69.378286,84.179557,32.411112,-92.131119,4.709704
0.020000,147.383250,116.819078,71.074107,84.791043,30.574283,-91.841445,4.718518
0.020000,147.400543,115.111722,72.781550,85.372171,29.056380,-75.895149,4.726348
0.020000,147.430590,113.393451,74.500084,85.926699,27.726405,-66.498754,4.733240
0.020000,147.471956,111.664815,76.229215,86.456535,26.491816,-61.729450,4.739236
0.020000,147.523236,109.926248,77.968538,86.966178,25.482123,-50.484648,4.744369
0.020000,147.583046,108.178090,79.717719,87.459046,24.643424,-41.934966,4.748668
0.020000,147.650026,106.420617,81.476468,87.937430,23.919189,-36.211741,4.752159
0.020000,147.722826,104.654033,83.244551,88.404165,23.336774,-29.120745,4.754859
0.020000,147.800108,102.878477,85.021789,88.861880,22.885743,-22.551577,4.756785
0.020000,147.880536,101.094022,86.808055,89.313322,22.572069,-15.683670,4.757947
0.020000,147.962771,99.300684,88.603278,89.761135,22.390656,-9.070679,4.758352
0.020000,148.045463,97.498428,90.407430,90.207586,22.322544,-3.405566,4.758001
