dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,206.841879,162.314917,0.020000,2.000000,100.000000,5000.000000,3.143368
0.020000,206.833726,162.314905,0.028154,0.407682,-79.615904,-8980.795191,3.142678
0.020000,206.814352,162.314899,0.047527,0.968673,28.049552,5383.272815,3.141526
0.020000,206.655178,162.315038,0.206701,7.958690,349.500844,16072.564559,3.139906
0.020000,206.450409,162.315598,0.411471,10.238485,113.989746,-11775.554889,3.137810
0.020000,206.199871,162.316868,0.662012,12.527088,114.430137,22.019580,3.135227
0.020000,205.903397,162.319212,0.958495,14.824149,114.853088,21.147509,3.132142
0.020000,205.560854,162.323065,1.301060,17.128217,115.203363,17.513762,3.128541
0.020000,205.172009,162.328943,1.689950,19.444497,115.814006,30.532172,3.124405
0.020000,204.736612,162.337447,2.125429,21.773976,116.473991,32.999256,3.119711
0.020000,204.254411,162.349270,2.607775,24.117308,117.166581,34.629474,3.114434
0.020000,203.725039,162.365206,3.137387,26.480600,118.164573,49.899597,3.108544
0.020000,203.148168,162.386160,3.714639,28.862578,119.098930,46.717871,3.102008
0.020000,202.523385,162.413156,4.340005,31.268295,120.285854,59.346194,3.094787
0.020000,201.850316,162.447354,5.013942,33.696877,121.429092,57.161893,3.086840
0.020000,201.128460,162.490063,5.737060,36.155896,122.950952,76.093006,3.078117
0.020000,200.357363,162.542759,6.509956,38.644774,124.443873,74.646056,3.068564
0.020000,199.536420,162.607111,7.333417,41.173055,126.414067,98.509682,3.058119
0.020000,198.665127,162.684992,8.208184,43.738368,128.265668,92.580061,3.046714
0.020000,197.742758,162.778535,9.135284,46.355007,130.831917,128.312452,3.034270
0.020000,196.768734,162.890127,10.115679,49.019761,133.237718,120.290063,3.020701
0.020000,195.742419,163.022474,11.150492,51.740650,136.044441,140.336105,3.005911
0.020000,194.663134,163.178639,12.241017,54.526230,139.278991,161.727505,2.989791
0.020000,193.530233,163.362088,13.388675,57.382882,142.832614,177.681173,2.972220
0.020000,192.343098,163.576751,14.595062,60.319379,146.824851,199.611846,2.953065
0.020000,191.101226,163.827074,15.861911,63.342447,151.153392,216.427061,2.932180
0.020000,189.804282,164.118086,17.191104,66.459637,155.859535,235.307140,2.909403
0.020000,188.452191,164.455460,18.584650,69.677312,160.883745,251.210507,2.884563
0.020000,187.045095,164.845620,20.044837,73.009324,166.600567,285.841108,2.857471
0.020000,185.583819,165.295707,21.573857,76.451022,172.084932,274.218234,2.827938
0.020000,184.069797,165.813675,23.174030,80.008661,177.881949,289.850825,2.795768
0.020000,182.505401,166.408257,24.847608,83.678894,183.511641,281.484630,2.760772
0.020000,180.894333,167.088831,26.596528,87.446000,188.355305,242.183195,2.722783
0.020000,179.241789,167.865301,28.422400,91.293593,192.379630,201.216233,2.681667
0.020000,177.555027,168.747668,30.326012,95.180589,194.349826,98.509792,2.637352
0.020000,175.843460,169.745642,32.307277,99.063261,194.133572,-10.812682,2.589852
0.020000,174.119066,170.867854,34.364677,102.870012,190.337557,-189.800766,2.539293
0.020000,172.396340,172.121031,36.494992,106.515711,182.284961,-402.629774,2.485945
0.020000,170.691863,173.509174,38.693214,109.911098,169.769360,-625.780062,2.430233
0.020000,169.023693,175.032681,40.952388,112.958700,152.380063,-869.464844,2.372747
0.020000,167.410199,176.687886,43.263895,115.575361,130.833068,-1077.349754,2.314215
0.020000,165.868720,178.467022,45.617930,117.701764,106.320151,-1225.645827,2.255469
0.020000,164.414192,180.358741,48.004194,119.313177,80.570635,-1287.475828,2.197381
0.020000,163.058032,182.349139,50.412689,120.424778,55.580084,-1249.527547,2.140798
0.020000,161.807508,184.423049,52.834447,121.087912,33.156703,-1121.169044,2.086478
0.020000,160.665662,186.565336,55.262040,121.379630,14.585872,-928.541537,2.035051
0.020000,159.631704,188.761987,57.689868,121.391406,0.588828,-699.852210,1.986992
0.020000,158.701738,191.000777,60.114123,121.212756,-8.932513,-476.067061,1.942622
0.020000,157.869582,193.271598,62.532618,120.924716,-14.402032,-273.475918,1.902126
0.020000,157.127546,195.566472,64.944477,120.592951,-16.588214,-109.309144,1.865578
0.020000,156.473193,197.856570,67.326225,119.087424,-75.276344,-2934.406460,1.833273
0.020000,155.900657,200.115897,69.656966,116.537068,-127.517795,-2612.072546,1.805285
0.020000,155.397407,202.343198,71.940414,114.172365,-118.235168,464.131337,1.781300
0.020000,154.952250,204.538081,74.179984,111.978528,-109.691860,427.165386,1.761028
0.020000,154.555214,206.700667,76.378715,109.936531,-102.099856,379.600201,1.744213
0.020000,154.197396,208.831329,78.539213,108.024913,-95.580887,325.948471,1.730633
0.020000,153.870816,210.930462,80.663599,106.219272,-90.282032,264.942724,1.720109
0.020000,153.568254,212.998401,82.753555,104.497802,-86.073500,210.426595,1.712498
0.020000,153.283130,215.035279,84.810292,102.836846,-83.047812,151.284435,1.707698
0.020000,153.009376,217.040967,86.834576,101.214197,-81.132467,95.767224,1.705644
0.020000,152.741345,219.015016,88.826737,99.608090,-80.305338,41.356435,1.706307
0.020000,152.473727,220.956589,90.786668,97.996530,-80.577984,-13.632299,1.709697
0.020000,152.201487,222.864417,92.713822,96.357685,-81.942283,-68.214950,1.715860
0.020000,151.919821,224.736743,94.607216,94.669701,-84.399174,-122.844546,1.724879
0.020000,151.624132,226.571253,96.465402,92.909330,-88.018538,-180.968205,1.736875
0.020000,151.310024,228.365045,98.286489,91.054317,-92.750656,-236.605866,1.752011
0.020000,150.973326,230.114551,100.068099,89.080540,-98.688869,-296.910683,1.770485
0.020000,150.610138,231.815527,101.807417,86.965877,-105.733155,-352.214269,1.792536
0.020000,150.216909,233.463034,103.501202,84.689239,-113.831916,-404.938084,1.818439
0.020000,149.790548,235.051476,105.145869,82.233380,-122.792950,-448.051700,1.848496
0.020000,149.328549,236.574726,106.737640,79.588536,-132.242198,-472.462385,1.883026
0.020000,148.829123,238.026390,108.272812,76.758596,-141.496977,-462.738922,1.922343
0.020000,148.291291,239.400187,109.748137,73.766240,-149.617782,-406.040276,1.966722
0.020000,147.714872,240.690555,111.161398,70.663057,-155.159173,-277.069541,2.016349
0.020000,147.100299,241.893378,112.512133,67.536739,-156.315918,-57.837238,2.071264
0.020000,146.448164,243.006799,113.802477,64.517196,-150.977148,266.938500,2.131286
0.020000,145.758493,244.031868,115.037957,61.773997,-137.159947,690.860046,2.195947
0.020000,145.029874,244.972748,116.227974,59.500875,-113.656105,1175.192099,2.264454
0.020000,144.258698,245.836256,117.385712,57.886902,-80.698613,1647.874583,2.335690
0.020000,143.484456,246.589847,118.466152,54.021978,-193.246209,-5627.379783,2.398964
0.020000,142.121442,247.823990,120.304879,91.936382,1895.720187,104448.319769,2.412606
0.020000,140.742686,249.038426,122.142221,91.867069,-3.465668,-94959.292747,2.426366
0.020000,139.348250,250.232875,123.978292,91.803592,-3.173807,14.593050,2.440233
0.020000,137.938212,251.407064,125.813211,91.745939,-2.882646,14.558061,2.454198
0.020000,136.512669,252.560731,127.647092,91.694058,-2.594084,14.428100,2.468251
0.020000,135.071725,253.693634,129.480065,91.648605,-2.272643,16.072054,2.482380
0.020000,133.615492,254.805549,131.312269,91.610212,-1.919663,17.648989,2.496575
0.020000,132.144100,255.896265,133.143840,91.578571,-1.582021,16.882136,2.510824
0.020000,130.657694,256.965584,134.974918,91.553912,-1.232974,17.452340,2.525113
0.020000,129.156428,258.013333,136.805649,91.536526,-0.869305,18.183455,2.539432
0.020000,127.640455,259.039362,138.636199,91.527481,-0.452237,20.853359,2.553767
0.020000,126.109963,260.043529,140.466706,91.525361,-0.105994,17.312148,2.568105
