dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,206.798134,185.954876,0.006944,0.694444,34.722222,1736.111111,3.143518
0.020000,206.800963,185.954881,0.009773,0.141443,-27.650095,-3118.615856,3.143279
0.020000,206.805681,185.954889,0.014491,0.235899,4.722813,1618.645393,3.142880
0.020000,206.812293,185.954895,0.021103,0.330597,4.734917,0.605223,3.142320
0.020000,206.820806,185.954898,0.029616,0.425635,4.751888,0.848544,3.141600
0.020000,206.755432,185.954927,0.094989,3.268674,142.151971,6870.004130,3.140717
0.020000,206.677567,185.955036,0.172855,3.893260,31.229263,-5546.135372,3.139671
0.020000,206.587684,185.955263,0.262738,4.494152,30.044602,-59.233061,3.138458
0.020000,206.485959,185.955652,0.364464,5.086319,29.608383,-21.810940,3.137078
0.020000,206.372384,185.956253,0.478040,5.678807,29.624404,0.801033,3.135528
0.020000,206.246902,185.957122,0.603525,6.274264,29.772808,7.420192,3.133804
0.020000,206.109636,185.958321,0.740797,6.863559,29.464784,-15.401220,3.131904
0.020000,205.960620,185.959920,0.889821,7.451214,29.382761,-4.101111,3.129824
0.020000,205.799902,185.961993,1.050552,8.036563,29.267405,-5.767798,3.127560
0.020000,205.627517,185.964623,1.222957,8.620253,29.184499,-4.145335,3.125109
0.020000,205.443480,185.967900,1.407023,9.203304,29.152570,-1.596437,3.122465
0.020000,205.247934,185.971918,1.602611,9.779378,28.803700,-17.443472,3.119625
0.020000,205.040931,185.976780,1.809671,10.352998,28.681011,-6.134488,3.116582
0.020000,204.822478,185.982600,2.028202,10.926540,28.677082,-0.196456,3.113329
0.020000,204.592730,185.989493,2.258053,11.492578,28.301901,-18.759029,3.109863
0.020000,204.351780,185.997584,2.499138,12.054258,28.083989,-10.895618,3.106175
0.020000,204.099617,186.007012,2.751477,12.616955,28.134868,2.543985,3.102257
0.020000,203.836437,186.017916,3.014883,13.170288,27.666673,-23.409787,3.098103
0.020000,203.562340,186.030447,3.289267,13.719168,27.443955,-11.135892,3.093703
0.020000,203.277447,186.044763,3.574520,14.262655,27.174394,-13.478036,3.089049
0.020000,202.981899,186.061033,3.870515,14.799786,26.856552,-15.892094,3.084130
0.020000,202.675751,186.079440,4.177215,15.334999,26.760653,-4.794946,3.078936
0.020000,202.359258,186.100164,4.494386,15.858550,26.177504,-29.157452,3.073456
0.020000,202.032569,186.123403,4.821901,16.375744,25.859740,-15.888217,3.067677
0.020000,201.695829,186.149367,5.159641,16.886981,25.561849,-14.894568,3.061587
0.020000,201.349238,186.178270,5.507435,17.389701,25.135977,-21.293572,3.055171
0.020000,200.993038,186.210338,5.865075,17.882015,24.615707,-26.013513,3.048416
0.020000,200.627435,186.245809,6.232395,18.365980,24.198244,-20.873153,3.041304
0.020000,200.252667,186.284932,6.609199,18.840206,23.711322,-24.346110,3.033818
0.020000,199.869008,186.327963,6.995264,19.303264,23.152892,-27.921461,3.025942
0.020000,199.476765,186.375170,7.390338,19.753689,22.521236,-31.582801,3.017654
0.020000,199.076195,186.426838,7.794226,20.194417,22.036402,-24.241705,3.008935
0.020000,198.667677,186.483250,8.206621,20.619715,21.264904,-38.574893,2.999762
0.020000,198.251526,186.544712,8.627286,21.033254,20.676953,-29.397562,2.990110
0.020000,197.828173,186.611526,9.055878,21.429640,19.819295,-42.882896,2.979957
0.020000,197.398010,186.684015,9.492107,21.811405,19.088261,-36.551690,2.969275
0.020000,196.961478,186.762506,9.935639,22.176640,18.261717,-41.327231,2.958035
0.020000,196.519068,186.847332,10.386108,22.523442,17.340122,-46.079758,2.946207
0.020000,196.071290,186.938833,10.843139,22.851533,16.404535,-46.779346,2.933762
0.020000,195.618649,187.037365,11.306380,23.162074,15.527069,-43.873292,2.920662
0.020000,195.161766,187.143271,11.775377,23.449851,14.388855,-56.910713,2.906877
0.020000,194.701250,187.256905,12.249706,23.716432,13.329055,-52.989976,2.892368
0.020000,194.237738,187.378626,12.728934,23.961398,12.248263,-54.039623,2.877098
0.020000,193.771922,187.508786,13.212593,24.182958,11.078031,-58.511578,2.861028
0.020000,193.304528,187.647731,13.700202,24.380465,9.875347,-60.134188,2.844120
0.020000,192.836251,187.795826,14.191339,24.556829,8.818194,-52.857680,2.826331
0.020000,192.367901,187.953399,14.685486,24.707331,7.525103,-64.654523,2.807623
0.020000,191.900253,188.120788,15.182188,24.835137,6.390319,-56.739188,2.787957
0.020000,191.434100,188.298322,15.681004,24.940806,5.283406,-55.345676,2.767295
0.020000,190.970228,188.486327,16.181527,25.026125,4.265974,-50.871582,2.745603
0.020000,190.509404,188.685128,16.683404,25.093868,3.387162,-43.940624,2.722849
0.020000,190.052385,188.895045,17.186327,25.146146,2.613902,-38.663005,2.699009
0.020000,189.599882,189.116407,17.690073,25.187290,2.057169,-27.836614,2.674064
0.020000,189.152543,189.349562,18.194527,25.222683,1.769687,-14.374115,2.648006
0.020000,188.710897,189.594913,18.699748,25.261047,1.918158,7.423564,2.620834
0.020000,188.275453,189.852867,19.205862,25.305698,2.232579,15.721052,2.592565
0.020000,187.846552,190.123932,19.713240,25.368926,3.161397,46.440863,2.563228
0.020000,187.424428,190.408695,20.222434,25.459691,4.538262,68.843279,2.532869
0.020000,187.009202,190.707845,20.734199,25.588270,6.428937,94.533713,2.501554
0.020000,186.600838,191.022225,21.249559,25.767975,8.985259,127.816102,2.469366
0.020000,186.199223,191.352799,21.769726,26.008347,12.018564,151.665292,2.436411
0.020000,185.804126,191.700706,22.296168,26.322085,15.686933,183.418441,2.402812
0.020000,185.415257,192.067242,22.830554,26.719310,19.861259,208.716267,2.368710
0.020000,185.032281,192.453868,23.374750,27.209825,24.525723,233.223203,2.334263
0.020000,184.654889,192.862156,23.930739,27.799437,29.480632,247.745456,2.299639
0.020000,184.282801,193.293789,24.500613,28.493725,34.714394,261.688135,2.265014
0.020000,183.915820,193.750500,25.086498,29.294206,40.024056,265.483055,2.230569
0.020000,183.553858,194.234021,25.690492,30.199725,45.275946,262.594497,2.196481
0.020000,183.196949,194.746031,26.314622,31.206479,50.337670,253.086235,2.162922
0.020000,182.845257,195.288099,26.960784,32.308099,55.081009,237.166927,2.130051
0.020000,182.499066,195.861640,27.630707,33.496186,59.404342,216.166648,2.098016
0.020000,182.158768,196.467872,28.325919,34.760571,63.219276,190.746710,2.066945
0.020000,181.824835,197.107793,29.047729,36.090500,66.496419,163.857148,2.036949
0.020000,181.497787,197.782167,29.797223,37.474724,69.211234,135.740734,2.008120
0.020000,181.178162,198.491526,30.575266,38.902112,71.369398,107.908201,1.980532
0.020000,180.866486,199.236174,31.382509,40.362197,73.004240,81.742135,1.954238
0.020000,180.563245,200.016204,32.219409,41.844996,74.139948,56.785404,1.929279
0.020000,180.268855,200.831539,33.086264,43.342734,74.886893,37.347230,1.905678
0.020000,179.983645,201.681948,33.983225,44.848068,75.266695,18.990082,1.883449
0.020000,179.707853,202.567062,34.910311,46.354282,75.310712,2.200881,1.862594
0.020000,179.441599,203.486442,35.867469,47.857879,75.179844,-6.543419,1.843108
0.020000,179.184893,204.439562,36.854554,49.354264,74.819259,-18.029265,1.824979
0.020000,178.937623,205.425882,37.871396,50.842116,74.392588,-21.333511,1.808191
0.020000,178.699566,206.444813,38.917767,52.318532,73.820802,-28.589330,1.792727
0.020000,178.470374,207.495800,39.993454,53.784357,73.291244,-26.477871,1.778569
0.020000,178.249588,208.578294,41.098235,55.239044,72.734358,-27.844337,1.765696
0.020000,178.036634,209.691780,42.231902,56.683344,72.214997,-25.968046,1.754091
0.020000,177.830829,210.835789,43.394275,58.118637,71.764641,-22.517794,1.743741
0.020000,177.631376,212.009904,44.585210,59.546798,71.408043,-17.829881,1.734631
0.020000,177.437369,213.213774,45.804613,60.970138,71.167000,-12.052162,1.726755
0.020000,177.247786,214.447116,47.052440,62.391359,71.061059,-5.297034,1.720109
0.020000,177.061490,215.709716,48.328711,63.813523,71.108190,2.356549,1.714694
0.020000,176.877221,217.001438,49.633510,65.239949,71.321304,10.655667,1.710517
0.020000,176.693587,218.322222,50.966998,66.674398,71.722493,20.059492,1.707593
0.020000,176.509056,219.672093,52.329424,68.121317,72.345902,31.170420,1.705941
0.020000,176.321940,221.051159,53.721126,69.585080,73.188198,42.114817,1.705592
0.020000,176.130379,222.459609,55.142543,71.070880,74.289991,55.089667,1.706581
0.020000,175.932323,223.897720,56.594228,72.584251,75.668535,68.927194,1.708956
0.020000,175.725502,225.365850,58.076854,74.131294,77.352162,84.181329,1.712774
0.020000,175.507401,226.864441,59.591233,75.718932,79.381885,101.486150,1.718103
0.020000,175.275223,228.394007,61.138321,77.354401,81.773444,119.577943,1.725025
0.020000,175.025846,229.955132,62.719238,79.045862,84.573073,139.981444,1.733633
0.020000,174.755778,231.548451,64.335283,80.802254,87.819606,162.326675,1.744039
0.020000,174.462512,233.167100,65.980285,82.250096,72.392067,-771.376937,1.756308
0.020000,174.143562,234.803875,67.647846,83.378061,56.398241,-799.691306,1.770485
0.020000,173.794908,236.458883,69.339180,84.566682,59.431077,151.641787,1.786673
0.020000,173.412166,238.132117,71.055631,85.822556,62.793703,168.131281,1.804988
0.020000,172.990556,239.823386,72.798659,87.151389,66.441643,182.397008,1.825551
0.020000,172.524868,241.532237,74.569828,88.558432,70.352172,195.526462,1.848496
0.020000,172.009465,243.257807,76.370725,90.044858,74.321297,198.456267,1.873957
0.020000,171.438278,244.998717,78.202943,91.610907,78.302424,199.056348,1.902068
0.020000,170.804865,246.752860,80.067944,93.250070,81.958146,182.786067,1.932954
0.020000,170.102502,248.517241,81.966984,94.951981,85.095582,156.871821,1.966722
0.020000,169.324354,250.287741,83.900940,96.697789,87.290388,109.740290,2.003445
0.020000,168.463725,252.058911,85.870134,98.459706,88.095818,40.271512,2.043151
0.020000,167.514408,253.823795,87.874134,100.200032,87.016296,-53.976107,2.085803
0.020000,166.471128,255.573839,89.911556,101.871077,83.552292,-173.200197,2.131286
0.020000,165.330052,257.298928,91.979885,103.416464,77.269330,-314.148092,2.179385
0.020000,164.089320,258.987600,94.075364,104.773912,67.872416,-469.845695,2.229783
0.020000,162.749507,260.627499,96.192997,105.881656,55.387176,-624.262041,2.282057
0.020000,161.313919,262.206016,98.326685,106.684427,40.138569,-762.430332,2.335690
0.020000,159.788644,263.711074,100.469502,107.140842,22.820721,-865.892397,2.390096
0.020000,158.672027,264.733191,101.983291,75.689428,-1572.570659,-79769.569016,2.405770
0.020000,157.464605,265.815247,103.604621,81.066544,268.855760,92071.320970,2.416035
0.020000,156.245532,266.885313,105.226713,81.104565,1.901064,-13347.734818,2.426366
0.020000,155.014894,267.943159,106.849521,81.140437,1.793598,-5.373304,2.436757
0.020000,153.772785,268.988559,108.473005,81.174154,1.685839,-5.387936,2.447204
0.020000,152.519320,270.021284,110.097103,81.204906,1.537617,-7.411069,2.457704
0.020000,151.254618,271.041114,111.721764,81.233059,1.407632,-6.499289,2.468251
0.020000,149.978809,272.047835,113.346934,81.258493,1.271734,-6.794861,2.478841
0.020000,148.692030,273.041242,114.972559,81.281254,1.138053,-6.684079,2.489470
0.020000,147.394429,274.021135,116.598584,81.301277,1.001110,-6.847166,2.500133
0.020000,146.086170,274.987317,118.224945,81.318052,0.838773,-8.116853,2.510824
0.020000,144.767423,275.939602,119.851580,81.331721,0.683443,-7.766462,2.521538
0.020000,143.438369,276.877812,121.478424,81.342218,0.524857,-7.929318,2.532270
0.020000,142.099195,277.801779,123.105416,81.349585,0.368373,-7.824199,2.543015
0.020000,140.750086,278.711352,124.732505,81.354447,0.243070,-6.265126,2.553767
0.020000,139.391262,279.606374,126.359608,81.355161,0.035721,-10.367449,2.564521
0.020000,138.022936,280.486705,127.986660,81.352609,-0.127599,-8.166033,2.575271
0.020000,136.645314,281.352230,129.613613,81.347650,-0.247951,-6.017576,2.586012
0.020000,135.258640,282.202820,131.240379,81.338298,-0.467597,-10.982313,2.596737
0.020000,133.863138,283.038379,132.866905,81.326313,-0.599251,-6.582683,2.607442
0.020000,132.459051,283.858812,134.493118,81.310651,-0.783117,-9.193332,2.618121
0.020000,131.046623,284.664040,136.118955,81.291834,-0.940840,-7.886117,2.628768
0.020000,129.626105,285.453996,137.744348,81.269653,-1.109068,-8.411415,2.639377
0.020000,128.197747,286.228625,139.369235,81.244327,-1.266308,-7.862009,2.649943
0.020000,126.761811,286.987883,140.993545,81.215532,-1.439716,-8.670411,2.660461
0.020000,125.318549,287.731747,142.617226,81.184010,-1.576142,-6.821293,2.670925
0.020000,123.868233,288.460194,144.240202,81.148823,-1.759345,-9.160123,2.681330
0.020000,122.411116,289.173226,145.862424,81.111111,-1.885575,-6.311532,2.691671
0.020000,120.947468,289.870850,147.483826,81.070102,-2.050471,-8.244802,2.701943
0.020000,119.477555,290.553087,149.104349,81.026112,-2.199495,-7.451183,2.712140
0.020000,118.001632,291.219975,150.723943,80.979739,-2.318626,-5.956543,2.722258
0.020000,116.519971,291.871559,152.342548,80.930247,-2.474624,-7.799929,2.732293
0.020000,115.032831,292.507897,153.960111,80.878147,-2.604992,-6.518356,2.742240
0.020000,113.540469,293.129061,155.576586,80.823750,-2.719868,-5.743829,2.752094
0.020000,112.043143,293.735134,157.191921,80.766762,-2.849373,-6.475258,2.761853
0.020000,110.541109,294.326206,158.806070,80.707408,-2.967682,-5.915454,2.771510
0.020000,109.034615,294.902384,160.418987,80.645885,-3.076185,-5.425139,2.781064
0.020000,107.523906,295.463781,162.030635,80.582376,-3.175417,-4.961587,2.790510
0.020000,106.009227,296.010521,163.640969,80.516729,-3.282354,-5.346875,2.799845
0.020000,104.490815,296.542738,165.249954,80.449222,-3.375350,-4.649803,2.809066
0.020000,102.968901,297.060574,166.857553,80.379972,-3.462540,-4.359462,2.818170
0.020000,101.443711,297.564181,168.463736,80.309130,-3.542092,-3.977616,2.827154
0.020000,99.915469,298.053717,170.068469,80.236676,-3.622676,-4.029211,2.836015
0.020000,98.384390,298.529349,171.671726,80.162810,-3.693317,-3.532038,2.844751
0.020000,96.850682,298.991251,173.273478,80.087640,-3.758500,-3.259169,2.853360
0.020000,95.314550,299.439604,174.873704,80.011272,-3.818406,-2.995269,2.861840
