dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,70.006491,175.164759,0.012000,1.200000,60.000000,3000.000000,0.000494
0.020000,70.008188,175.164760,0.013696,0.084814,-55.759316,-5787.965782,0.000350
0.020000,70.011013,175.164761,0.016522,0.141261,2.822385,2929.085022,0.000111
0.020000,70.071055,175.164754,0.076564,3.002115,143.042705,7011.016033,6.282962
0.020000,70.184129,175.164705,0.189637,5.653669,132.577687,-523.250944,6.282533
0.020000,70.322319,175.164578,0.327828,6.909545,62.793801,-3489.194283,6.282009
0.020000,70.485622,175.164336,0.491131,8.165120,62.778757,-0.752204,6.281391
0.020000,70.674027,175.163931,0.679537,9.420307,62.759312,-0.972224,6.280680
0.020000,70.887528,175.163310,0.893038,10.675068,62.738071,-1.062075,6.279876
0.020000,71.126114,175.162414,1.131626,11.929390,62.716106,-1.098249,6.278981
0.020000,71.389774,175.161175,1.395289,13.183171,62.689062,-1.352195,6.277994
0.020000,71.678496,175.159521,1.684016,14.436338,62.658325,-1.536869,6.276917
0.020000,71.992266,175.157371,1.997793,15.688852,62.625682,-1.632148,6.275751
0.020000,72.331069,175.154640,2.336607,16.940721,62.593471,-1.610549,6.274498
0.020000,72.694888,175.151235,2.700442,18.191742,62.551077,-2.119704,6.273158
0.020000,73.083706,175.147059,3.089283,19.442012,62.513455,-1.881092,6.271734
0.020000,73.497502,175.142008,3.503109,20.691343,62.466595,-2.343010,6.270226
0.020000,73.936256,175.135972,3.941904,21.939743,62.419977,-2.330877,6.268635
0.020000,74.399943,175.128837,4.405647,23.187122,62.368970,-2.550350,6.266965
0.020000,74.888541,175.120484,4.894316,24.433487,62.318222,-2.537421,6.265216
0.020000,75.402023,175.110787,5.407889,25.678641,62.257729,-3.024636,6.263391
0.020000,75.940361,175.099617,5.946343,26.922688,62.202350,-2.768957,6.261492
0.020000,76.503524,175.086842,6.509651,28.165418,62.136495,-3.292744,6.259520
0.020000,77.091482,175.072324,7.097788,29.406832,62.070700,-3.289719,6.257478
0.020000,77.704200,175.055921,7.710726,30.646899,62.003319,-3.369077,6.255368
0.020000,78.341643,175.037490,8.348436,31.885481,61.929121,-3.709899,6.253193
0.020000,79.003774,175.016882,9.010887,33.122568,61.854369,-3.737606,6.250955
0.020000,79.690552,174.993948,9.698048,34.358061,61.774638,-3.986546,6.248657
0.020000,80.401937,174.968535,10.409887,35.591924,61.693123,-4.075756,6.246302
0.020000,81.137884,174.940489,11.146368,36.824072,61.607396,-4.286351,6.243892
0.020000,81.898348,174.909653,11.907457,38.054425,61.517679,-4.485828,6.241431
0.020000,82.683281,174.875871,12.693116,39.282992,61.428360,-4.465959,6.238922
0.020000,83.492633,174.838985,13.503308,40.509595,61.330147,-4.910648,6.236368
0.020000,84.326352,174.798837,14.337993,41.734245,61.232464,-4.884160,6.233772
