dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,70.019265,151.524763,0.008000,0.800000,40.000000,2000.000000,0.000587
0.020000,70.018000,151.524762,0.009266,0.063293,-36.835327,-3841.766348,0.000480
0.020000,70.015891,151.524761,0.011375,0.105444,2.107528,1947.142725,0.000302
0.020000,70.012940,151.524761,0.014325,0.147527,2.104145,-0.169142,0.000052
0.020000,70.069495,151.524753,0.070880,2.827724,134.009862,6595.285864,6.282917
0.020000,70.152866,151.524715,0.154251,4.168567,67.042144,-3348.385902,6.282525
0.020000,70.251404,151.524627,0.252789,4.926897,37.916486,-1456.282882,6.282063
0.020000,70.365110,151.524469,0.366496,5.685329,37.921616,0.256505,6.281530
0.020000,70.493989,151.524217,0.495375,6.443953,37.931189,0.478636,6.280928
0.020000,70.638045,151.523843,0.639431,7.202804,37.942579,0.569512,6.280256
0.020000,70.797282,151.523318,0.798669,7.961894,37.954494,0.595746,6.279515
0.020000,70.971707,151.522607,0.973095,8.721336,37.972090,0.879800,6.278705
0.020000,71.161325,151.521674,1.162716,9.481010,37.983686,0.579762,6.277827
0.020000,71.366142,151.520479,1.367536,10.241022,38.000606,0.846045,6.276881
0.020000,71.586165,151.518981,1.587564,11.001400,38.018892,0.914277,6.275868
0.020000,71.821402,151.517132,1.822808,11.762214,38.040726,1.091680,6.274789
0.020000,72.071859,151.514886,2.073276,12.523385,38.058510,0.889248,6.273644
0.020000,72.337546,151.512190,2.338976,13.285014,38.081480,1.148460,6.272434
0.020000,72.618470,151.508990,2.619919,14.047116,38.105106,1.181326,6.271160
0.020000,72.914640,151.505230,2.916113,14.809706,38.129465,1.217938,6.269823
0.020000,73.226067,151.500851,3.227571,15.572897,38.159596,1.506547,6.268423
0.020000,73.552760,151.495789,3.554302,16.336573,38.183774,1.208892,6.266963
0.020000,73.894728,151.489980,3.896320,17.100873,38.214985,1.560576,6.265441
0.020000,74.251981,151.483358,4.253635,17.865748,38.243753,1.438411,6.263860
0.020000,74.624533,151.475852,4.626262,18.631362,38.280716,1.848140,6.262221
0.020000,75.012393,151.467390,5.014214,19.397595,38.311667,1.547539,6.260525
0.020000,75.415572,151.457898,5.417505,20.164541,38.347300,1.781655,6.258773
0.020000,75.834082,151.447301,5.836149,20.932227,38.384282,1.849073,6.256967
0.020000,76.267937,151.435519,6.270164,21.700742,38.425728,2.072330,6.255107
0.020000,76.717148,151.422472,6.719564,22.470007,38.463276,1.877380,6.253195
0.020000,77.181727,151.408078,7.184366,23.240102,38.504735,2.072973,6.251232
0.020000,77.661688,151.392252,7.664588,24.011116,38.550701,2.298283,6.249220
0.020000,78.157045,151.374910,8.160248,24.783004,38.594402,2.185029,6.247161
0.020000,78.667810,151.355963,8.671365,25.555817,38.640648,2.312313,6.245056
0.020000,79.193998,151.335323,9.197957,26.329610,38.689654,2.450332,6.242906
0.020000,79.735622,151.312899,9.740045,27.104405,38.739752,2.504869,6.240714
0.020000,80.292697,151.288601,10.297650,27.880226,38.791045,2.564645,6.238481
0.020000,80.865236,151.262336,10.870792,28.657098,38.843634,2.629443,6.236209
0.020000,81.453257,151.234011,11.459494,29.435112,38.900682,2.852410,6.233899
0.020000,82.056772,151.203531,12.063778,30.214209,38.954825,2.707153,6.231555
0.020000,82.675797,151.170803,12.683668,30.994511,39.015138,3.015659,6.229176
0.020000,83.310348,151.135730,13.319188,31.775976,39.073207,2.903426,6.226767
0.020000,83.960441,151.098217,13.970361,32.558684,39.135441,3.111747,6.224328
0.020000,84.626090,151.058168,14.637215,33.342662,39.198884,3.172106,6.221862
0.020000,85.307313,151.015487,15.319773,34.127935,39.263634,3.237514,6.219372
0.020000,86.004126,150.970079,16.018064,34.914530,39.329785,3.307579,6.216858
0.020000,86.716545,150.921848,16.732114,35.702479,39.397423,3.381900,6.214324
0.020000,87.444587,150.870699,17.461951,36.491850,39.468555,3.556556,6.211772
0.020000,88.188270,150.816538,18.207603,37.282613,39.538130,3.478771,6.209205
0.020000,88.947611,150.759271,18.969100,38.074869,39.612808,3.733885,6.206624
0.020000,89.714952,150.699414,19.738773,38.483630,20.438089,-958.735940,6.204059
0.020000,90.482624,150.637566,20.508932,38.507970,1.216969,-961.055976,6.201534
0.020000,91.250625,150.573755,21.279579,38.532358,1.219409,0.121988,6.199051
0.020000,92.018953,150.508011,22.050715,38.556792,1.221680,0.113533,6.196609
0.020000,92.787607,150.440364,22.822340,38.581252,1.223036,0.067822,6.194208
0.020000,93.556586,150.370845,23.594455,38.605749,1.224823,0.089350,6.191849
0.020000,94.325889,150.299481,24.367061,38.630279,1.226508,0.084250,6.189531
0.020000,95.095515,150.226305,25.140158,38.654843,1.228176,0.083404,6.187255
0.020000,95.865463,150.151346,25.913746,38.679426,1.229177,0.050041,6.185021
0.020000,96.635733,150.074633,26.687827,38.704035,1.230427,0.062479,6.182828
0.020000,97.406325,149.996198,27.462400,38.728666,1.231553,0.056296,6.180677
0.020000,98.177238,149.916070,28.237466,38.753317,1.232553,0.050042,6.178568
