dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,85.056877,174.607752,0.008000,0.800000,40.000000,2000.000000,6.282733
0.020000,85.055813,174.607752,0.009064,0.053210,-37.339489,-3866.974454,6.282823
0.020000,85.054040,174.607753,0.010837,0.088641,1.771556,1955.552264,6.282973
0.020000,85.051560,174.607753,0.013317,0.124009,1.768379,-0.158864,6.283183
0.020000,85.119833,174.607762,0.081590,3.413629,164.481019,8135.632019,0.000267
0.020000,85.203943,174.607799,0.165700,4.205534,39.595219,-6244.290008,0.000597
0.020000,85.303353,174.607877,0.265110,4.970493,38.247988,-67.361565,0.000985
0.020000,85.418066,174.608016,0.379823,5.735636,38.257138,0.457507,0.001432
0.020000,85.548085,174.608235,0.509842,6.500960,38.266205,0.453364,0.001938
0.020000,85.693415,174.608558,0.655172,7.266504,38.277162,0.547820,0.002502
0.020000,85.854059,174.609010,0.815818,8.032265,38.288087,0.546257,0.003125
0.020000,86.030024,174.609619,0.991783,8.798265,38.299984,0.594882,0.003804
0.020000,86.221315,174.610418,1.183076,9.564634,38.318467,0.924124,0.004541
0.020000,86.427937,174.611438,1.389700,10.331237,38.330125,0.582898,0.005334
0.020000,86.649897,174.612716,1.611665,11.098207,38.348515,0.919510,0.006183
0.020000,86.887204,174.614291,1.848976,11.865573,38.368300,0.989262,0.007088
0.020000,87.139862,174.616203,2.101642,12.633298,38.386264,0.898177,0.008046
0.020000,87.407882,174.618495,2.369671,13.401473,38.408717,1.122662,0.009059
0.020000,87.691270,174.621214,2.653073,14.170070,38.429878,1.058026,0.010125
0.020000,87.990036,174.624406,2.951855,14.939116,38.452278,1.120031,0.011243
0.020000,88.304188,174.628122,3.266029,15.708719,38.480154,1.393783,0.012413
0.020000,88.633736,174.632415,3.595605,16.478788,38.503430,1.163789,0.013633
0.020000,88.978689,174.637337,3.940594,17.249443,38.532792,1.468093,0.014903
0.020000,89.339059,174.642946,4.301008,18.020683,38.561994,1.460100,0.016222
0.020000,89.714856,174.649300,4.676858,18.792510,38.591338,1.467234,0.017588
0.020000,90.106090,174.656458,5.068158,19.564986,38.623779,1.622030,0.019001
0.020000,90.512774,174.664484,5.474920,20.338128,38.657137,1.667919,0.020459
