dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,85.051536,162.787753,0.012000,1.200000,60.000000,3000.000000,6.282029
0.020000,85.051536,162.787753,0.048000,2.400000,60.000000,0.000000,6.282873
0.020000,85.098224,162.787779,0.108000,3.600000,60.000000,-0.000000,0.001094
0.020000,85.182223,162.787953,0.192000,4.800000,60.000000,0.000000,0.003060
0.020000,85.290222,162.788420,0.300000,6.000000,60.000000,0.000000,0.005584
0.020000,85.422218,162.789360,0.432000,7.200000,60.000000,-0.000000,0.008663
0.020000,85.578211,162.790995,0.588000,8.400000,60.000000,0.000000,0.012295
0.020000,85.758192,162.793585,0.768000,9.600000,60.000000,-0.000000,0.016475
0.020000,85.962154,162.797427,0.972000,10.800000,60.000000,0.000000,0.021197
0.020000,86.190091,162.802859,1.200000,12.000000,60.000000,0.000000,0.026456
0.020000,86.441981,162.810255,1.452000,13.200000,60.000000,-0.000000,0.032243
0.020000,86.717808,162.820023,1.728000,14.400000,60.000000,0.000000,0.038552
0.020000,87.017543,162.832609,2.028000,15.600000,60.000000,0.000000,0.045371
0.020000,87.341153,162.848489,2.352000,16.800000,60.000000,-0.000000,0.052689
0.020000,87.688595,162.868174,2.700000,18.000000,60.000000,0.000000,0.060493
0.020000,88.059817,162.892202,3.072000,19.200000,60.000000,0.000000,0.068768
0.020000,88.454755,162.921139,3.468000,20.400000,60.000000,0.000000,0.077497
0.020000,88.873339,162.955577,3.888000,21.600000,60.000000,-0.000000,0.086661
0.020000,89.315483,162.996129,4.332000,22.800000,60.000000,0.000000,0.096240
0.020000,89.781085,163.043426,4.800000,24.000000,60.000000,-0.000000,0.106208
0.020000,90.270034,163.098115,5.292000,25.200000,60.000000,0.000000,0.116541
0.020000,90.782202,163.160854,5.808000,26.400000,60.000000,0.000000,0.127211
0.020000,91.317450,163.232310,6.348000,27.600000,60.000000,0.000000,0.138185
0.020000,91.875624,163.313148,6.912000,28.800000,60.000000,-0.000000,0.149431
0.020000,92.456554,163.404035,7.500000,30.000000,60.000000,0.000000,0.160912
0.020000,93.060059,163.505628,8.112000,31.200000,60.000000,0.000000,0.172591
0.020000,93.685946,163.618572,8.748000,32.400000,60.000000,0.000000,0.184425
0.020000,94.334012,163.743495,9.408000,33.600000,60.000000,-0.000000,0.196372
0.020000,95.004043,163.881000,10.092000,34.800000,60.000000,0.000000,0.208386
0.020000,95.695823,164.031660,10.800000,36.000000,60.000000,0.000000,0.220420
0.020000,96.409129,164.196014,11.532000,37.200000,60.000000,0.000000,0.232425
0.020000,97.143738,164.374561,12.288000,38.400000,60.000000,-0.000000,0.244349
0.020000,97.899429,164.567753,13.068000,39.600000,60.000000,0.000000,0.256140
0.020000,98.675990,164.775990,13.872000,40.800000,60.000000,0.000000,0.267746
0.020000,99.473215,164.999617,14.700000,42.000000,60.000000,-0.000000,0.279110
0.020000,100.290915,165.238914,15.552000,43.200000,60.000000,0.000000,0.290179
0.020000,101.128918,165.494099,16.428000,44.400000,60.000000,0.000000,0.300897
0.020000,101.987075,165.765315,17.328000,45.600000,60.000000,0.000000,0.311206
0.020000,102.865266,166.052631,18.252000,46.800000,60.000000,0.000000,0.321051
0.020000,103.763399,166.356034,19.200000,48.000000,60.000000,-0.000000,0.330376
0.020000,104.681422,166.675429,20.172000,49.200000,60.000000,0.000000,0.339121
0.020000,105.619319,167.010629,21.168000,50.400000,60.000000,0.000000,0.347232
0.020000,106.577121,167.361357,22.188000,51.600000,60.000000,0.000000,0.354649
0.020000,107.554908,167.727233,23.232000,52.800000,60.000000,-0.000000,0.361314
0.020000,108.552809,168.107778,24.300000,54.000000,60.000000,0.000000,0.367169
0.020000,109.571010,168.502402,25.392000,55.200000,60.000000,0.000000,0.372152
0.020000,110.609756,168.910399,26.508000,56.400000,60.000000,-0.000000,0.376204
0.020000,111.669351,169.330943,27.648000,57.600000,60.000000,0.000000,0.379261
0.020000,112.750164,169.763077,28.812000,58.800000,60.000000,0.000000,0.381257
0.020000,113.852627,170.205704,30.000000,60.000000,60.000000,0.000000,0.382126
0.020000,114.966102,170.653111,31.200000,60.000000,0.000000,-3000.000000,0.381807
0.020000,116.079989,171.099493,32.400000,60.000000,0.000000,0.000000,0.380284
0.020000,117.194822,171.543505,33.600000,60.000000,0.000000,0.000000,0.377555
0.020000,118.311129,171.983797,34.800000,60.000000,0.000000,0.000000,0.373616
0.020000,119.429425,172.419010,36.000000,60.000000,0.000000,0.000000,0.368461
0.020000,120.550211,172.847769,37.200000,60.000000,0.000000,0.000000,0.362084
0.020000,121.673966,173.268681,38.400000,60.000000,0.000000,0.000000,0.354477
0.020000,122.801145,173.680335,39.600000,60.000000,0.000000,0.000000,0.345632
0.020000,123.932169,174.081299,40.800000,60.000000,0.000000,0.000000,0.335541
0.020000,125.067424,174.470118,42.000000,60.000000,0.000000,0.000000,0.324196
0.020000,126.207252,174.845316,43.200000,60.000000,0.000000,0.000000,0.311592
0.020000,127.351944,175.205394,44.400000,60.000000,0.000000,0.000000,0.297725
0.020000,128.501735,175.548838,45.600000,60.000000,0.000000,0.000000,0.282594
0.020000,129.656794,175.874117,46.800000,60.000000,0.000000,0.000000,0.266204
0.020000,130.817218,176.179695,48.000000,60.000000,0.000000,0.000000,0.248565
0.020000,131.983025,176.464037,49.200000,60.000000,0.000000,0.000000,0.229692
0.020000,133.154148,176.725616,50.400000,60.000000,0.000000,0.000000,0.209610
0.020000,134.330424,176.962930,51.600000,60.000000,0.000000,0.000000,0.188353
0.020000,135.511598,177.174514,52.800000,60.000000,0.000000,0.000000,0.165964
0.020000,136.697310,177.358957,54.000000,60.000000,0.000000,0.000000,0.142497
0.020000,137.887102,177.514917,55.200000,60.000000,0.000000,0.000000,0.118018
0.020000,139.080412,177.641143,56.400000,60.000000,0.000000,0.000000,0.092606
0.020000,140.276582,177.736492,57.600000,60.000000,0.000000,0.000000,0.066349
0.020000,141.474866,177.799948,58.800000,60.000000,0.000000,0.000000,0.039348
0.020000,142.619844,177.830407,60.000000,60.000000,0.000000,0.000000,0.017510
0.020000,143.819662,177.851298,61.200000,60.000000,0.000000,0.000000,0.017308
0.020000,145.019484,177.871940,62.400000,60.000000,0.000000,0.000000,0.017097
0.020000,146.219311,177.892325,63.600000,60.000000,0.000000,0.000000,0.016878
0.020000,147.419142,177.912443,64.800000,60.000000,0.000000,0.000000,0.016651
0.020000,148.618978,177.932283,66.000000,60.000000,0.000000,0.000000,0.016416
0.020000,149.818819,177.951836,67.200000,60.000000,0.000000,0.000000,0.016172
0.020000,151.018664,177.971092,68.400000,60.000000,0.000000,0.000000,0.015920
0.020000,152.218515,177.990040,69.600000,60.000000,0.000000,0.000000,0.015660
0.020000,153.418370,178.008671,70.800000,60.000000,0.000000,0.000000,0.015391
0.020000,154.618231,178.026974,72.000000,60.000000,0.000000,0.000000,0.015114
0.020000,155.818096,178.044941,73.200000,60.000000,0.000000,0.000000,0.014829
0.020000,157.017967,178.062560,74.400000,60.000000,0.000000,0.000000,0.014536
0.020000,158.217843,178.079822,75.600000,60.000000,0.000000,0.000000,0.014234
0.020000,159.417724,178.096716,76.800000,60.000000,0.000000,0.000000,0.013924
0.020000,160.617610,178.113234,78.000000,60.000000,0.000000,0.000000,0.013605
0.020000,161.817501,178.129364,79.200000,60.000000,0.000000,0.000000,0.013278
0.020000,163.017398,178.145098,80.400000,60.000000,0.000000,0.000000,0.012943
0.020000,164.217300,178.160424,81.600000,60.000000,0.000000,0.000000,0.012600
0.020000,165.417208,178.175333,82.800000,60.000000,0.000000,0.000000,0.012248
0.020000,166.617120,178.189816,84.000000,60.000000,0.000000,0.000000,0.011888
0.020000,167.808977,178.203768,85.191938,59.193779,-40.311073,-2015.553636,0.011522
0.020000,168.980777,178.217056,86.363813,57.993779,-60.000000,-984.446364,0.011155
0.020000,170.128583,178.229649,87.511689,56.793779,-60.000000,0.000000,0.010787
0.020000,171.252396,178.241567,88.635564,55.593779,-60.000000,0.000000,0.010419
0.020000,172.352214,178.252825,89.735440,54.393779,-60.000000,-0.000000,0.010053
