dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.011415,11.819994,0.008000,0.800000,40.000000,2000.000000,6.282220
0.020000,0.010235,11.819996,0.009180,0.058992,-37.050413,-3852.520627,6.282319
0.020000,0.008268,11.819997,0.011147,0.098346,1.967703,1950.905764,6.282486
0.020000,0.005513,11.819999,0.013902,0.137739,1.969670,0.098379,6.282719
0.020000,0.001970,11.820000,0.017445,0.177188,1.972427,0.137823,6.283019
0.020000,0.045654,11.820005,0.061129,2.184193,100.350284,4918.892844,0.000200
0.020000,0.144533,11.820046,0.160009,4.943990,137.989821,1881.976866,0.000634
0.020000,0.258594,11.820147,0.274070,5.703053,37.953142,-5001.833971,0.001135
0.020000,0.387878,11.820330,0.403354,6.464203,38.057520,5.218906,0.001704
0.020000,0.532348,11.820623,0.547824,7.223503,37.964984,-4.626771,0.002342
0.020000,0.691985,11.821053,0.707462,7.981889,37.919309,-2.283748,0.003047
0.020000,0.866842,11.821653,0.882320,8.742899,38.050496,6.559329,0.003822
0.020000,1.056873,11.822460,1.072353,9.501633,37.936692,-5.690204,0.004666
0.020000,1.262071,11.823511,1.277553,10.260007,37.918713,-0.898952,0.005580
0.020000,1.482432,11.824849,1.497918,11.018271,37.913181,-0.276590,0.006564
0.020000,1.717951,11.826519,1.733443,11.776240,37.898468,-0.735634,0.007619
0.020000,1.968617,11.828570,1.984117,12.533730,37.874517,-1.197565,0.008747
0.020000,2.234417,11.831054,2.249929,13.290556,37.841272,-1.662252,0.009946
0.020000,2.515353,11.834027,2.530881,14.047595,37.851968,0.534801,0.011219
0.020000,2.811432,11.837548,2.826981,14.805006,37.870559,0.929547,0.012565
0.020000,3.122594,11.841679,3.138170,15.559476,37.723492,-7.353365,0.013987
0.020000,3.448865,11.846487,3.464476,16.315314,37.791917,3.421261,0.015484
0.020000,3.790216,11.852042,3.805873,17.069816,37.725095,-3.341084,0.017058
0.020000,4.146645,11.858416,4.162359,17.824309,37.724652,-0.022170,0.018709
0.020000,4.518101,11.865688,4.533886,18.576355,37.602272,-6.118982,0.020439
0.020000,4.904635,11.873939,4.920508,19.331115,37.737997,6.786246,0.022249
0.020000,5.306183,11.883254,5.322164,20.082801,37.584306,-7.684570,0.024140
0.020000,5.722729,11.893723,5.738842,20.833857,37.552817,-1.574439,0.026114
0.020000,6.154259,11.905438,6.170530,21.584440,37.529119,-1.184911,0.028170
0.020000,6.600755,11.918497,6.617217,22.334338,37.494920,-1.709952,0.030312
0.020000,7.062193,11.933002,7.078884,23.083340,37.450100,-2.240957,0.032540
0.020000,7.538547,11.949059,7.555508,23.831231,37.394547,-2.777684,0.034855
0.020000,8.029784,11.966779,8.047064,24.577794,37.328149,-3.319868,0.037260
0.020000,8.535920,11.986279,8.553576,25.325589,37.389736,3.079339,0.039756
0.020000,9.056887,12.007676,9.074982,26.070303,37.235734,-7.700130,0.042345
0.020000,9.592647,12.031095,9.611254,26.813595,37.164566,-3.558399,0.045028
0.020000,10.143214,12.056669,10.162414,27.558015,37.220997,2.821572,0.047807
0.020000,10.708511,12.084529,10.728398,28.299162,37.057363,-8.181707,0.050685
0.020000,11.288502,12.114816,11.309179,29.039072,36.995533,-3.091481,0.053663
0.020000,11.883203,12.147677,11.904787,29.780392,37.065968,3.521717,0.056743
0.020000,12.492524,12.183261,12.515147,30.517983,36.879571,-9.319851,0.059928
0.020000,13.116432,12.221725,13.140238,31.254591,36.830402,-2.458428,0.063220
0.020000,13.754883,12.263230,13.780038,31.989960,36.768445,-3.097848,0.066621
0.020000,14.407831,12.307945,14.434514,32.723831,36.693526,-3.745943,0.070134
0.020000,15.075218,12.356043,15.103633,33.455940,36.605484,-4.402090,0.073761
0.020000,15.756998,12.407704,15.787367,34.186687,36.537351,-3.406694,0.077505
0.020000,16.453141,12.463118,16.485712,34.917275,36.529369,-0.399085,0.081369
