dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,0.000000,0.008000,0.800000,40.000000,2000.000000,6.282220
0.020000,0.000000,0.000000,0.032000,1.600000,40.000000,0.000000,6.282319
0.020000,0.000000,0.000000,0.072000,2.400000,40.000000,-0.000000,6.282486
0.020000,0.000000,0.000000,0.128000,3.200000,40.000000,0.000000,6.282719
0.020000,0.000000,0.000000,0.200000,4.000000,40.000000,-0.000000,6.283019
0.020000,0.048019,0.000005,0.288000,4.800000,40.000000,0.000000,0.000200
0.020000,0.152028,0.000048,0.392000,5.600000,40.000000,0.000000,0.000634
0.020000,0.272014,0.000154,0.512000,6.400000,40.000000,-0.000000,0.001135
0.020000,0.408025,0.000347,0.648000,7.200000,40.000000,-0.000000,0.001704
0.020000,0.560026,0.000655,0.800000,8.000000,40.000000,0.000000,0.002342
0.020000,0.728003,0.001108,0.968000,8.800000,40.000000,0.000000,0.003047
0.020000,0.912016,0.001739,1.152000,9.600000,40.000000,-0.000000,0.003822
0.020000,1.112023,0.002588,1.352000,10.400000,40.000000,0.000000,0.004666
0.020000,1.328023,0.003695,1.568000,11.200000,40.000000,0.000000,0.005580
0.020000,1.560018,0.005103,1.800000,12.000000,40.000000,-0.000000,0.006564
0.020000,1.808012,0.006862,2.048000,12.800000,40.000000,0.000000,0.007619
0.020000,2.072000,0.009022,2.312000,13.600000,40.000000,0.000000,0.008747
0.020000,2.351977,0.011639,2.592000,14.400000,40.000000,-0.000000,0.009946
0.020000,2.647955,0.014771,2.888000,15.200000,40.000000,0.000000,0.011219
0.020000,2.959951,0.018481,3.200000,16.000000,40.000000,0.000000,0.012565
0.020000,3.287913,0.022836,3.528000,16.800000,40.000000,0.000000,0.013987
0.020000,3.631878,0.027904,3.872000,17.600000,40.000000,0.000000,0.015484
0.020000,3.991829,0.033761,4.232000,18.400000,40.000000,0.000000,0.017058
0.020000,4.367776,0.040485,4.608000,19.200000,40.000000,-0.000000,0.018709
0.020000,4.759677,0.048157,5.000000,20.000000,40.000000,0.000000,0.020439
0.020000,5.167601,0.056865,5.408000,20.800000,40.000000,0.000000,0.022249
0.020000,5.591495,0.066698,5.832000,21.600000,40.000000,0.000000,0.024140
0.020000,6.031356,0.077753,6.272000,22.400000,40.000000,0.000000,0.026114
0.020000,6.487187,0.090127,6.728000,23.200000,40.000000,-0.000000,0.028170
0.020000,6.958985,0.103927,7.200000,24.000000,40.000000,0.000000,0.030312
0.020000,7.446745,0.119259,7.688000,24.800000,40.000000,0.000000,0.032540
0.020000,7.950454,0.136239,8.192000,25.600000,40.000000,0.000000,0.034855
0.020000,8.470098,0.154983,8.712000,26.400000,40.000000,0.000000,0.037260
0.020000,9.005716,0.175619,9.248000,27.200000,40.000000,0.000000,0.039756
0.020000,9.557255,0.198271,9.800000,28.000000,40.000000,-0.000000,0.042345
0.020000,10.124698,0.223076,10.368000,28.800000,40.000000,0.000000,0.045028
0.020000,10.708083,0.250174,10.952000,29.600000,40.000000,0.000000,0.047807
0.020000,11.307353,0.279708,11.552000,30.400000,40.000000,-0.000000,0.050685
0.020000,11.922494,0.311831,12.168000,31.200000,40.000000,0.000000,0.053663
0.020000,12.553550,0.346701,12.800000,32.000000,40.000000,-0.000000,0.056743
0.020000,13.200453,0.384480,13.448000,32.800000,40.000000,0.000000,0.059928
0.020000,13.863195,0.425338,14.112000,33.600000,40.000000,0.000000,0.063220
0.020000,14.541762,0.469451,14.792000,34.400000,40.000000,-0.000000,0.066621
0.020000,15.236133,0.517003,15.488000,35.200000,40.000000,0.000000,0.070134
0.020000,15.946282,0.568182,16.200000,36.000000,40.000000,-0.000000,0.073761
0.020000,16.672190,0.623188,16.928000,36.800000,40.000000,0.000000,0.077505
0.020000,17.413864,0.682226,17.672000,37.600000,40.000000,-0.000000,0.081369
0.020000,18.171214,0.745505,18.432000,38.400000,40.000000,0.000000,0.085356
0.020000,18.944258,0.813248,19.208000,39.200000,40.000000,0.000000,0.089468
0.020000,19.732923,0.885681,20.000000,40.000000,40.000000,-0.000000,0.093710
0.020000,20.529267,0.962262,20.800000,40.000000,0.000000,-2000.000000,0.098040
0.020000,21.325242,1.042307,21.600000,40.000000,0.000000,0.000000,0.102417
0.020000,22.120862,1.125854,22.400000,40.000000,0.000000,0.000000,0.106841
0.020000,22.916121,1.212941,23.200000,40.000000,0.000000,0.000000,0.111313
0.020000,23.710959,1.303600,24.000000,40.000000,0.000000,0.000000,0.115834
0.020000,24.505372,1.397871,24.800000,40.000000,0.000000,0.000000,0.120403
0.020000,25.299373,1.495794,25.600000,40.000000,0.000000,0.000000,0.125023
0.020000,26.092894,1.597401,26.400000,40.000000,0.000000,0.000000,0.129692
0.020000,26.885915,1.702731,27.200000,40.000000,0.000000,0.000000,0.134412
0.020000,27.678441,1.811825,28.000000,40.000000,0.000000,0.000000,0.139184
0.020000,28.470446,1.924721,28.800000,40.000000,0.000000,0.000000,0.144008
0.020000,29.261884,2.041457,29.600000,40.000000,0.000000,0.000000,0.148885
0.020000,30.052732,2.162070,30.400000,40.000000,0.000000,0.000000,0.153814
0.020000,30.842965,2.286600,31.200000,40.000000,0.000000,0.000000,0.158798
0.020000,31.632585,2.415092,32.000000,40.000000,0.000000,0.000000,0.163836
0.020000,32.421546,2.547583,32.800000,40.000000,0.000000,0.000000,0.168930
0.020000,33.209813,2.684112,33.600000,40.000000,0.000000,0.000000,0.174079
0.020000,33.997358,2.824720,34.400000,40.000000,0.000000,0.000000,0.179285
0.020000,34.784153,2.969446,35.200000,40.000000,0.000000,0.000000,0.184547
0.020000,35.570170,3.118334,36.000000,40.000000,0.000000,0.000000,0.189867
0.020000,36.355379,3.271424,36.800000,40.000000,0.000000,0.000000,0.195246
