"time","x","y","position","velocity","acceleration","jerk","heading"
0,10,292,0,0,0,0,0
0.02,10.0024,292,0.00240019,0.12001,6.00048,300.024,-9.25721e-07
0.04,10.0192,292,0.0192016,0.840068,36.0029,1500.12,-7.40577e-06
0.06,10.0648,292,0.0648052,2.28018,72.0058,1800.15,-2.49945e-05
0.08,10.1536,292,0.153612,4.44036,108.009,1800.15,-5.92462e-05
0.1,10.3,292,0.300024,7.32059,144.012,1800.15,-0.000115715
0.12,10.516,292,0.516042,10.8009,174.014,1500.12,-0.00019903
0.14,10.8041,292,0.804065,14.4012,180.015,300.024,-0.000310117
0.16,11.1641,292,1.1641,18.0018,180.031,0.839067,-0.000481026
0.18,11.5962,292,1.59621,21.6054,180.18,7.41447,-0.000994969
0.2,12.1003,292,2.10033,25.2063,180.046,-6.68835,-0.00159647
0.22,12.6766,292,2.67655,28.811,180.236,9.50518,-0.0026486
0.24,13.3248,292,3.32483,32.4139,180.146,-4.4791,-0.00398027
0.26,14.0453,292,4.04527,36.0219,180.396,12.474,-0.00606795
0.28,14.8378,292,4.83783,39.628,180.306,-4.51368,-0.00873923
0.3,15.7026,292,5.70256,43.2363,180.418,5.63104,-0.0122092
0.32,16.6395,291.999,6.63953,46.8486,180.612,9.71247,-0.0168463
0.34,17.6488,291.999,7.64877,50.4622,180.681,3.40788,-0.0227858
0.36,18.7303,291.999,8.73033,54.0779,180.787,5.3001,-0.0302276
0.38,19.8843,291.998,9.88427,57.6967,180.939,7.63599,-0.0394613
0.4,21.1106,291.997,11.1106,61.3187,181.1,8.05571,-0.0507968
0.42,22.4095,291.996,12.4095,64.9447,181.3,9.99584,-0.0646159
0.44,23.7811,291.994,13.7811,68.5763,181.576,13.7824,-0.0814398
0.46,25.2253,291.992,15.2253,72.211,181.738,8.1161,-0.101584
0.48,26.7423,291.989,16.7423,75.8495,181.923,9.25273,-0.125394
0.5,28.3322,291.985,18.3322,79.4966,182.355,21.586,-0.153692
0.52,29.9952,291.98,19.9952,83.1485,182.594,11.9648,-0.186933
0.54,31.7313,291.974,21.7313,86.8068,182.918,16.1993,-0.225734
0.56,33.5407,291.966,23.5408,90.4732,183.319,20.0395,-0.270839
0.58,35.4236,291.956,25.4237,94.1446,183.567,12.3842,-0.323191
0.6,37.3802,291.944,27.3803,97.8312,184.332,38.2379,-0.383289
0.62,39.4105,291.93,29.4107,101.519,184.38,2.43564,-0.452175
0.64,41.515,291.911,31.5153,105.231,185.622,62.0987,-0.531183
0.66,43.6938,291.889,33.6941,108.942,185.535,-4.36569,-0.621075
0.68,45.9469,291.863,35.9474,112.665,186.161,31.3014,-0.723023
0.7,48.2749,291.831,38.2756,116.408,187.155,49.724,-0.838299
0.72,50.6778,291.793,40.6788,120.16,187.596,22.0458,-0.968246
0.74,53.156,291.749,43.1574,123.931,188.546,47.4906,-1.11448
0.76,55.7098,291.695,45.7118,127.718,189.359,40.6379,-1.27877
0.78,58.3396,291.632,48.3423,131.526,190.389,51.5128,-1.4625
0.8,61.0455,291.558,51.0492,135.346,190.987,29.8746,-1.66741
0.82,63.8281,291.471,53.8332,139.199,192.68,84.6591,-1.89644
0.84,66.6875,291.371,56.6944,143.061,193.055,18.7314,-2.15076
0.86,69.6245,291.253,59.6337,146.966,195.265,110.528,-2.43399
0.88,72.6392,291.117,62.6515,150.886,196.003,36.8895,-2.74778
0.9,75.7321,290.959,65.7484,154.846,198.025,101.097,-3.09587
0.92,78.9036,290.777,68.9252,158.841,199.722,84.8782,-3.48164
0.94,82.1542,290.568,72.1825,162.865,201.213,74.5097,-3.90845
0.96,85.4844,290.327,75.5213,166.942,203.839,131.343,-4.38055
0.98,88.8946,290.05,78.9427,171.07,206.418,128.92,-4.90263
1,92.3851,289.733,82.4476,175.243,208.655,111.843,-5.4799
1.02,95.9538,289.371,86.0348,179.357,205.701,-147.704,-6.11764
1.04,99.5889,288.959,89.6931,182.916,177.916,-1389.22,-6.82011
1.06,103.275,288.493,93.4088,185.787,143.568,-1717.44,-7.59144
1.08,106.998,287.969,97.1681,187.965,108.901,-1733.31,-8.43361
1.1,110.743,287.385,100.958,189.507,77.096,-1590.26,-9.35072
1.12,114.495,286.733,104.767,190.421,45.6901,-1570.29,-10.3454
1.14,118.252,286.011,108.592,191.27,42.4442,-162.296,-11.4234
1.16,122.012,285.212,112.436,192.212,47.1149,233.533,-12.5916
1.18,125.776,284.329,116.302,193.3,54.3921,363.864,-13.8601
1.2,129.539,283.352,120.19,194.384,54.2191,-8.6525,-15.2321
1.22,133.299,282.277,124.101,195.538,57.6786,172.976,-16.7168
1.24,137.052,281.094,128.037,196.792,62.7228,252.211,-18.3229
1.26,140.796,279.791,132,198.181,69.46,336.86,-20.0595
1.28,144.524,278.361,135.993,199.625,72.1993,136.961,-21.9351
1.3,148.229,276.793,140.016,201.168,77.1474,247.409,-23.9582
1.32,151.904,275.077,144.072,202.792,81.1881,202.036,-26.1347
1.34,155.537,273.203,148.16,204.399,80.3563,-41.5919,-28.4674
1.36,159.117,271.161,152.281,206.067,83.3946,151.912,-30.9563
1.38,162.629,268.944,156.434,207.654,79.3279,-203.333,-33.5998
1.4,166.056,266.545,160.618,209.181,76.3429,-149.25,-36.3888
1.42,169.382,263.962,164.829,210.549,68.4166,-396.313,-39.3077
1.44,172.587,261.195,169.063,211.715,58.2917,-506.246,-42.3351
1.46,175.647,258.251,173.31,212.34,31.2676,-1351.21,-45.4413
1.48,178.538,255.149,177.549,211.974,-18.3029,-2478.53,-48.5829
1.5,181.234,251.92,181.756,210.321,-82.6377,-3216.74,-51.7116
1.52,183.717,248.595,185.907,207.53,-139.542,-2845.2,-54.7792
1.54,185.978,245.21,189.977,203.512,-200.895,-3067.66,-57.7412
1.56,188.013,241.801,193.947,198.518,-249.748,-2442.67,-60.5623
1.58,189.833,238.391,197.812,193.257,-263.051,-665.112,-63.2232
1.6,191.452,235,201.57,187.866,-269.544,-324.684,-65.714
1.62,192.885,231.644,205.219,182.47,-269.806,-13.0994,-68.0319
1.64,194.147,228.338,208.758,176.958,-275.583,-288.856,-70.1713
1.66,195.255,225.088,212.191,171.644,-265.696,494.359,-72.1395
1.68,196.224,221.905,215.518,166.373,-263.549,107.358,-73.9517
1.7,197.07,218.798,218.739,161.04,-266.625,-153.793,-75.5987
1.72,197.805,215.765,221.86,156.028,-250.633,799.599,-77.1112
1.74,198.442,212.815,224.878,150.907,-256.036,-270.15,-78.4792
1.76,198.995,209.946,227.8,146.078,-241.466,728.504,-79.7281
1.78,199.471,207.16,230.626,141.306,-238.588,143.881,-80.8651
1.8,199.879,204.46,233.357,136.555,-237.571,50.8572,-81.8909
1.82,200.23,201.844,235.995,131.933,-231.098,323.657,-82.8217
1.84,200.53,199.314,238.544,127.418,-225.708,269.48,-83.6616
1.86,200.785,196.869,241.002,122.916,-225.14,28.4252,-84.4201
1.88,201.001,194.507,243.374,118.577,-216.925,410.721,-85.1042
1.9,201.184,192.23,245.658,114.239,-216.903,1.11058,-85.7197
1.92,201.337,190.035,247.858,109.989,-212.489,220.73,-86.2723
1.94,201.465,187.924,249.974,105.77,-210.976,75.6425,-86.7674
1.96,201.572,185.894,252.006,101.62,-207.484,174.588,-87.2101
1.98,201.661,183.944,253.958,97.581,-201.955,276.457,-87.6049
2,201.732,182.077,255.826,93.42,-208.052,-304.851,-87.9538
2.02,201.791,180.29,257.615,89.4434,-198.828,461.212,-88.2638
2.04,201.839,178.581,259.324,85.4814,-198.1,36.3779,-88.5359
2.06,201.877,176.951,260.954,81.4808,-200.034,-96.7052,-88.7755
2.08,201.907,175.4,262.506,77.5858,-194.746,264.384,-88.9829
2.1,201.932,173.926,263.98,73.7034,-194.123,31.1501,-89.1637
2.12,201.95,172.529,265.377,69.8396,-193.19,46.6868,-89.3197
2.14,201.963,171.21,266.696,65.9887,-192.543,32.3485,-89.452
2.16,201.975,169.966,267.94,62.1753,-190.669,93.7066,-89.564
2.18,201.983,168.799,269.108,58.3858,-189.479,59.4756,-89.658
2.2,201.988,167.706,270.2,54.6184,-188.366,55.6594,-89.7361
2.22,201.992,166.689,271.217,50.8727,-187.287,53.9366,-89.8003
2.24,201.995,165.746,272.16,47.1395,-186.658,31.4791,-89.8518
2.26,201.997,164.878,273.029,43.419,-186.028,31.4956,-89.8918
2.28,201.998,164.083,273.823,39.7299,-184.455,78.6412,-89.9233
2.3,201.999,163.362,274.545,36.0629,-183.351,55.1973,-89.9484
2.32,201.999,162.714,275.192,32.3749,-184.4,-52.4553,-89.9651
2.34,202,162.14,275.767,28.7404,-181.726,133.714,-89.9785
2.36,202,161.638,276.268,25.0817,-182.934,-60.432,-89.9863
2.38,202,161.209,276.698,21.4681,-180.681,112.683,-89.9928
2.4,202,160.852,277.054,17.8293,-181.937,-62.8319,-89.9956
2.42,202,160.568,277.339,14.2157,-180.681,62.8319,-89.9971
2.44,202,160.355,277.551,10.6115,-180.209,23.5619,-89.9982
2.46,202,160.212,277.694,7.15733,-172.709,375,-89.9989
2.48,202,160.126,277.78,4.30419,-142.657,1502.62,-89.9993
2.5,202,160.083,277.823,2.15314,-107.552,1755.24,-89.9996
2.52,202,160.067,277.839,0.801047,-67.6047,1997.38,-89.9997
