"time","x","y","position","velocity","acceleration","jerk","heading"
0,10,268,0,0,0,0,0
0.02,10.0024,268,0.00239981,0.11999,5.99952,299.976,-9.25721e-07
0.04,10.0192,268,0.0191984,0.839932,35.9971,1499.88,-7.40577e-06
0.06,10.0648,268,0.0647948,2.27982,71.9942,1799.85,-2.49945e-05
0.08,10.1536,268,0.153588,4.43964,107.991,1799.85,-5.92462e-05
0.1,10.3,268,0.299976,7.31941,143.988,1799.85,-0.000115715
0.12,10.516,268,0.515958,10.7991,173.986,1499.88,-0.00019903
0.14,10.8039,268,0.803935,14.3988,179.985,299.976,-0.000310117
0.16,11.1639,268,1.1639,17.9982,179.969,-0.839067,-0.000481026
0.18,11.5958,268,1.59579,21.5946,179.82,-7.41447,-0.000994969
0.2,12.0997,268,2.09967,25.1937,179.954,6.68835,-0.00159647
0.22,12.6754,268,2.67545,28.789,179.764,-9.50518,-0.0026486
0.24,13.3232,268,3.32317,32.3861,179.854,4.4791,-0.00398027
0.26,14.0427,268,4.04273,35.9781,179.604,-12.474,-0.00606795
0.28,14.8342,268,4.83417,39.572,179.694,4.51368,-0.00873923
0.3,15.6974,268,5.69744,43.1637,179.582,-5.63104,-0.0122092
0.32,16.6325,267.999,6.63247,46.7515,179.39,-9.57893,-0.0168463
0.34,17.6392,267.999,7.63923,50.3378,179.317,-3.67498,-0.0227858
0.36,18.7177,267.999,8.71767,53.9221,179.213,-5.16655,-0.0302276
0.38,19.8677,267.998,9.86774,57.5033,179.063,-7.52748,-0.0394613
0.4,21.0894,267.997,11.0894,61.0813,178.899,-8.1706,-0.0507968
0.42,22.3825,267.996,12.3825,64.6553,178.7,-9.99513,-0.0646159
0.44,23.7469,267.994,13.7469,68.2239,178.429,-13.5076,-0.0814398
0.46,25.1827,267.992,15.1827,71.7891,178.261,-8.40342,-0.101584
0.48,26.6897,267.989,16.6897,75.3508,178.085,-8.83763,-0.125394
0.5,28.2678,267.985,18.2678,78.9039,177.655,-21.4643,-0.153692
0.52,29.9168,267.98,19.9169,82.4523,177.418,-11.8589,-0.186933
0.54,31.6367,267.974,21.6368,85.9942,177.096,-16.1067,-0.225734
0.56,33.4273,267.966,23.4273,89.5286,176.718,-18.9163,-0.270839
0.58,35.2882,267.956,25.2883,93.0481,175.978,-36.9912,-0.323191
0.6,37.2196,267.944,27.2197,96.5725,176.22,12.1103,-0.383289
0.62,39.2211,267.93,29.2213,100.076,175.178,-52.1231,-0.452175
0.64,41.2926,267.913,31.2928,103.577,175.023,-7.74979,-0.531183
0.66,43.4336,267.891,33.434,107.059,174.137,-44.2636,-0.621075
0.68,45.6441,267.865,35.6446,110.53,173.536,-30.0644,-0.723023
0.7,47.9237,267.833,37.9245,113.994,173.198,-16.8775,-0.838299
0.72,50.2722,267.797,40.2732,117.439,172.233,-48.2737,-0.968246
0.74,52.6892,267.753,42.6906,120.868,171.491,-37.1226,-1.11448
0.76,55.1742,267.701,45.1761,124.277,170.451,-51.9866,-1.27877
0.78,57.727,267.64,47.7297,127.678,170.032,-20.953,-1.4625
0.8,60.3471,267.568,50.3508,131.054,168.807,-61.231,-1.66741
0.82,63.0339,267.485,53.0388,134.403,167.422,-69.2784,-1.89644
0.84,65.7869,267.387,55.7935,137.734,166.571,-42.5289,-2.15076
0.86,68.6053,267.275,58.6142,141.034,164.991,-79.0139,-2.43399
0.88,71.4886,267.145,61.5005,144.314,164.001,-49.5029,-2.74778
0.9,74.4359,266.995,64.4516,147.556,162.106,-94.7272,-3.09587
0.92,77.4462,266.821,67.4668,150.761,160.264,-92.0952,-3.48164
0.94,80.5184,266.624,70.5453,153.926,158.236,-101.415,-3.90845
0.96,83.6512,266.397,73.6864,157.054,156.412,-91.1843,-4.38055
0.98,86.8434,266.138,76.8891,160.136,154.079,-116.639,-4.90263
1,90.0931,265.843,80.1522,163.153,150.861,-160.944,-5.4799
1.02,93.3962,265.507,83.4722,166.001,142.377,-424.153,-6.11764
1.04,96.7389,265.129,86.8363,168.203,110.132,-1612.26,-6.82011
1.06,100.105,264.703,90.2289,169.632,71.459,-1933.67,-7.59144
1.08,103.478,264.229,93.6355,170.327,34.7197,-1836.97,-8.43361
1.1,106.843,263.703,97.0415,170.299,-1.37862,-1804.91,-9.35072
1.12,110.185,263.123,100.433,169.588,-35.5382,-1707.98,-10.3454
1.14,113.498,262.487,103.807,168.692,-44.8047,-463.325,-11.4234
1.16,116.78,261.79,107.162,167.746,-47.3378,-126.655,-12.5916
1.18,120.026,261.027,110.497,166.733,-50.6358,-164.902,-13.8601
1.2,123.233,260.196,113.81,165.65,-54.1587,-176.142,-15.2321
1.22,126.395,259.291,117.098,164.443,-60.3313,-308.633,-16.7168
1.24,129.508,258.31,120.362,163.155,-64.3952,-203.194,-18.3229
1.26,132.564,257.247,123.598,161.812,-67.1849,-139.482,-20.0595
1.28,135.558,256.099,126.805,160.345,-73.3431,-307.91,-21.9351
1.3,138.483,254.861,129.981,158.799,-77.2919,-197.442,-23.9582
1.32,141.332,253.531,133.125,157.21,-79.4249,-106.649,-26.1347
1.34,144.097,252.105,136.236,155.547,-83.1843,-187.971,-28.4674
1.36,146.771,250.579,139.315,153.944,-80.1416,152.135,-30.9563
1.38,149.347,248.954,142.361,152.293,-82.528,-119.323,-33.5998
1.4,151.818,247.225,145.376,150.774,-75.9818,327.314,-36.3888
1.42,154.178,245.392,148.364,149.422,-67.5721,420.484,-39.3077
1.44,156.423,243.453,151.331,148.316,-55.291,614.053,-42.3351
1.46,158.547,241.411,154.277,147.292,-51.2221,203.447,-45.4413
1.48,160.54,239.273,157.2,146.185,-55.3599,-206.893,-48.5829
1.5,162.396,237.05,160.096,144.802,-69.1339,-688.7,-51.7116
1.52,164.111,234.753,162.962,143.29,-75.5815,-322.376,-54.7792
1.54,165.682,232.4,165.792,141.483,-90.3492,-738.385,-57.7412
1.56,167.111,230.005,168.581,139.439,-102.245,-594.791,-60.5623
1.58,168.407,227.579,171.331,137.532,-95.3376,345.369,-63.2232
1.6,169.576,225.13,174.045,135.703,-91.4609,193.836,-65.714
1.62,170.627,222.666,176.724,133.927,-88.7856,133.765,-68.0319
1.64,171.569,220.196,179.367,132.153,-88.6939,4.58251,-70.1713
1.66,172.411,217.728,181.975,130.424,-86.4447,112.461,-72.1395
1.68,173.16,215.271,184.544,128.42,-100.208,-688.184,-73.9517
1.7,173.824,212.828,187.075,126.547,-93.6476,328.042,-75.5987
1.72,174.409,210.411,189.562,124.351,-109.798,-807.52,-77.1112
1.74,174.926,208.021,192.007,122.256,-104.728,253.499,-78.4792
1.76,175.379,205.666,194.405,119.921,-116.753,-601.237,-79.7281
1.78,175.775,203.35,196.755,117.493,-121.413,-233.02,-80.8651
1.8,176.119,201.074,199.057,115.071,-121.128,14.2698,-81.8909
1.82,176.418,198.846,201.305,112.438,-131.618,-524.508,-82.8217
1.84,176.676,196.664,203.502,109.828,-130.521,54.8501,-83.6616
1.86,176.899,194.535,205.643,107.03,-139.9,-468.955,-84.4201
1.88,177.089,192.459,207.727,104.249,-139.015,44.2287,-85.1042
1.9,177.25,190.438,209.754,101.348,-145.067,-302.558,-85.7197
1.92,177.387,188.475,211.723,98.4157,-146.621,-77.7057,-86.2723
1.94,177.503,186.57,213.631,95.4005,-150.762,-207.091,-86.7674
1.96,177.6,184.726,215.478,92.3483,-152.611,-92.4383,-87.2101
1.98,177.681,182.942,217.264,89.3124,-151.794,40.8447,-87.6049
2,177.748,181.221,218.986,86.1127,-159.986,-409.567,-87.9538
2.02,177.803,179.562,220.645,82.9508,-158.092,94.6957,-88.2638
2.04,177.847,177.967,222.241,79.7826,-158.411,-15.979,-88.5359
2.06,177.883,176.439,223.77,76.4626,-166,-379.446,-88.7755
2.08,177.911,174.974,225.235,73.2421,-161.027,248.678,-88.9829
2.1,177.934,173.576,226.633,69.9167,-166.268,-262.064,-89.1637
2.12,177.952,172.245,227.965,66.5723,-167.219,-47.5625,-89.3197
2.14,177.965,170.98,229.229,63.2178,-167.724,-25.2441,-89.452
2.16,177.975,169.784,230.426,59.8296,-169.41,-84.319,-89.564
2.18,177.983,168.655,231.554,56.417,-170.63,-60.9514,-89.658
2.2,177.988,167.596,232.614,52.9827,-171.715,-54.295,-89.7361
2.22,177.992,166.605,233.604,49.5281,-172.731,-50.7846,-89.8003
2.24,177.995,165.684,234.526,46.0609,-173.358,-31.3518,-89.8518
