dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,29.141330,129.568819,0.007959,0.795913,39.795672,1989.783591,0.000015
0.020000,29.141384,129.568819,0.008013,0.002700,-39.660657,-3972.816436,0.000011
0.020000,29.141474,129.568819,0.008103,0.004497,0.089854,1987.525541,0.000004
0.020000,29.177264,129.568819,0.043894,1.789536,89.251950,4458.104797,6.283179
0.020000,29.249058,129.568818,0.115688,3.589686,90.007485,37.776752,6.283166
0.020000,29.336806,129.568816,0.203435,4.387377,39.884543,-2506.147088,6.283149
0.020000,29.440507,129.568811,0.307136,5.185058,39.884028,-0.025732,6.283130
0.020000,29.560161,129.568803,0.426791,5.982726,39.883419,-0.030461,6.283109
0.020000,29.695769,129.568791,0.562398,6.780380,39.882716,-0.035171,6.283084
0.020000,29.847329,129.568774,0.713959,7.578019,39.881924,-0.039610,6.283056
0.020000,30.014842,129.568750,0.881472,8.375639,39.881031,-0.044613,6.283026
0.020000,30.198307,129.568718,1.064936,9.173240,39.880049,-0.049117,6.282993
0.020000,30.397723,129.568676,1.264353,9.970820,39.878972,-0.053828,6.282957
0.020000,30.613091,129.568622,1.479720,10.768376,39.877802,-0.058546,6.282919
0.020000,30.844409,129.568556,1.711038,11.565907,39.876541,-0.063044,6.282878
0.020000,31.091677,129.568475,1.958307,12.363410,39.875180,-0.068051,6.282834
0.020000,31.354895,129.568376,2.221524,13.160885,39.873730,-0.072484,6.282788
0.020000,31.634061,129.568258,2.500691,13.958328,39.872186,-0.077204,6.282739
0.020000,31.929176,129.568119,2.795806,14.755739,39.870547,-0.081927,6.282688
0.020000,32.240238,129.567956,3.106868,15.553116,39.868814,-0.086644,6.282635
0.020000,32.567247,129.567767,3.433877,16.350456,39.866990,-0.091243,6.282579
0.020000,32.910203,129.567549,3.776832,17.147757,39.865070,-0.096002,6.282520
0.020000,33.269103,129.567299,4.135733,17.945018,39.863058,-0.100558,6.282460
0.020000,33.643947,129.567016,4.510577,18.742237,39.860951,-0.105391,6.282398
0.020000,34.034736,129.566695,4.901366,19.539412,39.858752,-0.109938,6.282333
0.020000,34.441466,129.566335,5.308096,20.336541,39.856457,-0.114759,6.282267
0.020000,34.864139,129.565932,5.730769,21.133623,39.854070,-0.119344,6.282198
0.020000,35.302751,129.565484,6.169382,21.930654,39.851588,-0.124062,6.282128
0.020000,35.757304,129.564987,6.623935,22.727635,39.849015,-0.128694,6.282056
0.020000,36.227795,129.564438,7.094426,23.524562,39.846346,-0.133407,6.281982
0.020000,36.714223,129.563835,7.580854,24.321433,39.843584,-0.138112,6.281907
0.020000,37.216588,129.563173,8.083219,25.118248,39.840728,-0.142811,6.281830
0.020000,37.734887,129.562451,8.601520,25.915003,39.837780,-0.147385,6.281752
0.020000,38.269120,129.561664,9.135753,26.711698,39.834736,-0.152194,6.281673
0.020000,38.819286,129.560810,9.685920,27.508330,39.831600,-0.156797,6.281592
0.020000,39.385384,129.559885,10.252018,28.304898,39.828370,-0.161500,6.281511
0.020000,39.967411,129.558886,10.834046,29.101399,39.825047,-0.166196,6.281428
0.020000,40.565366,129.557810,11.432003,29.897831,39.821630,-0.170835,6.281345
0.020000,41.179249,129.556655,12.045886,30.694194,39.818118,-0.175583,6.281261
0.020000,41.809058,129.555416,12.675696,31.490484,39.814514,-0.180191,6.281176
0.020000,42.454790,129.554091,13.321430,32.286700,39.810816,-0.184929,6.281091
0.020000,43.116446,129.552676,13.983087,33.082841,39.807024,-0.189581,6.281005
0.020000,43.794022,129.551170,14.660665,33.878903,39.803139,-0.194273,6.280919
0.020000,44.487518,129.549569,15.354163,34.674887,39.799159,-0.198966,6.280833
0.020000,45.196932,129.547869,16.063579,35.470788,39.795087,-0.203614,6.280747
0.020000,45.922261,129.546070,16.788911,36.266607,39.790921,-0.208326,6.280662
0.020000,46.663506,129.544167,17.530157,37.062340,39.786661,-0.212996,6.280576
0.020000,47.420663,129.542159,18.287317,37.857986,39.782307,-0.217676,6.280491
0.020000,48.193731,129.540044,19.060388,38.653543,39.777860,-0.222356,6.280407
0.020000,48.982708,129.537818,19.849368,39.449010,39.773319,-0.227043,6.280323
