dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,29.141330,129.568819,0.007994,0.799396,39.969790,1998.489500,0.000015
0.020000,29.141384,129.568819,0.008048,0.002712,-39.834185,-3990.198730,0.000011
0.020000,29.141474,129.568819,0.008139,0.004517,0.090246,1996.221540,0.000004
0.020000,29.177823,129.568819,0.044487,1.817423,90.645286,4527.751967,6.283179
0.020000,29.249931,129.568818,0.116595,3.605392,89.398459,-62.341345,6.283165
0.020000,29.338062,129.568816,0.204726,4.406573,40.059045,-2466.970684,6.283149
0.020000,29.442217,129.568811,0.308881,5.207743,40.058526,-0.025959,6.283130
0.020000,29.562395,129.568803,0.429059,6.008902,40.057911,-0.030730,6.283108
0.020000,29.698596,129.568791,0.565260,6.810046,40.057202,-0.035465,6.283083
0.020000,29.850819,129.568773,0.717484,7.611174,40.056402,-0.039990,6.283056
0.020000,30.019065,129.568749,0.885729,8.412284,40.055503,-0.044969,6.283025
0.020000,30.203333,129.568717,1.069997,9.213374,40.054511,-0.049566,6.282992
0.020000,30.403621,129.568674,1.270286,10.014442,40.053425,-0.054303,6.282956
0.020000,30.619931,129.568621,1.486595,10.815487,40.052245,-0.059025,6.282918
0.020000,30.852261,129.568554,1.718925,11.616507,40.050971,-0.063668,6.282876
0.020000,31.100611,129.568471,1.967275,12.417499,40.049600,-0.068573,6.282833
0.020000,31.364981,129.568372,2.231645,13.218461,40.048137,-0.073158,6.282786
0.020000,31.645368,129.568253,2.512033,14.019393,40.046579,-0.077884,6.282737
0.020000,31.941774,129.568113,2.808438,14.820292,40.044926,-0.082648,6.282686
0.020000,32.254197,129.567948,3.120861,15.621155,40.043178,-0.087406,6.282632
0.020000,32.582637,129.567758,3.449301,16.421982,40.041339,-0.091979,6.282576
0.020000,32.927092,129.567538,3.793756,17.222770,40.039400,-0.096904,6.282518
0.020000,33.287562,129.567286,4.154227,18.023517,40.037371,-0.101471,6.282457
0.020000,33.664047,129.567000,4.530711,18.824222,40.035246,-0.106233,6.282394
0.020000,34.056544,129.566677,4.923209,19.624883,40.033027,-0.110989,6.282330
0.020000,34.465054,129.566314,5.331719,20.425497,40.030712,-0.115738,6.282263
0.020000,34.889575,129.565907,5.756240,21.226063,40.028306,-0.120306,6.282194
0.020000,35.330106,129.565455,6.196772,22.026579,40.025801,-0.125233,6.282124
0.020000,35.786647,129.564954,6.653313,22.827043,40.023205,-0.129824,6.282051
0.020000,36.259196,129.564400,7.125862,23.627454,40.020513,-0.134578,6.281977
0.020000,36.747752,129.563792,7.614418,24.427808,40.017727,-0.139324,6.281902
0.020000,37.252313,129.563125,8.118980,25.228105,40.014847,-0.143997,6.281825
0.020000,37.772880,129.562396,8.639547,26.028342,40.011871,-0.148787,6.281747
0.020000,38.309449,129.561603,9.176117,26.828518,40.008802,-0.153419,6.281667
0.020000,38.862021,129.560741,9.728690,27.628631,40.005638,-0.158239,6.281586
0.020000,39.430594,129.559809,10.297263,28.428679,40.002379,-0.162915,6.281504
0.020000,40.015166,129.558802,10.881837,29.228659,39.999027,-0.167596,6.281422
0.020000,40.615737,129.557717,11.482408,30.028571,39.995579,-0.172424,6.281338
0.020000,41.232304,129.556552,12.098976,30.828412,39.992038,-0.177034,6.281254
0.020000,41.864866,129.555303,12.731540,31.628180,39.988402,-0.181838,6.281169
0.020000,42.513422,129.553968,13.380097,32.427873,39.984671,-0.186521,6.281083
0.020000,43.177971,129.552542,14.044647,33.227490,39.980846,-0.191255,6.280997
0.020000,43.858510,129.551024,14.725188,34.027029,39.976927,-0.195966,6.280911
0.020000,44.555037,129.549409,15.421717,34.826487,39.972913,-0.200703,6.280825
0.020000,45.267553,129.547697,16.134235,35.625863,39.968804,-0.205416,6.280739
0.020000,45.996054,129.545883,16.862738,36.425155,39.964601,-0.210147,6.280653
0.020000,46.740538,129.543966,17.607225,37.224361,39.960304,-0.214862,6.280567
