dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,29.141330,129.568819,0.007947,0.794688,39.734414,1986.720676,0.000015
0.020000,29.141384,129.568819,0.008001,0.002696,-39.599606,-3966.700994,0.000011
0.020000,29.141474,129.568819,0.008091,0.004490,0.089716,1984.466113,0.000004
0.020000,29.177068,129.568819,0.043685,1.779725,88.761746,4433.601517,6.283179
0.020000,29.248751,129.568818,0.115368,3.584160,90.221753,73.000319,6.283166
0.020000,29.336364,129.568816,0.202981,4.380623,39.823150,-2519.930138,6.283150
0.020000,29.439905,129.568811,0.306522,5.177076,39.822637,-0.025653,6.283131
0.020000,29.559376,129.568803,0.425993,5.973517,39.822029,-0.030367,6.283109
0.020000,29.694774,129.568791,0.561392,6.769943,39.821328,-0.035068,6.283084
0.020000,29.846101,129.568774,0.712719,7.566354,39.820539,-0.039477,6.283057
0.020000,30.013356,129.568750,0.879974,8.362747,39.819649,-0.044488,6.283026
0.020000,30.196539,129.568718,1.063156,9.159120,39.818670,-0.048959,6.282993
0.020000,30.395648,129.568676,1.262265,9.955472,39.817596,-0.053662,6.282958
0.020000,30.610684,129.568623,1.477301,10.751801,39.816429,-0.058372,6.282919
0.020000,30.841646,129.568557,1.708264,11.548104,39.815172,-0.062841,6.282878
0.020000,31.088534,129.568476,1.955151,12.344381,39.813815,-0.067853,6.282835
0.020000,31.351347,129.568378,2.217964,13.140628,39.812370,-0.072252,6.282789
0.020000,31.630083,129.568260,2.496701,13.936845,39.810831,-0.076966,6.282740
0.020000,31.924744,129.568121,2.791361,14.733029,39.809197,-0.081674,6.282689
0.020000,32.235327,129.567959,3.101945,15.529178,39.807470,-0.086377,6.282635
0.020000,32.561833,129.567770,3.428451,16.325291,39.805650,-0.090985,6.282580
0.020000,32.904260,129.567553,3.770878,17.121366,39.803737,-0.095668,6.282521
0.020000,33.262608,129.567304,4.129226,17.917400,39.801731,-0.100276,6.282461
0.020000,33.636876,129.567021,4.503494,18.713393,39.799630,-0.105065,6.282399
0.020000,34.027063,129.566702,4.893681,19.509342,39.797437,-0.109616,6.282334
0.020000,34.433168,129.566343,5.299785,20.305245,39.795150,-0.114354,6.282268
0.020000,34.855189,129.565941,5.721807,21.101100,39.792770,-0.119032,6.282200
0.020000,35.293127,129.565494,6.159746,21.896906,39.790297,-0.123639,6.282129
0.020000,35.746980,129.564999,6.613599,22.692661,39.787731,-0.128307,6.282058
0.020000,36.216747,129.564452,7.083366,23.488362,39.785070,-0.133044,6.281984
0.020000,36.702427,129.563850,7.569046,24.284008,39.782318,-0.137614,6.281909
0.020000,37.204018,129.563190,8.070638,25.079598,39.779470,-0.142401,6.281832
0.020000,37.721521,129.562470,8.588141,25.875128,39.776530,-0.146964,6.281754
0.020000,38.254932,129.561685,9.121553,26.670598,39.773496,-0.151694,6.281675
0.020000,38.804251,129.560833,9.670873,27.466006,39.770370,-0.156315,6.281595
0.020000,39.369478,129.559911,10.236100,28.261349,39.767150,-0.161004,6.281513
0.020000,39.950609,129.558915,10.817232,29.056626,39.763836,-0.165686,6.281431
0.020000,40.547645,129.557843,11.414269,29.851834,39.760430,-0.170338,6.281347
0.020000,41.160583,129.556690,12.027208,30.646973,39.756930,-0.174993,6.281263
0.020000,41.789423,129.555455,12.656049,31.442039,39.753336,-0.179674,6.281179
0.020000,42.434162,129.554134,13.300790,32.237032,39.749649,-0.184350,6.281093
0.020000,43.094800,129.552723,13.961429,33.031950,39.745869,-0.189006,6.281008
0.020000,43.771334,129.551221,14.637965,33.826790,39.741996,-0.193659,6.280922
0.020000,44.463763,129.549624,15.330396,34.621550,39.738029,-0.198356,6.280836
0.020000,45.172086,129.547930,16.038720,35.416230,39.733969,-0.202997,6.280750
0.020000,45.896300,129.546135,16.762937,36.210826,39.729815,-0.207681,6.280665
0.020000,46.636404,129.544238,17.503044,37.005337,39.725569,-0.212338,6.280579
0.020000,47.392397,129.542236,18.259039,37.799762,39.721228,-0.217008,6.280494
0.020000,48.164276,129.540126,19.030921,38.594098,39.716795,-0.221674,6.280410
0.020000,48.952040,129.537906,19.818688,39.388343,39.712268,-0.226341,6.280326
0.020000,49.755686,129.535575,20.622338,40.182496,39.707648,-0.231009,6.280243
0.020000,50.575214,129.533130,21.441869,40.976555,39.702934,-0.235674,6.280161
