dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,29.141330,129.568819,0.007953,0.795300,39.764994,1988.249692,0.000015
0.020000,29.141384,129.568819,0.008007,0.002698,-39.630083,-3969.753839,0.000011
0.020000,29.141474,129.568819,0.008097,0.004494,0.089785,1985.993388,0.000004
0.020000,29.177166,129.568819,0.043789,1.784623,89.006457,4445.833621,6.283179
0.020000,29.248904,129.568818,0.115528,3.586919,90.114790,55.416618,6.283166
0.020000,29.336584,129.568816,0.203208,4.383995,39.853798,-2513.049602,6.283150
0.020000,29.440206,129.568811,0.306829,5.181060,39.853284,-0.025692,6.283131
0.020000,29.559768,129.568803,0.426391,5.978114,39.852675,-0.030414,6.283109
0.020000,29.695271,129.568791,0.561894,6.775153,39.851973,-0.035120,6.283084
0.020000,29.846714,129.568774,0.713338,7.572177,39.851182,-0.039543,6.283057
0.020000,30.014098,129.568750,0.880721,8.369183,39.850291,-0.044550,6.283026
0.020000,30.197421,129.568718,1.064045,9.166169,39.849310,-0.049038,6.282993
0.020000,30.396684,129.568676,1.263307,9.963134,39.848235,-0.053745,6.282958
0.020000,30.611886,129.568623,1.478509,10.760075,39.847066,-0.058461,6.282919
0.020000,30.843025,129.568556,1.709649,11.556991,39.845808,-0.062935,6.282878
0.020000,31.090103,129.568475,1.956726,12.353880,39.844448,-0.067960,6.282834
0.020000,31.353118,129.568377,2.219741,13.150740,39.843001,-0.072365,6.282788
0.020000,31.632069,129.568259,2.498693,13.947569,39.841459,-0.077085,6.282740
0.020000,31.926957,129.568120,2.793580,14.744366,39.839823,-0.081800,6.282688
0.020000,32.237779,129.567958,3.104402,15.541128,39.838093,-0.086510,6.282635
0.020000,32.564536,129.567769,3.431159,16.337853,39.836271,-0.091114,6.282579
0.020000,32.907227,129.567551,3.773850,17.134540,39.834354,-0.095838,6.282521
0.020000,33.265850,129.567302,4.132474,17.931187,39.832346,-0.100407,6.282461
0.020000,33.640406,129.567019,4.507030,18.727792,39.830241,-0.105239,6.282398
0.020000,34.030893,129.566699,4.897517,19.524353,39.828046,-0.109771,6.282334
0.020000,34.437310,129.566339,5.303934,20.320868,39.825755,-0.114559,6.282267
0.020000,34.859657,129.565937,5.726281,21.117335,39.823371,-0.119187,6.282199
0.020000,35.297932,129.565489,6.164556,21.913753,39.820894,-0.123857,6.282129
0.020000,35.752134,129.564993,6.618758,22.710120,39.818324,-0.128483,6.282057
0.020000,36.222262,129.564445,7.088887,23.506433,39.815659,-0.133240,6.281983
0.020000,36.708316,129.563842,7.574941,24.302691,39.812902,-0.137861,6.281908
0.020000,37.210293,129.563182,8.076919,25.098892,39.810050,-0.142604,6.281831
0.020000,37.728193,129.562460,8.594819,25.895034,39.807107,-0.147174,6.281753
0.020000,38.262015,129.561675,9.128642,26.691116,39.804068,-0.151943,6.281674
0.020000,38.811757,129.560822,9.678384,27.487134,39.800937,-0.156556,6.281593
0.020000,39.377418,129.559898,10.244046,28.283089,39.797711,-0.161252,6.281512
0.020000,39.958997,129.558901,10.825626,29.078976,39.794393,-0.165941,6.281429
0.020000,40.556492,129.557827,11.423122,29.874796,39.790981,-0.170586,6.281346
0.020000,41.169901,129.556673,12.036533,30.670545,39.787475,-0.175290,6.281262
0.020000,41.799225,129.555435,12.665857,31.466223,39.783877,-0.179924,6.281177
0.020000,42.444460,129.554112,13.311094,32.261827,39.780184,-0.184647,6.281092
0.020000,43.105605,129.552700,13.972241,33.057355,39.776398,-0.189294,6.281007
0.020000,43.782660,129.551196,14.649297,33.852805,39.772519,-0.193953,6.280921
0.020000,44.475621,129.549597,15.342260,34.648176,39.768545,-0.198675,6.280835
0.020000,45.184489,129.547900,16.051130,35.443466,39.764479,-0.203294,6.280749
0.020000,45.909260,129.546103,16.775903,36.238672,39.760319,-0.208009,6.280663
0.020000,46.649933,129.544203,17.516579,37.033793,39.756066,-0.212664,6.280578
0.020000,47.406507,129.542198,18.273155,37.828828,39.751719,-0.217342,6.280493
0.020000,48.178980,129.540085,19.045631,38.623773,39.747279,-0.222014,6.280408
0.020000,48.967349,129.537862,19.834003,39.418628,39.742745,-0.226692,6.280324
0.020000,49.771614,129.535528,20.638271,40.213390,39.738118,-0.231364,6.280242
0.020000,50.591771,129.533080,21.458432,41.008058,39.733397,-0.236036,6.280160
0.020000,51.427820,129.530516,22.294485,41.802630,39.728583,-0.240711,6.280079
0.020000,52.279758,129.527836,23.146427,42.597104,39.723675,-0.245382,6.280000
0.020000,53.147583,129.525038,24.014257,43.391477,39.718674,-0.250068,6.279922
0.020000,54.031293,129.522120,24.897972,44.185749,39.713579,-0.254717,6.279846
0.020000,54.930886,129.519083,25.797570,44.979916,39.708391,-0.259420,6.279772
0.020000,55.846360,129.515924,26.713050,45.773979,39.703110,-0.264070,6.279700
0.020000,56.777713,129.512645,27.644408,46.567933,39.697735,-0.268751,6.279630
0.020000,57.724943,129.509244,28.591644,47.361779,39.692266,-0.273438,6.279562
0.020000,58.688046,129.505723,29.554754,48.155513,39.686704,-0.278085,6.279497
0.020000,59.667022,129.502081,30.533737,48.949134,39.681049,-0.282782,6.279434
0.020000,60.661868,129.498320,31.528589,49.742640,39.675300,-0.287439,6.279375
0.020000,61.672581,129.494440,32.539310,50.536029,39.669457,-0.292125,6.279319
0.020000,62.699159,129.490443,33.565896,51.329299,39.663521,-0.296793,6.279266
0.020000,63.741600,129.486331,34.608345,52.122449,39.657492,-0.301462,6.279216
0.020000,64.799901,129.482105,35.666655,52.915476,39.651369,-0.306153,6.279170
0.020000,65.874060,129.477770,36.740822,53.708380,39.645153,-0.310801,6.279129
0.020000,66.964074,129.473327,37.830845,54.501156,39.638843,-0.315497,6.279091
0.020000,68.069941,129.468780,38.936721,55.293805,39.632440,-0.320164,6.279057
0.020000,69.191658,129.464133,40.058448,56.086324,39.625943,-0.324834,6.279029
0.020000,70.329222,129.459390,41.196022,56.878711,39.619353,-0.329506,6.279004
0.020000,71.482631,129.454556,42.349441,57.670965,39.612669,-0.334187,6.278985
0.020000,72.651883,129.449637,43.518703,58.463082,39.605892,-0.338858,6.278971
0.020000,73.836973,129.444637,44.703804,59.255063,39.599021,-0.343536,6.278963
0.020000,75.037901,129.439564,45.904742,60.046904,39.592057,-0.348206,6.278960
0.020000,76.254662,129.434424,47.121514,60.838604,39.585000,-0.352882,6.278963
0.020000,77.487254,129.429225,48.354118,61.630161,39.577849,-0.357558,6.278972
0.020000,78.735675,129.423974,49.602549,62.421573,39.570604,-0.362231,6.278988
0.020000,79.999920,129.418680,50.866806,63.212838,39.563266,-0.366910,6.279010
0.020000,81.279988,129.413352,52.146885,64.003955,39.555834,-0.371580,6.279038
0.020000,82.575876,129.408001,53.442783,64.794921,39.548309,-0.376256,6.279074
0.020000,83.887579,129.402636,54.754498,65.585735,39.540690,-0.380935,6.279118
0.020000,85.215096,129.397269,56.082026,66.376395,39.532978,-0.385612,6.279169
0.020000,86.558424,129.391912,57.425364,67.166898,39.525173,-0.390270,6.279227
0.020000,87.917558,129.386577,58.784509,67.957243,39.517273,-0.394965,6.279294
0.020000,89.292496,129.381277,60.159457,68.747429,39.509281,-0.399632,6.279369
0.020000,90.683236,129.376027,61.550206,69.537453,39.501195,-0.404306,6.279453
0.020000,92.089772,129.370842,62.956753,70.327313,39.493015,-0.408979,6.279545
0.020000,93.512103,129.365736,64.379093,71.117008,39.484742,-0.413648,6.279647
0.020000,94.950225,129.360727,65.817224,71.906536,39.476375,-0.418336,6.279758
0.020000,96.404135,129.355831,67.271141,72.695894,39.467915,-0.422997,6.279879
0.020000,97.873829,129.351067,68.740843,73.485081,39.459362,-0.427668,6.280010
0.020000,99.359304,129.346454,70.226325,74.274095,39.450715,-0.432343,6.280151
