dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,29.141330,129.568819,0.007938,0.793815,39.690741,1984.537035,0.000015
0.020000,29.141384,129.568819,0.007992,0.002693,-39.556082,-3962.341116,0.000011
0.020000,29.141473,129.568819,0.008082,0.004486,0.089618,1982.284957,0.000004
0.020000,29.176928,129.568819,0.043536,1.772731,88.412266,4416.132412,6.283179
0.020000,29.248532,129.568818,0.115141,3.580221,90.374510,98.112230,6.283166
0.020000,29.336049,129.568816,0.202657,4.375809,39.779381,-2529.756478,6.283150
0.020000,29.439476,129.568811,0.306085,5.171386,39.778869,-0.025596,6.283131
0.020000,29.558815,129.568803,0.425424,5.966951,39.778263,-0.030300,6.283109
0.020000,29.694065,129.568791,0.560674,6.762503,39.777563,-0.034995,6.283084
0.020000,29.845226,129.568774,0.711834,7.558038,39.776775,-0.039382,6.283057
0.020000,30.012297,129.568750,0.878906,8.353556,39.775887,-0.044399,6.283027
0.020000,30.195278,129.568718,1.061887,9.149054,39.774910,-0.048847,6.282994
0.020000,30.394169,129.568676,1.260777,9.944531,39.773840,-0.053544,6.282958
0.020000,30.608969,129.568624,1.475577,10.739984,39.772675,-0.058243,6.282920
0.020000,30.839677,129.568557,1.706285,11.535413,39.771420,-0.062712,6.282879
0.020000,31.086293,129.568477,1.952902,12.330814,39.770066,-0.067696,6.282835
0.020000,31.348817,129.568379,2.215425,13.126187,39.768625,-0.072093,6.282789
0.020000,31.627247,129.568261,2.493856,13.921528,39.767089,-0.076796,6.282740
0.020000,31.921584,129.568123,2.788193,14.716837,39.765459,-0.081494,6.282689
0.020000,32.231826,129.567961,3.098435,15.512112,39.763735,-0.086187,6.282636
0.020000,32.557973,129.567773,3.424582,16.307351,39.761919,-0.090801,6.282580
0.020000,32.900024,129.567556,3.766633,17.102551,39.760011,-0.095425,6.282522
0.020000,33.257978,129.567307,4.124587,17.897711,39.758009,-0.100089,6.282462
0.020000,33.631835,129.567025,4.498444,18.692829,39.755912,-0.104817,6.282400
0.020000,34.021593,129.566707,4.888202,19.487904,39.753725,-0.109395,6.282335
0.020000,34.427251,129.566348,5.293860,20.282933,39.751443,-0.114063,6.282269
0.020000,34.848809,129.565948,5.715419,21.077914,39.749067,-0.118812,6.282201
0.020000,35.286266,129.565501,6.152876,21.872846,39.746601,-0.123324,6.282131
